titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Fast X: Part 2,755679,movie,en,US,English,,"The eleventh installment in The Fast Saga, and a direct sequel to ""Fast X""."
Fast X: Part 2,755679,movie,zh,CN,Mandarin,速度与激情11,《速度与激情11》(或者说《速激10》下半部)定下导演，继续由《速激10》的路易斯·莱特里尔继续执导。
Fast X: Part 2,755679,movie,tr,TR,Turkish,,
Fast X: Part 2,755679,movie,es,ES,Spanish,Fast & Furious X: Parte 2,Decimoprimera entrega de la saga Fast & Furious.
Fast X: Part 2,755679,movie,vi,VN,Vietnamese,Fast & Furious X: Phần 2,
Fast X: Part 2,755679,movie,ko,KR,Korean,분노의 질주 10: 파트 2,
Fast X: Part 2,755679,movie,es,MX,Spanish,,
Fast X: Part 2,755679,movie,hu,HU,Hungarian,,
Fast X: Part 2,755679,movie,ka,GE,Georgian,ფორსაჟი X: ნაწილი 2,
Fast X: Part 2,755679,movie,pt,BR,Portuguese,Velozes & Furiosos 10: Parte 2,Continuação direta de Velozes & Furiosos 10 (2023). Supostamente a segunda parte de uma trilogia que dará fim à franquia Velozes & Furiosos.
Fast X: Part 2,755679,movie,it,IT,Italian,,
Fast X: Part 2,755679,movie,nl,NL,Dutch,,"Het elfde deel in The Fast Saga, een direct vervolg op 'Fast X'."
Fast X: Part 2,755679,movie,de,DE,German,,
Fast X: Part 2,755679,movie,ro,RO,Romanian,Furios și iute X: Partea a 2-a,"A unsprezecea tranșă din saga Furios și iute, care este o continuare directă a „Furios și iute X”."
Fast X: Part 2,755679,movie,he,IL,Hebrew,מהיר ועצבני 10: חלק 2,
