titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Harry Potter and the Deathly Hallows: Part 1,12444,movie,en,US,English,,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,de,DE,German,Harry Potter und die Heiligtümer des Todes - Teil 1,"Harry sieht sich einer vollkommen veränderten Welt gegenüber. Die Todesser haben das Zauberministerium unter ihre Kontrolle gebracht und es tobt ein offener Kampf zwischen den Mächten des Guten und Bösen. Harry hat sich mit Hermine und Ron auf die Suche nach den “Horkruxen“ gemacht, magischen Objekten, die die Unsterblichkeit von Lord Voldemort garantieren und zerstört werden müssen. Der dunkle Lord hat seinerseits ein Kopfgeld auf Harry ausgesetzt, denn er will sich das Vergnügen den “Jungen der überlebte“ mit den eigenen Händen zu töten, nicht nehmen lassen. Unterdessen stößt Harry auf die Legende von den Heiligtümern des Todes, die ihm im Kampf gegen seinen Erzfeind das Leben retten könnte. Und so strebt alles unaufhaltsam der finalen Konfrontation zwischen den beiden Magiern entgegen, auf die Harry sich seit Beginn seiner Schullaufbahn vorbereitet hat."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,fr,FR,French,Harry Potter et les Reliques de la Mort - 1ère partie,"Le pouvoir de Voldemort s'étend dangereusement. Le Seigneur des Ténèbres contrôle désormais le Ministère de la Magie et impose sa domination sur Poudlard, semant la peur et la terreur dans le monde des sorciers. Harry, Ron et Hermione, devenus des fugitifs traqués, s'engagent dans une quête périlleuse pour achever l'œuvre de Dumbledore : retrouver et détruire les Horcruxes, ces fragments d'âme qui rendent Voldemort immortel. Mais isolés, sans protection et confrontés à des dangers constants, les trois amis voient leurs liens mis à rude épreuve. Entre secrets révélés, trahisons et sacrifices, leur mission semble presque impossible, alors que l'ombre du mal menace de tout engloutir. Pourtant, ils savent que leur combat est la seule lueur d'espoir face à l'obscurité croissante."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,ru,RU,Russian,Гарри Поттер и Дары Смерти: Часть I,"Гарри Поттера ждёт самое страшное испытание в жизни — смертельная схватка с Волан-де-Мортом. Ждать помощи не от кого — Гарри одинок, как никогда... Друзья и враги Гарри предстают в совершенно неожиданном свете. Граница между Добром и Злом становится всё призрачнее..."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,it,IT,Italian,Harry Potter e i Doni della Morte - Parte 1,"Dopo la tragica conclusione dell'ultimo anno scolastico, gli alunni di Hogwarts si accingono a tornare a scuola. Ma questo non sarà un anno come gli altri per Harry, Ron e Hermione che si preparano a una pericolosissima missione: scoprire e distruggere il segreto dell'immortalità di Voldemort, gli Horcrux. Senza la guida dei loro insegnanti e senza la protezione del professor Silente i tre amici dovranno fare affidamento l'uno sull'altro, ma le Forze Oscure metteranno a repentaglio la loro amicizia! Nel frattempo il mondo dei maghi è diventato un posto pericoloso per tutti i nemici del Signore Oscuro: la guerra a lungo temuta è scoppiata e i Mangiamorte di Voldemort hanno preso il controllo del Ministero della Magia e assalito Hogwarts. L'unica speranza di Harry è intanto trovare l'Hocrux prima di essere preso e catturato dalle creature oscure."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,sv,SE,Swedish,"Harry Potter och dödsrelikerna, del 1","Harry, Ron och Hermione tar sig an det farliga uppdraget att leta reda på och förgöra hemligheten bakom Voldemorts ondska och odödlighet: horrokruxerna. De tre vännerna är på flykt och har bara varandra att lita på. Men mörka krafter smyger sig in mitt bland dem och hotar att slita sönder vänskapsbanden. Under tiden blir trollkarlsvärlden en allt farligare plats. Det länge fruktade kriget har brutit ut och Lord Voldemort har tagit kontrollen över trollkarlsministeriet och till och med över Hogwarts där han terroriserar och låter fängsla alla som går emot honom. Den utvalde bli den jagade när dödsätarna ger sig ut på jakt efter Harry. De har order att ta honom till Voldemort ... levande."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,zh,CN,Mandarin,哈利·波特与死亡圣器（上）,邓不利多死后，伏地魔与食死徒入侵魔法学校，魔法部也被伏地魔的爪牙操控，邪恶的阴云笼罩魔法世界上空。在哈利17 岁生日之际，凤凰社成员及一众好友护送他回到了凤凰社的据点陋居，然而这立即遭到食死徒毁灭性地打击。哈利和罗恩、赫敏侥幸逃亡，并且按照邓不利多的嘱托继续寻找伏地魔的魂器。死亡的威胁时刻逡巡左右，他们还要面对友情的考验。在寻找摧毁魂器方法的过程中，死亡圣器的面纱也渐渐揭开。与此同时，为了置哈利于死地，伏地魔也在寻找最后一件死亡圣器。最后的决战即将到来……
Harry Potter and the Deathly Hallows: Part 1,12444,movie,hu,HU,Hungarian,Harry Potter és a Halál ereklyéi 1. rész,"Magukra maradtak: Harry, Ron és Hermione tanárai és legfőképpen Dumbledore segítsége nélkül vág neki a nagy feladatnak. Voldemort halhatatlanságának titka nyomába erednek, fel akarják kutatni és meg akarják semmisíteni a rejtélyes horcruxokat. A sötét erő nem kíméli őket, de az egész varázsvilágot sem. Bekövetkezik a legrosszabb, kitör a háború, a halálfalók Roxfortot és a Mágiaügyi Minisztériumot is az uralmuk alá hajtják. Bármerre járnak, a borzalom követi őket. És mindenütt Harry Pottert keresik, hogy a Nagyúr elé vigyék a fiút élve."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,si,LK,Sinhalese,හැරී පෝටර් ඇන්ඩ් ද ඩෙත්ලි හැලෝව්ස්,"Voldemort's power is growing stronger. He now has control over the Ministry of Magic and Hogwarts. Harry, Ron, and Hermione decide to finish Dumbledore's work and find the rest of the Horcruxes to defeat the Dark Lord. But little hope remains for the Trio, and the rest of the Wizarding World, so everything they do must go as planned."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,cs,CZ,Czech,Harry Potter a Relikvie smrti – část 1,"Harry, Ron a Hermiona se vydávají na nebezpečnou misi, jejímž cílem je najít a zničit tajemství Voldemortovy nesmrtelnosti - viteály. Spoléhat musí jen sami na sebe, a to víc, než kdy dříve, protože jim už profesoři nepomohou. Navíc jsou mezi nimi temné síly, které se je snaží rozdělit. Mezitím se svět kouzelníků stane nebezpečným místem pro všechny nepřátele Pána zla. Dlouho obávaná válka se zlem začala, Voldemortovi smrtijedi kontrolují ministerstvo kouzel i Bradavice a terorizují a zatýkají všechny, kdo by se jim chtěl postavit. To nejcennější, co Voldemort chce, ale stále hledají: Harryho Pottera. Vyvolený se stal loveným. Smrtijedi hledají Harryho všude, aby ho podle příkazu Voldemorta přivedli... živého. Harryho jedinou nadějí je, že najde viteály dřív, než Voldemort najde jeho. Při pátrání po viteálech objeví starý a téměř zapomenutý příběh - legendu o relikviích smrti. A pokud je legenda pravdivá, mohl by Voldemort získat neomezenou moc a sílu, po které touží."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,es,ES,Spanish,Harry Potter y las Reliquias de la Muerte - Parte 1,"Una tarea casi imposible cae sobre los hombros de Harry: deberá encontrar y destruir los horrocruxes restantes para dar fin al reinado de Lord Voldemort. En el episodio final de la saga, el hechicero de 17 años parte junto con sus amigos Hermione Granger y Ron Weasley en un peligroso viaje por Inglaterra para encontrar los objetos que contienen los fragmentos del alma del Señor Tenebroso, los cuales garantizan su longevidad. Pero el camino no será fácil pues el lado oscuro adquiere más poder con cada minuto que pasa y las lealtades serán puestas a prueba. Harry deberá usar todos los conocimientos que gracias a Dumbledore ha adquirido sobre su enemigo para poder encontrar la forma de sobrevivir a esta última aventura."
Harry Potter and the Deathly Hallows: Part 1,12444,movie,fi,FI,Finnish,"Harry Potter ja kuoleman varjelukset, osa 1","Harry, Ron ja Hermione lähtevät suorittamaan lähes mahdottomalta tuntuvaa tehtävää: heidän on löydettävä ja tuhottava hirnyrkit, avaimet Voldemortin kuolemattomuuteen. Ilman velhokoulun opettajien apua kolmikko joutuu tukeutumaan toisiinsa enemmän kuin koskaan ennen. Velhomaailmasta on tullut vaarallinen paikka kaikille Voldemortin vihollisille. Hänen kätyrinsä kuolonsyöjät ovat vallanneet taikaministeriön ja jopa Tylypahkan velhokoulun. Heidän tärkein tehtävänsä on kuitenkin jäljittää Harry Potter, jonka Voldemort haluaa saada kynsiinsä... elävänä!"
Harry Potter and the Deathly Hallows: Part 1,12444,movie,tr,TR,Turkish,Harry Potter ve Ölüm Yadigârları: Bölüm 1,"Harry Potter ve Ölüm Yadigârları: Bölüm 1, Harry, Ron ve Hermione’nin Voldemort’un ölümsüzlük sırrını barındıran Hortkuluklar’ın izini sürmek ve yoketmek görevini üstlenerek yola çıkmaları ile başlıyor. Profesörlerinin yönlendirmelerive Profesör Dumbledore’un koruması olmaksızın, tek başlarına yola çıkan üç arkadaş şimdi herzamankinden daha fazla birbirlerine güvenmek zorundadır. Ancak, onları tehdit ederek ayrı düşmelerini sağlamak isteyen Karanlık Güçler de aralarındadır.Bu arada, büyücülük dünyası Karanlık Lord’un tüm düşmanları için tehlikeli bir yer haline gelmiştir. Uzun zamandır korkulan savaş başlamış ve Voldemort’un Ölüm Yiyicileri Büyü Bakanlığı’nın kotrolünü zorla ele geçirerek terör estirmekte ve kendilerine karşı olabilecek herkesi tutukulamaktadırlar. Ama, Voldemort için en değerli olan ganimeti; Harry Potter’ı hala bulamamışlardır."
