titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Licence to Kill,709,movie,en,US,English,,"After capturing the notorious drug lord Franz Sanchez, Bond's close friend and former CIA agent Felix Leiter is left for dead and his wife is murdered. Bond goes rogue and seeks vengeance on those responsible, as he infiltrates Sanchez's organization from the inside."
Licence to Kill,709,movie,de,DE,German,James Bond 007 - Lizenz zum Töten,"James Bond und sein amerikanischer Kollege Felix Leiter verhaften den Drogenbaron Sanchez. Als diesem die Flucht gelingt, rächt er sich auf furchtbare Weise an Leiter und seiner Frau. Bond kennt nur noch ein Ziel: Rache."
Licence to Kill,709,movie,it,IT,Italian,007 - Vendetta privata,"Un boss della droga uccide per vendetta la moglie di un agente americano amico di James Bond. Questi, nonostante gli sia stata revocata la licenza di uccidere, decide di agire in proprio, aiutato dalla giovane amante del boss e dalla bella e coraggiosa Pam."
Licence to Kill,709,movie,sv,SE,Swedish,Tid för hämnd,"När den mäktiga knarkbaronen Franz Sanchez rymmer från fängelset, lemlästar han Bonds bästa vän och dödar vännens hustru. Bond svär på att hämnas, men när M förbjuder honom att låta känslorna styra och sätter honom på ett annat uppdrag, beslutar han sig för att lämna sin tjänst och startar sin egna personliga vendetta."
Licence to Kill,709,movie,ru,RU,Russian,007: Лицензия на убийство,"Не успев как следует насладиться прелестями семейной жизни, молодожен Феликс, агент ЦРУ и старый друг Джеймса Бонда, на собственной шкуре познает все коварство и жестокость колумбийской наркомафии. Его красавицу жену умышленно лишают жизни, а его самого бросают на съедение акулам. Агента 007 безусловно не устраивает такое отношение к его друзьям и он, нарушив все инструкции и приказы, но не забыв прихватить с собой множество хитроумных примочек из шпионского арсенала, отправляется на поиски кровожадного наркобарона."
Licence to Kill,709,movie,cs,CZ,Czech,Povolení zabíjet,"Brzy po svatbě je žena Felixe Leitera zavražděna a Felix je znetvořen svým úhlavním nepřítelem, narkobaronem Franzem Sanchezem. James Bond se vydává pomstít svého starého přítele a dokonce ignoruje příkaz od M, který mu odejímá ""licenci na zabíjení"". Za pomoci agentky CIA Pam Bouvierové se pouští do boje proti Sanchezovi a jím korumpovaným vládám v Jižní Americe."
Licence to Kill,709,movie,hu,HU,Hungarian,A magányos ügynök,"Ezúttal nem a hazáért, nem a királyért kockáztatja életét a 007-es ügynök - a bosszúvágy hajtja. Miután legjobb barátjának, Felix Leiternek egy kegyetlen drogbáró megölette fiatal feleségét és Felix is csak komoly sérülésekkel, félholtan úszta meg a dolgot. Bond engedélyt kér a szolgálattól arra, hogy lekapcsolja a drogkereskedőt. A titkosszolgálat nem támogatja az ügynököt, így Bond komoly lépésre szánja el magát: leadja szolgálati fegyverét és bejelenti, hogy kilép a szervezetből. Szigorúan magánemberként, a szolgálat támogatása nélkül kezdi el élete legszemélyesebb akcióját."
Licence to Kill,709,movie,pt,PT,Portuguese,007 - Licença para Matar,"Quando o traficante Franz Sanchez mata o agente americano Felix Leiter por vingança, Bond decide ir atrás dele e vingar o seu amigo. No entanto, após receber ordens de Londres para parar, o agente 007 vai ter de escolher entre a lealdade a um amigo e a lealdade ao seu país e ao seu serviço secreto."
Licence to Kill,709,movie,tr,TR,Turkish,Öldürme Yetkisi,"Yakın arkadaşı Felix Leiter, düğün gününde müstakbel karısıyla birlikte öldürülünce, James Bond çılgına döner. İntikam almaya karar veren Bond, gizli serviste görevinden istifa eder.Cinayetin izleri, Güney Amerikalı acımasız bir uyuşturucu baronu olan Franz Sanchez'e kadar uzanmaktadır. Öldürmek için eğitilmiş olan Bond'u durdurmak mümkün olmayacaktır.Klasik Bond filmleri ve konularının aksine, bu kez tamamen kişisel bir hırsla hareket eden ve kontrolsüz davranan bir James Bond sunuluyor bu yapımda."
Licence to Kill,709,movie,fr,FR,French,Permis de tuer,"Bond se trouve à Key West, en Floride, aux côtés de Felix Leiter. Mais cette fois, ils ne sont pas en mission : Felix se marie et James Bond et son ami Sharky sont ses témoins. Tous trois portent la tenue de circonstance et se rendent en voiture sur les lieux de la cérémonie. Mais un hélicoptère de la brigade des stupéfiants les arrête : Leiter apprend que Franz Sanchez est sur le territoire américain, or, l'agent de la CIA poursuit cet insaisissable parrain de la drogue depuis des années. Retrouvant les réflexes de la bonne époque de leur collaboration, Leiter et Bond réussissent à capturer Sanchez à l'issue d'une poursuite aérienne spectaculaire. Une fois Sanchez aux mains de la police américaine, il ne reste plus au futur marié et à son témoin qu'à sauter en parachute au-dessus de l'église. Mais la victoire de Leiter est de courte durée. Sanchez qui a offert une prime de deux millions de dollars à quiconque le libérera, s'évade."
