titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,en,US,English,,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,de,DE,German,Indiana Jones und das Königreich des Kristallschädels,"1957 in der Wüste Nevadas, der Kalte Krieg ist in vollem Gange und Indiana Jones den Russen in die Hände gefallen. Indy gelingt die Flucht, doch die Russen – unter der Führung von Irina Spalko, Stalins Lieblingsagentin und ihres Zeichens Parapsychologin, - entwenden ein mysteriöses Skelett, das offenbar in Verbindung mit dem Verschwinden von Indys altem Freund und Kollegen Harold Oxleys steht, der in Peru verschollen ist. Gemeinsam mit Oxleys Ziehsohn Mutt macht sich Indy im Dschungel des Amazonas auf die Suche nach dem legendären Kristallschädel, dem magische Kräfte nachgesagt werden und der Oxley offenbar in den Wahnsinn getrieben hat. Eine Schatzsuche auf Leben und Tod beginnt."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,ru,RU,Russian,Индиана Джонс и Королевство хрустального черепа,"1957 год, разгар холодной войны. Советские солдаты, возглавляемые агентом Ириной Спалько, похищают Мэрион Рэйвенвуд - давнюю возлюбленную Индианы Джонса, ставя профессора перед выбором: бездействие и смерть Мэрион или помощь советской разведке в поисках легендарного Хрустального черепа в обмен на свободу женщины."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,fr,FR,French,Indiana Jones et le royaume du crâne de cristal,"La nouvelle aventure d’Indiana Jones débute dans un désert du sud‐ouest des États‐Unis. Nous sommes en 1957, en pleine guerre froide. Indy et son copain Mac viennent tout juste d’échapper à une bande d’agents soviétiques à la recherche d’une mystérieuse relique surgie du fond des temps. De retour au Marshall College, le Professeur Jones apprend une très mauvaise nouvelle : ses récentes activités l’ont rendu suspect aux yeux du gouvernement américain. Le doyen Stanforth, qui est aussi un proche ami, se voit contraint de le licencier. À la sortie de la ville, Indiana fait la connaissance d’un jeune motard rebelle, Mutt, qui lui fait une proposition inattendue."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,sk,SK,Slovak,Indiana Jones a Kráľovstvo krištáľovej lebky,"Príbeh sa odohráva symbolicky presne 19 rokov po Poslednej krížovej výprave, v dobe rodiacej sa Studenej vojny. Indiana Jones je v ňom profesorom archeológie na prahu dôchodku, ktorý si napriek búrlivej minulosti zo všetkého najviac užíva pokoj a nebezpečne sa začína podobať svojmu otcovi. Staré inštinkty sa v ňom prebudia vo chvíli, keď sa objavia stopy vedúce k legendárnej Krištáľovej lebke a hlavne informácie, že po tomto údajne mocnom artefakte prahnú sovietski agenti. Indy preto strasie únavu a vydá sa na ďalšiu mimoriadne dobrodružnú cestu, ktorá ho zavedie až do vnútra peruánskej džungle, v ktorej sa má táto vzácna relikvia ukrývať. Ani Indy nie je na svoju výpravu sám. Na jeho strane stojí spriaznený dobrodruh Mac, ktorý má však tendenciu každú chvíľu ho podraziť, ďalej napomádovaný frajer Mutt Williams, ktorý si neustále uťahuje z jeho veku, a jeho prvá a zrejme životná láska Marion."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,it,IT,Italian,Indiana Jones e il regno del teschio di cristallo,"1957, in mezzo al deserto e nel pieno della guerra fredda, il professor Jones ed il suo compare Mac, riescono a sfuggire alla cattura da parte di un agente sovietico. Una volta ritornato al Marshall College però, il decano dell'istituto, informa Jones del fatto che il governo, per via delle sue ultime attività, ha fatto delle pressioni per sollevarlo dal suo incarico. Poco male, perchè, a stimolare il professore a buttarsi in una nuova impresa, arriva Mutt, un giovane ribelle, che gli propone di aiutarlo nella ricerca di un preziosissimo reperto archeologico, il Teschio di Cristallo di Akator. Purtroppo però, una volta arrivati in Perù, si accorgeranno che non sono gli unici interessati al ritrovamento dell'oggetto, sulle tracce del cimelio, infatti, ci sono anche i russi!"
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,tr,TR,Turkish,Indiana Jones ve Kristal Kafatası Krallığı,"Indy ve yakın dostu Mac, uzaklardaki bir hava meydanında Sovyet ajanlarıyla sıcak temastan güç belâ kurtulmayı başarmışlardır. Şehir dışına çıkan Indiana, genç Mutt ile tanışır. Mutt’a yardım ettiği takdirde büyü, batıl inanç ve korkunun efsanevi objesi olarak tanınan Akator’un Kristal Kafatası’nı ele geçirebilecektir."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,cs,CZ,Czech,Indiana Jones a Království křišťálové lebky,"Univerzitní profesor a muž, který objevil legendární Archu úmluvy, zachránil posvátné Sankarové kameny a nalezl Svatý grál. V novém dobrodružství bude pátrat po další slavné relikvii - záhadné Křišťálové lebce. Příběh se odehrává symbolicky přesně devatenáct let po Poslední křížové výpravě, v době rodící se Studené války. Indiana Jones je v něm profesorem archeologie na prahu penze, jenž si navzdory bouřlivé minulosti ze všeho nejvíc užívá klid a nebezpečně se začíná podobat vlastnímu otci. Staré instinkty se v něm probudí ve chvíli, kdy se objeví stopy vedoucí k legendární Křišťálové lebce a hlavně informace, že po tomto mocném artefaktu prahnou sovětští agenti. Indy se vydá na další dobrodružnou cestu, jež ho zavede až do nitra peruánské džungle v níž se má relikvie ukrývat."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,fi,FI,Finnish,Indiana Jones ja kristallikallon valtakunta,"Sankariarkeologi Indiana Jones matkustaa nuoren Mutt Williamsin kanssa Peruun, missä hänen kollegansa on kadonnut löydettyään kristallikallon, jossa piilee legendan mukaan ylimaallisia voimia. Eletään vuotta 1957, ja kylmän sodan tuoksinassa kristallikalloa havittelevat myös vallanhaluiset venäläiset roistot. Kuvioihin ilmestyy myös Indianan vanha rakastettu Marion Ravenwood, joka on yllättävä linkki Indianan ja Muttin välillä."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,pt,PT,Portuguese,Indiana Jones e o Reino da Caveira de Cristal,"Em plena Guerra Fria, Indiana Jones escapa por um triz no deserto a uma emboscada dos soviéticos. Mas quando regressa finalmente a casa e à universidade, percebe que por aí as coisas vão de mal a pior. As suas actividades paralelas lançaram fortes suspeitas sobre si e o Governo está a pressionar a universidade para que despeça o professor. Ao sair da cidade, Indiana conhece Mutt que lhe faz uma proposta irrecusável: partir à descoberta de um lendário objecto, fonte de fascínio, superstição e medo nas últimas décadas - a Caveira de Cristal de Akator. Mas Indy e Mutt rapidamente percebem que não estão sozinhos nesta busca. Também os soviéticos estão no encalço do mítico tesouro."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,es,ES,Spanish,Indiana Jones y el reino de la calavera de cristal,"Indiana Jones y el joven Mutt se proponen encontrar la Calavera de Cristal de Akator. Los agentes soviéticos tienen ese mismo objetivo. Liderados por la bella Irina Spalko, creen que el artilugio ayudará a su país a dominar el mundo si consiguen descifrar su secreto."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,sv,SE,Swedish,Indiana Jones och kristalldödskallens rike,"Det nya äventyret tar sin början 1957 i öknen mitt under det kalla kriget. Indy har tillsammans med sin kompanjon Mac med minsta tänkbara marginal undkommit några sovjetiska agenter vid en öde flygbas. Professor Jones återvänder till sitt hem vid Marshall College, men upptäcker att läget är allt annat än gott vid universitet. Hans närmaste vän, rektorn vid lärosätet förklarar att Indys senaste eskapader har gjort regeringen misstänksam, som nu kräver att Jones ska avskedas från sin tjänst. På egen hand lämnar nu Indiana Jones staden, men träffar snart den egensinniga Mutt, en ung rebell som ger den äventyrlige arkeologen ett minst sagt spännande förslag. Om han hjälper honom, har Indy chans att hitta sitt största arkeologiska fynd någonsin – den legendariska kristallskallen från Akator. Ett föremål som fascinerat, skrämt och lockat mängder av upptäcktsresanden genom åren."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,pl,PL,Polish,Indiana Jones i Królestwo Kryształowej Czaszki,"Akcja filmu rozgrywa się w czasie zimnej wojny w 1957 roku, dokładnie 19 lat po ""Ostatniej Krucjacie"". Doktor Indiana Jones (Harrison Ford) wiedzie spokojne życie, mając posadę jako wykładowca na uniwersytecie. Jednak już wkrótce znów odda się wielkiej przygodzie, gdy dowie się o zaginionych trzynastu kryształowych czaszkach. Legenda głosi, że zostały one wykonane przez kosmitów lub wysoko rozwiniętą cywilizację Majów. Nowa podróż doprowadzi go m.in. do Meksyku i dżungli w Peru. Na dodatek będą deptać mu po piętach sowieccy agenci..."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,nl,NL,Dutch,,"1957. De Koude Oorlog is op zijn hoogtepunt. Nadat hij op een afgelegen vliegveld ternauwernood ontsnapt aan een groep snode Sovjet agenten, ontmoet de avontuurlijke archeoloog Indiana Jones de jonge, opstandige Mutt die zijn hulp nodig heeft bij een persoonlijke missie. In ruil daarvoor maakt Indy grote kans op het vinden van de Crystal Skull van Akator, een legendarisch en fascinerend voorwerp omringd door bijgeloof en gevaar."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,hu,HU,Hungarian,Indiana Jones és a Kristálykoponya királysága,"Javában dúl a hidegháború. Indiana Jones tevékenysége is szemet szúr a hatóságoknak, a régészprofesszort ki akarják rúgni az egyetemről. Jones találkozik az ifjú Mutt-tal, aki a segítségével meg akarja szerezni a legendás kincset, Akator kristálykoponyáját. A két kincsvadász Peruba utazik, ám kiderül, hogy a szovjetek személyében vetélytársuk is akad. Az oroszok ugyanis azt hiszik, hogy a koponya segítségével leigázhatják a világot. Csapatukat a jéghideg szépség, Irina Spalko vezeti. Indiana és Mutt meg akarja akadályozni, hogy a varázslatos erejű koponya az ellenség kezébe kerüljön."
Indiana Jones and the Kingdom of the Crystal Skull,217,movie,no,NO,Norwegian,Indiana Jones Og Krystallhodeskallens Rike,"Indiana Jones (Harrison Ford) forsøker å vinne kappløpet med den smarte og vakre agenten (Cate Blanchett) i jakten på den mystiske og magiske krystallhodeskallen fra Akator. Sammen med en ung og opprørsk motorsyklist (Shia LaBeouf) og gamlekjæresten Marion (Karen Allen) legger Indy ut på et actionfylt eventyr i den velkjente, fengslende stilen til de klassiske Indiana Jones-filmene!"
