titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Puss in Boots: The Last Wish,315162,movie,en,US,English,,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives."
Puss in Boots: The Last Wish,315162,movie,bg,BG,Bulgarian,Котаракът в чизми 2,"Котаракът в чизми открива, че страстта му към приключенията е взела връх: той е изгорил осем от деветте си живота и му остава само един. Котаракът се отправя на епично пътешествие, за да намери митичното последно желание и да възстанови деветте си живота."
Puss in Boots: The Last Wish,315162,movie,ru,RU,Russian,Кот в сапогах 2: Последнее желание,"Рыцарь хвоста и шпаги, он же Кот в сапогах, героически побеждает грозного великана, но вместе с тем лишается восьмой из девяти своих жизней. Риск умереть окончательно и безвозвратно побуждает главного героя завязать с авантюрами и стать новой домашней кошкой Мамы Луны, где тот заводит дружбу с собакой-терапевтом Перро. Встретить тихую и спокойную старость не дает возобновившееся противостояние со своими заклятыми врагами — преступным кланом Златовласки и трёх медведей. Имея в запасе последнюю жизнь, которая становится бесценной, Кот в сапогах обращается за помощью к своей давней возлюбленной Кисе Мягколапке."
Puss in Boots: The Last Wish,315162,movie,zh,CN,Mandarin,穿靴子的猫2,时隔11年，臭屁自大又爱卖萌的猫大侠回来了！如今的猫大侠（安东尼奥·班德拉斯 配音），依旧幽默潇洒又不拘小节、数次“花式送命”后，九条命如今只剩一条，于是不得不请求自己的老搭档兼“宿敌”——迷人的软爪妞（萨尔玛·海耶克 配音）来施以援手来恢复自己的九条生命。
Puss in Boots: The Last Wish,315162,movie,fr,FR,French,Le Chat Potté 2 : la dernière quête,"Le Chat Potté découvre que sa passion pour l'aventure et son mépris du danger ont fini par lui coûter cher : il a épuisé huit de ses neuf vies, et en a perdu le compte au passage. Afin de retomber sur ses pattes notre héros velu se lance littéralement dans la quête de sa vie. Il s'embarque dans une aventure épique aux confins de la Forêt Sombre afin de dénicher la mythique Étoile à vœu, seule susceptible de lui rendre ses vies perdues. Mais quand il ne vous en reste qu’une, il faut savoir faire profil bas, se montrer prudent et demander de l’aide. C’est ainsi qu’il se tourne vers son ancienne partenaire et meilleure ennemie de toujours : l’ensorcelante Kitty Pattes De Velours. Le Chat Potté et la belle Kitty vont être aidés dans leur quête, à leur corps bien défendant, par Perro, un corniaud errant et galeux à la langue bien pendue et d’une inaltérable bonne humeur."
Puss in Boots: The Last Wish,315162,movie,es,ES,Spanish,El Gato con Botas: El último deseo,El Gato con Botas se embarca en un viaje épico para encontrar al mítico Último Deseo y recuperar sus nueve vidas.
Puss in Boots: The Last Wish,315162,movie,de,DE,German,Der gestiefelte Kater: Der letzte Wunsch,"Auch ein Kater kann ein unangenehmes Erwachen haben. Nach unzähligen riskanten Reisen und achtlosen Abenteuern muss der gestiefelte Kater entsetzt feststellen, dass seine Leidenschaft für Gefahren letztlich ihren Preis hatte – in seiner Abenteuerlust hat er bereits acht seiner neun Leben verbraucht. Um für die dringend nötige neue Vitalität zu sorgen, begibt sich der charmante Schnurrhaargauner auf den langen Weg in den Schwarzen Wald, um dort den mythischen Wunschstern zu finden."
Puss in Boots: The Last Wish,315162,movie,nl,NL,Dutch,De Gelaarsde Kat 2: De Laatste Wens,"De Gelaarsde Kat ontdekt dat zijn passie voor avontuur zijn tol heeft geëist: hij heeft acht van zijn negen levens verbrand, waardoor er nog maar één leven over is.  Puss gaat op een epische reis om de mythische Last Wish te vinden en zijn negen levens te herstellen."
Puss in Boots: The Last Wish,315162,movie,ko,KR,Korean,장화신은 고양이: 끝내주는 모험,"아홉 개의 목숨 중 단 하나의 목숨만 남은 장화신은 고양이.  마지막 남은 목숨을 지키기 위해 히어로의 삶 대신 반려묘의 삶을 선택한 그에게 찾아온 마지막 기회, 바로 소원을 들어주는 소원별이 있는 곳을 알려주는 지도!  잃어버린 목숨을 되찾고 다시 히어로가 되기를 꿈꾸는 장화신은 고양이는 뜻밖에 동료가 된 앙숙 파트너 '키티 말랑손', 그저 친구들과 함께라면 모든 게 행복한 강아지 '페로'와 함께 소원별을 찾기 위해 길을 떠난다.  그리고 소원별을 노리는 또 다른 빌런들과 마주치게 되는데…"
Puss in Boots: The Last Wish,315162,movie,pt,BR,Portuguese,Gato de Botas 2: O Último Pedido,"O Gato de Botas descobre que sua paixão pela aventura cobrou seu preço: ele queimou oito de suas nove vidas, deixando-o com apenas uma vida restante. Gato parte em uma jornada épica para encontrar o mítico Último Desejo e restaurar suas nove vidas."
Puss in Boots: The Last Wish,315162,movie,it,IT,Italian,Il gatto con gli stivali 2 - L'ultimo desiderio,"Il Gatto con gli Stivali scopre che la sua passione per l'avventura è stata pagata a caro prezzo: ben otto delle sue nove vite sono andate bruciate.  Dovrà così intraprendere una nuova epica avventura alla ricerca del mitico Ultimo Desiderio, che gli permetterà di recuperare le sue nove vite."
Puss in Boots: The Last Wish,315162,movie,fi,FI,Finnish,Saapasjalkakissa: Viimeinen toivomus,"Saapasjalkakissa huomaa, että hänen intohimonsa seikkailuun on vaatinut veronsa: hän on kuluttanut yhdeksästä elämästään kahdeksan, ja jäljellä on enää yksi elämä. Saapasjalkakissa lähtee eeppiselle matkalle löytääkseen myyttisen Viimeisen toivomuksen ja palauttaakseen yhdeksän elämäänsä."
Puss in Boots: The Last Wish,315162,movie,hu,HU,Hungarian,"Csizmás, a kandúr: Az utolsó kívánság","A bátor bandita Csizmás Kandúr ráébred, hogy nagy ára volt annak, hogy fittyet hányt a veszélyre, és nem ügyelt a testi épségére. Kandúr nyolcat eltékozolt a kilenc életéből, bár már nem is számolta őket. Most tehát az eddigi legnagyobb kalandja vár rá: vissza akarja szerezni az életeit. Nekivág a Fekete Erdőnek, hogy megkeresse a legendás Kívánságcsillagot. Ám mivel már csak egy élete maradt, Kandúrnak meg kell alázkodnia, és segítséget kell kérnie egykori társától és vetélytársától, a lenyűgöző Puha Praclitól. Útjuk során betársul melléjük – bár nem kérik – egy izgága, fecsegő, fáradhatatlanul vidám blöki, Perro. Együtt veszik fel a harcot Aranyfürtöcskével és a Három Medve Maffiacsaláddal, valamint egy rémisztő fejvadásszal, a Nagy Gonosz Farkassal..."
Puss in Boots: The Last Wish,315162,movie,de,AT,German,Der gestiefelte Kater: Der letzte Wunsch,"Auch ein Kater kann ein unangenehmes Erwachen haben. Nach unzähligen riskanten Reisen und achtlosen Abenteuern muss der gestiefelte Kater entsetzt feststellen, dass seine Leidenschaft für Gefahren letztlich ihren Preis hatte – in seiner Abenteuerlust hat er bereits acht seiner neun Leben verbraucht. Um für die dringend nötige neue Vitalität zu sorgen, begibt sich der charmante Schnurrhaargauner auf den langen Weg in den Schwarzen Wald, um dort den mythischen Wunschstern zu finden."
Puss in Boots: The Last Wish,315162,movie,tr,TR,Turkish,Çizmeli Kedi: Son Dilek,"Herkesin sevgilisi, korkusuz kedi geri dönüyor. Çizmeli Kedi tehlike tutkusunun ve güvenliği ihmal etmesinin zarar verdiğini keşfediyor ve kötülüğüyle nam salmış, efsanevi Dilek Yıldızı’nı bulmak için Kara Orman’a doğru destansı bir yolculuğa çıkıyor. Ancak sadece tek bir canı kalan Çizmeli Kedi’nin boyun eğmesi, eski ortağı ve düşmanı olan çekici Yumuşak Pati Kitty’den yardım istemesi gerekecektir."
Puss in Boots: The Last Wish,315162,movie,sv,SE,Swedish,Mästerkatten 2,Mästerkatten upptäcker att hans passion för äventyr har tagit ut sin rätt: han har bränt genom åtta av sina nio liv. Puss ger sig ut på en episk resa för att hitta den mytiska Sista önskan för att kunna återställa sina nio liv.
