titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Despicable Me,20352,movie,en,US,English,,"Villainous Gru lives up to his reputation as a despicable, deplorable and downright unlikable guy when he hatches a plan to steal the moon from the sky. But he has a tough time staying on task after three orphans land in his care."
Despicable Me,20352,movie,de,DE,German,Ich - Einfach unverbesserlich,"Der verschrobene Gru führt ein zurückgezogenes Leben – unscheinbar lebt er in einer kleinen Nachbarschaft irgendeines Vorortes. Aber was seine Nachbarn nicht wissen: Er plant das größte Verbrechen der Menschheitsgeschichte und will den Mond klauen. Auf dem Vormarsch mit technisch raffinierten Waffen und von der Polizei nicht zu stoppen, findet er aber dann doch – vielleicht – seine Bezwinger. Drei Waisenmädchen entdecken in ihm einen potentiellen Vater. Ist es nun mit seinem Verbrecherleben vorbei … oder stiehlt er doch noch den Mond?"
Despicable Me,20352,movie,it,IT,Italian,Cattivissimo me,"In un delizioso quartiere fuori città, tra rose e staccionate bianche, abita in una casa nera, su un prato desolato, il malvagio e oscuro super criminale Gru, intento a progettare, con l'aiuto di un piccolo esercito di schiavi, i Minion, il più grande colpo della storia del mondo: rubare la Luna! Armato di un arsenale di razzi che restringono o congelano le cose e di veicoli in grado di combattere via terra e via aria, Gru travolge e conquista tutto ciò che trova sulla sua strada. Ma tutto questo cambia il giorno in cui s'imbatte nella forte determinazione delle sue vicine, tre adorabili ragazzine orfane - Margo, Edith e Agnes - che gli daranno filo da torcere e che vedranno in lui qualcosa che nessun altro aveva mai visto prima: un potenziale papà!"
Despicable Me,20352,movie,nl,NL,Dutch,Verschrikkelijke Ikke,"In een vrolijke, vredige buitenwijk met netjes omheinde en piekfijn verzorgde tuintjes staat een mysterieuze, onheilspellende villa temidden van een dood gazon. Het zwarte gebouw is het geheime hoofdkwartier van Gru die de wereld wil domineren met zijn legertje handlangers: De Compleet Dolgedraaide Minions! Wie zijn plannen probeert te dwarsbomen, maakt snel kennis met een GRU-welijk arsenaal van krimpstralen, vriespistolen en oorlogsvoertuigen."
Despicable Me,20352,movie,ru,RU,Russian,Гадкий я,"Гадкий снаружи, но добрый внутри Грю намерен, тем не менее, закрепить за собой статус главного архизлодея в мире, для чего он решает выкрасть Луну при помощи созданной им армии миньонов. Дело осложняют конкуренты, вставляющие высокотехнические палки в колёса, и семейные обстоятельства в виде трёх сироток, о которых Грю вынужден заботиться."
Despicable Me,20352,movie,fr,FR,French,"Moi, moche et méchant","Dans un charmant quartier résidentiel délimité par des clôtures de bois blanc et orné de rosiers fleurissants se dresse une bâtisse noire entourée d’une pelouse en friche. Cette façade sinistre cache un secret : Gru, un méchant vilain, entouré d’une myriade de sous‐fifres et armé jusqu’aux dents, qui, à l’insu du voisinage, complote le plus gros casse de tous les temps : voler la lune (Oui, la lune !)… Gru affectionne toutes sortes de sales joujoux. Il possède une multitude de véhicules de combat aérien et terrestre et un arsenal de rayons immobilisants et rétrécissants avec lesquels il anéantit tous ceux qui osent lui barrer la route… jusqu’au jour où il tombe nez à nez avec trois petites orphelines qui voient en lui quelqu’un de tout à fait différent : un papa. Le plus grand vilain de tous les temps se retrouve confronté à sa plus dure épreuve : trois fillettes prénommées Margo, Édith et Agnès."
Despicable Me,20352,movie,es,ES,Spanish,Gru. Mi villano favorito,"En una alegre urbanización con cuidados jardines rodeados por verjas de madera pintadas de blanco y llenos de rosales, sobresale una casa negra con el césped amarillento. Los vecinos ignoran que debajo de la vivienda hay un enorme escondite secreto. Allí está Gru, rodeado por un pequeño ejército de lacayos, planeando el mayor robo de toda la historia. ¡Va a hacerse con la luna!"
Despicable Me,20352,movie,pt,PT,Portuguese,Gru - O Maldisposto,"Num feliz bairro suburbano há uma casa negra com a relva morta. Sem o conhecimento dos vizinhos, existe ali um vasto esconderijo secreto… rodeado por um pequeno exército de Mínimos está Gru, um supervilão que planeia roubar a Lua. Gru adora tudo o que é mau. É um vilão profissional... até ao dia em que encontra três pequenas órfãs, que vêm nele algo que ninguém mais viu: um potencial pai."
Despicable Me,20352,movie,zh,CN,Mandarin,神偷奶爸,超级坏蛋格鲁 在听说埃及金字塔被盗的新闻后不满市面上新贼辈出，决定在纳法利欧博士 的帮助下建造火箭升空盗取月亮。在向坏蛋银行贷款的过程中，格鲁盗取的收缩射线枪被新贼维克托 抢走。为了夺回收缩射线枪，格鲁决定领养三位孤儿——玛戈、伊迪丝 和阿格蕾丝，利用她们进入维克托的城堡兜售饼干的机会实施偷盗，计划成功后再偷偷处理掉三个小孩。然而在平凡的日常相处中，格鲁却发现自己越来越离不开这三个小鬼，但这样的感情用事却将严重影响周密的盗月计划……
Despicable Me,20352,movie,hu,HU,Hungarian,Gru,"Az idilli kertvárosi miliőben, a fehér léckerítéses, rózsabokrokkal szegélyezett otthonok között áll egy fekete ház kiszáradt kerttel. A szomszédoknak sejtelmük sincs arról, hogy a ház alatt hatalmas, titkos búvóhely terül el. Fáradhatatlan, apró szolgáinak hadától körülvéve itt tervezi Gru a világtörténelem legnagyobb rablását. El fogja lopni a Holdat. Igen, a Holdat! Gru örömét leli mindenben, ami gonosz. Arzenáljában van zsugorsugár, fagyasztósugár, valamint földi és légi harci járművek, és leigáz mindenkit, aki az útjába áll. Mígnem egy nap szembe találja magát három árva kislány elképesztő akaraterejével, akik olyasmit látnak benne, amit eddig senki más: a potenciális apukát. A világ egyik legnagyobb gonosztevője most összeakad élete legnagyobb kihívásával: három kislánnyal, akiknek neve Margo, Edith és Agnes."
