titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Indiana Jones and the Last Crusade,89,movie,en,US,English,,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!"
Indiana Jones and the Last Crusade,89,movie,de,DE,German,Indiana Jones und der letzte Kreuzzug,"Wir schreiben das Jahr 1938: Doktor Jones wird vom Mäzen eines Museums beauftragt, den Heiligen Gral und somit die wichtigste Reliquie der Christenheit zu finden. Jones' Einwand, es würde der falsche Jones gefragt werden, denn der eigentliche Experte sei sein Vater Henry, fördert nur die Erkenntnis zu Tage, dass Jones senior bereits die Spur aufgenommen hatte, mittlerweile aber verschwunden ist. Nun ist des Doktors Jagdinstinkt geweckt. Besorgt um das Wohlergehen des Vaters und mit dem Museumskurator Marcus Brody im Gepäck tritt Jones eine Reise in die alte Welt an, um das zustande zu bringen, was die mittelalterlichen Kreuzzüge nicht geschafft hatten: den Kelch zu finden, der beim letzten Abendmahl gereicht worden war und das Blut Jesu am Kreuz aufgefangen hatte. Erwartungsgemäß ist aber nicht nur der Doktor auf der Suche - auch die Schergen Hitlers wollen sich die Sagen umwobenen Kräfte des Kelches sichern, verheißt er doch das ewige Leben…"
Indiana Jones and the Last Crusade,89,movie,it,IT,Italian,Indiana Jones e l'ultima crociata,"Nel 1938, Indiana Jones, celebre archeologo, apprende che suo padre, Henry, anch'egli archeologo, è stato rapito perchè prossimo, con i suoi studi, ad individuare il luogo dove è custodito il Santo Graal, il calice in cui, secondo la leggenda, Gesù Cristo bevve nell'Ultima Cena."
Indiana Jones and the Last Crusade,89,movie,ru,RU,Russian,Индиана Джонс и последний крестовый поход,"Третья часть невероятных похождений прославленного археолога и искателя приключений Индианы Джонса. На этот раз бесстрашный Индиана разыскивает самую таинственную реликвию в истории человечества - Святой Грааль. В этом археологу помогает его отец - профессор Джонс старший.Теперь под бдительным оком своего отца и при помощи своих верных талисманов, неизменной шляпы и хлыста, Индиане предстоит совершить много благородных подвигов и потрясающих открытий."
Indiana Jones and the Last Crusade,89,movie,sk,SK,Slovak,Indiana Jones a posledná krížová výprava,"Rok 1938. Indiana Jones si už po tretí raz nasadzuje svoj pokrkvaný klobúk, ale tentoraz sa k nemu pridáva aj jeho svojrázny otec. Obaja Jonesovci sa vydávajú hľadať tajuplný „Svätý grál“. Len o vlások sa im darí v nebezpečných naháňačkách unikať pred zákernými nepriateľmi."
Indiana Jones and the Last Crusade,89,movie,fr,FR,French,Indiana Jones et la dernière croisade,"Indiana Jones se lance cette fois‐ci à la recherche du Saint Graal, accompagné de l'éminent et très maladroit Dr Henry Jones, son père. Malheureusement, ils ne sont pas les seuls lancés sur la trace du trésor, les nazis le convoitent également."
Indiana Jones and the Last Crusade,89,movie,cs,CZ,Czech,Indiana Jones a Poslední křížová výprava,"Rok 1938, Priceton/Venice the Holy Land. Indiana Jones si už potřetí nasazuje svůj pomačkaný klobouk, jenomže tentokrát se k němu v tomto napínavém filmu přidává i jeho tatínek. Oba Jonesové se vydávají hledat tajuplný ""Svatý grál"". Jen o vlásek se jim daří v nebezpečných honičkách unikat před záludnými nepřáteli."
Indiana Jones and the Last Crusade,89,movie,fi,FI,Finnish,Indiana Jones ja viimeinen ristiretki,"Indiana Jones lähtee etsimään isäänsä, joka on kadonnut tutkiessaan Graalin maljaa. Pian selviää, että Graalin maljaa metsästävät myös maailmanherruuteen tähtäävät natsit ja että he ovat kaapanneet Indyn isän, joka on Graal-tutkimuksen ykkösasiantuntija. Alkaa vauhdikas ja huikean jännittävä kilpajuoksu aikaa vastaan."
Indiana Jones and the Last Crusade,89,movie,pt,PT,Portuguese,Indiana Jones e a Grande Cruzada,"Quando o seu pai, o professor Henry Jones, é raptado por nazis, o arqueólogo Indiana Jones embarca na perigosa missão de tentar encontrar o lendário Santo Graal, o cálice que Jesus teria usado na Última Ceia."
Indiana Jones and the Last Crusade,89,movie,es,ES,Spanish,Indiana Jones y la última cruzada,"En 1938, dos años después de encontrar el Arca de la Alianza, Indiana Jones es convencido por un millonario para que lo ayude a encontrar el Santo Grial antes de que caiga en manos del ejército nazi. Sin embargo, el verdadero motivo para involucrarse es encontrar a su padre, el doctor Henry Jones, con quien ha mantenido una fría relación desde su juventud y que ha desaparecido mientras seguía la pista del tesoro bíblico."
