titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Mission: Impossible - Ghost Protocol,56292,movie,en,US,English,,"Ethan Hunt and his team are racing against time to track down a dangerous terrorist named Hendricks, who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster."
Mission: Impossible - Ghost Protocol,56292,movie,de,DE,German,Mission: Impossible - Phantom Protokoll,"Bei einem Einsatz des IMF im Kreml kommt es zu einem folgenschweren Zwischenfall: IMF-Anführer Ethan Hunt wird Zeuge eines verheerenden Bombenattentats, das der IMF in die Schuhe geschoben wird. Die Regierung verleugnet die Elite-Abteilung und initiiert das Phantom-Protokoll, ihr einziger Kontakt zur Kommandostruktur wird ermordet. Mit seinen Leuten geht Ethan in den Untergrund, um auf eigene Faust den Drahtzieher zu stellen. Die Spur führt nach Dubai, wo sie dem undurchschaubaren Hendricks auf die Schliche kommen."
Mission: Impossible - Ghost Protocol,56292,movie,it,IT,Italian,Mission: Impossible - Protocollo fantasma,"Implicati loro malgrado in un gravissimo attentato terroristico al Cremlino l'agente Ethan Hunt e i suoi collaboratori sono messi al bando dal governo americano. Il Presidente lancia l'operazione ""Protocollo Fantasma"". Hunt e i suoi ufficialmente non agiscono più per conto degli Usa ma tocca a loro, senza alcuna copertura, cercare di fermare chi sta cercando di scatenare una guerra nucleare contando sulla mai sopita diffidenza tra russi e yankee."
Mission: Impossible - Ghost Protocol,56292,movie,tr,TR,Turkish,,"Serinin 4. filmi Hayalet Protokol'da, Ethan Hunt'ın maceraları kaldığı yerden devam ediyor. Kremlin Sarayı havaya uçurulmuş ve Rusya \""Hayalet Protokolü'nü\"" etkinleştirmiştir. Olayın sorumluluğu birileri tarafından Hunt ve ekibine mal edilmiş bu işten sorumlu tutulmaktadır. Hunt, amirinden de yardım alarak işin arkasında olanları ortaya çıkarmak için özel bir ekip kurar. Aynı zamanda hayatta kalabilmek için amansız bir mücadele içerisine girecektir."
Mission: Impossible - Ghost Protocol,56292,movie,pt,PT,Portuguese,Missão - Impossível - Operação Fantasma,"Acusado do atentado terrorista ao Kremlin, o operacional do FMI Ethan Hunt é renegado bem como o resto da agência, quando o Presidente inicia a “Operação Fantasma"". Sem recursos ou apoios, Ethan terá de encontrar uma forma de limpar o nome da agência e prevenir outro ataque. Para piorar a situação, Ethan é obrigado a embarcar nesta missão com uma equipa de colegas fugitivos do FMI, cujos motivos pessoais ele não conhece."
Mission: Impossible - Ghost Protocol,56292,movie,fr,FR,French,Mission : Impossible - Protocole Fantôme,"Après avoir été impliquée dans un complot terroriste mondial, l’agence Mission Impossible est contrainte de cesser ses activités. Le « Protocole Fantôme » est mis en place : Ethan Hunt et sa nouvelle équipe doivent opérer dans le secret pour blanchir le nom de leur organisation. Aucune aide, aucun contact, isolation totale. Cette mission va s'avérer être la plus dangereuse et la plus intense qu'ils aient eu à remplir."
Mission: Impossible - Ghost Protocol,56292,movie,sv,SE,Swedish,,"När Ethan Hunt och IMF beskylls för att ha bombat Kreml klipper den amerikanska staten plötsligt alla band till organisationen, något presidenten kallar ""Ghost Protocol"". Utan resurser eller manskap måste Ethan hitta ett sätt att rentvå hans organisations namn och dessutom förebygga ännu en terrorattack. För att komplicera saken ytterligare måste han genomföra uppdraget tillsammans med ett team bestående av andra sparkade IMF-agenter, med personliga motiv som han inte är helt klar över."
Mission: Impossible - Ghost Protocol,56292,movie,ru,RU,Russian,Миссия невыполнима: Протокол Фантом,"Специальный агент отряда «Миссия невыполнима» Итан Хант и его коллеги несправедливо обвинены в причастности к взрыву Кремля. Президент инициирует «Протокол Фантом», в результате которого спецподразделение ликвидировано, и Итан остается без какой-либо поддержки. Он намерен очистить свое доброе имя и предотвратить новую атаку, но делать это ему придется вместе с командой коллег, истинных мотивов которых он до конца не знает."
Mission: Impossible - Ghost Protocol,56292,movie,es,ES,Spanish,Misión imposible: Protocolo fantasma,"El agente Ethan Hunt, acusado de un atentado terrorista con bombas contra el Kremlin, es desautorizado junto con toda la organización, al poner en marcha el presidente el llamado 'Protocolo fantasma'. Abandonado a su suerte y sin recursos, el objetivo de Ethan es rehabilitar el buen nombre de su agencia e impedir un nuevo ataque. Pero emprende esta misión con un equipo formado por fugitivos, cuyos motivos personales no conoce bien."
Mission: Impossible - Ghost Protocol,56292,movie,pl,PL,Polish,,"Oskarżony o terrorystyczny zamach bombowy na Kreml, agent IMF Ethan Hunt wraz z resztą zespołu zostaje zwolniony z obowiązków w chwili, kiedy prezydent wdraża ""Ghost Protocol"". Pozostawiony bez środków i wsparcia, Ethan musi znaleźć sposób na oczyszczenie dobrego imienia agencji oraz uniemożliwienie kolejnego ataku. Sprawę komplikuje fakt, iż Ethan zostaje zmuszony do podjęcia się misji wraz z zespołem byłych agentów IMF, których osobistych motywów do końca nie poznał."
Mission: Impossible - Ghost Protocol,56292,movie,hu,HU,Hungarian,Mission: Impossible 4. - Fantom protokoll,"Ez nem csak egy újabb küldetés. Az Impossible Mission Force-ot leállítják, amikor felmerül a gyanú, hogy közük van egy globális terrorista összeesküvéshez. Beindul a Fantom Protokoll, és Ethan Huntnak és új csapatának be kell épülnie, hogy tisztára mossák a szervezet nevét. Nincs segítség, nincsenek összekötők, fű alatt kell akcióba lépniük. Ennél durvább és ennél intenzívebb küldetést még senki sem látott."
Mission: Impossible - Ghost Protocol,56292,movie,zh,CN,Mandarin,碟中谍4：幽灵协议,特工汉纳威执行任务时遇害，核机密文件被女杀手莫洛（蕾雅·赛杜 Léa Seydoux 饰）截获。为了找回文件，特工班吉（西蒙·佩吉 Simon Pegg 饰）和特工简（宝拉·巴顿 Paula Patton 饰）从俄罗斯监狱救出了伊桑·亨特（汤姆·克鲁斯 Tom Cruise 饰）。他们接受的幽灵协议任务便是从克林姆林宫盗取核军事密码。然而，当他们接近目标时，却发现被恐怖分子亨德里克斯（迈克尔·恩奎斯特 Michael Nyqvist 饰）捷足先登，抢走了核军事密码。在爆炸中，亨特受困医院，遭俄特工的追捕，幸好他身手矫捷，才化险为夷。不过，亨特的上司也在混乱中丧生，只剩下其助手布兰德（杰瑞米·雷纳 Jeremy Renner 饰）与亨特死里逃生，加上班吉和简，逼上绝境的四人开始了最后一搏，从迪拜到印度，他们出生入死，与恐怖分子斗智斗勇……
Mission: Impossible - Ghost Protocol,56292,movie,da,DK,Danish,,"En kuffert med koderne til det russiske atomvåbenarsenal bliver stjålet af terrorister, og i forsøget på at finde den bliver den hemmelige agent Ethan Hunt fanget i en eksplosion på Den Røde Plads i Moskva. Nu truer en gigantisk skandale, og den amerikanske præsident iværksætter operation Ghost Protocol, der går ud på at opløse Ethans hold af hemmelige agenter. Nu må Ethan sammen med en håndfuld trofaste medarbejdere forsøge at rense sit navn - og redde verden fra atomar ødelæggelse!"
Mission: Impossible - Ghost Protocol,56292,movie,nl,NL,Dutch,,"Geheim agent Ethan Hunt en zijn teamleden worden opgeroepen door de president om terecht te staan voor een fatale explosie die is ontstaan in het Kremlin gebouw in Moskou, waar zij bezig waren met een top geheime missie."
Mission: Impossible - Ghost Protocol,56292,movie,bg,BG,Bulgarian,Мисията невъзможна: Режим Фантом,"Тайната служба IMF е закрита, тъй като е въвлечена в международен заговор за терористична бомбена атака над Кремъл. Президентът на САЩ обявява началото на режим „Фантом”. Ако приеме мисията, Итън Хънт и неговият нов екип ще трябва да премине под дълбоко прикритие, за да изчисти името на организацията.  Не могат да очакват помощ, не могат да осъществяват контакт с никого и трябва да излязат напълно от шпионската мрежа. Ако някой от тях бъде заловен, ще бъде обявен за терорист. Никой от тях до сега не е участвал в толкова сложна и напрегната мисия."
Mission: Impossible - Ghost Protocol,56292,movie,cs,CZ,Czech,Mission: Impossible - Ghost Protocol,"Špionážní agentura IMF má obrovský problém. Právě když její eso, Ethan Hunt, provádělo tajnou operaci v Moskvě, spáchal kdosi úspěšný bombový útok na Kreml. Ruští představitelé jsou rozezlení na nejvyšší míru a mluví dokonce o válečném aktu. A protože se všechny nitky sbíhají právě u IMF, americký prezident dá pro jistotu od agentury oficiálně ruce pryč vyhlášením „Ghost Protocolu“, čímž ji odřízne od zdrojů, zázemí, podpory a z jejích členů udělá lidi na odstřel. To rozhodně není přehánění, krátce po tomto byrokratickém úderu umírá násilnou smrtí její oficiální šéf. Ethan Hunt se proto pokusí o nemožné. Společně s trojicí věrných a odhodlaných kolegů se pokusí najít pachatele útoku a smýt tak ze sebe veškerou vinu. Jak bylo řečeno už v úvodu, tahle mise bude skutečně nesplnitelná."
Mission: Impossible - Ghost Protocol,56292,movie,ko,KR,Korean,미션 임파서블: 고스트 프로토콜,"러시아 크렘린 궁 폭발 테러 사건에 연루되며 사상 초유의 존립 위기를 맞게 된 IMF. 국가적 분쟁을 피하기 위해 미 정부는 IMF 조직에 대해 고스트 프로토콜을 발동하고, 조직의 과거도 정체도 모두 지워버린다. 순식간에 국제 테러리스트가 되어 버린 특수 비밀요원 이단 헌트는 자신과 조직의 명예를 되찾기 위해 지상 최대의 불가능한 미션을 다시 시작한다. 누구도 좀처럼 믿지 않는 그이지만, 이번만큼은 현재 의지할 수 있는 유일한 동료 세 명과 함께 새로운 팀을 이뤄 임무에 나선다. 그들의 임무는 소련과 미국을 이간질해 핵전쟁을 일으키려는 매드사이언티스트를 막는 것인데..."
Mission: Impossible - Ghost Protocol,56292,movie,fi,FI,Finnish,,"Presidentti panee vireille ""Ghost Protocolin"" ja Kremlin terroripommituksesta syytetyn IMF-agentin Ethan Huntin osaston toiminta lopetetaan. Ilman taustatukea tai apuvälineitä Ethanin täytyy puhdistaa osastonsa nimi ja estää uusi terrori-isku. Ethan joutuu suoriutumaan tehtävästä yhdessä IMF:stä eronneiden agenttien kanssa tietämättä täysin ryhmän motiiveja."
Mission: Impossible - Ghost Protocol,56292,movie,sk,SK,Slovak,Mission: Impossible 4,"Práve keď eso IMF, Ethan Hunt, vykonával tajnú operáciu v Moskve, spáchal ktosi úspešný bombový útok na Kremeľ. Ruskí predstavitelia sú nahnevaní a hovoria dokonca o vojnovom akte. A pretože sa všetky nitky zbiehajú práve v IMF, americký prezident dá pre istotu od agentúry oficiálne ruky preč vyhlásením „Ghost Protocol“, čím ju odreže od zdrojov, zázemia, podpory a z jej členov urobí ľudí na odstrel. Ethan Hunt sa preto pokúsi o nemožné..."
Mission: Impossible - Ghost Protocol,56292,movie,no,NO,Norwegian,,"De har ingen plan, ingen oppbakking og ikke noe valg. Agent Ethan Hunt og elitestyrken hans tvinges til å gå under jorden når IMF får skylden for et terrorangrep i Kreml. Mens de kjemper for å renvaske byråets navn, oppdager de at noen ønsker å starte en atomkrig. For å redde verden må de bruke avanserte triks og høyteknologisk utstyr. Aldri før har de fått et oppdrag som har vært så avgjørende, så farlig og så umulig."
Mission: Impossible - Ghost Protocol,56292,movie,he,IL,Hebrew,משימה בלתי אפשרית 4: קוד הצללים,"סוכן ה-איי-אם-אף, איתן האנט, מואשם בהתקפת הטרור של הקרמלין, ויחד עם שאר חברי הסוכנות, נאלצים להתמודד עם הכרזת הנשיא על ״קוד הצללים״. ללא משאבים וגיבוי ממשלתי, הסוכן איתן האנט חייב למצוא דרך לטהר את שם הסוכנות ולמנוע התקפה נוספת. על מנת לסבך את העניינים אף יותר, איתן נדרש לצאת למשימה עם צוות של סוכנים מבוקשים של ה-איי-אם-אף אשר מניעיהם האישיים לא לגמרי ברורים לו."
Mission: Impossible - Ghost Protocol,56292,movie,vi,VN,Vietnamese,Nhiệm Vụ: Bất Khả Thi - Chiến Dịch Bóng Ma,"Mới đó mà đã 15 năm trôi qua kể từ ngày Mission: Impossible lần đầu tiên công chiếu. Thành công về mặt thương mại (457,6 triệu $ ~ 9.618,8 tỉ đồng trên toàn cầu), với nhiều kỷ lục doanh thu được xác lập vào thời điểm bấy giờ đã tạo nên hiệu ứng đặc biệt cho Nhiệm vụ bất khả thi. Ngày nay, bản nhạc nền của bộ phim nổi tiếng tới mức, người ta còn sử dụng trong rất nhiều lĩnh vực khác nhau. Phần 2, phần 3 rồi phần 4 ra đời, thiết nghĩ cũng là điều dễ hiểu.  Vào năm 1996, đạo diễn Brian De Palma đã tạo nên một phong cách đầy bí ẩn, bất ngờ và rất khó đoán trước trong Mission: Impossible. Bước sang phần 2, đạo diễn Ngô Vũ Sâm lại tạo dấu ấn riêng bằng việc kết hợp những màn đấu súng sử dụng ..."
Mission: Impossible - Ghost Protocol,56292,movie,sr,RS,Serbian,Немогућа мисија: протокол Дух,"Пошто је СНМ-ов оперативац Итан Хант окривљен за терористичко бомбардовање Кремља, председник ће покренути ""протокол Дух"" и порећи било какву повезаност с њим и остатком агенције. Остављен без средстава и подршке, Итан ће морати да пронађе начин да скине љагу с имена агенције и спречи поновни напад. Ствари се додатно компликују кад Итана натерају да на ову мисију крене с тимом СНМ-ових колега бегунаца чије личне мотиве не зна у потпуности."
Mission: Impossible - Ghost Protocol,56292,movie,ja,JP,Japanese,ミッション：インポッシブル／ゴースト・プロトコル,ロシア・クレムリン爆破事件の犯行容疑がかけられたイーサン・ハント。アメリカ大統領は政府の関与への疑いを避けるべく、ゴースト・プロトコルを発令。イーサンと仲間は組織から登録を消されるも、新たなミッションを言い渡される。真犯人への接近を図るイーサンは、世界一の高層ビル、ブルジュ・ハリファの高層階へ外部からの侵入にチャレンジする。
Mission: Impossible - Ghost Protocol,56292,movie,th,TH,Thai,มิชชั่น: อิมพอสซิเบิ้ล ปฏิบัติการไร้เงา,อีธาน ฮันท์ ยอดจารชนมือพระกาฬและลูกทีมกลับมาปฏิบัติภารกิจเสี่ยงตายเพื่อพิสูจน์ความบริสุทธิ์ หลังจากถูกใส่ร้ายว่าก่อเหตุวางระเบิดในเครมลิน
