titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Pulp Fiction,680,movie,en,US,English,,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time."
Pulp Fiction,680,movie,fr,FR,French,,"L’odyssée sanglante et burlesque de petits malfrats dans la jungle d’Hollywood : Deux petits tueurs, un dangereux gangster marié à une camée, un boxeur roublard, des prêteurs sur gages sadiques, un caïd élégant et dévoué, un dealer bon mari et deux tourtereaux à la gâchette facile."
Pulp Fiction,680,movie,es,ES,Spanish,,"Jules y Vincent, dos asesinos a sueldo con muy pocas luces, trabajan para Marsellus Wallace. Vincent le confiesa a Jules que Marsellus le ha pedido que cuide de Mia, su mujer. Jules le recomienda prudencia porque es muy peligroso sobrepasarse con la novia del jefe. Cuando llega la hora de trabajar, ambos deben ponerse manos a la obra. Su misión: recuperar un misterioso maletín."
Pulp Fiction,680,movie,ru,RU,Russian,Криминальное чтиво,"Двое бандитов Винсент Вега и Джулс Винфилд ведут философские беседы в перерывах между разборками и решением проблем с должниками криминального босса Марселласа Уоллеса. В первой истории Винсент проводит незабываемый вечер с женой Марселласа Мией. Во второй Марселлас покупает боксёра Бутча Кулиджа, чтобы тот сдал бой. В третьей истории Винсент и Джулс по нелепой случайности попадают в неприятности."
Pulp Fiction,680,movie,de,DE,German,,"Vincent Vega und Jules Winnfield holen für ihren Boss Marsellus Wallace eine schwarze Aktentasche aus einer Wohnung ab. Drei Jungs, die ihnen dabei im Weg stehen, lassen ihr Leben. Die Killer machen sich mit einem vierten Jungen als Geisel auf den Weg ins Hauptquartier. Doch als das Auto über eine Straßenerhöhung schaukelt, erschießt Vincent aus Versehen die Geisel. Um den blutverspritzten Wagen zu reinigen, machen die beiden einen Abstecher zu Jules's Freund Jimmie, wo auf Befehl vom Boss ein Spezialist für schwierige Aufträge zu ihnen stößt: The Wolf..."
Pulp Fiction,680,movie,it,IT,Italian,,"Le vite di due gangster, di un pugile e della moglie di un potente boss della malavita finiscono per intrecciarsi in una paradossale storia di violenza, vendetta e redenzione."
Pulp Fiction,680,movie,hu,HU,Hungarian,Ponyvaregény,"Adott két idősödő, szabad szájú, tökös, szimpatikus gengszter, Vincent és Jules, akik igyekeznek főnöküknek visszaszerezni egy aktatáskát. Ehhez persze meg kell ölniük pár embert, de ez az egyszerű bérgyilkosokkal gyakran megesik. Jules a rá célzott golyókat csodával határos módon elkerüli, s ezt jelnek tekintvén úgy dönt, felhagy eddigi életével. Társának viszont el kell vinnie szórakozni a gengszterfőnök feleségét... Van továbbá egy boxoló, Butch, aki a hírhedt marffiafőnök, Marselleus Wallace átvágását tervezi. Hogy-hogy nem, odáig fajul a történet, hogy végül már inkább a megmentésére készül, mint a lelövésére... Nem utolsósorban, pedig, van egy piti rabló-párosunk is, akik éppen egy étterem kirablására készülnek. Ám ott reggelizik Vincent és Jules."
Pulp Fiction,680,movie,cs,CZ,Czech,Pulp Fiction: Historky z podsvětí,"Děj Pulp Fiction tvoří několik příběhů z losangeleského gangsterského prostředí, které se v několika scénách spojují a prolínají. Jejich společným prvkem jsou postavy Marsella Wallace, Vincenta Vegy a Miy Wallacové, což jsou jediné tři postavy, které se vyskytují ve všech povídkách. Příběhy jsou plné bizarních dějových zvratů, narážek na klasické béčkové filmy i postmoderních prvků."
Pulp Fiction,680,movie,sv,SE,Swedish,,"Jules Winnfield och Vincent Vega är två torpeder som är på jakt efter en resväska som stulits från deras arbetsgivare, maffialedaren Marsellus Wallace. Butch Coolidge är en åldrande boxare som får betalt av Wallace för att förlora nästa match. Dessa människor har till synes inget samband, men deras liv vävs samma i en serie roliga, bisarra och omotiverade incidenter."
Pulp Fiction,680,movie,zh,CN,Mandarin,低俗小说,《低俗小说》由“文森特和马沙的妻子”、“金表”、“邦妮的处境”三个故事以及影片首尾的序幕和尾声五个部分组成。看似独立的小故事里面，却又有环环相扣的人和事。盗贼“小南瓜”和“小兔子”在早餐店里打劫，却遇上了天大的麻烦——黑社会成员朱尔斯（塞缪尔•杰克逊Samuel L. Jackson饰）和文森特（约翰•特拉沃尔塔John Travolta饰）在店内用餐，可谓天外有天。二人是否会放过两名小盗贼？而文森特是黑社会大哥马沙•华莱士（文•瑞姆斯Ving Rhames饰）的手下，马沙下命令让他陪妻子一个晚上，明知如有雷池必死无疑，但面对马沙妻子美艳诱惑，文森特该怎么办?
Pulp Fiction,680,movie,tr,TR,Turkish,Ucuz Roman,"Jules Winnfield ve Vincent Vega, mafya babası patronları Marsellus Wallace’tan çalınan bir çantayı geri almaya giden iki profesyonel tetikçidir. Wallace aynı zamanda Vincent’a, kendisi birkaç gün sonra şehir dışındayken karısını dışarı çıkarmasını söyler. Butch Coolidge, bir sonraki maçını kaybetmesi için Wallace’tan para alan yaşlı bir boksördür. Honey Bunny ve Pumpkin, yer değişikliğine ihtiyaçları olduğuna karar veren soyguncu bir çifttir. Görünüşte birbirleriyle alakası olmayan bu insanların hayatları, hem heyecanlı hem de eğlendirici bir sinema filmi macerasında nefes kesici bir şekilde birleşecektir."
Pulp Fiction,680,movie,nl,NL,Dutch,,"Jules en Vincent werken voor de machtige misdadiger Marsellus Wallace. Vincent komt in de problemen als hij Mia, de vrouw van Wallace, een avondje gezelschap moet houden. Ondertussen is Wallace verwikkeld in een deal met de bokser Butch, die Wallace belazert en er met z'n geld vandoor gaat."
Pulp Fiction,680,movie,pt,PT,Portuguese,,"Pulp Fiction retrata três histórias interligadas que seguem as desventuras de dois assassinos baratos, da insinuante mulher do seu patrão e de um desesperado boxeur em fuga."
Pulp Fiction,680,movie,fi,FI,Finnish,Pulp Fiction: Tarinoita väkivallasta,"Jules Winnfield ja Vincent Vega ovat palkkamurhaajia, jotka ovat hakemassa työnantajaltaan, mafiapomo Marsellus Wallacelta varastettua salkkua. Butch Coolidge on ikääntyvä nyrkkeilijä, jolle Wallace maksaa seuraavan ottelun häviämisestä. Näiden ilmeisesti toisiinsa liittymättömien ihmisten elämät punoutuvat yhteen muodostaen sarjan hauskoja, outoja ja aiheettomia tapahtumia."
Pulp Fiction,680,movie,no,NO,Norwegian,,"Pulp fiction er en brutal, svart komedie fra Los Angeles. Tre fortellinger veves inn i hverandre, skjebner krysses - ofte med voldsomme konsekvenser. Vi møter John Travolta som den permanente narkopåtente Vincent som sammen ned Jules (Samuel L. Jackson) er gangsteren Marsellus' håndlanger. Bruce Willis er bokseren Butch, som lar seg bestikke av samme Marcellus til å gå på et tap i femte runde, men ender med å bokse son motstander i hjel. På en småbar samme dag sitter det småkriminelle paret Pumpkin (Tim Roth) og Honey Bunny (Amanda Plummer). De er begge lei av å rane spritbutikker og vil heller trekke våpen og robbe baren og klientellet. Men blant gjestene befinner seg forannevnte Vincent og Jules..."
