titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
From Russia with Love,657,movie,en,US,English,,"Agent 007 is back in the second installment of the James Bond series, this time battling a secret crime organization known as SPECTRE. Russians Rosa Klebb and Kronsteen are out to snatch a decoding device known as the Lektor, using the ravishing Tatiana to lure Bond into helping them. Bond willingly travels to meet Tatiana in Istanbul, where he must rely on his wits to escape with his life in a series of deadly encounters with the enemy."
From Russia with Love,657,movie,de,DE,German,James Bond 007 - Liebesgrüße aus Moskau,James Bond soll in Istanbul eine russische Dechiffriermaschine von einer übergelaufenen Agentin erhalten. Das verlockende Angebot entpuppt sich jedoch als tödliche Falle.
From Russia with Love,657,movie,it,IT,Italian,"A 007, dalla Russia con amore","James Bond viene inviato ad Istanbul dal servizio inglese per sottrarre ai russi il 'lector', un decifratore universale che è ambito anche dalla Spectre, una setta che intende dominare il mondo. Contemporaneamente una segretaria dell'ambasciata russa, Tatiana, viene invata sulle tracce di Bond. Questa però si innamora dell'agente e lo aiuta."
From Russia with Love,657,movie,sv,SE,Swedish,Agent 007 ser rött,"Det ondskefulla SPECTRE planerar att stjäla en dekoder som ska hjälpa dem att komma över ryska statshemligheter. James Bond måste få tag på apparaten först, men först är han tvungen att konfrontera Red Grant den hänsynslösa Rosa Klebb - en före detta KGB-agent med giftspetsar på skorna. I vanlig ordning får agent 007 damerna på fall - denna gång en vacker Sovjet-desertör som försöker lura honom in i en dödlig fälla."
From Russia with Love,657,movie,ru,RU,Russian,007: Из России с любовью,"Джеймс Бонд (Шон Коннери) отправляется в Стамбул с заданием получить сверхсекретный Дешифровальный Аппарат «Лектор», который якобы готова помочь похитить Татьяна Романова (Даниэла Бьянки), сотрудница советского консульства. На самом деле события идут по плану, разработанному по поручению незримого Эрнста Ставро Блофелда (Энтони Доусон) — № 1 международной террористической организации СПЕКТР, надеющегося отомстить за гибель Доктора Но и внести свою лепту в разжигание «холодной войны»."
From Russia with Love,657,movie,fr,FR,French,Bons baisers de Russie,"Venise, Kronsteen, grand champion d'échecs et membre du Spectre, a été chargé par Blofeld de rallumer la guerre froide entre l'Est et l'Ouest. Avec l'aide de Rosa Klebb, ex-chef des services secrets soviétiques, il a mis au point une stratégie qui passe par Istanbul et le vol du nouveau lecteur de déchiffrement soviétique. Persuadé que les britanniques vont mordre à l'hameçon qu'il leur tend et qu'ils vont envoyer sur place James Bond, il charge Klebb de recruter une jeune femme au sein du consulat russe, dont le rôle sera de séduire Bond, de l'aider à s'emparer du lecteur et de le livrer à un redoutable tueur, Red Grant. La première partie du plan de Kronsteen se déroule sans anicroche. Bond arrive à Istanbul et y rencontre Kerim Bey qui dirige les services de renseignements britanniques en Turquie. Il apprend ainsi que Tatiana Romanova est prête à passer à l'Ouest en leur donnant le lecteur."
From Russia with Love,657,movie,tr,TR,Turkish,Rusya'dan Sevgilerle,"1957’de yayımlanan Ian Fleming’in beşinci James Bond romanından aynı isimle uyarlanan “From Russia with Love” serinin ikinci filmidir. Bu filmle Sean Connery ikinci kez Bond’u oynar.Sovyet İstihbarat Ordusunda görevli onbaşı Tatiana Romanova, İstanbul Büyükelçiliğinde katip olarak gönderilmiştir. Romanova ülkesi için her türlü fedakarlığı yapmaya hazırdır. Fakat komutanı Klebb aynı zamanda Spectre hesabına çalışmaktadır ve Spectre Dr. No’nun intikamını almayı planlamaktadır. Klebb'e güvenmeyen Romanova, İstanbul’da Ali Kerim Bey ile irtibat kurarak LEKTOR kodlama makinasını da yanına alıp Sovyetlerden ayrılmak istediğini, planını ancak James Bond yardım ederse gerçekleştirebileceğini söyler. Kadın gizli bir dosyada gördüğü bir resimdeki adama aşık olduğunu iddia etmektedir. M ve Bond bunun bir tuzak olduğuna inanmaktadırlar fakat denemeye değecektir. Bond, Romanova’ya yardım etmek üzere Türkiye’ye gönderilir."
From Russia with Love,657,movie,da,DK,Danish,Agent 007 jages,"Vel vidende at det muligvis er en fælde, indleder James Bond et forhold til den sovjetiske agent Tatiana Romanova i håb om at få fingrene i en meget værdifuld afkodningsenhed, som M16 desperat ønsker. Men både russere og briter er brikker i et udtænkt spil af Spectre-organisationen, der planlægger at få Bond til at stjæle enheden for derefter at lade ham myrde af lejemorderen Red Grant som hævn for Bond's drab på Dr. No."
From Russia with Love,657,movie,hu,HU,Hungarian,Oroszországból szeretettel,"Bondot Isztambulba küldik azzal a megbízással, hogy a szovjet követségről lopjon el egy dekódert. Ezúttal nem a világ a tét. Csupán egy szovjet technikai csoda, egy kódfejtő szerkezet -a Lektor- amely azonban hatalmas veszélyt jelenthet a nagyhatalmakra, ha rossz kezekbe kerül. A Lektort nem csak a Brit Titkosszolgálat szeretné megkaparintani, hanem egy gátlástalan terrorista szervezet, a SPECTRE is."
From Russia with Love,657,movie,es,ES,Spanish,Desde Rusia con amor,"Una máquina que descifra los más complicados sistemas de comunicación es el objetivo del agente británico James Bond, que esta vez tiene que viajar hasta Estambul para desarrollar su misión."
From Russia with Love,657,movie,nl,NL,Dutch,,"James Bond wordt naar Istanbul gestuurd om te proberen om een Russische ontcijferingsmachine in handen te krijgen van een Russische agent. De Russen weten hier niks van en het blijkt een val te zijn van Spectre om Bond te doden, als wraak op de dood van Dr. No."
From Russia with Love,657,movie,fi,FI,Finnish,007: Salainen agentti 007 Istanbulissa,"James Bond saa vastaansa rikollisjärjestö SPECTRE:n etsiessään venäläistä Lektor-dekooderia. Tehtävää suorittaessaan Bondjoutuu helikopterihyökkäykseen, kiihkeään takaa-ajoon vesillä jahengenvaaralliseen taisteluun idän pikajunassa. Jälleen kerran tulee todistetuksi, että salainen agentti 007 on pitelemätön!"
