titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
No Time to Die,370172,movie,en,US,English,,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
No Time to Die,370172,movie,sv,SE,Swedish,,James Bond har lämnat sin tjänst och njuter av ett lugnt liv på Jamaica. Lugnet blir dock kortvarigt då hans gamle vän Felix Leiter från CIA dyker upp och ber om hjälp. Uppdraget att rädda en kidnappad forskare visar sig vara mer förrädiskt än väntat.
No Time to Die,370172,movie,fr,FR,French,Mourir peut attendre,James Bond a quitté les services secrets et coule des jours heureux en Jamaïque. Mais sa tranquillité est de courte durée car son vieil ami Felix Leiter de la CIA débarque pour solliciter son aide : il s'agit de sauver un scientifique qui vient d'être kidnappé. Mais la mission se révèle bien plus dangereuse que prévu et Bond se retrouve aux trousses d'un mystérieux ennemi détenant de redoutables armes technologiques…
No Time to Die,370172,movie,de,DE,German,James Bond 007 - Keine Zeit zu sterben,"James Bond hat seine Lizenz zum Töten im Auftrag des britischen Geheimdienstes abgegeben und genießt seinen Ruhestand in Jamaika. Die friedliche Zeit nimmt ein unerwartetes Ende, als sein alter CIA-Kollege Felix Leiter auftaucht und ihn um Hilfe bittet. Ein bedeutender Wissenschaftler ist entführt worden und muss so schnell wie möglich gefunden werden. Was als simple Rettungsmission beginnt, erreicht bald einen bedrohlichen Wendepunkt, denn Bond kommt einem geheimnisvollen Gegenspieler auf die Spur, der im Besitz einer brandgefährlichen neuen Technologie ist."
No Time to Die,370172,movie,da,DK,Danish,James Bond: No Time to Die,"Agent 007 har trukket sig tilbage og lever det stille liv på Jamaica. Men freden slutter brat, da han bliver opsøgt af CIA-agenten Felix Leiter, der beder om hjælp. Missionen drejer sig om at redde en kidnappet forsker, men viser sig snart at trække tråde til den modbydelige skurk Safin, der har fået fat i et dødbringende biologisk våben - som han har til hensigt at bruge!"
No Time to Die,370172,movie,ru,RU,Russian,007: Не время умирать,"Джеймс Бонд оставил оперативную службу и наслаждается спокойной жизнью на Ямайке. Все меняется, когда на острове появляется его старый друг Феликс Лейтер из ЦРУ с просьбой о помощи. Миссия по спасению похищенного ученого оказывается опаснее, чем предполагалось изначально. Бонд попадает в ловушку таинственного злодея, вооруженного опасным биологическим оружием."
No Time to Die,370172,movie,bg,BG,Bulgarian,007: Смъртта може да почака,"Джеймс Бонд вече не е на активна служба и се наслаждава на спокоен живот в Ямайка. Спокойствието му скоро е нарушено от стария му приятел от ЦРУ Феликс Лайтър, който търси помощта му. Мисията да спасят отвлечен учен се оказва доста по-коварна от очакваното, хвърляйки Бонд по следите на мистериозен злодей, който държи в ръцете си опасна нова технология."
No Time to Die,370172,movie,zh,CN,Mandarin,007：无暇赴死,世界局势波诡云谲，再度出山的邦德（丹尼尔·克雷格 饰）面临有史以来空前的危机，传奇特工007的故事在本片中达到高潮。新老角色集结亮相，蕾雅·赛杜回归，二度饰演邦女郎玛德琳。系列最恐怖反派萨芬（拉米·马雷克 饰）重磅登场，毫不留情地展示了自己狠辣的一面，不仅揭开了玛德琳身上隐藏的秘密，还酝酿着危及数百万人性命的阴谋，幽灵党的身影也似乎再次浮出水面。半路杀出的新00号特工（拉什纳·林奇 饰）与神秘女子（安娜·德·阿玛斯 饰）看似与邦德同阵作战，但其真实目的依然成谜。关乎邦德生死的新仇旧怨接踵而至，暗潮汹涌之下他能否拯救世界？
No Time to Die,370172,movie,ko,KR,Korean,007 노 타임 투 다이,"MI6를 떠난 이후 매들린과 이탈리아의 오랜 도시 마테라에서 평화로운 일상을 즐기던 제임스 본드. 어느 날 CIA 요원 펠릭스가 찾아와 선별적 DNA 공격이 가능한 새로운 형태의 생화학 무기 유출을 알린다. 위험에 처한 전 세계를 구하기 위해 복귀하게 된 제임스 본드는 임무를 수행하는 과정에서 새로운 MI6 요원 노미를 만나고, 모든 사건의 배후에 운명으로 얽혀 있는 최악의 적 사핀이 존재한다는 것을 알아낸다. 위험천만한 위기 속, 감춰져 있던 비밀이 밝혀지면서 작전은 점점 더 예측할 수 없는 상황으로 치닫게 되는데..."
No Time to Die,370172,movie,uk,UA,Ukrainian,007: Не час помирати,"Короткочасний спокій Бонда перериває нове термінове завдання, де ставки знову надто високі. Суперагент кидає виклик найвпливовішим гравцям злочинного світу, проливає світло на хитросплетені інтриги і викриває підступні змови."
