titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Harry Potter and the Half-Blood Prince,767,movie,en,US,English,,"As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again."
Harry Potter and the Half-Blood Prince,767,movie,de,DE,German,Harry Potter und der Halbblutprinz,"Der Zauber der Liebe beherrscht das sechste Schuljahr von Harry und seinen besten Freunden Hermine und Ron. Hormone und ein Liebestrank des neuen Professors Horace Slughorn sorgen für Gefühlsverwirrung, während sich die Anhänger Voldemorts mit Unterstützung von Severus Snape zu Attacken auf die jungen Helden und ihren größten magischen Verbündeten formieren. Als Harry und Professor Dumbledore das Geheimnis für Voldemorts ewiges Leben entdecken, hat der dunkle Lord bereits den Tod nach Hogwarts entsandt."
Harry Potter and the Half-Blood Prince,767,movie,it,IT,Italian,Harry Potter e il principe mezzosangue,"Tempi oscuri minacciano il mondo dei maghi e quello dei babbani. Dopo il ritorno di Voldemort e la tragica morte di Sirius Black, Harry trova conforto, guida e consolazione in Silente, che lo conduce ad Hogwarts e lo invita alla condivisione dei suoi ricordi. Albus filtra per Harry l'infanzia di Tom Ridlle in cerca di un indizio che possa aiutarli a distruggerlo. La chiave della loro indagine è però custodita e mai rivelata nella memoria di Horace Lumacorno, professore in pensione di Pozioni. L'allettante possibilità di insegnare all'Eletto, lo conduce di nuovo in cattedra e lo persuade a rivelare il segreto dell'Oscuro Signore: l'anima di Voldemort, straziata in sette parti dall'orrore compiuto, è conservata e protetta in altrettanti oggetti. Silente e Potter lasciano Hogwarts alla ricerca del medaglione che custodisce un frammento dello spirito del Serpeverde. Nei corridoi della scuola intanto un altro Eletto, Draco Malfoy, è determinato a lasciare un segno nella storia."
Harry Potter and the Half-Blood Prince,767,movie,nl,NL,Dutch,Harry Potter en de Halfbloed Prins,"Als Harry, Ron en Hermelien aan hun zesde jaar aan Hogwarts beginnen, komt Harry in het bezit van een geheimzinnig volgekladderd toverdrankenboek, dat ooit het eigendom is geweest van de onbekende Half-Blood Prince."
Harry Potter and the Half-Blood Prince,767,movie,hu,HU,Hungarian,Harry Potter és a Félvér herceg,"Roxfort körül egyre szaporodnak az árnyak. Pedig a hatodik osztályba lépő Harry Potter és barátai számára a Boszorkány- és Varázslóképző Szakiskola mindennapjai is bőven elég izgalmat jelentenek nekik: Harry különleges titkokat hordozó bájital tankönyve, Ron barátnője és Hermione szerelme is épp elég titokzatos és ijesztő. De Harrynek egyre több oka van a félelemre. A halálfalók már mindenütt ott vannak, a dementor-támadások szaporodnak, és az iskola fölött megjelenik a Sötét Jegy. Dumbledore abban reménykedik, hogy védence megerősödhet, ha jobban megismeri az ellenfele múltját. De van veszély, amelyre ő sem készülhet fel."
Harry Potter and the Half-Blood Prince,767,movie,sk,SK,Slovak,Harry Potter a Polovičný princ,"Voldemortova sila stále rastie a nad svetmi čarodejníkov aj Muklov získava čoraz väčšiu moc. Rokfort už nie je ani zďaleka taký bezpečný ako predtým. Dumbledore je odhodlaný Harryho pripraviť na neodvratný súboj, ktorý sa blíži závratnou rýchlosťou. Spoločne hľadajú kľúč k nabúraniu Voldemortovej ochrany, k čomu Dumbledore najíma svojho starého priateľa, vplyvného svetáka Horacea Slughorna. Dumbledore sa naňho spolieha, pretože verí, že Slughorn má dôležité informácie, ktoré im pri náročnom súboji môžu byť užitočné.  Akoby toho nebolo málo, študenti sa musia vyrovnať aj s protivníkmi v podobe pubertiackych hormónov zúriacich medzi hradbami."
Harry Potter and the Half-Blood Prince,767,movie,pt,PT,Portuguese,Harry Potter e o Príncipe Misterioso,"O retorno de Lord Voldemort é indesmentível e o novo ministro promete medidas. A caminho do sexto e penúltimo ano de escola, Harry suspeita que o perigo já entrou em Hogwarts e Dumbledore decide treiná-lo para o iminente confronto com o Senhor das Trevas. A busca por uma estratégia de luta intensifica-se, assim como os sentimentos amorosos de Harry pela irmã do seu melhor amigo e de Ron por Hermione."
Harry Potter and the Half-Blood Prince,767,movie,fi,FI,Finnish,Harry Potter ja puoliverinen prinssi,"Kun lordi Voldemort tiukentaa otettaan sekä jästien että velhojen maailmasta, Tylypahka ei ole enää turvallinen paikka. Harry epäilee, että vaaroja piilee linnan sisälläkin, mutta Dumbledore haluaa lähinnä valmistella Harrya viimeiseen taisteluun, joka lähestyy nopeasti. Yhdessä he etsivät ratkaisua Voldemortin suojauskeinoihin, ja siksi Dumbledore värvää vanhan ystävänsä ja kollegansa Horatius Kuhnusarvion, jolla on hallussaan elintärkeää tietoa. Välienselvittelyn häämöttäessä romanssi kukkii Harrylle, Ronille, Hermionelle ja heidän luokkatovereilleen. Rakkautta on ilmassa, mutta vaara vaanii edessä, ja Tylypahka ei ehkä ole enää entisensä."
Harry Potter and the Half-Blood Prince,767,movie,ru,RU,Russian,Гарри Поттер и Принц-полукровка,"Теперь не только мир волшебников, но и мир маглов ощущает на себе всё возрастающую силу Воландеморта, а Хогвартс уже никак не назовёшь надёжным убежищем, каким он был раньше. Гарри подозревает, что в самом замке затаилась опасность, но Дамблдор больше сосредоточен на том, чтобы подготовить его к финальной схватке, которая, уже не за горами. Вместе они пытаются разгадать секрет бессмертия Воландеморта, а для этого Дамблдор приглашает на должность преподавателя по зельеварению своего старинного друга профессора — Горация Слизнорта."
Harry Potter and the Half-Blood Prince,767,movie,fr,FR,French,Harry Potter et le Prince de sang-mêlé,"Voldemort a renforcé son emprise sur le monde des sorciers aussi bien que sur celui des Moldus, et Poudlard n’est plus un endroit sûr. Harry est d’ailleurs persuadé que le danger rôde à l’intérieur même de l’école mais Dumbledore est plus soucieux de le préparer pour la bataille finale qu’il sent approcher à grands pas. Ensemble, ils tentent de trouver le talon d’Achille de Voldemort et, à cette fin, Dumbledore fait appel au Professeur Horace Slughorn, qui détient des informations cruciales."
Harry Potter and the Half-Blood Prince,767,movie,sv,SE,Swedish,Harry Potter och Halvblodsprinsen,"Lord Voldemorts grepp hårdnar om både mugglar- och trollkarlsvärlden. Hogwarts är inte längre den trygga plats det en gång var. Harry misstänker till och med att faran lurar inne på slottet. Samtidigt är Dumbledore fast besluten att förbereda Harry inför den slutgiltiga kampen, som närmar sig med stormsteg. Tillsammans försöker de hitta svagheterna i Voldemorts försvar. Dumbledore tar hjälp av sin gamle vän och kollega Horace Slughorn, som han tror sitter inne med viktig information. Trots att den avgörande kraftmätningen närmar sig spirar romanserna bland våra vänner på Hogwarts. Det är kärlek i luften, men farorna hopar sig och Hogwarts riskerar att aldrig bli sig likt igen."
Harry Potter and the Half-Blood Prince,767,movie,zh,CN,Mandarin,哈利·波特与混血王子,食死徒开始肆无忌惮横行于麻瓜和魔法两个世界中，霍格沃茨内忧外患，危机重重。邓不利多带着哈利辗转找到隐居多年的霍拉斯·斯拉格霍恩，请他出山接替斯内普担任魔药学的老师。霍拉斯曾经教授过无数优秀的学生，而汤姆·里德尔——伏地魔正是他最出色的一名弟子。邓不利多深信霍拉斯保有伏地魔不死身的秘密，他希望哈利能够说服霍拉斯交出秘密。另一方面，德拉科·马尔福宣誓效忠伏地魔，他想方设法将食死徒引入霍格沃茨。而此时，罗恩、赫敏他们却还沉浸在青春的躁动中，全然不知黑暗正渐渐逼近……
