titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Quantum of Solace,10764,movie,en,US,English,,"Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined."
Quantum of Solace,10764,movie,de,DE,German,James Bond 007 - Ein Quantum Trost,"Nach dem Tod von Vesper Lynd versucht James Bond an die Hintermänner des Komplotts gegen Lynd zu kommen. Beim MI6 wird dazu Mr. White verhört, dem durch einen internen Verrat während des Verhörs die Flucht gelingt. Die Spur führt Bond nach Haiti. Dort gelangt er durch die attraktive Camille an den zwielichtigen Dominic Greene, der mit dem Komplott in Verbindung zu stehen scheint. Bond muss fortan nicht nur einmal um sein Leben bangen..."
Quantum of Solace,10764,movie,ru,RU,Russian,007: Квант милосердия,"После предательства Веспер, агент 007 борется с желанием превратить последнее задание в личную вендетту. В поисках истины, Бонд и М допрашивают Мистера Уайта, от которого узнают, что шантажировавшая Веспер Организация намного сложнее и опаснее, чем можно было подумать."
Quantum of Solace,10764,movie,it,IT,Italian,Quantum of Solace,"Tradito da Vesper, la donna che amava, 007 deve combattere l'istinto di trasformare la sua missione in una questione personale. Cercando di scoprire la verità, Bond e M interrogano Mr. White che rivela come l'organizzazione che ricattava Vesper sia molto più complessa e pericolosa di quanto immaginassero. Il lavoro di intelligence collega un agente MI6, che ha tradito l'agenzia, ad un conto bancario a Haiti dove, per uno scambio di persona, Bond conosce la bella e aggressiva Camille, una donna che ha una vendetta personale da portare a termine. Camille accompagna Bond da Dominic Greene, un uomo d'affari senza scrupoli, che è tra i membri principali della misteriosa organizzazione. In una missione che lo porta in Austria, Italia e in Sudamerica, Bond scoprirà che Greene è impegnato in una cospirazione per prendere il controllo di una delle risorse naturali più importanti del mondo, che lo spinge a stringere un patto con il generale in esilio Medrano."
Quantum of Solace,10764,movie,sv,SE,Swedish,,"Sveket av Vesper lämnar Bond driven av en personlig agenda att hitta mannen bakom allt. Tillsammans med M börjar de med Mr. White men ganska snart inser de bägge att allt är mycket större än vad man anat. Än en gång tas Bond över hela världen, denna gång i jakten på Dominic Greene, en miljökämpe med kopplingar till en blivande diktator i Bolivia. Till Bonds hjälp kommer Camille, även hon driven av ett personligt skäl."
Quantum of Solace,10764,movie,sk,SK,Slovak,,"Nekonečná púť za spravodlivosťou a túžbou pomstiť sa tentoraz Jamesa Bonda zvedie dohromady s krásnou a temperamentnou Camille. Tá ho zavedie k Dominicovi Greeneovi, bezcitnému obchodníkovi a hlavnému šéfovi tajomnej organizácie Quantum, ktorá má svojich členov na tých najvyšších miestach, ba dokonca prenikla aj do MI5 a CIA. Keď Bond odhalí sprisahanie, ktorého cieľom je ovládnuť jeden z najdôležitejších prírodných zdrojov - vodu, musí manévrovať v mínovom poli plnom zrady, podvodov a vrážd tak, aby Quantum zastavil skôr, ako bude neskoro..."
Quantum of Solace,10764,movie,fr,FR,French,Quantum of Solace,"Même s’il lutte pour ne pas faire de sa dernière mission une affaire personnelle, James Bond est décidé à traquer ceux qui ont forcé Vesper à le trahir. En interrogeant Mr White, 007 et M apprennent que l’organisation à laquelle il appartient est bien plus complexe et dangereuse que tout ce qu’ils avaient imaginé… Bond croise alors la route de la belle et pugnace Camille, qui cherche à se venger elle aussi. Elle le conduit sur la piste de Dominic Greene, un homme d’affaires impitoyable et un des piliers de la mystérieuse organisation. Au cours d’une mission qui l’entraîne en Autriche, en Italie et en Amérique du Sud, Bond découvre que Greene manœuvre pour prendre le contrôle de l’une des ressources naturelles les plus importantes au monde en utilisant la puissance de l’organisation, et en manipulant la CIA et le gouvernement britannique…"
Quantum of Solace,10764,movie,da,DK,Danish,James Bond: Quantum Of Solace,"Efter Vesper Lynd's død i Venedig er den hemmelige britiske agent James Bond opsat på at finde ud af sandheden bag de tragiske begivenheder. Han fanger derfor mr. White, der er leder af den mystiske organisation, der sandsynligvis står bag. Dette spor sender James Bond videre på jagt efter den skruppelløse forretningsmand Dominic Greene, og undervejs allierer han sig med den smukke Camille, der også har et udestående med Green. Menneskejagten bringer Bond til Østrig, Italien og Sydamerika, og i et minefelt af forræderi, mord og bedrag får han brug for hjælp af gamle allierede."
Quantum of Solace,10764,movie,nl,NL,Dutch,,"Na het verraad van Vesper Lynd moet James Bond moeite doen om zijn gevoelens buiten zijn missie te houden. Samen met M ondervraagt hij Mr White, wiens bekentenissen tot meer inzicht leiden wat betreft de complexe afperspraktijken waar Lynd mee te maken had. Een nieuwe ontdekking brengt Bond naar Haïti, waar hij de even mooie als mysterieuze Camille ontmoet."
Quantum of Solace,10764,movie,fi,FI,Finnish,007: Quantum of Solace,"Daniel Craig tekee kostonhimoisen paluun James Bondina seikkailussa joka jatkaa tarinaa siitä, mihin Casino Royale päättyi.Rakastamansa naisen pettämä 007 taistelee vastaan tarvettaan ottaa tehtävänsä henkilökohtaisesti. Hengästyttävän takaa-ajon oikeuden puolesta viedessä Bondia maailmankolkasta toiseen, hän tapaa kauniin mutta vaikealukuisen Camillen, joka johdattaa Bondin Dominic Greenen - häikäilemättömän liikemiehen ja salaperäisen Quantum -järjestön johtohahmon - jäljille. Kun Bond onnistuu paljastamaan salaliiton, jonka tarkoitus on hallita maailman tärkeimpiä luonnonvaroja, on hänen luovittava murhan, petosten ja juonittelun miinakentällä pysäyttääkseen Greenen ennen kuin on liian myöhäistä."
