titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Die Another Day,36669,movie,en,US,English,,"James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon."
Die Another Day,36669,movie,de,DE,German,James Bond 007 - Stirb an einem anderen Tag,"Auf der Jagd nach dem größenwahnsinnigen Schurken Gustav Graves und seinem gnadenlosen Erfüllungsgehilfen Zao reist Bond in die Höhle des Löwen bis nach Island. In einem fantastischen, vollkommen aus Eis erbauten Palast muss er am eigenen Leib die durchschlagende Wirkung einer neuen Superwaffe kennen lernen. Das Geschehen spitzt sich zu, bis es schließlich, wieder am Ausgangsort Korea angelangt, zu einem explosiven Showdown – und einem unvergesslichen Schlussakt – kommt."
Die Another Day,36669,movie,ru,RU,Russian,"007: Умри, но не сейчас","На этот раз Джеймс Бонд в глубокой конспирации проводит операцию в Северной Корее. Однако его разоблачают, после чего Бонд оказывается за решеткой.Сумев выбраться из плена только через несколько месяцев 007 возвращается к своей привычной жизни, однако вскоре ему вновь приходится вступить в противоборство со своими корейскими «друзьями» — он узнает о плане британского миллиардера Густава Грейвса создать супероружие, и о его взаимодействии на этом поприще с корейскими военными…"
Die Another Day,36669,movie,it,IT,Italian,La morte può attendere,"Tempi duri per James Bond. Catapultato in Corea del Nord per stroncare un traffico di ""conflict diamonds"", viene catturato e appena liberato si vede ritirare la licenza in quanto sospettato di aver rivelato ai carcerieri i nomi dei componenti della propria rete spionistica. Fuggito dalla nave che doveva trasportarlo alle Falkland, l'agente si recherà dapprima a Cuba dove incontrerà l'affascinante statunitense Jinx, poi a Londra dove il misterioso miliardario Gustav Graves sembra tirare le fila del gioco. Di mezzo c'è un satellite capace di concentrare la luce solare, doppi e tripli giochi, un conflitto alle porte tra Corea del Nord e del Sud. Non è difficile immaginare chi l'avrà vinta."
Die Another Day,36669,movie,sv,SE,Swedish,,"Historien har sin början i en zon mellan Nord- och Sydkorea med en spektakulär svävarjakt och fortsätter via Hong Kong till Kuba och London där Bond möter de två kvinnor som ska komma att spela så viktiga, men olika roller i hans strävan att avslöja en förrädare och att förhindra ett krig med katastrofala konsekvenser."
Die Another Day,36669,movie,da,DK,Danish,,"Den britiske superagent James Bond, også kendt som Agent 007, bliver fanget under en mission i Nordkorea, og efter 14 pinefulde måneder i fængsel, udveksler briterne ham for terroristen Zao. MI6 tror, at Bond har talt over sig under sin fangenskab, og han bliver derfor lagt på is, men Bond undslipper MI6 og sætter på egen hånd efter Zao, der ved, hvem der forrådte ham i Nordkorea. Jagten bringer James Bond til Cuba, og her møder han den smukke amerikanske agent Jinx, der arbejder med samme sag. Sporerne fra Zao fører Bond videre til den mystiske milliardær Gustav Graves, der har sin egen ondsindede plan. Den er der kun en mand, der kan stoppe - agent 007!"
Die Another Day,36669,movie,nl,NL,Dutch,,Tijdens een missie in Noord-Korea wordt James Bond verraden. Na zijn ontsnapping reist hij van Hong Kong naar Cuba en terug naar Londen met als missie de verrader te ontmaskeren en een oorlog te voorkomen. De achtervolging leidt hem uiteindelijk naar een paleis gelegen in IJsland. Bond ontdekt daar een nieuw hi-tech wapen met ongekende krachten.
Die Another Day,36669,movie,zh,CN,Mandarin,007：择日而亡,007（皮尔斯·布鲁斯南 Pierce Brosnan 饰）这次在北朝鲜发现了一位世界级的媒体大亨——盖斯特维的阴谋诡计。盖斯特维妄图研制一枚类似于第二颗太阳那样的卫星来挑起全球战争，进而达到他控制地球的企图。007当然不会允许盖斯特维的阴谋得逞，于是在北朝鲜展开了调查。经过调查，007发现盖斯特维的真实身份，那是经过整容后改头换面的原北朝鲜领导人Zao。现在，007必须抓紧时间找到Zao，制止他的阴谋以阻止战争的全面爆发。本片是皮尔斯·布鲁斯南的最后一部007作品。
Die Another Day,36669,movie,tr,TR,Turkish,Başka Gün Öl,"James Bond'un bu seferki macerası Kuzey ve Güney Kore arasındaki tarafsız bölgedeki bir mayın tarlasında yapılan bir hovercraft takip sahnesiyle başlıyor. Bond, sonucu felaket olacak bir savaşı önlemek ve bir haini bulmak için Hong Kong'tan Küba'ya, Küba'dan Londra'ya dünyayı dolaşıyor. Bu arada yolu Jinx ve Miranda Frost'la kesişiyor ki bu iki güzel bayan her Bond filminde olduğu gibi maceranın iki önemli kahramanı oluyorlar. Psikopat bir megaloman olan Gustav Graves ve onun sağ kolu Zoo'yu bulmak için İzlanda'ya giden Bond burada kötü adamın inine yani tamamı buzdan yapılmış sarayına sızıyor ve yeni teknolojiyle üretilmiş son derece tehlikeli bir silahi ilk elden tecrübe ediyor. Bond'un sonunda asıl düşmanıyla yüzleştiği yer hikayenin başladığı yer olan Kore oluyor."
Die Another Day,36669,movie,fr,FR,French,Meurs un autre jour,"Une opération secrète, menée en Corée du Nord par James Bond et deux de ses hommes, est compromise par un traître non identifié. S'ensuit une course-poursuite en hovercraft au cours de laquelle le colonel nord-coréen Moon trouve la mort et son lieutenant, Zao, est grièvement blessé. James Bond est quant à lui capturé et jeté dans une prison militaire. Après quelques mois de détention, ce dernier est libéré à l'occasion d'un échange de prisonniers organisé par Falco, le directeur de la National Security Agency. Démis de ses fonctions, l'ancien agent secret est décidé à retrouver Zao et à démasquer le traître qui a entraîné sa chute. Sa quête, riche en rebondissements, l'amènera à faire la rencontre de la belle et mystérieuse Jinx et de Gustav Graves, un mégalomaniaque propriétaire d'un somptueux palais de glace islandais et d'une arme d'une puissance insoupçonnée."
