titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Jumanji: Welcome to the Jungle,353486,movie,fr,FR,French,Jumanji : Bienvenue dans la jungle,"Quatre lycéens découvrent une vieille console contenant un jeu vidéo dont ils n’avaient jamais entendu parler : Jumanji. En voulant jouer, ils se retrouvent mystérieusement propulsés dans la jungle de Jumanji, où ils deviennent leurs avatars. Spencer est désormais un aventurier musclé, Fridge, le footeux, devient un véritable Einstein, Bethany, la fille si populaire au lycée, se transforme en professeur d’âge mûr et la timide Martha est maintenant une redoutable combattante. Ils vont rapidement découvrir qu’il ne suffit pas de jouer à Jumanji, il faut y survivre… Pour vaincre le jeu et revenir dans le monde réel, ils vont devoir affronter les pires dangers, découvrir ce qu’Alan Parrish a laissé vingt ans auparavant, et changer leur façon de voir la vie et eux‐mêmes. Sinon, ils resteront prisonniers de Jumanji pour toujours…"
Jumanji: Welcome to the Jungle,353486,movie,es,ES,Spanish,Jumanji: Bienvenidos a la jungla,"Cuatro estudiantes de secundaria se quedan atrapados en la selva dentro de un videojuego, donde viven una aventura convertidos en avatares adultos arquetípicos."
Jumanji: Welcome to the Jungle,353486,movie,en,US,English,,"Four teenagers in detention discover an old video game console with a game they’ve never heard of. When they decide to play, they are immediately sucked into the jungle world of Jumanji in the bodies of their avatars. They’ll have to complete the adventure of their lives filled with fun, thrills and danger or be stuck in the game forever!"
Jumanji: Welcome to the Jungle,353486,movie,de,DE,German,Jumanji: Willkommen im Dschungel,"Vier Teenager entdecken beim Nachsitzen ein altes Videospiel, doch statt einem ungefährlichen Spaß vorm Fernseher wird das Quartett in die Dschungelwelt von Jumanji gezogen! In dieser unwirtlichen Umgebung bekommen es die Schüler mit Nashörnern, schwarzen Mambas und einer unendlichen Vielfalt an Dschungel-Fallen und -Puzzeln zu tun – allerdings in den Körpern der Figuren des Games. Der bescheidene Spencer wird zum Abenteurer Dr. Smolder Bravestone, Football-Spieler Anthony „Fridge“ Johnson zum Zoologen und Waffenspezialisten Moose Finbar, It-Girl Bethany zum Kartografen/Kryptografen Shelly Oberon und die unsportliche Außenseiterin Martha zur Kämpferin Ruby Roundhouse. Um das Spiel zu gewinnen, müssen sie in ihren neuen Körpern allerlei gefährliche Abenteuer überstehen..."
Jumanji: Welcome to the Jungle,353486,movie,bg,BG,Bulgarian,Джуманджи: Добре дошли в джунглата,"Четирима гимназисти откриват стара видео игра, която ги засмуква в свой магичен свят и всеки от играчите буквално се превръща в аватара, който е избрал. Единствения начин да се освободят и да се завърнат в реалния свят е да завършат играта, всеки ход на която е опасно приключение."
Jumanji: Welcome to the Jungle,353486,movie,pt,PT,Portuguese,Jumanji: Bem-Vindos à Selva,"Quatro estudantes da escola secundária descobrem uma antiga consola de jogos de vídeo, da qual nunca tinham ouvido falar – Jumanji – e são de imediato transportados para o ambiente de selva do jogo, transformando-se, literalmente, nos seus próprios avatares: Spencer, um viciado em gaming, transforma-se num aventureiro cerebral; a estrela do futebol, Fridge, perde (e são estas as suas palavras) ""o primeiro meio metro do seu corpo"", transformando-se em Einstein; Bethany, uma das miúdas populares, transforma-se num professor de meia idade; e a tímida Martha transforma-se numa guerreira destemida. O que eles descobrem é que não se podem limitar a jogar Jumanji – eles têm de sobreviver ao jogo… E para sobreviver e regressar ao mundo real terão de passar pela mais perigosa aventura das suas vidas, descobrir o que Alan Parrish deixou há 20 anos e mudar a sua visão deles próprios – ou ficarão presos para sempre no jogo…"
Jumanji: Welcome to the Jungle,353486,movie,ru,RU,Russian,Джуманджи: Зов Джунглей,"На этот раз в полном опасностей и приключений мире Джуманджи оказываются четверо подростков. Их ждет схватка с носорогами, чёрными мамбами, а на каждом шагу будет подстерегать бесконечная череда ловушек и головоломок. Чтобы пройти игру и остаться в живых, им придётся перевоплотиться в персонажей игры: робкий и застенчивый Спенсер превращается в отважного и сильного исследователя, здоровяк Фридж – в заучку-коротышку, модница и красавица Беттани – в профессора, а неуклюжая и нескладная Марта становится бесстрашной и ловкой амазонкой. Друзьям придётся привыкнуть к совершенно новым и таким непривычным для себя ролям и найти дорогу домой."
Jumanji: Welcome to the Jungle,353486,movie,uk,UA,Ukrainian,Джуманджі: Поклик джунглів,"Четверо підлітків за неналежну поведінку отримують покарання — прибирання у шкільному підвалі. Серед речей вони знаходять стару гру — Джуманджі. Розпочавши її, вони отримують абсолютно нові тіла і потрапляють у світ пригод та небезпеки, які їм потрібно пройти аби повернутись до дому."
Jumanji: Welcome to the Jungle,353486,movie,it,IT,Italian,Jumanji: Benvenuti nella giungla,"Mentre si trovano in punizione a scuola, Spencer, Fridge, Bethany e Martha scoprono un vecchio videogioco, Jumanji. Non appena avviano la partita, i quattro si ritrovano catapultati nel videogame ambientato nella giungla, assumendo le sembianze dei rispettivi avatar. Quel che scoprono ben presto è che Jumanji non è semplicemente un gioco e dovranno affrontare la più pericolosa avventura della loro vita o resteranno intrappolati nel gioco per sempre."
Jumanji: Welcome to the Jungle,353486,movie,pt,BR,Portuguese,Jumanji: Bem-Vindo à Selva,"Quatro adolescentes que estão de castigo depois das aulas encontram um console de videogame antigo com um jogo que nunca tinham ouvido falar. Quando decidem jogar, são imediatamente sugados para dentro de uma selva, para o mundo de Jumanji, onde assumem os corpos dos seus avatares. Eles têm que ir até o fim da maior aventura de suas vidas, recheada de diversão, emoções e perigos, ou ficarão para sempre dentro do jogo!"
Jumanji: Welcome to the Jungle,353486,movie,hu,HU,Hungarian,Jumanji: Vár a dzsungel,"Négy tinédzsert beszippant egy varázslatos videojáték a Jumanji világába, egy orrszarvúkkal, mérgeskígyókkal, illetve csapdákkal és rejtvényekkel tarkított dzsungelbe. Hamar rájönnek, csak úgy tudnak megmenekülni, ha összedolgoznak, hogy  befejezzék a játékot."
Jumanji: Welcome to the Jungle,353486,movie,el,GR,Greek,Jumanji: Καλώς Ήρθατε στη Ζούγκλα,"Τέσσερις έφηβοι δοκιμάζουν να παίξουν ένα παλιό βιντεογκέιμ, το οποίο τους «ρουφάει» και τους μετατρέπει σε ήρωες ενός παιχνιδιού επιβίωσης σε μια επικίνδυνη ζούγκλα."
Jumanji: Welcome to the Jungle,353486,movie,da,DK,Danish,,"Fire unge suges ind i et mystisk videospil. Pludselig er nørden Spencer forvandlet til en muskelsvulmende eventyrer, mens sportsidioten Fridge er blevet en meget lidt sporty zoolog. Den selvoptagede Bethany er forvandlet til en mandlig professor - og outsideren Martha er blevet en sej krigerkvinde. For at afslutte spillet og komme tilbage til den virkelige verden må kvartetten tage ud på deres livs farligste eventyr."
Jumanji: Welcome to the Jungle,353486,movie,he,IL,Hebrew,ג'ומנג'י: שורדים בג'ונגל,"כאשר 4 תיכוניסטים מגלים משחק מחשב שמעולם לא שמעו עליו בשם – ג'ומנג'י, הם נשאבים מיד אל תוך הג'ונגל של המשחק והופכים לדמויות המשחק שבחרו: הנער החנון הופך להרפתקן שרירי, מלכת הכיתה הופכת לפרופסור מזדקן, כוכב הפוטבול הופך למוח של החבורה והנערה עדינת הנפש הופכת ללוחמת קשוחה. מה שהם מגלים הוא שג'ומנג'י הוא לא רק משחק – זו הישרדות. על מנת לנצח את המשחק ולחזור לעולם האמיתי, עליהם לעבור הרפתקאות מסוכנות, לגלות מה אלן פאריש הותיר אחריו לפני 20 שנה ולשנות את איך שהם תופסים את עצמם – אחרת הם ייתקעו במשחק לעולמים."
Jumanji: Welcome to the Jungle,353486,movie,pl,PL,Polish,Jumanji: Przygoda w dżungli,"Czwórka licealistów podczas odbywania szkolnej kary znajduje starą konsolę do gier wideo z nieznaną grą, o której nigdy nawet nie słyszeli. Po jej uruchomieniu zostają natychmiast wciągnięci do dżungli z wirtualnego świata Jumanji w ciałach swoich awatarów (Dwayne Johnson, Jack Black, Kevin Hart i Karen Gillan). Szybko się orientują, że to nie oni grają w Jumanji, lecz Jumanji gra nimi. Przeżywają emocjonującą przygodę życia, pełną zabawy, ale i całkiem realnych zagrożeń i niebezpieczeństw. Muszą doprowadzić grę do końca, bo w przeciwnym razie utkną w niej na zawsze!"
Jumanji: Welcome to the Jungle,353486,movie,sr,RS,Serbian,Џуманџи: Добродошли у џунглу,"Четворо средњошколаца открије стару видео игру за коју никад раније нису чули, биће увучени у забаван свет џунгле и дословно постати аватари према сопственом избору: Спенсер ће тако постати штреберски истраживач, спортиста Фриџ ће постати прави Ајнштајн, популарна девојка Бетани ће да постане средовечни професор, а крхка Марта претвориће се у неустрашиву ратницу. Међутим, забава ће се ускоро претворити у нешто друго, када открију да се Џуманџи не игра – већ преживљава."
Jumanji: Welcome to the Jungle,353486,movie,sk,SK,Slovak,Jumanji: Vitajte v džungli,"Po tom, čo štvorica študentov objaví starú hraciu konzolu, sú vtiahnutí do fantastického sveta Jumanji. V ňom sa z nich stanú avatary, ktorých si na začiatku hry vybrali - z nevýrazného Spencera je razom mocný dobrodruh, svalovec Fridge sa zmení na drobného génia, z krásnej blondínky Bethany je zavalitý profesor a nemotorná Martha sa premení na odvážnu bojovníčku. Jumanji však nestačí len hrať, Jumanji sa hrá s vami. Aby hrdinovia v hre nezostali uväznení naveky, musia zmeniť svoj pohľad na svet, no najmä samých seba..."
Jumanji: Welcome to the Jungle,353486,movie,th,TH,Thai,เกมดูดโลก บุกป่ามหัศจรรย์,เรื่องราวการผจญภัยครั้งใหม่ได้เกิดขึ้น เมื่อเด็กไฮสคูล 4 คน ได้ไปค้นพบเกมคอนโซลโดยบังเอิญ ทั้งสี่ถูกทำโทษให้ต้องลงไปเก็บกวาด ทำความสะอาดห้องใต้ดินของโรงเรียน สิ่งที่เขาได้เจอคือวิดีโอเกมที่ชื่อว่า “Jumanji” กระทั่งทำให้พวกเขาเจอกับวิดีโอเกมที่ชื่อว่า Jumanji โดยแต่ละคนจำเป็นต้องเลือกผู้แสดงในเกมคนละ 1 ตัว ซึ่งพาให้พวกเขาหลุดเข้าไปยังป่าแห่งหนึ่งในโลกของเกม
Jumanji: Welcome to the Jungle,353486,movie,tr,TR,Turkish,Jumanji: Vahşi Orman,Zıt karaktere sahip dört lise öğrencisi daha önce adını kimsenin duymadığı Jumanji isimli bir video konsol oyunu bulurlar. Oyunu oynamaya koyulan dört kafadar bir anda kendilerini oyunun içerisinde avatar karakterlerinin bedenlerinde bulurlar. Gerçek dünyaya dönmek için hayatlarının en tehlikeli macerasına atılarak oyunu bitirmekten başka şansları yoktur.
