titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Avengers: Endgame,299534,movie,en,US,English,,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store."
Avengers: Endgame,299534,movie,pt,PT,Portuguese,Vingadores: Endgame,"Este confronto dramático põe os Vingadores contra o vilão mais poderoso do universo, o Thanos. Após eventos devastadores terem eliminado metade da população mundial e fraturado as suas fileiras, os heróis restantes lutam para avançar. Mas têm de se unir para restaurar a ordem e a harmonia no universo e reaver os seus entes queridos."
Avengers: Endgame,299534,movie,fr,FR,French,Avengers : Endgame,"Après leur défaite face au Titan Thanos qui dans le film précédent s'est approprié toutes les pierres du Gant de l'infini, les Avengers et les Gardiens de la Galaxie ayant survécu à son claquement de doigts qui a pulvérisé « la moitié de toute forme de vie dans l'Univers », Captain America, Thor, Bruce Banner, Natasha Romanoff, War Machine, Tony Stark, Nébula et Rocket, vont essayer de trouver une solution pour ramener leurs coéquipiers disparus et vaincre Thanos en se faisant aider par Ronin alias Clint Barton, Captain Marvel et Ant-Man."
Avengers: Endgame,299534,movie,ru,RU,Russian,Мстители: Финал,"После разрушительных событий в «Мстители: Войны бесконечности», вселенная лежит в руинах. Оставшиеся в живых участники команды Мстителей снова объединяются в попытке восстановить баланс во вселенной."
Avengers: Endgame,299534,movie,de,DE,German,,"Thanos hat also tatsächlich Wort gehalten, seinen Plan in die Tat umgesetzt und die Hälfte allen Lebens im Universum ausgelöscht. Die Avengers? Machtlos. Iron Man und Nebula sitzen auf dem Planeten Titan fest, während auf der Erde absolutes Chaos herrscht. Doch dann finden Captain America und die anderen überlebenden Helden auf der Erde heraus, dass Nick Fury vor den verheerenden Ereignissen gerade noch ein Notsignal absetzen konnte, um Verstärkung auf den Plan zu rufen. Die Superhelden-Gemeinschaft bekommt mit Captain Marvel kurzerhand tatkräftige Unterstützung im Kampf gegen ihren vermeintlich übermächtigen Widersacher. Und dann ist da auch noch Ant-Man, der wie aus dem Nichts auftaucht und sich der Truppe erneut anschließt, um die ganze Sache womöglich doch noch zu einem guten Ende zu bringen …"
Avengers: Endgame,299534,movie,el,GR,Greek,Εκδικητές: Η Τελευταία Πράξη,"Με τον μισό πληθυσμό της Γης αποδεκατισμένο, οι εναπομείναντες Εκδικητές ανασυντάσσουν τις δυνάμεις τους με σκοπό να αλλάξουν τον ρου της ιστορίας και να αποκαταστήσουν την ισορροπία στο σύμπαν."
Avengers: Endgame,299534,movie,cs,CZ,Czech,,"Hrozivé události způsobené Thanosem, který vyhladil polovinu života ve vesmíru a silně oslabil Avengers, vedou zbylé superhrdiny k tomu, aby ve strhujícím finále sebrali poslední síly a pokusili se vrátit úder."
Avengers: Endgame,299534,movie,zh,CN,Mandarin,复仇者联盟4：终局之战,几近绝望的复仇者们在惊奇队长的帮助下找到灭霸归隐之处，却得知六颗无限宝石均被销毁，希望彻底破灭。五年后，迷失在量子领域的蚁人意外回到现实世界，他的出现为幸存的复仇者们点燃了希望。与美国队长冰释前嫌的托尼找到了穿越时空的方法，星散各地的超级英雄再度集结，他们将分别穿越不同的时代去搜集无限宝石。与此同此，平行宇宙的灭霸察觉了他们的计划。这是一场注定要载入史册的终局之战，超级英雄们为了心中恪守的信念前仆后继……
Avengers: Endgame,299534,movie,tr,TR,Turkish,,"Marvel Sinematik Evreni'nin dördüncü aşamasının zirve noktası olarak kabul edilen bu epik filmde, ""Yenilmezler: Sonsuzluk Savaşı"" (2018) olaylarının hemen ardından başlar ve Thanos'un sonsuz taşları kullanarak evrenin yarısını yok etmesinin sonuçlarına odaklanır. Yenilmezler ekibinin hayatta kalan üyelerinin, kaybettikleri arkadaşlarını geri getirmek ve evreni kurtarmak için bir plan hazırlarlar. Tony Stark (Iron Man), Steve Rogers (Captain America), Natasha Romanoff (Black Widow), Bruce Banner (Hulk), Thor ve diğer karakterler, geçmişe dönerek Sonsuz Taşları toplamak için zaman yolculuğu yaparlar. Bu süreçte, eski anılarla yüzleşirler ve birbirleriyle olan bağlarını güçlendirirler. Zaman yolculuğu teması, filmde önemli bir rol oynar ve izleyicilere önceki Marvel filmlerine göndermeler yapılır. Filmin doruk noktası, Yenilmezler'in Thanos ile büyük bir savaşta karşılaşmasıdır. Tüm kahramanlar, kayıplarını telafi etmek ve dünyayı kurtarmak için bir araya gelirler."
Avengers: Endgame,299534,movie,es,ES,Spanish,Vengadores: Endgame,"Después de los eventos devastadores de 'Vengadores: Infinity War', el universo está en ruinas debido a las acciones de Thanos. Con la ayuda de los aliados que quedaron, los Vengadores deberán reunirse una vez más para intentar deshacer sus acciones y restaurar el orden en el universo de una vez por todas, sin importar cuáles sean las consecuencias... Cuarta y última entrega de la saga ""Vengadores""."
Avengers: Endgame,299534,movie,he,IL,Hebrew,הנוקמים: סוף המשחק,"לאחר שתאנוס הצליח לאסוף את ששת אבני האינסוף, הוא כפה את רצונו המעוות על כלל החיים ובאופן רנדומלי מחק מחצית מאוכלוסיית היקום, ובכללם גם מספר לא מבוטל של נוקמים. לאחר החורבן העצום, הנוקמים הנותרים עומדים בפתחו של האתגר הגדול ביותר שניצבו בפניו: מציאת הכוחות הפנימיים כדי 'לקום מהספסל' ולמצוא דרך להביס את תאנוס אחת ולתמיד."
Avengers: Endgame,299534,movie,pl,PL,Polish,Avengers: Koniec gry,"Po dramatycznych wydarzeniach z filmu ""Avengers: Wojna bez granic"" Iron Man samotnie dryfuje po kosmosie, połowa superbohaterów przestała istnieć, a Kapitan Ameryka próbuje pogodzić się z porażką. Świat już nigdy nie będzie taki sam, a ocaleni muszą nauczyć się żyć w nowych warunkach. Nie wszyscy jednak dają za wygraną. Gdy w bazie Avengers pojawia się Ant-Man, w głowach herosów rodzi się szalony plan zmiany obecnego stanu rzeczy. Czy jest możliwe odwrócenie ""Efektu Thanosa"" i przywrócenie do naszego świata tych, co odeszli? Iron Man, Kapitan Ameryka, Thor, Hulk, Czarna Wdowa i pozostali zbierają się ponownie, żeby wyruszyć w pełną przygód podróż po najważniejszych momentach w historii Avengers."
Avengers: Endgame,299534,movie,sv,SE,Swedish,,En resa som började för tio år sedan har lett till denna final. Medan The Avengers återhämtar sig efter en stor förlust så försöker dom komma på en plan om hur dom ska kunna besegra Thanos en gång för alla och kanske kunna återställa allt till rätta…
