titulo_original,tmdb_id,tipo,season,episode,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_episode,1,2,en,US,English,Half Loop,The team train new hire Helly on macrodata refinement. Mark takes a day off to meet with a mysterious former colleague.
Severance,95396,tv_episode,1,2,pt,BR,Portuguese,Meia volta,"A equipe treina a nova contratada, Helly, no refinamento de macrodados. Mark tira um dia de folga para se encontrar com um ex-colega de trabalho misterioso."
Severance,95396,tv_episode,1,2,ru,RU,Russian,Полупетля,"Команда обучает новенькую Хелли хитростям обработки макроданных. Марк берет выходной, чтобы встретиться с загадочным бывшим коллегой."
Severance,95396,tv_episode,1,2,hu,HU,Hungarian,Félhurok,"A csoport betanítja Hellyt, az új munkatársat makróadat-finomításra. Mark szabadnapot vesz ki, hogy találkozzon egy titokzatos exkollégájával."
Severance,95396,tv_episode,1,2,it,IT,Italian,Half Loop,"Il team forma la nuova assunta, Helly, sul lavoro di Macrodata Refinment. Mark si prende un giorno di pausa per incontrare un misterioso ex collega."
Severance,95396,tv_episode,1,2,es,ES,Spanish,Half Loop,El equipo entrena a la recién contratada Helly en el refinado de macrodatos. Mark se toma un día libre para reunirse con un misterioso excolega.
Severance,95396,tv_episode,1,2,ja,JP,Japanese,２つの人格,マクロデータ改良部で新人ヘリーの研修がスタートする。マークは会社を休み、謎めいた元同僚に会いに行く。
Severance,95396,tv_episode,1,2,ko,KR,Korean,하프 루프,팀은 새로 고용한 헬리에게 매크로 데이터 정제법을 교육한다. 마크는 의문에 싸인 옛 동료를 만나기 위해 하루 휴가를 낸다.
Severance,95396,tv_episode,1,2,de,DE,German,Der Pausenraum,"Das Team schult Helly, die neue Kollegin, in der Macrodata- Verfeinerung. Mark nimmt sich einen Tag frei, um sich mit einem mysteriösen ehemaligen Kollegen zu treffen."
Severance,95396,tv_episode,1,2,el,GR,Greek,Χαφ Λουπ,Η ομάδα εκπαιδεύει τη νεοπροσληφθείσα Χέλι στη βελτίωση μακροδεδομένων. Ο Μαρκ παίρνει μία μέρα άδεια για να συναντήσει έναν μυστηριώδη πρώην συνάδελφο.
Severance,95396,tv_episode,1,2,he,IL,Hebrew,חצי לולאה,הצוות מאמן את העובדת החדשה הלי בזיקוק נתוני-מקרו. מארק לוקח יום חופש כדי לפגוש עמית לשעבר מסתורי.
Severance,95396,tv_episode,1,2,fr,FR,French,Demi-boucle,L'équipe forme la nouvelle recrue Helly au raffinement des macrodonnées. Mark prend un jour de congé pour rencontrer un ancien collègue mystérieux.
Severance,95396,tv_episode,1,2,zh,CN,Mandarin,半环,团队对新入职的员工赫莉进行了宏观数据精检培训。马克请了一天假去见神秘的前同事。
