titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Raiders of the Lost Ark,85,movie,en,US,English,,"When Dr. Indiana Jones – the tweed-suited professor who just happens to be a celebrated archaeologist – is hired by the government to locate the legendary Ark of the Covenant, he finds himself up against the entire Nazi regime."
Raiders of the Lost Ark,85,movie,de,DE,German,Jäger des verlorenen Schatzes,"Der Archäologe Dr. Henry Jones wird von Regierungsagenten auf die Bundeslade angesetzt, das Behältnis, in dem Moses Gesetzestafeln aufbewahrt wurden. Laut Geheiminformationen suchen auch die Nazis nach der Lade, da sie den Besitzer unbesiegbar machen soll. Jones, genannt Indiana Jones, reist daraufhin nach Nepal, wo er einen alten Kollegen aufspüren will, jedoch nur dessen Tochter findet, die sich ihm anschließt. Ein altes Schmuckstück führt sie nach Ägypten, wo die Nazis mit Belloqs Hilfe bereits Ausgrabungen vornehmen. So kommt es zum Wettlauf um die Auffindung der Quelle der Seelen…"
Raiders of the Lost Ark,85,movie,ru,RU,Russian,Индиана Джонс: В поисках утраченного ковчега,"Известный археолог и специалист по оккультным наукам доктор Джонс получает опасное задание от правительства США. Он должен отправиться на поиски уникальной реликвии - священного Ковчега. Но Индиана и не подозревает, что аналогичный приказ уже получили тайные агенты Гитлера."
Raiders of the Lost Ark,85,movie,sk,SK,Slovak,Indiana Jones a dobyvatelia stratenej archy,"Dobrodruh a archeológ Indiana Jones sa vracia z juhoamerického pralesa, kde našiel vzácnu zlatú indiánsku sošku, ale vyfúkol mu ju podlý konkurent, francúzsky archeológ Belloq. Po návrate sa objavia muži z vojenskej výzvednej služby a požiadajú ho, aby našiel Archu zmluvy, ktorú Belloq s nacistami hľadá v Egypte. Archa má Hitlerovi zabezpečiť neporaziteľnosť.  Potrebujú však najprv získať hlavicu staroegyptskej barly, ktorá má ukázať miesto, kde majú kopať. Tú má Marion, opustená Indyho láska. Chvíľu po Indianovi sa objavia Nemci a Marion s Indym tak-tak uniknú. Vyberú sa do Egypta, Indy objaví Archu, ale Belloq s Nemcami ho prekvapí, Archu mu vezmú a uväznia ho v kobke plnej hadov. Indymu s Marion sa podarí uniknúť, Archu získať späť a doviezť ju až na loď. Prepadne ich však nemecká ponorka, a Archu mu ukradnú. Belloq sa ju chystá na opustenom ostrove otvoriť."
Raiders of the Lost Ark,85,movie,fr,FR,French,Les Aventuriers de l'arche perdue,"L'Arche d'Alliance contenant les tables de la Loi brisées par Moïse, voici 3.000 ans, est l'objet de la convoitise des nazis. L'archéologue aventurier Indiana Jones se lance à sa recherche, poursuivi par son ennemi Belloq."
Raiders of the Lost Ark,85,movie,it,IT,Italian,I predatori dell'arca perduta,"Dopo essere stato derubato di un prezioso idolo, Indiana Jones ritorna all'università da insegnante. Qui i servizi segreti gli offriranno il compito di trovare l'arca dell'alleanza e cercare così di non farla cadere nelle mani dei tedeschi. Giunto nel Nepal, incontrerà Marion, una sua vecchia conoscenza, con la quale giungerà dall'amico Sallah, trovando ospitalità e svolgendo da lì la definitiva ricerca dell'arca."
Raiders of the Lost Ark,85,movie,cs,CZ,Czech,Indiana Jones a Dobyvatelé ztracené archy,"Rok 1936, Amazon/Tibet/Egypt. Indy je pověřen vládou Spojených států, aby našel Archu úmluvy se zvláštní mystickou silou, kterou chtějí získat pro své nekalé cíle nacisté. Indy uzavírá spojenectví s Marion Ravenwood a tato dvojice spolu prožívá jedno strhující dobrodružství za druhým."
Raiders of the Lost Ark,85,movie,pt,PT,Portuguese,Os Salteadores da Arca Perdida,"O arqueólogo e aventureiro Indiana Jones parte em busca da mítica Arca da Aliança, o objecto mais sagrado dos judeus, onde se terão guardado as tábuas originais dos Dez Mandamentos. Mas a busca pelo objecto sagrado, alegadamente dotado de poderes divinos, torna-se numa corrida contra os nazis, que querem usar o artefacto como arma de guerra."
Raiders of the Lost Ark,85,movie,es,ES,Spanish,En busca del arca perdida,"Año 1936, Indiana Jones es un profesor de arqueología, dispuesto a correr peligrosas aventuras con tal de conseguir valiosas reliquias históricas. Después de una infructuosa misión en Sudamérica, el gobierno estadounidense le encarga la búsqueda del Arca de la Alianza, donde se conservan las Tablas de la Ley que Dios entregó a Moisés. Según la leyenda, quien las posea tendrá un poder absoluto, razón por la cual también la buscan los nazis."
Raiders of the Lost Ark,85,movie,nl,NL,Dutch,Indiana Jones and the Raiders of the Lost Ark,Indiana Jones heeft maar één levensdoel: de wereld afreizen op zoek naar archeologische rijkdommen. Hij is een avonturier die voor niets terugschrikt om zijn doel te bereiken en zijn concurrenten te verslaan.
