titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Moonraker,698,movie,en,US,English,,"After Drax Industries' Moonraker space shuttle is hijacked, secret agent James Bond is assigned to investigate, traveling to California to meet the company's owner, the mysterious Hugo Drax. With the help of scientist Dr. Holly Goodhead, Bond soon uncovers Drax's nefarious plans for humanity, all the while fending off an old nemesis, Jaws, and venturing to Venice, Rio, the Amazon...and even outer space."
Moonraker,698,movie,de,DE,German,James Bond 007 - Moonraker - Streng geheim,"Während des Transportes auf dem Rücken einer Boeing 747 wird ein Space Shuttle entführt und das Flugzeug vernichtet. Seine Nachforschungen führen James Bond zu der Herstellerfirma des Shuttles. Schon bald merkt er, dass deren Besitzer Hugo Drax die gesamte Menschheit vernichten will. Es kommt zum Showdown im Weltall."
Moonraker,698,movie,it,IT,Italian,Moonraker - Operazione spazio,"Un miliardario megalomane progetta la distruzione del mondo, ma ci pensa l'agente 007.Uno space shuttle viene rapito da una misteriosa organizzazione capeggiata da Hugo Drax, anche proprietario dell'impresa che costruisce le navette spaziali. Per risolvere l'enigma viene mandato in missione James Bond, che si trova a dover collaborare con una spia della Cia, ovviamente bellissima e affascinante. Le indagini di 007 lo portano addirittura a volare nello spazio.  Uno 007 minore, quasi ricalcato dal precedente La spia che mi amava. Fu un successo e, primo tra i film occidentali, incassò vertiginosamente anche in Asia. Ma la vicenda è stantia. In epoca di effetti speciali, i produttori trasformano Bond in una specie di Flash Gordon. Certo la prima parte, meno rutilante del viaggio nel cosmo, riserva momenti divertenti."
Moonraker,698,movie,ru,RU,Russian,007: Лунный гонщик,"Над территорией Канады терпит загадочную катастрофу ""Боинг"", перевозивший суперсовременный космический челнок ""Мунрейкер"" из Великобритании в США. Распутать этот таинственный клубок под силу лишь лучшему агенту с лицензией на убийство. Бонд направляется к хозяину фирмы-производителя ""Мунрейкера"" мультимиллионеру Хуго Драксу с целью провести расследование, но тот заявляет, что беспокоится не стоит и его вполне удовлетворят лишь извинения за потерянный шаттл."
Moonraker,698,movie,tr,TR,Turkish,Ay Harekatı,"Sir Hugo Drax, yörüngede dev bir uzay üssü inşaa eden megalomanyak bir milyarderdir. Amacı, seçtiği sağlıklı ve güzel erkek ve kadınlardan bir grubunu uzay üssüne topladıktan sonra, bir nükleer füze ile dünyayı yoketmek ve üsteki insanlardan yeni bir ırk yaratmaktır. Dünyayı kurtarma görevini bir kez daha alan James Bond'a bu zorlu macerada seksi Amerikalı ajan Holly Goodhead yardımcı olacaktır. Bond'un aşması gereken engeller arasında çelik çeneli kötü düşmanı Jaws da bulunmaktadır. Ian Fleming'in 1955'te yazdığı Moonraker romanından 1979'da sinemaya uyarlanan film, Bernard Lee'nin M rolüyle son kez seride yer aldığı yapımdır."
Moonraker,698,movie,fr,FR,French,,"Une navette spatiale américaine, Moonraker, confiée au gouvernement britannique disparaît soudainement. L’agent 007 est chargé d’enquêter mais il découvre vite que le responsable n’est autre que le constructeur de l’engin spatial lui‐même, Hugo Drax. Ce dernier tend à recréer une nouvelle race d’hommes parfaits en anéantissant l’humanité actuelle."
Moonraker,698,movie,da,DK,Danish,Agent 007 - Moonraker,"Rumfærgen Moonraker bliver kapret under mystiske omstændigheder, og James Bond får til opgave at finde ud af, hvem der står bag. Sporerne peger hurtigt mod milliardæren Hugo Drax og hans firma Drax Industries. Bond finder ud af, at Drax har bygget en rumstation, hvorfra han vil tilintetgøre Jordens befolkning og efterfølgende befolke planeteten med en ny og forbedret menneskerace. Nu går Bond sammen med CIA-agenten dr. Holly Goodhead om at sætte Drax ud af spillet. Jagten fører dem til det ydre rum, hvor de får uventet hjælp af Jaws, manden med jerntænderne!"
Moonraker,698,movie,es,ES,Spanish,Moonraker,"El agente secreto James Bond recibe de sus superiores la orden de localizar el paradero de la nave espacial Moonraker, que ha desaparecido misteriosamente. Sus primeras investigaciones le llevan a seguir la pista del millonario Hugo Drax, constructor de la cápsula. Después de investigar en Venecia y en Río de Janeiro, Bond es capturado por Drax, y descubre que el villano posee una base de lanzamiento para cohetes espaciales, con los que se propone esparcir un gas tóxico que acabe con le vida terrestre, siendo ésta la primera fase de un perverso plan que el agente, ayudado por la Doctora Goodhead, intentará frustrar."
Moonraker,698,movie,hu,HU,Hungarian,Holdkelte,"Megtanultuk már: James Bond egyaránt verhetetlen földön, vízen és víz alatt. Ám jobb, ha azt sem felejtjük el, hogy mindig akad valaki, akinek gonoszsága nem ismer határokat, és szembeszáll a világgal. Drax, az őrült multimilliomos terve meghaladja a Föld méreteit, gonoszsága pedig a Galaxis határait súrolja. Világuralmi terveiben csupán egy valami akadályozza, az Emberiség. Elhatározza hát, hogy megszabadul tőle: terve szerint csak néhány ""tökéletes pár"" élhetné túl a pusztítást, akik idővel újra benépesíthetnék a Bolygót, és Drax lehetne maga az Isten. Ehhez csak egy titkos űrállomásra van szükség, ahol az ""Ádámok és Évák"" átvészelhetik a Földre becsapódó vegyifegyverek pusztítását. Bond a szuperbiztos űrállomáson is szembeszáll ellenfelével. Ám itt még ő sem lehet biztos a győzelemben..."
Moonraker,698,movie,nl,NL,Dutch,,Een Boeing 747 met aan boord een spaceshuttle stort neer in de Atlantische Oceaan. De Britten ontdekken dat de spaceshuttle is verdwenen. James Bond wordt gestuurd om een onderzoek te beginnen bij Drax Industries.
