titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
On Her Majesty's Secret Service,668,movie,en,US,English,,"James Bond tracks his archnemesis, Ernst Blofeld, to a mountaintop retreat in the Swiss alps where he is training an army of beautiful, lethal women. Along the way, Bond falls for Italian contessa Tracy Draco, and marries her in order to get closer to Blofeld."
On Her Majesty's Secret Service,668,movie,de,DE,German,James Bond 007 - Im Geheimdienst Ihrer Majestät,"Im Urlaub kann James Bond die junge Tracy Draco gerade noch davon abbringen, sich umzubringen. Ihr Vater, ein mächtiger Gangsterboss macht daraufhin 007 ein Angebot. Er erhält wichtige Informationen über seinen Erzfeind Blofeld, sollte er Tracy heiraten."
On Her Majesty's Secret Service,668,movie,it,IT,Italian,Agente 007 - Al servizio segreto di Sua Maestà,"James Bond, l'agente 007 con licenza di uccidere, è nuovamente sulle tracce della organizzazione criminale Spectre. Le indagini lo portano questa volta in una misteriosa villa sulle Alpi svizzere. Vistosi scoperto, Bond costretto a fuggire con una spettacolare azione riesce a rientrare a Londra."
On Her Majesty's Secret Service,668,movie,sv,SE,Swedish,I hennes majestäts hemliga tjänst,Agent 007 och äventyraren Tracy Di Vicenzo slår sig ihop för att bekämpa den lömska organisationen SPECTRE högt upp i de förrädiska Schweiziska Alperna. Men gruppens starke ledare Ernst Stavro Blofeld håller på att sätta sin hitills mest djävulska plan i verket: En ide till bakteriologisk krigsföring som kan döda miljontals människor! Baserad på Ian Flemings förlaga.
On Her Majesty's Secret Service,668,movie,ru,RU,Russian,007: На секретной службе Её Величества,"Идя по следу своего старого врага Блюфельда, Бонд оказывается в Португалии, где он безумно влюбляется в необыкновенно красивую девушку, которая ко всему прочему является дочерью короля преступного мира. Используя связи своего потенциального свекра, он обнаруживает секретную лабораторию, замаскированную под частную клинику, где Блюфельд разрабатывает новый смертоносный вирус. Возлюбленная Бонда попадает в лапы к негодяю и теперь одним махом Бонд может спасти человечество от вымирания, доказать девушке серьезность своих отношений, свести счеты с Блюфельдом."
On Her Majesty's Secret Service,668,movie,tr,TR,Turkish,Kraliçe'nin Hizmetinde,"Ünlü ajan James Bond, bir kez daha ezeli düşmanlarından SPECTRE'nin lideri Blofeld ile karşı karşıyadır. Blofeld, dünyayı yokedebilecek çok tehlikeli bir virüs geliştirmiştir ve daha önce işlediği suçlardan dolayı affedilmezse virüsü serbest bırakacaktır. Blofeld'in korkunç planını engellemek isteyen Bond, intihar etmek üzere olan Tracy Draco diye bir genç kızı kurtarır. Tracy, batının en ünlü suç imparatorlarından birinin kızıdır ve babası, Blofeld'in yerini bulmak karşılığında Bond'un kızıyla evlenmesini istemektedir. Blofeld'e başka türlü ulaşamayan Bond bu teklifi kabul ederek Tracy ile evlenir. Blofeld, İsviçre'de bir üs kurmuştur ve Bond bu kez onu durdurmak için dağlarda zorlu bir mücadeleye girişecektir."
On Her Majesty's Secret Service,668,movie,fr,FR,French,Au service secret de Sa Majesté,"Sur la piste de Blofeld, James Bond sauve la comtesse Tracy Di Vicenzo du suicide et en tombe amoureux. Le père de la comtesse, Marc-Ange Draco, met la pression sur Bond pour qu'il épouse sa fille. D'abord réticent, James Bond finit par accepter à condition que Draco l'aide à traquer Blofeld. Il se rend alors au MI6 où il apprend que l'affaire Blofeld lui est retirée..."
On Her Majesty's Secret Service,668,movie,da,DK,Danish,Agent 007 i hendes majestæts hemmelige tjeneste,"Den hemmelige britiske agent James Bond er på jagt efter Ernst Stavro Blofeld, der er leder af forbrydersyndikatet SPECTRE. Blofeld har udviklet en dødbringende virus, og truer med at sprede den over det meste af verden, hvis han ikke bliver benådet for alle tidligere forbrydelser. Det er ikke en mulighed, og James Bond infiltrerer Blofeld's kursted i alperne. Her forsøger Bond at sætte Blofeld ud af spillet, men situationen bliver kompliceret af, at han samtidig forelsker sig i den skønne komtesse Tracy."
On Her Majesty's Secret Service,668,movie,es,ES,Spanish,007 al servicio secreto de su Majestad,"Tras la marcha temporal de Connery, el actor australiano George Lazenby toma el relevo en esta nueva aventura del agente británico 007, que en esta ocasión se asocia a un mafioso -con cuya sensual hija Tracy Di Vicenzo (Diana Rigg) se llega a casar-, para unir sus fuerzas en la lucha contra la malvada organización Spectra. Ambientada en los alpes suizos, el malvado Stavro Blofeld -Savalas- amenaza al mundo entero con un malvado plan: desarrollar y lanzar una peligrosa bacteria que podría acabar con millones de personal en todo el planeta. La ausencia del actor escocés y el poco carisma de Lazenby hicieron de esta entrega uno de sus mayores fracasos comerciales, pero en años posteriores no han faltado los defensores que la reivindican como una de las más interesantes de toda la saga."
On Her Majesty's Secret Service,668,movie,hu,HU,Hungarian,Őfelsége titkosszolgálatában,"Tracy Darcy, egy maffiavezér lánya öngyilkosságot akar elkövetni, mikor Bond megmenti őt. A papa, hogy megóvja lányát, megkéri a 007-es ügynököt, hogy vegye el Tracyt feleségül, cserébe pedig informáciokkal szolgálna Ernst Blofeldről, Bond régi nagy ellenségéről. Az ügy azonban bonyolódik, mert időközben kiderül, hogy Ernst egy halálos vírussal probálja meg elpusztítani az emberiséget, Bond pedig beleszeret a lányba..."
