titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Diamonds Are Forever,681,movie,en,US,English,,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who's guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.
Diamonds Are Forever,681,movie,de,DE,German,James Bond 007 - Diamantenfieber,"Große Mengen Diamanten verschwinden, ohne auf dem internationalen Markt wieder aufzutauchen. James Bond wird in einen Schmugglerring infiltriert, um der Sache nachzugehen. Die Spur führt nach Las Vegas und zu keinem Geringeren als Bonds Erzfeind Ernst Stavro Blofeld."
Diamonds Are Forever,681,movie,it,IT,Italian,Agente 007 - Una cascata di diamanti,"Il comandante James Bond, alias agente 007 del servizio segreto inglese, ha appena portato a termine una difficile missione, che subito, gli viene affidato il compito di scoprire gli organizzatori e le ragioni di una misteriosa incetta di diamanti, che minaccia di sconvolgere il mercato. Assunta l'identità di Peter Franks, uno dei corrieri della banda, Bond non tarda a individuarne il capo, la bella Tiffany Case, la cui organizzazione, pero', sta da qualche tempo subendo gli attacchi di sconosciuti avversari, che uccidono i contrabbandieri e s'impossessano dei diamanti. Divenuta Tiffany, cui egli ha rivelato la propria identità, sua alleata, Bond scopre, dopo aver evitato due volte di venire ucciso, che i diamanti trafugati all'organizzazione di Case sono finiti in un laboratorio spaziale, e utilizzati nella costruzione di un satellite, che sta per essere lanciato in orbita."
Diamonds Are Forever,681,movie,sv,SE,Swedish,Diamantfeber,"Ett värdefullt parti diamanter försvinner under mystiska omständigheter. Till den brittiska underrättelsetjänstens förvåning, försöker tjuvarna inte sälja diamanterna på världsmarknaden. James Bond anar att diamanter är mer än en kvinnas bästa vän..."
Diamonds Are Forever,681,movie,ru,RU,Russian,007: Бриллианты навсегда,"На этот раз Джеймс Бонд получает миссию расследовать похищение огромной партии южно-африканских бриллиантов. Распутывая это непростое дело, Бонд выходит на след своего заклятого врага Блюфельда. Оказывается, что бриллианты нужны ему для увеличения мощности своего гигантского космического лазера, используя который он заставит детонировать все атомные боеголовки, ракеты и подводные лодки."
Diamonds Are Forever,681,movie,fr,FR,French,Les diamants sont éternels,"James Bond se lance à la recherche d'un trafiquant de diamants, à Amsterdam, et se retrouve face au terrifiant Blofeld. Ce dernier est en passe de finir la construction d'un gigantesque laser d'une puissance terrifiante, à l'aide de tous les diamants qu'il a rassemblés, pour détruire Washington."
Diamonds Are Forever,681,movie,tr,TR,Turkish,Ölümsüz Elmaslar,"İngiliz Hükümeti, yüksek değerdeki işlenmemiş elmas sevkiyatları ortadan yokolunca harekete geçer. İngiliz ajan James Bond, konuyu araştırmakla görevlendirildiğinde, konuyu ilk önce basit bir kaçakçılık olarak değerlendirir ve fazla önemsemez. Fakat bir ipucu, 007'nin ezeli düşmanı Blofeld'in bu işin arkasında olduğunu gösterdiğinde, Bond onun planlarını bozmak karısı Tracy'nin ölümünün intikamını almak üzere çalışmaya başlar."
Diamonds Are Forever,681,movie,da,DK,Danish,Diamanter varer evigt,"Storbritanniens bedste hemmelige agent James Bond bliver sat til opklare, hvorfor store mængder diamanter bliver smuglet ud af Sydamerika, for blot at forsvinde fra markedet. Han påtager sig identiteten som diamantsmugleren Peter Franks og slår sig sammen den smukke kvindelige smugler Tiffany Case. Mens James Bond forsøger at infiltrere smuglerverdenen, må han tage sig i agt for sin gamle ærkefjende, Ernst Stavro Blofeld, der forsøger at få ham likvideret."
Diamonds Are Forever,681,movie,es,ES,Spanish,Diamantes para la eternidad,"Tras pasar unas merecidas vacaciones en Francia, el agente secreto James Bond recibe una llamada del Jefe M para realizar una peligrosa misión relacionada con unos diamantes en bruto desaparecidos."
Diamonds Are Forever,681,movie,hu,HU,Hungarian,Gyémántok az örökkévalóságnak,"Az angol titkosszolgálat ásza, James Bond most a legnagyobb maffiaszervezetek által kézben tartott gyémántcsempész-hálózatot próbálja felgöngyölíteni, de úgy látszik, ezzel az üggyel alaposan meggyűlik a baja. Rájön, hogy a gyémántok holttestek belsejében érkeznek az országba, és egy krematóriumban kerülnek elő a hamvakból. Bond is ""beszáll az üzletbe"". Éppen az egyik csempész koporsója mellett ""gyászol"", és várja, hogy előkerüljenek a drágakövek. De amikor átvenné az urnát, valaki hátulról leüti. Szűk faládában tér magához. Kinyitja a szemét, hallja, hogy mögötte becsukódik egy nehéz vasajtó és megérzi az égett fa szagát. Vajon tényleg így végezné egy szuperkém?"
Diamonds Are Forever,681,movie,nl,NL,Dutch,,"James Bond komt in Amsterdam een omvangrijke diamantsmokkel op het spoor. Daar ontmoet hij ook de verleidelijke Tiffany Case, die even mooi als gevaarlijk blijkt te zijn. Het spoor leidt vervolgens naar Las Vegas, waar Bond een paar zeer inventieve moordaanslagen te verduren krijgt."
