titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
The Fast and the Furious,9799,movie,en,US,English,,"Dominic Toretto is a Los Angeles street racer suspected of masterminding a series of big-rig hijackings. When undercover cop Brian O'Conner infiltrates Toretto's iconoclastic crew, he falls for Toretto's sister and must choose a side: the gang or the LAPD."
The Fast and the Furious,9799,movie,de,DE,German,,"Eine Reihe von Trucküberfällen hält die Polizei von Los Angeles in Atem. Mit frisierten Autos jagen Verbrecher LKWs, kapern diese und klauen die Fracht. Die Polizei glaubt, dass hinter den Überfällen der PS-Junkie Dominic steckt. Er organisiert mit seiner Freundin Letty illegale Straßenrennen in der Großstadt. Die teilnehmenden Fahrzeuge sind allesamt frisiert. Also wird jemand eingeschleust: Brian. Er arbeitet undercover für die Polizei und ist in Doms Schwester verliebt..."
The Fast and the Furious,9799,movie,it,IT,Italian,Fast and Furious,"Per la strade di Los Angeles, gli amanti di motori e velocità competono in gare clandestine, sfrecciando su automobili dalle carene fiammanti e dai carburanti pompati a protossido di azoto. Incaricato di indagare su un clan di rapinatori che trafugano camion in corsa, il giovane agente Brian O'Conner si addentra sotto copertura nel mondo delle corse illegali entrando in contatto con il nerboruto Dominic Toretto, un esperto meccanico ed eccezionale pilota. Dopo aver perso una corsa contro di lui, Brian riesce a metterlo in salvo dalla polizia e da quel momento si aprono per lui le porte del garage e della famiglia di Toretto, dove non proprio tutti sono bendisposti ad accoglierlo."
The Fast and the Furious,9799,movie,fr,FR,French,Fast and Furious,"La nuit tombée, Dominic Toretto règne sur les rues de Los Angeles à la tête d'une équipe de fidèles qui partagent son goût du risque, sa passion de la vitesse et son culte des voitures de sport lancées à plus de 250 km/h dans des rodéos urbains d'une rare violence. Ses journées sont consacrées à bricoler et à relooker des modèles haut de gamme, à les rendre toujours plus performants et plus voyants, à organiser des joutes illicites où de nombreux candidats s'affrontent sans merci sous le regard énamouré de leurs groupies. À la suite de plusieurs attaques de camions, la police de L.A. décide d'enquêter sur le milieu des street racers. Brian, un jeune policier, est chargé d'infiltrer la bande de Toretto, qui figure, avec celle de son rival Johnny Tran, au premier rang des suspects."
The Fast and the Furious,9799,movie,tr,TR,Turkish,Hızlı ve Öfkeli,"Los Angeles sokaklarında geceleri yasa dışı yarışlara katılan Dominic Toretto, bir dizi soygunun şüphelisidir. Polis teşkilatının başarılı polislerinden Brian O'Conner da Toretto'yu yakalamak için onun sokak yarışı çetesine katılır. Ancak zamanla çete üyeleri ile samimi hale gelirken diğer yandan Toretto'nun kız kardeşine aşık olur. Artık Los Angeles polis memuru Brian O'Conner sadakatinin kime olduğuna karar vermelidir."
The Fast and the Furious,9799,movie,ru,RU,Russian,Форсаж,"Его зовут Брайан, и он — фанатик турбин и нитроускорителей. Его цель — быть принятым в автобанду легендарного Доминика Торетто, чемпиона опасных и незаконных уличных гонок. Но это лишь часть правды… Брайан также полицейский, имеющий задание войти в доверие к Торетто, подозреваемому в причастности к дерзким грабежам трейлеров, совершенным прямо «с колес».Но чем больше доверяет нахальному новичку харизматичный Доминик, тем больше проникается герой идеалами «ангелов дорог». И тем меньше ему хочется выполнять свою миссию. И вот, наступает момент, когда Брайану придется выбирать между дружбой и долгом. И выбирать на скорости в 200 километров в час…"
The Fast and the Furious,9799,movie,es,ES,Spanish,A todo gas,"Una misteriosa banda de delincuentes se dedica a robar camiones en plena marcha desde vehículos deportivos. La policía decide infiltrar a un hombre en el mundo de las carreras ilegales para descubrir posibles sospechosos. El joven y apuesto Brian entra en el mundo del tuning donde conoce a Dominic, rey indiscutible de este mundo y sospechoso número uno, pero todo se complica cuando se enamora de la hermana de éste."
The Fast and the Furious,9799,movie,nl,NL,Dutch,The Fast and the Furious,Domenic Toretto is de leider van een straatbende die er van verdacht wordt dure elektronische apparatuur gestolen te hebben. Een undercover agent probeert uit te vinden wie er verantwoordelijk is voor de diefstallen. Hij wordt verliefd op Domenic's jongere zus.
The Fast and the Furious,9799,movie,fi,FI,Finnish,Hurjapäät,"Yöllä Dom Toretto on Los Angelesin katujen kruunaamaton kuningas. Dom elää vauhdinmaailmassa kuin rock-tähti, öisin järjestettävissä laittomissa katuajoissa moottorijengit ottavatarmotta yhteen. Hurjapäisimmät ajajat nousevat legendoiksi. Ja Dom on legendojen legenda. Ainoa ongelma: poliisi epäilee Domia kallisarvoisen huipputeknologian varastamisesta ja soluttaaagentin hänen sisäpiiriinsä. Etsivä Brian O'Conner onnistuu tehtävässään yli odotusten ja päätyyDomin oikeaksi kädeksi. Sitten jotain odottamatonta tapahtuu: Brian rakastuu Domin sisareen. Kaduilla kumi palaa ja poliisin mielessä myllertää. Rakkaus vai velvollisuus?"
The Fast and the Furious,9799,movie,zh,CN,Mandarin,速度与激情,洛杉矶的年轻人都热衷于街头赛车，在这里，只要你拥有速度，你就拥有一切。新晋警官布莱恩（保罗·沃克 Paul Walker 饰）为了破获最近屡屡发生的飞车党劫车案而充当卧底，打入这里活跃的飞车党帮派中，搜集证据以期将罪犯乘之于法。布莱恩凭借高超的车技很快赢得了飞车党老大多米尼克（范·迪塞尔 Vin Diesel 饰）的欣赏和信任，并且很快和多米尼克的妹妹米娅（乔丹娜·布鲁斯特 Jordana Brewster 饰）堕入爱河。然而飞车党的第二把手文斯却是对布莱恩充满敌意，原来文斯一直暗恋米娅，而且布赖恩的到来威胁着他二把手的地位。这时，飞车党的成员们开始怀疑他们内部藏有奸细，布莱恩的日子开始不好过。而且和多米尼克接触越久，他们之间的友谊就越加深厚，布赖恩开始进退两难。
