titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Mission: Impossible III,956,movie,en,US,English,,"Retired from active duty, and training recruits for the Impossible Mission Force, agent Ethan Hunt faces the toughest foe of his career: Owen Davian, an international broker of arms and information, who's as cunning as he is ruthless. Davian emerges to threaten Hunt and all that he holds dear – including the woman Hunt loves."
Mission: Impossible III,956,movie,ru,RU,Russian,Миссия невыполнима 3,"Суперагент Итан Хант решил расстаться с оперативной работой и заняться подготовкой курсантов. Он даже решил жениться на привлекательной, ни о чём не ведающей Джулии. Руководство ЦРУ просит его принять участие в последней операции: спасении его бывшей ученицы Линдси Феррис из лап торговца оружием Оуэна Дэвиана. Мог ли Итан предположить, что за этим заданием последует целая череда смертельно опасных миссий в Ватикане, Нью-Йорке и Шанхае?"
Mission: Impossible III,956,movie,it,IT,Italian,Mission: Impossible III,"Ethan Hunt, in procinto di sposarsi con Julia, ha deciso di ritirarsi dalla squadra operativa della IMF per dedicarsi esclusivamente all'addestramento di nuovi agenti. Acconsente tuttavia a compiere una missione a Berlino per recuperare l'agente Lindsay, che era stata una sua valida allieva. È l'inizio di una serie di fatti che lo vedranno costretto a rischiare tutto ciò che ha di più caro nella lotta contro Owen Davian, un trafficante di armi estremamente pericolose, in combutta con apparati deviati dello stesso IMF."
Mission: Impossible III,956,movie,de,DE,German,,"Ethan Hunt hat sich zur Ruhe gesetzt und möchte mit der süßen Julia eine Familie gründen. Doch dann ruft man ihn zu einer allerletzten Mission. Hunts Kollegin Lindsey ist in die Fänge des gemeingefährlichen Psychopathen Owen Davian geraten. Die folgende interkontinentale Hatz führt den Superagenten über Berlin und den Vatikan bis ins fernöstliche Schanghai, wo es zum Showdown kommt. Dort muss Hunt seine inzwischen von Davian entführte Julia befreien und eine Zeitbombe, die unter seiner Schädeldecke tickt, deaktivieren."
Mission: Impossible III,956,movie,fr,FR,French,Mission : Impossible 3,"Ethan Hunt a quitté Mission Impossible. Il forme désormais les futurs agents du gouvernement américain. Un poste qui devrait enfin lui permettre de mener une existence tranquille auprès de sa femme Julia. Mais quand Lindsey, l'une de ses élèves, est kidnappée à Berlin par Owen Davian, un trafiquant d'armes, Ethan se sent obligé de lui porter secours et repart, sans hésiter, en mission pour la libérer."
Mission: Impossible III,956,movie,nl,NL,Dutch,,"Geheim agent Ethan Hunt wordt vastgehouden. Hij dreigt te worden neergeschoten voor de ogen van zijn vrouw. Het begin van een kat-en-muis-spel, waarbij Hunt alle special agents die hij vertrouwt, nodig heeft om zichzelf én zijn vrouw te redden."
Mission: Impossible III,956,movie,zh,CN,Mandarin,碟中谍3,伊森（汤姆·克鲁斯 Tom Cruise 饰）曾是任职于特殊部门的秘密特工，自从一位名叫茱莉亚（米歇尔·莫娜汉 Michelle Monaghan 饰）的美丽女子出现在他的生命里后，伊森决定金盆洗手，卸甲归田。遗憾的是，好景不长，幸福的生活还没过多久，伊森便接到了徒弟林德赛（凯丽·拉塞尔 Keri Russell 饰）被死对头戴维恩（菲利普·塞默·霍夫曼 Philip Seymour Hoffman 饰）掳走的消息。戴维恩冷酷又凶残，林德赛落入他的手中可谓是凶多吉少。为了解救林德赛，伊森重操旧业，他组织了一支精干的特工小组，向着目标人物发起了进攻。让伊森没有想到的是，戴维恩的真正目标并不是林德赛，而是茱莉亚，当爱妻落入敌手之时，伊森会做出怎样的反击？
Mission: Impossible III,956,movie,tr,TR,Turkish,Görevimiz Tehlike III,Gizli ajan Ethan Hunt beyazperdeye geri dönerken bugüne kadar karşılaştığı en amansız rakibini de yanında getirdi. Hunt ile ekibi bugüne kadar izini kimsenin takip edemediği silah satıcısı ve bilgi sağlayıcısı Owen Davian'a karşı zor bir göreve soyunuyor.
Mission: Impossible III,956,movie,es,ES,Spanish,Misión imposible 3,"Tras haber llevado a cabo diversas misiones, el agente especial Ethan Hunt se ha retirado del servicio activo y se ha prometido con su amada Julia. Pero, cuando es secuestrado uno de los agentes entrenados por él, volverá de nuevo a la acción. También tendrá que enfrentarse a Owen Davian, un individuo sin escrúpulos que trafica con armas y con información."
Mission: Impossible III,956,movie,pt,PT,Portuguese,Missão - Impossível 3,"O agente secreto Ethan Hunt volta a reunir-se com sua equipa de agentes. A sua missão é recuperar e destruir um vírus mortal desenvolvido por australianos, antes que este caia nas mãos erradas."
