titulo_original,tmdb_id,tipo,season,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Severance,95396,tv_season,1,en,US,English,,"At Lumon Industries, employees undergo ""severance,"" a procedure dividing their work and personal memories. Mark, a grieving team leader, begins to uncover the dark secrets of the company, forcing him and his coworkers to confront questions of identity, free will, and corporate control."
Severance,95396,tv_season,1,ru,RU,Russian,,"Сюжет рассказывает о Марке, сотруднике компании Lumon Industries, который соглашается на процедуру «разделения», в рамках которой его нерабочие воспоминания отделяются от рабочих."
Severance,95396,tv_season,1,pt,BR,Portuguese,,"A Lumon Industries pratica o procedimento de ‘ruptura’, que separa cirurgicamente memórias de trabalho das memórias não relacionadas ao trabalho de seus funcionários."
Severance,95396,tv_season,1,hu,HU,Hungarian,,"Mark irodavezető egy olyan helyen, ahol a dolgozók munkahelyi és magánéleti emlékeit műtéti úton kettéválasztották. Amikor egy titokzatos kolléga felbukkan a munkahelyen kívül, elkezdődik egy utazás, amely feltárja az igazságot a munkájukkal kapcsolatban."
Severance,95396,tv_season,1,it,IT,Italian,,"Mark guida un team di impiegati la cui memoria è stata chirurgicamente scissa per dividere i ricordi della vita lavorativa da quelli della vita privata. Quando un misterioso collega compare fuori dalla Lumon Corporation, inizia un viaggio alla scoperta della verità riguardo al loro lavoro."
Severance,95396,tv_season,1,es,ES,Spanish,,Mark lidera a un equipo de oficinistas cuyas memorias han sido divididas quirúrgicamente entre su trabajo y vidas personales. Se embarcan en un viaje para descubrir la verdad sobre su trabajo… y ellos mismos.
Severance,95396,tv_season,1,ja,JP,Japanese,,
Severance,95396,tv_season,1,ko,KR,Korean,,직장 생활과 개인의 삶을 단절하는 실험에 참여한 마크. 그가 풀리지 않는 수수께끼 속에서 업무에 숨겨진 진실과 자신의 진짜 모습을 마주하며 실험은 의문에 휩싸이는데...
Severance,95396,tv_season,1,de,DE,German,,"Bei Lumon Industries unterziehen sich die Mitarbeiter einer ""Abtrennung"", einem Verfahren, das ihre beruflichen und persönlichen Erinnerungen trennt. Mark, ein trauernder Teamleiter, beginnt, die dunklen Geheimnisse des Unternehmens aufzudecken, was ihn und seine Kollegen zwingt, sich mit Fragen der Identität, des freien Willens und der Unternehmenskontrolle auseinanderzusetzen."
Severance,95396,tv_season,1,el,GR,Greek,,
