titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Live and Let Die,253,movie,en,US,English,,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.
Live and Let Die,253,movie,de,DE,German,James Bond 007 - Leben und sterben lassen,James Bond soll in New York mysteriöse Mordfälle an mehreren britischen Agenten untersuchen. Doch bald schon gerät er selbst in das Visier des Gangsterbosses Mr. Big.
Live and Let Die,253,movie,it,IT,Italian,Agente 007 - Vivi e lascia morire,"L'agente segreto James Bond lascia l'Inghilterra per il nuovo continente, con il compito di indagare sulla morte di tre suoi colleghi assassinati nello stesso giorno. Da New Orleans le tracce lo conducono a Sainte-Monique, un'isola dei Caraibi sulla quale il dottor Kananga - un uomo di colore che si fa chiamare anche Mister Big - ha installato la centrale operativa di un colossale traffico di droga. Con questa intende invadere gli Stati Uniti per annichilirne i bianchi e ridurre il Paese in suo potere..."
Live and Let Die,253,movie,sv,SE,Swedish,Leva och låta dö,"Tre brittiska agenter dödas på en och samma dag, men på olika platser i världen. Till att börja med verkar det inte finnas något samband. Agent 007 James Bond får i uppdrag att undersöka morden, och spåren leder honom till den internationelle diplomaten Katanga, allierad med Mr Big - Harlems värsta gangster."
Live and Let Die,253,movie,ru,RU,Russian,007: Живи и дай умереть,"Торговля наркотиками в США принимает угрожающие масштабы. Подрывается генофонд нации, от былой экономической мощи не остается и следа. Виной всему является таинственный наркобарон, король преступного мира Доктор Кананга. Остановить злодея берется суперагент Джеймс Бонд. Для него нет ничего невозможного, ведь он экипирован новейшими разработками шпионской мысли. Кроме того, умело используя свои таланты в обращении с женским полом, он с легкостью получает любую интересующую его информацию."
Live and Let Die,253,movie,fr,FR,French,Vivre et laisser mourir,"007 est appelé à la rescousse pour mettre fin à l'hécatombe meurtrière qui décime les agents secrets britanniques. Enquêtant à New York, dans le quartier de Harlem, il affronte un caïd de la drogue, le redoutable Docteur Kananga et sa comparse, l'étrange Blanche Solitaire."
Live and Let Die,253,movie,tr,TR,Turkish,Yaşamak İçin Öldür,"New York'ta uluslarası bir uyuşturucu kaçakçılığı olayını araştıran bazı İngiliz ajanları esrarengiz şekilde öldürülür. Bütün cinayetler, Harlem'li bir suç lordu olan Mr.Big ve bir diplomat olan Katanga'yla bağlantılı gözükmektedir.Olayı araştırması için James Bond New York'a gönderilir. Daha şehre geldiği anda Mr. Big'in adamları tarafından öldürülmeye çalışılan Bond, bu saldırıdan kurtulur ve kendisini öldürtmek isteyen Mr. Big'i araştırırken milyarlarca dolarlık dev bir uyuşturucu operasyonunun merkezinde olduğunu anlar."
Live and Let Die,253,movie,da,DK,Danish,Lev og lad dø,"Da tre britiske agenter bliver dræbt, får James Bond til opgave at opklare mordene. Jagten på gerningsmændene fører ham til bl.a. USA og Caribien, og her kommer han på sporet af en narkoring ledet af den ondsindede diplomat Kananga alias Mr. Big. Han har en plan om at oversvømme USA med stoffer - og derved underlægge sig det meste af den vestlige verden. James Bond får sin sag for - blandt andet fordi Kananga bruger voodoo-forbandelser mod ham!"
Live and Let Die,253,movie,es,ES,Spanish,Vive y deja morir,"En tan sólo veinticuatro horas, tres agentes del servicio secreto británico que investigaban una red de tráfico de drogas aparecen asesinados en extrañas circunstancias. Todas las pistas conducen a Mr. Big, y a un diplomático llamado Katanga. El agente 007, James Bond, es enviado a Nueva York para investigar al enigmático personaje."
Live and Let Die,253,movie,hu,HU,Hungarian,Élni és halni hagyni,"James Bond egyszerű ügyben kezd vizsgálódni, de hamarosan észreveszi, hogy rejtélyes merényletek céltáblájává vált. Ellenfelei ezúttal a fekete mágia alkalmazásától sem riadnak vissza. Lassan kiderül, hogy az egész ügy hátterében Kananga áll, akit az alvilágban csak Mister Big néven ismernek. Mivel több tonna heroin forog kockán, a bűnöző nem ismer tréfát. Igencsak megszorongatná Bond nyakát, ha az nem lelne szövetségesre Solitaire-ben, a gyönyörű jósnőben. És nem olyan könnyű térdre kényszeríteni a 007-es ügynököt, aki holtbiztosan üt és lő, de semmi sem hozza ki sodrából. Meg sem kottyan neki néhány éhes krokodil vagy részvétel egy véres voodoo-szertartáson. Egyetlen gyengéje talán a gyengébb nem. De James Bondot nem kell félteni."
Live and Let Die,253,movie,nl,NL,Dutch,,"Met charme, humor en zelfverzekerdheid kruipt Roger Moore voor de eerste keer in de huid van de minzame, wereldwijze - en dodelijke - Agent 007. Hij moet zich direct in een allesbeslissende strijd storten tegen een beruchte drugsbaron die ten doel gesteld heeft om Bond uit de weg te ruimen en de wereld te veroveren."
Live and Let Die,253,movie,fi,FI,Finnish,007: Elä ja anna toisten kuolla,"Aseinaan pettämätön charmi, terävä äly ja murhaava itseluottamus Roger Moore astuu hurmaavan, sivistyneeni- ja tappavan - agentti 007:n saappaisiin. Jännittävä ja energinen seikkailu, jossa muuan katala huumeparoni on päättänyt raivata James Bondin tieltään ja tainnuttaa sitten koko maailman narkoosiin!"
Live and Let Die,253,movie,cs,CZ,Czech,Žít a nechat zemřít,"Vražda v sídle OSN přivádí Bonda do USA. Stopy vedou do Orleansu, kde sídlí gang překupníků drog. Odtud se agent 007 vydává na tajemný ostrov San Monique v Karibském moři, ovládaný kultem Voodoo. Nebyl by první běloch, který by zde zemřel mysteriózní smrtí, jestliže se pokusí odhalit tajemství maskovaných plantáží, díky nimž může získat doktor Kananga tuny heroinu. Jakou roli v tomto případu sehraje Solitaire, žena, která dokáže předpovídat budoucnost z karet? Přivádí sice Jamese Bonda na stopu, ale zároveň její věštba znamená i ohrožení života."
Live and Let Die,253,movie,pt,PT,Portuguese,007 - Vive e Deixa Morrer,"Com charme, piada e firmeza, Roger Moore estreia-se como o cortês, sofisticado e mortífero 007 num empolgante e energético confronto com um infame barão da droga determinado a eliminar Bond."
Live and Let Die,253,movie,pl,PL,Polish,Żyj i pozwól umrzeć,"W ciągu 24 godzin zostają zabici trzej funkcjonariusze brytyjskiej Intelligence Service. Szef angielskiego wywiadu, znany pod pseudonimem ""M"", zaleca Jamesowi Bondowi zadanie odnalezienia zabójców. Podejrzanym jest Mr Big, czarnoskóry król nowojorskiego podziemia. Penetrując nocne kluby Nowego Yorku, Bond spotyka piękną wróżkę Solitaire, która jest prawą ręką dr. Kanangi, rezydującego na wyspie San Monique. Okazuje się nim Mr Big, który wiedzie podwójne życie. W pogoni za czarnoskórym gangsterem Bond i Solitaire przenoszą się na karaibską wysepkę gdzie agent 007 zapoznaje się bliżej z sektą wyznawców kultu voodoo..."
Live and Let Die,253,movie,he,IL,Hebrew,חייה ותן למות,"כר הפעולה הרחב שהיה לג'יימס בונד, בגילומו של שון קונרי, הוגבל בסרטו הראשון של רוג'ר מור, בתפקיד הסוכן הבריטי האגדי, יוצא להילחם נגד כנופייה בינלאומית, בלי להיעזר באביזרים המיוחדים שמאפיינים את כל הסדרה."
Live and Let Die,253,movie,zh,CN,Mandarin,007：你死我活,007（罗杰·摩尔 Roger Moore 饰）接到一单新任务，英国三名情报人员在美国遇害，英国政府却无法查出凶手，007赶赴异邦调查真相，意外发现这宗案件不仅与邪恶的巫术有关，还牵涉到一桩将牵动全世界的毒品案件。阴谋主使人坎南迦（亚菲特·克托 Yaphet Kotto 饰）在加勒比海上的巫岛实施着他的罪恶计划，他用巫术蛊惑愚弄着民众，并以此为幌子，内里进行疯狂的贩毒，企图成为全球毒枭。007勇闯巫岛，开始了危机重重的旅程，险象环生的过程中结识了岛上女主教罗茜，罗茜对坎南迦的统治深感不满，每次都助007顺利脱险，007再一次陷入美女的艳遇与战争的漩涡中。
Live and Let Die,253,movie,ja,JP,Japanese,007／死ぬのは奴らだ,ブードゥー教でハーレムを支配し、ソ連・スメルシュの一員でもある黒人犯罪王ミスター・ビッグは、海賊“血まみれモーガン”の財宝の金貨をアメリカ国内に持ち込み資金源としていた。イギリス秘密諜報部員007ジェームズ・ボンドはニューヨークに派遣され、FBIのデクスター主任やCIAのフェリックス・ライターと協力して調査を開始するが、すでにその情報を掴んでいたミスター・ビッグから手荒い歓迎を受ける。だが、霊感能力を持ち、ミスター・ビッグが妻にしようとしているソリテールが寝返り、ボンドは彼女とセントピーターズバーグへ向かうが、そこで彼女は奪い返され、フェリックス・ライターも鮫に片腕・片脚を食いちぎられた姿で送り届けられる。怒りに燃えるボンドは、ジャマイカでミスター・ビッグと最後の対決を行う。
Live and Let Die,253,movie,el,GR,Greek,"Τζέιμς Μποντ, Πράκτωρ 007: Ζήσε και Άσε τους Άλλους να Πεθάνουν","Μετά το θάνατο αρκετών Βρετανών πρακτόρων που ερευνούσαν κάποια υπόθεση ναρκωτικών, ο Τζέιμς Μπόντ φτάνει στη Νέα Υόρκη για να βρεθεί αντιμέτωπος με τον λαθρέμπορο Κανάνγκα, ο οποίος διακινεί ηρωίνη αξίας πολλών εκατομμυρίων δολαρίων."
