titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
GoldenEye,710,movie,en,US,English,,"When a powerful satellite system falls into the hands of Alec Trevelyan, AKA Agent 006, a former ally-turned-enemy, only James Bond can save the world from a dangerous space weapon that -- in one short pulse -- could destroy the earth! As Bond squares off against his former compatriot, he also battles Xenia Onatopp, an assassin who uses pleasure as her ultimate weapon."
GoldenEye,710,movie,fr,FR,French,GoldenEye,"Dans les derniers jours de la guerre froide, James Bond et son collègue et ami Alec Trevelyan s’introduisent dans l’usine soviétique de gaz neurotoxique Arkangel, afin de la détruire. Les deux hommes sont découverts et, au cours d’une violente bagarre, Trevelyan est fait prisonnier et est exécuté sous les yeux de Bond par le général soviétique Ourumov. Bond s’enfuit de façon spectaculaire. Il restera obsédé par son échec à sauver son ami. 9 ans plus tard, alors que l’Union Soviétique est devenue une constellation de nations indépendantes, James Bond rencontre Xenia Onatopp, une superbe créature qui joue au chat et à la souris avec lui. La partie se révèle pleine de charme mais aussi pleine de dangers."
GoldenEye,710,movie,it,IT,Italian,GoldenEye,"James ha un nuovo e pericoloso nemico da affrontare nella sua missione più recente. Aiutato dalla malavita russa, il suo infido nemico ha rubato un elicottero top-secret a la letale arma spaziale ""Goldeneye"" con cui intende distruggere il mondo occidentale. Solo James Bond può impedire la catastrofe in questo incredibile corsa mozzafiato."
GoldenEye,710,movie,sv,SE,Swedish,,"En avhoppad rysk general har tagit kontrollen över ett militärt satellitssystem. I fel händer kan det kontrollera världens kommersiella och militära datakommunikation. Bara en man kan ställa allt till rätta. Hans namn är Bond. James Bond. Det kalla kriget är slut och i den nya världen kan forna fiender bli bästa vänner, och gamla vänner bli dödliga motståndare..."
GoldenEye,710,movie,de,DE,German,James Bond 007 - GoldenEye,"Die russische Mafia-Gruppe Janus hat “Goldeneye”, zwei Satelliten, deren elektromagnetische Strahlen alle elektrischen Geräte im Umkreis eines anvisierten Ziels zerstören, in ihre Kontrolle gebracht. Der Chef dieser kriminellen Bande ist Ex-”006″ Alec Trevelyan, James Bonds ehemaliger Kollege. Zusammen mit der Computerspezialistin Natalya Simonova setzt sich 007 auf die Spuren des Verräters."
GoldenEye,710,movie,ru,RU,Russian,007: Золотой Глаз,"Джеймс Бонд отправляется в Россию на поиски террористов, захвативших управление новым секретным оружейным комплексом «Золотой глаз». Разработанное для уничтожения любого компьютерного оборудования, в руках негодяев это оружие превращается в мощнейший инструмент давления на правительства экономически развитых государств. Во время этой чрезвычайно опасной миссии Бонду приходится полетать на вертолёте-невидимке, взорвать бронепоезд, совершить увлекательную поездку на танке по Санкт-Петербургу и, конечно, соблазнить парочку длинноногих красоток."
GoldenEye,710,movie,nl,NL,Dutch,,"De Koude Oorlog is voorbij, maar de Russische maffia viert hoogtij en wil de wereld in haar macht krijgen. Gelukkig is er geheim agent 007 om daar een stokje voor te steken. Bond moet samen met Natalya het wereldgevaarlijke wapen Goldeneye uitschakelen."
GoldenEye,710,movie,tr,TR,Turkish,Altın Göz,"Güçlü bir uydu sistemi eskiden dost; şimdi düşman olan ellere geçtiğinde, dünyayı tek bir atışta yok edebilecek muhteşem bir uzay silahından kurtarabilecek tek kişi Ajan 007'dir!"
GoldenEye,710,movie,da,DK,Danish,,"Da det magtfulde russiske stjernekrigsvåben ""GoldenEye"" falder i hænderne på den tidligere britiske agent Alec Trevelyan, der nu er på fjendens hold, sætter den britiske regering deres bedste mand på opgaven - James Bond. Alec Trevelyan vil bruge våbenet til at skaffe sig selv masser af penge - og samtidig hævne sig på det England, som han hader. James Bond kommer hurtigt på sporet af Trevelyan, og under jagten på ham kommer han verden rundt, blandt andet til Rusland."
GoldenEye,710,movie,hu,HU,Hungarian,Aranyszem,"Lehet, hogy James Bondot eddig szinte csupa zöldfülűvel hozta össze a sors, ám mostani ellenfelét tényleg kemény fából faragták. Ez a mindenre elszánt bandita az orosz alvilággal is összeszűri a levet, csak hogy megkaparinthasson egy hétpecsétes titokként kezelt katonai helikoptert, majd megszerezze a legféltettebb és legveszélyesebb szovjet űrfegyvert is, az Aranyszemet. Ilyen arzenállal akár az egész nyugati civilizációt le lehet söpörni a föld színéről. És a 007-es ügynök éppen ezt akarja megakadályozni."
