titulo_original,tmdb_id,tipo,season,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Stranger Things,66732,tv_season,4,ar,AE,Arabic,Stranger Things 4,"يعود الظلام ليخيّم على بلدة ""هوكينز"" مع حلول عطلة الربيع، فيثير رعبًا غير مسبوق وذكريات مزعجة... وتهديدًا جديدًا ينذر بالشؤم."
Stranger Things,66732,tv_season,4,ar,SA,Arabic,Stranger Things 4,"يعود الظلام ليخيّم على بلدة ""هوكينز"" مع حلول عطلة الربيع، فيثير رعبًا غير مسبوق وذكريات مزعجة... وتهديدًا جديدًا ينذر بالشؤم."
Stranger Things,66732,tv_season,4,bg,BG,Bulgarian,,
Stranger Things,66732,tv_season,4,bs,BS,Bosnian,,
Stranger Things,66732,tv_season,4,cs,CZ,Czech,,"Těsně před jarními prázdninami se do Hawkinsu vrací temnota. Čeká nás nová porce hrůz, děsivých vzpomínek a taky úplně nové nebezpečí, ze kterého tuhne krev v žilách."
Stranger Things,66732,tv_season,4,da,DK,Danish,Stranger Things 4,"Mørket vender tilbage til Hawkins lige før forårsferien, hvilket udløser frygt, foruroligende minder – og en ildevarslende ny trussel."
Stranger Things,66732,tv_season,4,de,DE,German,Stranger Things 4,"Kurz vor den Frühlingsferien zieht in Hawkins erneut die Finsternis ein. Terror, schockierende Erinnerungen und eine unheilvolle neue Bedrohung lauern."
Stranger Things,66732,tv_season,4,el,GR,Greek,Stranger Things 4,"Με το ξεκίνημα των ανοιξιάτικων διακοπών, το σκοτάδι απλώνεται ξανά στο Χόκινς και πυροδοτεί νέο τρόμο, ανατριχιαστικές μνήμες και μια νέα απειλή."
Stranger Things,66732,tv_season,4,en,US,English,Stranger Things 4,"Darkness returns to Hawkins just in time for spring break, igniting fresh terror, disturbing memories — and an ominous new threat."
Stranger Things,66732,tv_season,4,es,ES,Spanish,Stranger Things 4,"Las tinieblas vuelven a Hawkins justo a tiempo para las vacaciones de primavera, y con ellas el terror, los recuerdos inquietantes... y una sobrecogedora amenaza."
Stranger Things,66732,tv_season,4,es,MX,Spanish,Stranger Things 4,"La oscuridad vuelve a Hawkins justo a tiempo para las vacaciones de primavera, lo que despierta el terror, los recuerdos... y una nueva e inquietante amenaza."
Stranger Things,66732,tv_season,4,fa,IR,Persian,فصل ۴,
Stranger Things,66732,tv_season,4,fi,FI,Finnish,Stranger Things 4,Pimeys palaa Hawkinsiin sopivasti kevätlomaksi. Pahaenteinen uusi uhka herättää kauhua ja tuo pintaan järkyttäviä muistoja.
Stranger Things,66732,tv_season,4,fr,CA,French,Stranger Things 4,"Les ténèbres enveloppent de nouveau Hawkins, juste au moment des vacances. De mauvais souvenirs s'éveillent, puis une nouvelle menace et d'autres horreurs se manifestent."
Stranger Things,66732,tv_season,4,fr,FR,French,Stranger Things 4,"Pendant les vacances de printemps, les ténèbres reviennent engloutir Hawkins, éveillant la terreur, ravivant des souvenirs angoissants et annonçant une nouvelle menace."
Stranger Things,66732,tv_season,4,he,IL,Hebrew,דברים מוזרים 4,"האפלה שבה להוקינס בדיוק לקראת חופשת האביב, ומעוררת אימה חדשה, זיכרונות מטרידים – וחשש למלחמה."
Stranger Things,66732,tv_season,4,hr,HR,Croatian,Stranger Things 4,Tama se vrati u Hawkins tik prije proljetnih praznika i posije strah te probudi uznemirujuća sjećanja... i zloslutnu novu prijetnju.
Stranger Things,66732,tv_season,4,hu,HU,Hungarian,Stranger Things 4.,"A sötétség visszatér Hawkinsba a tavaszi szünetben, és új rémületet, felkavaró emlékeket, valamint egy baljós új fenyegetést hoz magával."
Stranger Things,66732,tv_season,4,id,ID,Indonesian,Stranger Things 4,"Kegelapan kembali ke Hawkins tepat pada saat liburan musim semi, memicu teror baru, memori yang mengganggu, dan ancaman baru yang mencekam."
Stranger Things,66732,tv_season,4,it,IT,Italian,,"Il male torna a Hawkins giusto in tempo per le vacanze di primavera e porta con sé un rinnovato terrore, ricordi inquietanti e una nuova sinistra minaccia."
Stranger Things,66732,tv_season,4,ja,JP,Japanese,ストレンジャー・シングス 未知の世界 4,学校が春休みに入るのを待っていたかのように、ホーキンスを再び包む深い闇。そして、新たな恐怖と戦慄の記憶、今まで以上に不吉な予感が町に忍び寄る...。
Stranger Things,66732,tv_season,4,ka,GE,Georgian,,
Stranger Things,66732,tv_season,4,ko,KR,Korean,기묘한 이야기 4,봄 방학을 앞둔 호킨스에 또다시 어둠이 덮쳐온다. 그렇게 되살아난 공포와 과거의 괴로운 기억. 그러나 낯설고 불길한 존재의 위협은 이제 시작일 뿐이었으니.
Stranger Things,66732,tv_season,4,lt,LT,Lithuanian,,
Stranger Things,66732,tv_season,4,nl,NL,Dutch,Stranger Things 4,"Net voor de voorjaarsvakantie keert de duisternis terug naar Hawkins, wat nieuwe verschrikkingen, nare herinneringen en een onheilspellende dreiging met zich meebrengt."
Stranger Things,66732,tv_season,4,no,NO,Norwegian,Stranger Things 4,"Når vårferien nærmer seg, senker mørket seg nok en gang over Hawkins, og bringer med seg ny frykt, vonde minner – og en skummel ny trussel."
Stranger Things,66732,tv_season,4,pl,PL,Polish,,"W czasie wiosennych ferii nad Hawkins znów nadciąga mrok, stwarzając nowe zagrożenia i przywołując niepokojące wspomnienia oraz widmo wojny."
Stranger Things,66732,tv_season,4,pt,BR,Portuguese,,"As trevas retornam a Hawkins a tempo das férias, trazendo terror, lembranças perturbadoras e uma nova ameaça terrível."
Stranger Things,66732,tv_season,4,pt,PT,Portuguese,Stranger Things 4,"A escuridão regressa a Hawkins a tempo das férias da Páscoa, desencadeando um novo terror, memórias perturbadoras e uma sinistra nova ameaça."
Stranger Things,66732,tv_season,4,ro,RO,Romanian,,"Întunericul se întoarce la Hawkins tocmai la timp pentru vacanța de primăvară, aprinzând o groază proaspătă, amintiri tulburătoare – și o nouă amenințare de rău augur."
Stranger Things,66732,tv_season,4,ru,RU,Russian,Очень странные дела 4,"Тьма возвращается в Хоукинс как раз к весенним каникулам. С ней приходят тревожные воспоминания, новый ужас и очередная зловещая угроза."
Stranger Things,66732,tv_season,4,sk,SK,Slovak,,"Tesne pred jarnými prázdninami sa do Hawkinsu vracia temnota. Čaká nás nová porcia hrôz, desivých spomienok a tiež úplne nové nebezpečenstvo, z ktorého tuhne krv v žilách."
Stranger Things,66732,tv_season,4,sr,RS,Serbian,,
Stranger Things,66732,tv_season,4,sv,SE,Swedish,,
Stranger Things,66732,tv_season,4,th,TH,Thai,ซีซั่น 4,พลังชั่วร้ายกลับมาเยือนฮอว์กินส์อีกครั้งในช่วงสปริงเบรก โดยสร้างความหวาดผวา เหตุการณ์น่าสะพรึงกลัว และภัยคุกคามสุดอันตรายครั้งใหม่
Stranger Things,66732,tv_season,4,tr,TR,Turkish,Stranger Things 4,"Bahar tatilinde Hawkins'in üzerine bir kâbus gibi çöken karanlık; yeni dehşetleri, rahatsız edici anıları ve yeni bir felaket tehlikesini beraberinde getirir."
Stranger Things,66732,tv_season,4,uk,UA,Ukrainian,Дивні дива 4,"На весняних канікулах до Гокінса повертається темрява. Спалахують нові жахи, з’являються тривожні спогади… і нова моторошна загроза."
Stranger Things,66732,tv_season,4,uz,UZ,Uzbek,,
Stranger Things,66732,tv_season,4,vi,VN,Vietnamese,Cậu bé mất tích 4,"Bóng tối trở lại Hawkins vào đúng kỳ nghỉ xuân, khơi mào nỗi kinh hoàng mới, những ký ức đáng ngại và mối đe dọa đáng sợ mới."
Stranger Things,66732,tv_season,4,zh,CN,Mandarin,怪奇物语 第 4 季,适逢春假，黑暗再度笼罩霍金斯，带来了新的恐惧、令人不安的记忆，以及不祥的新威胁。
Stranger Things,66732,tv_season,4,zh,TW,Mandarin,第4季,霍金斯正值春假，黑暗再次降臨，引發了新的恐懼、令人不安的記憶——以及不祥的新威脅。
Stranger Things,66732,tv_season,4,eu,ES,Basque,,
Stranger Things,66732,tv_season,4,so,SO,Somali,,
Stranger Things,66732,tv_season,4,bn,BD,Bengali,,
Stranger Things,66732,tv_season,4,nl,BE,Dutch,,"Net voor de voorjaarsvakantie keert de duisternis terug naar Hawkins, wat nieuwe verschrikkingen, nare herinneringen en een onheilspellende dreiging met zich meebrengt."
Stranger Things,66732,tv_season,4,zh,HK,Mandarin,,春假來臨，黑暗卻再度籠罩霍金斯，引發新的恐懼、喚起不安記憶，新型態的不祥威脅也在此現形。
Stranger Things,66732,tv_season,4,zh,SG,Mandarin,怪奇物语 4,适逢春假，黑暗再度笼罩霍金斯，带来了新的恐惧、令人不安的记忆，以及不祥的新威胁。
Stranger Things,66732,tv_season,4,sl,SI,Slovenian,,
Stranger Things,66732,tv_season,4,hi,IN,Hindi,Stranger Things 4,"स्प्रिंग ब्रेक से ठीक पहले हॉकिंस में अंधकार लौट आता है, जिससे माहौल में नई दहशत तो फैलती ही है, खौफ़नाक यादें लौट आती हैं और एक नया, डराने वाला खतरा सामने दिखने लगता है."
Stranger Things,66732,tv_season,4,ms,MY,Malay,Stranger Things 4,"Kegelapan kembali ke Hawkins tepat ketika cuti musim bunga bermula lantas mencetuskan kegerunan baharu, ingatan dahsyat — dan ancaman baharu yang mengerikan."
Stranger Things,66732,tv_season,4,tl,PH,Tagalog,Stranger Things 4,"Nagbalik ang kadiliman sa Hawkins sa pagdating ng spring break, na may dalang bagong katatakutan, mga nakakabagabag na alaala — at malagim na bagong banta."
Stranger Things,66732,tv_season,4,lv,LV,Latvian,,
Stranger Things,66732,tv_season,4,de,AT,German,,
