titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Mission: Impossible,954,movie,en,US,English,,"When Ethan Hunt, the leader of a crack espionage team whose perilous operation has gone awry with no explanation, discovers that a mole has penetrated the CIA, he's surprised to learn that he's the prime suspect. To clear his name, Hunt now must ferret out the real double agent and, in the process, even the score."
Mission: Impossible,954,movie,ru,RU,Russian,Миссия невыполнима,"Агент ЦРУ Итан Хант оказался в положении подозреваемого в предательстве «крота», из-за которого погибли несколько членов его команды, включая руководителя группы Джима Фелпса. В живых осталась еще только коллега Ханта — жена Фелпса агент Клэр. Чтобы снять с себя обвинения в предательстве, Ханту надо найти настоящего «крота». Для его приманки он решает похитить базу данных ЦРУ в Лэнгли."
Mission: Impossible,954,movie,it,IT,Italian,,"Una lista, registrata su un floppy disk e valutata 20 milioni di dollari, rivela le vere identità dei più agguerriti agenti segreti in servizio dopo il 1989. Ethan Hunt e i suoi colleghi dell'IMF la cercano in un giro di dubbie verità, doppi giochi, complotti e tradimenti."
Mission: Impossible,954,movie,de,DE,German,,"Als eine Liste mit den Codenamen verdeckter Top-Agenten zum Verkauf angeboten wird, soll ein Team von Spezialagenten den Verräter auf frischer Tat überführen.Cruise spielt den Geheimagenten Ethan Hunt, der miterleben muss, wie seine Kollegen bei diesem Einsatz zu Tode kommen. Bei einem Treffen mit seinem Kontaktmann der CIA erkennt Hunt, daß hinter der Mission ein perfides Doppelspiel steckt. Als Überlebenden wird ihm die Schuld am Tod seines Teams angehängt. Um seine Unschuld zu beweisen, muß Hunt den wahren Maulwurf finden. Ob auf der Flucht vor Killerkommandos der Regierung, beim Eindringen in den Hochsicherheitstrakt der CIA oder gar am Dach eines Hochgeschwindigkeitszuges festgeklammert, Hunt muß alles daransetzen, seinen Verfolgern stets einen Schritt voraus zu sein und der schrecklichen Wahrheit Schritt für Schritt näher zu kommen..."
Mission: Impossible,954,movie,fr,FR,French,Mission : Impossible,"Ethan Hunt, un agent secret de haut niveau, est accusé de la mort de son équipe d'espionnage. Alors qu'il fuit les criminels du gouvernement, qu'il s'introduit dans la chambre forte la plus impénétrable de la CIA et qu'il se cramponne au toit d'un train à grande vitesse, Hunt se retrouve dans une course effrénée pour devancer ceux qui le poursuivent… et se rapprocher petit à petit d'une vérité bouleversante."
Mission: Impossible,954,movie,nl,NL,Dutch,,"Jim Phelps en zijn elite-team bereiden in Praag een minutieus plan voor om een computerdiskette met de identiteit van de Amerikaanse spionnen uit de handen van de vijand te houden. Het team, bestaande uit Ethan Hunt, Phelps' mooie vrouw Claire, Sarah Davies en een electronische expert, weet dat een diefstal gepland is op een ambassade-gala in Kiev."
Mission: Impossible,954,movie,zh,CN,Mandarin,碟中谍,中情局向以吉姆为首的特工小组发来指令，一名特工人员已经叛国，将在布拉格的领事馆窃取中情局在东欧潜伏的特工名单，一旦落入坏人手中，后果将不堪设想。他们奉命获取该特工窃取情报的证据，并将其与买家逮捕。很快，在吉姆的策划下，一线主力伊森·亨特和其他几名成员全部到位，不过当计划进行到一半时，情况突然急转直下，包括吉姆在内的小组成员相继殒命，情报失踪，只有伊森一人生还。精神几乎崩溃的伊森与上司见面，却因幸免遇难和帐户上突然多出的12万美元被指认为叛徒，原来失窃的是假情报，行动的真正目的是为了查出内奸。突出重围的伊森决定查出叛徒，而此时，同样侥幸生还的吉姆的妻子克莱尔与伊森重逢。
Mission: Impossible,954,movie,tr,TR,Turkish,Görevimiz Tehlike,"IMF görevinde olan Jim Phelps ve ekibi, IMF ekibinin içine sızmış bir köstebeği ortaya çıkartmaya çalışıyorlardır. Her şey yolunda giderken birden operasyon ters gitmeye başlar ve ekipte Ethan Hunt dışında herkes ölür. IMF merkezi, hainin o olduğunu düşünüyordur ve ona, bu yönde kanıtlar sunarlar. Fakat Ethan Hunt masum olduğunu biliyordur. Kendisini temize çıkarmak için kaçacaktır."
Mission: Impossible,954,movie,fi,FI,Finnish,Vaarallinen tehtävä,"IMF-ryhmä (Impossible Mission Force) saa tehtäväkseen estää CIA-agenttien nimiä sisältävän NOC-listan joutumisen erään asekauppiaan käsiin. Ethan Huntin johdolla ryhmä lähtee Prahaan kaappaamaan disketin. Vaikka tehtävä näyttääkin aluksi sujuvan suunnitelmien mukaan, ryhmä huomaa pian, että he ovat kävelleet suoraan ansaan. Tehtävä keskeytetään ja ainoat, jotka ovat jääneet henkiin, ovat Ethan ja Claire. Epäilyt petturuudesta nousevat esille, joten Ethan lähtee omalle tehtävälleen. Hän aikoo löytää kadonneen NOC-listan ja paljastaa petturin."
Mission: Impossible,954,movie,es,ES,Spanish,Misión imposible,"Ethan Hunt es un superespía capaz de resolver cualquier arriesgada situación con la máxima elegancia. Forma parte de un competente equipo dirigido por el agente Jim Phelps, que ha vuelto a reunir a sus hombres para participar en una dificilísima misión: evitar la venta de un disco robado que contiene información secreta de vital importancia."
