titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Fast Five,51497,movie,en,US,English,,"Former cop Brian O'Conner partners with ex-con Dom Toretto on the opposite side of the law. Since Brian and Mia Toretto broke Dom out of custody, they've blown across many borders to elude authorities. Now backed into a corner in Rio de Janeiro, they must pull one last job in order to gain their freedom."
Fast Five,51497,movie,cs,CZ,Czech,Rychle a zběsile 5,"Legendární Dom Toretto (Diesel) se v exotickém Rio de Janeiru spojuje s bývalým policajtemBrianem O’Connerem (Walker), který nyní stojí na opačné straně zákona. V patách mají bezcitného agenta Hobbse (Dwayne Johnson) a armádu zkorumpovaných policajtů pracujících pro krutého narkobarona. Toretto a O’Conner znovu svolávají gang z předchozích rychlých a zběsilých dobrodružství, aby se společně pustili do posledního úkolu – šílené loupeže v hodnotě sto milionů dolarů!"
Fast Five,51497,movie,de,DE,German,Fast & Furious Five,"Nachdem Brian und Mia Toretto Dom aus der Gefangenschaft befreit haben, müssen sie auf ihrer Flucht vor den Behörden viele Landesgrenzen überqueren. In Rio de Janeiro stehen sie erneut mit dem Rücken zur Wand und sind gezwungen, ein letztes Ding zu drehen - denn nur so können sie die langersehnte Freiheit erlangen. Während sie ein Elite-Team der besten Racer zusammenstellen, wird ihnen eines klar: Um ein für alle Mal aussteigen zu können, müssen sie sich einem korrupten Unternehmer stellen, der nichts mehr will, als sie tot zu sehen. Er ist allerdings nicht der Einzige, der hinter ihnen her ist. Dem kompromisslosen Federal Agent Luke Hobbs entkommt niemand."
Fast Five,51497,movie,it,IT,Italian,Fast & Furious 5,"Finiti a Rio De Janeiro dopo aver liberato Dom (Vin Diesel), Brian (Paul Walker) e Mia (Jordana Brewster) cercano di salvarsi affrontando due temibili nemici: un ricco affarista corrotto e soprattutto l'agente federale Luke Hobbs (Dwayne Johnson), che mette su una squadra all'unico scopo di mettere le mani sui fuggiaschi."
Fast Five,51497,movie,fr,FR,French,Fast & Furious 5,"Depuis que Brian et Mia Toretto ont extirpé Dom des mains de la justice, ils ont dû franchir de nombreuses frontières pour échapper aux autorités. Retirés à Rio, ils sont contraints de monter un dernier coup pour se faire blanchir et recouvrer leur liberté. Ils se constituent une équipe d'élite, réunissant les pilotes les plus avertis, conscients que leur seule chance d'être acquittés pour bonne conduite nécessite une confrontation avec l'homme d'affaires véreux qui souhaite les voir morts. Mais il n'est pas le seul à leurs trousses. L'impitoyable agent fédéral Luke Hobbs n'a jamais loupé sa cible. Affecté à la traque des fugitifs, lui et son équipe de choc élaborent un implacable dispositif d'assaut destiné à les capturer. Passant le Brésil au crible, Hobbs réalise combien la frontière qui sépare les bons des méchants est ténue. Il doit alors s'en remettre à son instinct pour acculer ses proies et éviter qu'un autre ne les débusque avant lui."
Fast Five,51497,movie,ru,RU,Russian,Форсаж 5,"Бывший полицейский Брайан О`Коннер вместе с бывалым лихачом Домиником Торетто совсем немного увлеклись жизнью вне закона. После того, как Брайан и Миа Торетто освободили Доминика, они не рискуют долго задерживаться на одном месте, так как являются желанной целью порядком недовольных копов."
Fast Five,51497,movie,zh,CN,Mandarin,速度与激情5,蛰伏2年之后，布莱恩（保罗·沃克 Paul Walker 饰）与多米尼克（范·迪塞尔 Vin Diesel饰）再度联手把火车中的神秘豪车盗走，遭到了警察和黑帮分子的火线追杀。布莱恩和米娅（乔丹娜·布鲁斯特 Jordana Brewster 饰）到里约寻找援兵，并与多米尼克会和。为了寻找多米尼克等人的下落，FBI王牌探员卢克（道恩·强森 Dwayne Johnson饰）挺身而出，组成精英部队，追查来到里约。他雇佣了丧夫的美丽女警艾莲娜（埃尔莎·帕塔奇 Elsa Pataky 饰），一同寻找多米尼克。与此同时，里约的地头蛇也对这些不速之客开火。三股势力开始相互缠斗。期间，因米娅怀孕，布莱恩决定陪她一起逃亡，所以多米尼克只得依靠昔日老友探寻新车的秘密。在罗曼、韩等人的帮助下，多米尼克终于找到了这辆车的秘密，并由此揭开了其中隐藏的一个不可告人的计划……
Fast Five,51497,movie,pt,PT,Portuguese,Velocidade Furiosa 5,"Dominic Toretto e sua equipa planeiam um grande assalto a um traficante poderoso de drogas das favelas do Brasil para comprar a liberdade, enquanto são seguidos por uma equipa de agentes especiais."
Fast Five,51497,movie,es,ES,Spanish,Fast & Furious 5,"Desde que Brian O'Conner y Mia Toretto sacaron a Dom Toretto de la cárcel, se han visto obligados a huir y cruzar muchas fronteras para evitar a la policía. Atrapados en Río de Janeiro, una vez más tienen que darse a la fuga si quieren conservar la libertad. Pero los tres saben muy bien que la única posibilidad que tienen de poner fin a esta situación es enfrentarse de una vez por todas al empresario corrupto que quiere verlos muertos. Pero éste no es el único que les sigue la pista."
Fast Five,51497,movie,da,DK,Danish,The Fast and Furious 5,"Brian O’Conner og Dom Toretto forbereder sig på et sidste stort kup, så de kan lægge deres brogede fortid bag sig og tage hul på en lysere fremtid. De samler det bedste hold i Rio de Janeiro for at udføre opgaven med en gevinst på 100 millioner dollars, men den benhårde FBI-agent Luke Hobbs og en flok af korrupte betjente er lige i hælene på dem. Men jo tættere Hobbs kommer sit bytte, des sværere får han ved at adskille de gode fra de onde."
Fast Five,51497,movie,sv,SE,Swedish,Fast & Furious 5,"Sedan Brian och Mia Toretto fritog Dom från häktet har de korsat många gränser för att kunna undvika myndigheterna. I Rio de Janeiro har de slutligen hamnat i en återvändsgränd och måste göra en sista stöt för att kunna vinna sin frihet. Medan de samlar ihop sitt gäng av toppförare vet de fortfarande att det enda sättet för dem att verkligen slippa undan är att konfrontera den korrupte affärsman som vill se dem döda. Men han är inte ensam om att vilja få tag på dem. Den hårdkokte FBI-agenten Luke Hobbs missar aldrig ett mål. När han får i uppdrag att sätta stopp för Dom och Brian sätter han ihop en insatsstyrka av elitpoliser och går till angrepp. Men under sin jakt över hela Brasilien inser Hobbs snart att det är omöjligt att skilja de onda från de goda. Nu måste han lita till sina instinkter för att fånga sitt byte, innan någon annan hinner ikapp dem."
