titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Fast X,385687,movie,en,US,English,,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever."
Fast X,385687,movie,nl,NL,Dutch,,"Er heerst nog steeds een zekere dreiging vanuit Cypher, die haar grootse plan aan het opzetten is. Dominic Toretto en zijn naasten worden daarnaast bedreigd door Dante, maar met een verleden als dat van Dominic lijken zijn andere vijanden hem ook niet vergeten. Tevens doet de mysterieuze Tess haar intrede. Aan welke zijde zij staat is nog niet duidelijk."
Fast X,385687,movie,pt,BR,Portuguese,Velozes & Furiosos 10,Dom Toretto enfrenta seu maior desafio até agora: a corrida para salvar a família de um inimigo cheio de rancor e fúria no volante.
Fast X,385687,movie,pt,PT,Portuguese,Velocidade Furiosa X,"Ao longo de várias missões, com probabilidades ínfimas de sucesso, Dom Toretto e a sua família foram mais espertos, mais corajosos e mais velozes do que os adversários que encontraram pelo caminho. Agora, confrontam o rival mais letal com que já se cruzaram: uma ameaça aterradora que emerge do lado mais obscuro do passado, movida pela sede de vingança e determinada a acabar com esta família e destruir tudo e todos os que Dom ama, para sempre. Em ""Velocidade Furiosa 5"", de 2011, Dom e a sua equipa neutralizaram o perigoso e poderoso traficante de droga brasileiro, Hernan Reyes, e delapidaram o seu império numa ponte do Rio De Janeiro. O que eles não sabiam é que o filho de Reyes, Dante, assistiu a tudo e passou os últimos 12 anos a conceber um plano que fará Dom pagar o maior dos preços."
Fast X,385687,movie,zh,CN,Mandarin,速度与激情10,昔日的死对头塞弗主动找上门来告知多米尼克和整个飞车家族都将遭遇危险。随后，多米尼克从“小无名氏”先生处得知飞车家族的几位朋友接到了假任务。为了拯救众人，多米尼克和莱蒂前往罗马救人，而把小儿子托给米娅和雅各布照顾。在罗马的交锋中，唐老大发现对手叫但丁，是毒枭赫南·雷耶斯的儿子；而他却并不想让多米尼克和飞车家族立刻消失，而是要慢慢折磨他们，就连曾经帮助过飞车家族或是有关联的人也不会放过......
Fast X,385687,movie,fr,FR,French,Fast & Furious X,"Après bien des missions et contre toute attente, Dom Toretto et sa famille ont su déjouer, devancer, surpasser et distancer tous les adversaires qui ont croisé leur route. Ils sont aujourd’hui face à leur ennemi le plus terrifiant et le plus intime : émergeant des brumes du passé, ce revenant assoiffé de vengeance est bien déterminé à décimer la famille en réduisant à néant tout ce à quoi, et surtout à qui Dom ait jamais tenu."
Fast X,385687,movie,es,ES,Spanish,Fast & Furious X,"Durante numerosas misiones más que imposibles, Dom Toretto y su familia han sido capaces de ser más listos, de tener más valor y de ir más rápido que cualquier enemigo que se cruzara con ellos. Pero ahora tendrán que enfrentarse al oponente más letal que jamás hayan conocido: Un terrible peligro que resurge del pasado, que se mueve por una sangrienta sed de venganza y que está dispuesto a destrozar a la familia y destruir para siempre todo lo que a Dom le importa."
Fast X,385687,movie,de,DE,German,Fast & Furious 10,"Dominic Toretto ahnt nicht, dass seine Taten, die Jahre zurückliegen, tiefe Spuren bei dem mittlerweile mächtigen Dante hinterlassen haben. Dieser sinnt nun auf Rache und will die ganze Toretto-Familie auseinanderbringen. Es entbrennt eine Rachegeschichte, die alle Mitglieder der Original-Crew, aber auch Deckard Shaw, Bruder Jakob sowie den Neuzugang Tess auf den Plan ruft. Diese haben fortan alle Hände zu tun, um sich gegen den Gegenspieler sowie dessen Gefolgschaft samt Cipher und Aimes zur Wehr setzen zu können. Da Dom nicht jeden aus der großen Familie beschützen kann und der rachsüchtige Rivale vor nichts zurückschreckt, wird er vor die schwierigste Wahl seines Lebens gestellt: Wen wird er retten?"
Fast X,385687,movie,ru,RU,Russian,Форсаж 10,Дом Торетто и его семья становятся мишенью для мстительного сына наркобарона Эрнана Рейеса.
Fast X,385687,movie,th,TH,Thai,เร็ว...แรง ทะลุนรก 10,ใน Fast Five เมื่อปี 2011 ดอมและลูกทีมของเขาได้โค่นเฮอร์นาน เรเยส ราชันย์ยาเสพติดชาวบราซิลเลียนผู้ฉาวโฉ่และทลายอาณาจักรของเขาบนสะพานในกรุงริโอ เดอ จาไนโรลง สิ่งที่พวกเขาไม่รู้คือ ดันเต้ (เจสัน โมมัวจาก Aquaman) ลูกชายของเรเยส เป็นผู้เห็นเหตุการณ์ทุกอย่างและใช้เวลาตลอด 12 ปีที่ผ่านมาในการวางแผนการที่จะทำให้ดอมชดใช้อย่างสาสม  แผนการของดันเต้จะทำให้ครอบครัวของดอมต้องพลัดพรากกระจัดกระจายกันไป จากลอสแองเจลิส สู่สุสานในกรุงโรม จากบราซิลสู่ลอนดอนและจากโปรตุเกสสู่แอนตาร์กติกา จะมีการสร้างพันธมิตรหน้าใหม่และศัตรูเก่าก็จะปรากฏตัวอีกครั้ง แต่ทุกสิ่งเปลี่ยนแปลงไปเมื่อดอมได้รู้ว่าลูกชายวัย 8 ขวบของเขา (ลีโอ อาเบโล เพอร์รีจาก Black-ish) เป็นเป้าหมายสุดท้ายในการล้างแค้นของดันเต้
