titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
The Fate of the Furious,337339,movie,en,US,English,,"When a mysterious woman seduces Dom into the world of crime and a betrayal of those closest to him, the crew face trials that will test them as never before."
The Fate of the Furious,337339,movie,cs,CZ,Czech,Rychle a zběsile 8,"Dominic Toretto (Vin Diesel) zradil svou rodinu. V jedné z nejúspěšnějších filmových sérií všech dob je sice možné cokoliv, ale tohle je víc než automobilové seskoky padákem, průlety aut mezi mrakodrapy, nebo tažení obřího trezoru ulicemi Ria. Rychle a zběsile 8 rozhodně nepojede na neutrál. Na stranu zla přetáhla Doma legendární kyber-teroristka přezdívaná Cipher (Charlize Theron), která je stejně krásná jako nebezpečná. Není tedy divu, že Toretto naprosto ztratil hlavu a vykašlal se nejen na Letty (Michelle Rodriguez), ale i na všechny staré kámoše. Že s ním má Cipher jiné plány, než jsou romantické večeře při svíčkách, je nabíledni. Kombinace její inteligence a jeho svalů a řidičských schopností z nich mohou udělat neporazitelný tandem. Aby svět zůstal v rovnováze, převezme otěže v osiřelé rodině Hobbs (Dwayne Johnson), který do ní proti své vůli přibere nového člena – Deckarda Shawa (Jason Statham)"
The Fate of the Furious,337339,movie,it,IT,Italian,Fast & Furious 8,"Ora che Dom e Letty sono in luna di miele e Brian e Mia si sono ritirati ed il resto del gruppo è stato esonerato, il team giramondo ha trovato una parvenza di vita normale. Ma il gruppo sarà messo a dura prova come mai prima d'ora quando una donna misteriosa irretisce Dom per indurlo a ritornare al mondo del crimine, dal quale lui tenta invano di sfuggire e a fargli tradire coloro che gli sono più cari.  Dalle coste di Cuba e le strade di New York fino alle distese ghiacciate del Mare di Barents, la nostra squadra d'élite attraverserà il globo per impedire a un ribelle di scatenare il caos in tutto il mondo e per riportare a casa l'uomo che li aveva resi una famiglia."
The Fate of the Furious,337339,movie,ro,RO,Romanian,Furios și iute 8,"Un terorist cibernetic nemilos îl obligă pe Dom să se întoarcă împotriva lui Letty și a echipei, punând în pericol tot ce-au construit împreună. Dar nu va scăpa ușor."
The Fate of the Furious,337339,movie,fr,FR,French,Fast & Furious 8,"Maintenant que Dom et Letty sont en lune de miel, que Brian et Mia se sont rangés et que le reste de l’équipe a été disculpé, la bande de globe-trotteurs retrouve un semblant de vie normale. Mais quand une mystérieuse femme entraîne Dom dans le monde de la criminalité, ce dernier ne pourra éviter de trahir ses proches qui vont faire face à des épreuves qu’ils n’avaient jamais rencontrées jusqu’alors.  Des rivages de Cuba aux rues de New York en passant par les plaines gelées de la mer arctique de Barrents, notre équipe va sillonner le globe pour tenter d'empêcher une anarchiste de déchaîner un chaos mondial et de ramener à la maison l’homme qui a fait d’eux une famille."
The Fate of the Furious,337339,movie,de,DE,German,Fast & Furious 8,"Jetzt, da Dom und Letty ihre Flitterwochen genießen, Brian und Mia ausgestiegen sind und der Rest der Crew entlastet wurde, hat sich bei allen der Anschein eines normalen Lebens eingestellt. Doch als eine mysteriöse Frau Dom dazu verführt, in die Welt des Verbrechens zurückzukehren, der er einfach nicht entkommen kann, und er die verrät, die ihm am nächsten stehen, müssen sie sich Prüfungen wie noch nie zuvor stellen. Von den Stränden Kubas und den Straßen New York bis zu den eisigen Ebenen der arktischen Barentssee - für die Elitetruppe geht es kreuz und quer über den Globus, um eine Anarchistin daran zu hindern, Chaos auf die Welt loszulassen. Und um den Mann nach Hause zu holen, der aus ihnen eine Familie gemacht hat."
The Fate of the Furious,337339,movie,pt,PT,Portuguese,Velocidade Furiosa 8,"Agora que Dom e Letty estão em lua-de-mel, e Brian e Mia afastaram-se, e o resto do grupo foi exonerado, a equipa que corre o mundo encontrou algo semelhante a uma vida normal. Porém, quando uma misteriosa mulher seduz Dom para o mundo do crime, do qual parece não ser capaz de escapar, ele acaba por trair aqueles lhe são mais próximos, pondo-os à prova. Desde as margens de Cuba e as ruas de Nova Iorque até às planícies geladas do ártico do Mar de Barents, a nossa força de elite vai atravessar o mundo para impedir que um anarquista lance o caos no cenário mundial… e trazer de volta a casa o homem que os tornou numa família."
The Fate of the Furious,337339,movie,ru,RU,Russian,Форсаж 8,"Пристегните ремни — гонка продолжается. Гавана, Берлин, Нью-Йорк, для самой крутой команды в мире нет ничего невозможного, пока они вместе. Но когда на их пути окажется одна из самых красивых женщин на планете и по совместительству королева киберпреступности, дороги друзей разойдутся…"
The Fate of the Furious,337339,movie,he,IL,Hebrew,מהיר ועצבני 8,"כשנתיים אחרי, דומיניק טורטו ולטו נמצאים בירח הדבש שלהם, בעוד בריאן אוקונור ומיה פרשו מן המשחק, ואילו שאר חברי הצוות מפוזרים וחיים חיים נורמליים. אבל אז, הכול משתנה כאשר אישה מסתורית ורבת עוצמה העונה לשם סייפר מפתה את דום לתוך עולם של פשע וטרור שממנו הוא ככל הנראה לא מסוגל לברוח, מה שמוביל אותו לבגוד בחבריו."
The Fate of the Furious,337339,movie,tr,TR,Turkish,Hızlı ve Öfkeli 8,"Ekip artık sakinleşmiştir ve suçtan uzak bir hayat yaşamak istemektedir. Dom ve Letty evlenip balayına giderlerken, Brian ile Mia da emekli olmaya karar vermiştir. Ancak gizemli bir kadın olan Chiper, Dom’u hedefine almış durumdadır. Dom’u tekrar suça bulaşmaya ikna eden Chiper, onu sevdiği ve güvendiği insanlardan da ayıracaktır. Artık Dom’u durdurmanın tek yolu, ekibin geri kalanının peşlerine düşmesidir."
