titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Harry Potter and the Chamber of Secrets,672,movie,en,US,English,,"Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage."
Harry Potter and the Chamber of Secrets,672,movie,de,DE,German,Harry Potter und die Kammer des Schreckens,"Harry Potter könnte sich schönere Sommerferien vorstellen: Einerseits erträgt er nur schwer den herrischen Ton im Haus von Tante Petunia und Onkel Vernon Dursley, denen seine Zauberkunst nicht geheuer ist, andererseits haben ihn seine besten Freunde Ron Weasley und Hermine Granger offenbar vergessen, denn sie beantworten keinen seiner Briefe. Plötzlich taucht der geheimnisvolle Haus-Elf Dobby in Harrys Schlafzimmer auf und warnt ihn: Falls Harry nach Hogwarts zurückkehrt, schwebt er in großer Gefahr. Dobby will den jungen Gryffindor unbedingt davon abhalten, weiter auf die Schule für Hexerei und Zauberei zu gehen – deswegen hat er dafür gesorgt, dass Rons und Hermines Briefe nicht ankommen. Doch was der boshafte Elf auch anstellt – Harry lässt sich nicht beirren."
Harry Potter and the Chamber of Secrets,672,movie,fi,FI,Finnish,Harry Potter ja salaisuuksien kammio,"Autot lentävät, puut taistelevat vastaan ja salaperäinen tonttu varoittaa Harry Potteria hänen jatkaessaan uskomatonta matkaansa taikuuden maailmassa. Tänä vuonna Tylypahkassa hämähäkit puhuvat, kirjeet toruvat ja Harryn pelottava taito puhua käärmeille kääntää hänen ystävänsä häntä vastaan. Kaksintaistelukerhosta villeihin ryhmyihin tämä kouluvuosi on täynnä seikkailuja ja vaaroja kun verinen teksti seinällä julistaa: Salaisuuksien kammio on avattu. Tylypahkan pelastaminen vaatii Harryn, Ronin ja Hermionen kaiken rohkeuden ja taikakeinot tässä…"
Harry Potter and the Chamber of Secrets,672,movie,it,IT,Italian,Harry Potter e la camera dei segreti,"Harry Potter sta trascorrendo noiose vacanze estive presso gli zii, oltretutto senza aver ricevuto nemmeno un messaggio dagli amici Ron e Hermione. Colpa di Dobby, elfo domestico che ha intercettato la posta per convincere il ragazzo a lasciare la scuola di magia di Hogwarts dove lo attenderebbe un terribile pericolo. L'arrivo all'accademia coincide in effetti con una serie di strani e paurosi fenomeni: esseri pietrificati, scritte di sangue sui muri e soprattutto l'accenno a una misteriosa ""camera dei segreti"" che conterrebbe qualcosa di malefico. Quando il pericolo comincerà a riguardare i suoi amici Harry saprà risolvere la situazione."
Harry Potter and the Chamber of Secrets,672,movie,pt,PT,Portuguese,Harry Potter e a Câmara dos Segredos,"Harry Potter frequenta o segundo ano da «Hogwarts School», uma escola de bruxarias e feitiços. Ele é visitado por um duende doméstico chamado Dobby que o aconselha a não regressar à escola. Harry ignora este aviso e regressa. Ele continua famoso, mas detestado pelos Slytherins, e ainda mais por Snape e Malfoy. De repente, coisas estranhas começam a acontecer: as pessoas começam a ficar petrificadas e ninguém conhece a causa disso. Entretanto Harry continua a ouvir uma voz... uma voz que parece vir das paredes... lembra-se da história da Câmara dos Segredos - diz-se que só o verdadeiro descendente de Salazar Slytherin será capaz de abri-la..."
Harry Potter and the Chamber of Secrets,672,movie,nl,NL,Dutch,Harry Potter en de Geheime Kamer,Vlak voor zijn tweede jaar op de Hogwarts School voor Hekserij en Tovenarij wordt tovenaarsleerling Harry Potter door de elf Dobby gewaarschuwd dat zijn terugkeer op de school tot een ramp zal leiden.
Harry Potter and the Chamber of Secrets,672,movie,hu,HU,Hungarian,Harry Potter és a Titkok kamrája,"Harry Potter nyári vakációja nem a legjobban sikerült. Mindezt tetézi, hogy megjelenik nála Dobby, a házimanó, hogy figyelmeztesse, nagy veszély leselkedik rá a Roxfort Boszorkány- és Varázslóképző Szakiskola falai között. Harry és Ron lekési a Roxfort Expresszt, amely visszavinné őket az iskolába, így a repülő autóval indulnak útnak, nehogy elkéssenek az új tanév kezdetéről. Harry csakhamar megint az érdeklődés középpontjában találja magát, ugyanis az iskolában új rajongói akadnak, köztük a Feketemágia-ellenes Liga professzora, Gilderoy Lockhart. Lockhart különös módon egyre gyakrabban mutatkozik Harry társaságában. De még Lockhart sem képes megállítani az új és minden eddiginél gonoszabb hatalmat, amely az iskolát fenyegeti."
Harry Potter and the Chamber of Secrets,672,movie,sk,SK,Slovak,Harry Potter a Tajomná komnata,"Harry Potter sa po prázdninách vracia do Rokfortu a nastupuje do druhého ročníka. A to i napriek varovaniu domáceho škriatka Dobbyho, podľa ktorého mu v Rokforte hrozí smrť. V škole kúziel a mágie sa však skutočne začnú diať čudné udalosti. Na stenách sa objavujú neznáme nápisy a niektorí študenti sú prepadávaní tajomným prízrakom. Čo s tým má spoločné Tajomná komnata? Stojí za spiknutím opäť Voldemort? Záhadu sa Harry vydáva rozlúštiť spoločne so svojimi priateľmi - Ronom a Hermionou."
Harry Potter and the Chamber of Secrets,672,movie,ru,RU,Russian,Гарри Поттер и Тайная комната,"Гарри Поттер переходит на второй курс Школы чародейства и волшебства Хогвартс. Эльф Добби предупреждает Гарри об опасности, которая поджидает его там, и просит больше не возвращаться в школу. Юный волшебник не следует совету эльфа и становится свидетелем таинственных событий, разворачивающихся в Хогвартсе. Вскоре Гарри и его друзья узнают о существовании Тайной Комнаты и сталкиваются с новыми приключениями, пытаясь победить тёмные силы."
Harry Potter and the Chamber of Secrets,672,movie,fr,FR,French,Harry Potter et la Chambre des secrets,"Après de très mauvaises vacances passées chez ses odieux oncle et tante et son affreux cousin, Harry rejoint, non sans mal, l'École des Sorciers où, avec ses amis Ron et Hermione et l'aide ponctuelle de nouveaux venus, il parvient à élucider le mystère de la Chambre des secrets, malgré les pièges tendus par ses ennemis et sans le concours de Lockhart, un nouveau professeur fanfaron et lâche, chargé pourtant de vaincre les Forces du Mal."
