titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Never Say Never Again,36670,movie,en,US,English,,"James Bond returns as the secret agent 007 to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge."
Never Say Never Again,36670,movie,de,DE,German,Sag niemals nie,"Von einem Nato-Stützpunkt in England werden auf spektakuläre Weise zwei Atomraketen gestohlen. Als die Nato damit erpresst werden soll, schicken die Briten ihren Topagenten James Bond, um die nukleare Bedrohung abzuwenden, und die Gangster dingfest zu machen."
Never Say Never Again,36670,movie,it,IT,Italian,Mai dire mai,"Grazie a un piano molto sofisticato, la Spectre è riuscita a impossessarsi di due missili a testata nucleare e minaccia di far saltare mezzo mondo. Usa e Gran Bretagna possono risolvere la crisi solo pagando. All’agente segreto inglese James Bond viene affidato l’incarico di rintracciare il nascondiglio dell’organizzazione criminale... Verso la fine dell’era Roger Moore, una parentesi con il ritorno dello 007 originale, un po’ invecchiato ma in fondo senza età. Ironicamente, Connery gigioneggia e azzecca il confronto con la cattiva nicaraguegna Barbara Carrera. Un film fuori serie per ragioni contrattuali, senza logo e musica di rito, ma con l’inconfondibile marchio di fabbrica dell’attore scozzese."
Never Say Never Again,36670,movie,sv,SE,Swedish,,"Blofeldt, ledare för den internationella brottsorganisationen Spectre, låter en av sina bästa män, Largo, stjäla två kärnvapenladdade kryssningsrobotar. Bond får i uppdrag att stoppa Largo och Blofeldt."
Never Say Never Again,36670,movie,ru,RU,Russian,007: Никогда не говори «никогда»,"«Никогда не говори «никогда»» - 14-й фильм из серии фильмов о Джеймсе Бонде. Этот фильм не входит в официальную «Бондиану», так как не спродюсирован семейством Брокколи. Стилизованный римейк «Шаровой молнии» 1965 года. Бонд вновь противостоит главе организации СПЕКТР. Примечательны электронные игры с болевым эффектом. Действие фильма происходит в Англии, на Багамских островах, во Франции."
Never Say Never Again,36670,movie,fr,FR,French,Jamais plus jamais,"M, le chef des services secrets britanniques, n'aime pas les méthodes expéditives de James Bond, au contraire de son prédécesseur. De plus, il le trouve en petite forme, à l'issue des tests qu'il lui a fait subir. C'est ainsi que Bond a été ""poignardé"" par la fille d'un milliardaire qu'il venait de tirer des griffes de révolutionnaires qui l'avaient enlevée. Le résultat de cette simulation conduit M à envoyer Bond dans la clinique de Shrublands, non loin de Londres, pour s'y refaire une santé et éliminer ses toxines. Là, entre deux jus de céleri et une tisane au persil, il surprend, une nuit, une lutte entre Jack Petachi, un officier américain, et son infirmière, la troublante Fatima Blush. La jeune femme, membre du Spectre, a pour mission de surveiller Petachi dont l'œil droit a été opéré, de manière à en faire la réplique exacte de celui du Président. Élément clé d'une opération baptisée ""Les larmes d'Allah""."
Never Say Never Again,36670,movie,tr,TR,Turkish,Asla Asla Deme,"1965 yapımı James Bond filmi Thunderball'un bir yeniden yapımı olan Asla Asla Deme, Bond rolünün ilk ve belki de en iyi aktörü olan Sean Connery'i bir kez daha tehlikeli görevlere sokuyor.Ölümcül SPECTRE organizasyonu, bu kez dünayı yoketmekle tehdit etmektedir. Örgütün 2 numaralı adamı olan Maximilian Largo, 2 nükleer başlıklı füze ele geçirmiştir ve 1 numara Blofeld, NATO'yu, füzeleri büyük şehirlerde patlatmakla tehdit etmektedir.İngiliz Gizli Servisi, SPECTRE konusunda en tecrübeli ajanları olan 007'i tehlikeyi engellemekle görevlendirir. Bond ve Largo arasında nefes kesici bir savaş başlar."
Never Say Never Again,36670,movie,da,DK,Danish,,"Den hemmelige agent med licens til at dræbe, James Bond, må endnu en gang trække i arbejdstøjet, da forbryderorganisationen SPECTRE under ledelse af superskurken Blofeld har held med at stjæle to atommissiler. Jagten på forbryderne fører Bond til Bahamas - og lige i armene på den smukke Domino, der er kæreste med den luskede rigmand Max Largo. Largo har planer om at bruge atommissilerne som afpresning på verdensplan. Så Bond må gøre alt for at stoppe Largo, inden det er for sent."
Never Say Never Again,36670,movie,hu,HU,Hungarian,"Soha ne mondd, hogy soha","Amikor a nukleáris terrorizmus veszélye fenyegeti a világot, ki más háríthatná el a veszedelmet, mint a 007-es szuperügynök? James Bond Angliából a Bahamákra repül, onnan pedig Dél-Franciaországba, s közben mindenhová követi a gyönyörű, ám de életveszélyes Fatima Blush, aki mindenre képes, hogy végezzen kitűzött célpontjával."
Never Say Never Again,36670,movie,fi,FI,Finnish,007: Älä kieltäydy kahdesti,"Maailman turvallisuus on jälleen uhattuna, kun Ernst Blofeldin johtaman SPECTREn joukot varastavat Britanniassa sijaitsevasta Yhdysvaltain lentotukikohdasta kaksi ydinkärkeä. Brittien salaisen palvelun on kutsuttava 00-agentit takaisin palvelukseen saadakseen aseet takaisin. Tehtävän johtoon määrätään jo kertaalleen agentin hommista hyllytetty James Bond, jonka harteilla on nyt koko maailman turvallisuus."
Never Say Never Again,36670,movie,es,ES,Spanish,Nunca digas nunca jamás,"La temible organización criminal Spectra ha ideado un ingenioso plan que le permite conseguir dos proyectiles nucleares, los cuales harán estallar si el gobierno no cede a su chantaje. El agente 007 se encargará del caso."
Never Say Never Again,36670,movie,pt,PT,Portuguese,007 - Nunca Mais Digas Nunca,"Quando duas ogivas nucleares são roubadas pela maléfica organização Espectro, o Agente 007 envolve-se numa tensa corrida para salvar o mundo dos terroristas nucleares!"
Never Say Never Again,36670,movie,pl,PL,Polish,Nigdy nie mów nigdy,"Agenci pod dowództwem Ernsta Blofelda (Max von Sydow) włamują się do amerykańskiej bazy lotniczej i kradną z niej dwa myśliwce Tomhawk. Agent 007 (Sean Connery) zostaje wezwany przez kierownictwo, żeby odzyskać skradzione samoloty i zabić Blofelda. Niedługo potem przestępcza organizacja SPECTRE przejmuje dwa pociski jądrowe i James Bond wyrusza na misję, żeby je odnaleźć. Musi odzyskać uzbrojone głowice, zanim zostaną one wykorzystane, aby spowodować zagładę. Seria morderstw prowadzi go na trop Larga (Klaus Maria Brandauer), charyzmatycznego wrogiego agenta i jego niebezpiecznej asystentki Fatimy Blush (Barbara Carrera), pięknej morderczyni, która najpierw spędza noc z ofiarą, a później ją zabija. Bondowi pomaga nieoczekiwanie piękna kochanka Largo – Domino (Kim Basinger)."
