titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Mission: Impossible - Fallout,353081,movie,en,US,English,,"When an IMF mission ends badly, the world is faced with dire consequences. As Ethan Hunt takes it upon himself to fulfill his original briefing, the CIA begin to question his loyalty and his motives. The IMF team find themselves in a race against time, hunted by assassins while trying to prevent a global catastrophe."
Mission: Impossible - Fallout,353081,movie,fr,FR,French,Mission : Impossible - Fallout,"Alors qu'Ethan Hunt est chargé de récupérer du plutonium volé, il décide de sauver son équipe plutôt que de mener à bien cette mission. Les armes nucléaires se retrouvent ainsi dans les mains d'un groupe terroriste nommé « les Apôtres », formé après l'arrestation de Solomon Lane sur les restes du Syndicat. Ethan et son équipe de Mission Impossible doivent, contre leur gré, s'associer à un agent de la CIA pour retrouver le plutonium avant qu'il ne soit trop tard…"
Mission: Impossible - Fallout,353081,movie,de,DE,German,Mission: Impossible - Fallout,"Mit der Wiederbeschaffung gestohlenen Plutoniums beauftragt, stellt Ethan Hunt das Wohl seines Teams über die Vollendung der Mission, wodurch die Nuklearwaffen in die Hände der Apostel, einem tödlichen Netzwerk hochspezialisierter Terroristen, gelangen. Um den drohenden atomaren Holocaust zu verhindern, sind Ethan und sein IMF-Team zur Zusammenarbeit mit dem draufgängerisch agierenden CIA-Agenten Walker gezwungen. Es beginnt ein tödlicher Wettlauf gegen die Zeit ..."
Mission: Impossible - Fallout,353081,movie,da,DK,Danish,,"Tre atomsprænghoveder er blevet stjålet, og Ethan Hunt og hans team af IMF-agenter bliver sendt til Europa for at få fat i atomvåbnene igen. Missionen går galt, og samtidig undslipper terrororganisationen Apostlenes leder Solomon Lane fra fangenskab. Nu må Ethan Hunt, i samarbejde med den hårdhændede agent Walker og CIA, skaffe de farlige våben tilbage - og sætte Apostlene ud af spillet. Men hvem kan Ethan Hunt stole på?"
Mission: Impossible - Fallout,353081,movie,ru,RU,Russian,Миссия невыполнима: Последствия,"Итан Хант и его команда, а также недавно примкнувшие к ним союзники, вынуждены действовать наперегонки со временем, когда новая миссия идет не по плану."
Mission: Impossible - Fallout,353081,movie,tr,TR,Turkish,Mission: Impossible - Yansımalar,"Çalıntı plütonyumu kurtarmaya çalışırken tehlikeli bir göreve adım atan Ethan Hunt görevi başarmaktansa takımının hayatını kurtarmayı tercih ediyor ve nükleer silahlar medeniyeti yok etmeye niyetlenen oldukça marifetli ajanların tehlikeli ağına düşüyor. Dünya artık tehlikede; Ethan ve İmkansız Görevler Ekibi nükleer serpintiyi durdurmak için zamana karşı yarışırken sert bir CIA ajanıyla birlikte çalışmak zorunda kalırlar. Daha önce hiç böylesine yıkıcı bir tehdit, böylesine şaşırtıcı hareketler ve böylesine imkansız bir görev olmamıştı!"
Mission: Impossible - Fallout,353081,movie,bg,BG,Bulgarian,Мисията невъзможна: Разпад,"Итън Хънт, влиза в смъртоносна надпревара с времето, за да предотврати надвисналата над света ядрена заплаха. В привидно невъзможната мисия към Хънт се присъединява екипът му от АНМ – Агенцията за невъзможни мисии (Алек Болдуин, Саймън Пег, Винг Реймс) и няколко познати съюзници (Ребека Фъргюсън, Мишел Монахан)."
Mission: Impossible - Fallout,353081,movie,pt,BR,Portuguese,Missão: Impossível - Efeito Fallout,"Em uma perigosa tarefa para recuperar plutônio roubado, Ethan Hunt opta por salvar sua equipe em vez de completar a missão. Com isso, armas nucleares caem nas mãos de agentes altamente qualificados e que pertencem a uma rede mortal que deseja destruir a civilização. Agora, com o mundo em risco, Ethan e sua equipe da IMF são forçados a aliar-se a um obstinado agente da CIA."
Mission: Impossible - Fallout,353081,movie,zh,TW,Mandarin,不可能的任務：全面瓦解,劇情描述伊森韓特 在逮捕無政府恐怖組織「辛迪加」的領導人連恩後，接下新任務是阻止餘黨、以約翰拉克為首的12個「使徒」的瘋狂計畫，伊森韓特得早一步比「使徒」先拿到鈽元素，避免讓「使徒」在72小時內製造出核彈攻擊主要城市。然而，伊森韓特這項搶走鈽元素的任務執行失敗，他必須接受中情局的監督，讓中情局特務沃克 進入IMF團隊，並且借助盟友伊爾莎 的消息，合力再找回鈽元素。
Mission: Impossible - Fallout,353081,movie,hu,HU,Hungarian,Mission: Impossible 6. - Utóhatás,"Amikor Ethan Hunt eltökéli, hogy végrehajtja az eredeti megbízatást, a CIA megkérdőjelezi hűségét és indítékait. Az IMF csapata az idővel versenyez, miközben bérgyilkosoktól üldözve próbálnak megakadályozni egy világméretű katasztrófát."
