titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Mission: Impossible II,955,movie,en,US,English,,"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude."
Mission: Impossible II,955,movie,ru,RU,Russian,Миссия невыполнима 2,"Если мир внезапно оказывается перед лицом ужасной катастрофы, есть лишь один человек, который может исправить это ужасное положение. Его имя Итан Хант, он прирожденный специалист по разрешению самых неразрешимых ситуаций.Теперь у Итана — новый, строгий начальник, новая очаровательная возлюбленная, новый коварный противник и новое задание, которое простому смертному просто не по плечу."
Mission: Impossible II,955,movie,it,IT,Italian,Mission: Impossible 2,"Ethan Hunt è alle prese con una crisi internazionale di enorme gravità. Al fianco del genio dell'informatica Ving Rhames e della bellissima ladra Nyah Hall, Hunt attraversa l'Australia e la Spagna in una missione impossibile: fermare un gruppo di terroristi tedeschi prima che riescano a mettere in atto il loro piano distruttivo, il rilascio del virus ""Chimera""."
Mission: Impossible II,955,movie,de,DE,German,,"Agent Ethan Hunt genießt gerade seinen Urlaub beim Freiklettern, als ihn eine vom Hubschrauber überbrachte Nachricht zur Arbeit zurückruft: Der kriminelle Ex-Kollege Sean Ambrose hat mit seiner Gang ein todbringendes Virus in seinen Besitz gebracht. Nun gilt es, den Verräter schleunigst ausfindig und dingfest zu machen. Deshalb macht sich Ethan gemeinsam mit dem Computer-Genie Luther, dem Australier Billy und der attraktiven Meisterdiebin Nyah an die unmöglich scheinende Mission, das Virus zurückzuholen."
Mission: Impossible II,955,movie,fr,FR,French,Mission : Impossible 2,"L'agent Ethan Hunt doit récupérer et détruire un virus mortel, baptisé « la Chimère », qui a été dérobé par son ancien collègue Sean Ambrose. Ce dernier détient l'antidote et se terre dans un laboratoire de Sydney. Pour infiltrer son quartier général hautement sécurisé, Hunt et son assistant Luther Stickell tentent d'approcher Nyah Hall, l'ancienne petite amie de Sean."
Mission: Impossible II,955,movie,nl,NL,Dutch,,"Agent Ethan neemt het op tegen zijn vroegere wapenbroeder Sean Ambrose, een man die alles van hem heeft geleerd, maar nu zijn aartsvijand is geworden. Beide mannen azen op een genetisch gemanipuleerd virus, 'Chimera' genaamd."
Mission: Impossible II,955,movie,zh,CN,Mandarin,碟中谍2,一位医学博士研制出一种威力巨大的新型病毒“金美拉”，为保证运送安全请求中情局提供援助，不料被扮作伊森的前中情局特工肖恩谋害，并窃取了病毒资料。伊森受命找到肖恩并获取相关情报，而在这之前，伊森必须得到女神偷奈雅的帮助，因为奈雅是肖恩的前女友，是接近肖恩的唯一人选。在获取奈雅信任的同时，伊森和奈雅萌生爱意。在制造奈雅被捕的假情报后，肖恩如期将奈雅救出，接到自己住处，不过肖恩已经怀疑奈雅的到来另有图谋。伊森和奈雅终于在赛马场接头并获知了情报内容，而同时肖恩已经察觉奈雅不仅奉命卧底，还与伊森坠入爱河。怀恨在心的肖恩已经猜测出伊森将前去药厂销毁病毒，遂率人争夺，交战之中，奈雅为帮助伊森完成任务，将仅存的病毒注入自己体内，并要求伊森杀死自己，而伊森不忍下手，并承诺将会挽救奈雅。肖恩开始和制药厂老板交易病毒和解药，声称病毒将很快席卷世界，正在此时，伊森赶到，经过激烈搏斗，伊森终于夺回病毒和解药，结果了肖恩，并及时挽救了奈雅的生命。
Mission: Impossible II,955,movie,tr,TR,Turkish,Görevimiz Tehlike II,"Eski bir IMF ajanı olan Sean Ambrose, Chimera adlı ölümcül bir virüsü ele geçirmeye çalışmaktadır. Virüsü ve antivirüsünü kullanarak borsayı kontrolüne alarak bir servet yapmak isteyen Ambrose'un peşine Ethan Hunt düşer. Ethan, Ambrose'u bulabilmek için onun eski sevgilisi Nyah Hall'u kullanmaya karar verir. Ancak Nyah'ın büyüleyici güzelliği, Ethan'ın ona aşık olmasına ve önceliklerinin değişmesine sebep olur."
Mission: Impossible II,955,movie,es,ES,Spanish,Misión imposible 2,"El agente especial Ethan Hunt tiene una nueva misión: evitar que un despiadado ex-agente y ahora terrorista internacional se haga con un virus mortal que podría soltar sobre Australia causando millones de víctimas. Para evitarlo, contará otra vez con la inestimable ayuda del genio informático Luther Stickell, del experto conductor Billy Baird y de la presencia de la sensual y exótica ladrona internacional Nhye, que en el pasado mantuvo una relación sentimental con el criminal y que ahora se siente atraída por Hunt."
Mission: Impossible II,955,movie,fi,FI,Finnish,Vaarallinen tehtävä 2,"Maapallo on jälleen kiristyksen kohteena. IMF-agentti Ethan Huntin täytyy uuden tiiminsä kanssa etsiä rikolliseksi kääntynyt ex-agentti Sean Ambrose, jolla on hallussa erittäin vaarallinen Chimera-virus, jolla hän voisi tappaa miljoonia ihmisiä. Virologi Nekhorvich on labrassaan kehittänyt tämän hirviömäisen tappajaviruksen  pyrkiessään löytämään lääkkeen influenssaan. Toki mies on keksinyt myös vastalääkkeen, Bellerofonin, jota myös Ambrose tavoittelee isojen seteleiden toivossa. Hunt saa avukseen Nyah Hallin ja Lutherin lisäksi Ambrosen entisen tyttöystävän, jonka Hunt onnistuneesti värvää mukaan estämään Ambrosen aikeet. Tavallista kimurantimmaksi tehtävän tekevät sankarin tunteet kaunista ammattivarasta Hallia kohtaan: tyttö kun pitäisi soluttaa vihollisen petiin vakoilemaan. Apunaan Huntilla on taas vihoviimeisin hyperteknologia, mutta pahikset on varustettu samanmoisin vehkein, ja pian ovat hengenvaarassa paitsi tyttö, myös koko Australian pahaa-aavistamaton väestö."
