titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Indiana Jones and the Temple of Doom,87,movie,en,US,English,,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace."
Indiana Jones and the Temple of Doom,87,movie,de,DE,German,Indiana Jones und der Tempel des Todes,"Indiana Jones kehrt zurück! Nachdem er bei der Erringung eines Diamanten in einem Nachtclub in Shanghai beinahe vergiftet, erdolcht und erschossen wurde, flieht er mit einer halbhysterischen Clubsängerin und seinem jungen asiatischen Freund Short Round mit einem Flugzeug. Doch über Indien wird auch hier ein Mordversuch gegen sie ausgeführt und alle drei müssen abspringen. Sie gelangen in ein Dorf, aus dem heilige Steine und sämtliche Kinder entführt wurden. Die Spur führt zu einem Fürstenpalast im Dschungel, wo sie einem machtgierigen Jungfürsten auf die Spur kommen, der die Kinder in den Minen arbeiten läßt. Doch hinter ihm steht ein noch machtvollerer Sektenführer..."
Indiana Jones and the Temple of Doom,87,movie,it,IT,Italian,Indiana Jones e il tempio maledetto,"Nel 1935 l'archeologo Indiana Jones recupera per un potente di Shangai un prezioso cimelio. Ma le cose non vanno per il meglio e Indiana è costretto a fuggire su di un piccolo aereo insieme ad una cantante di cabaret e ad un ragazzino cinese che gli fa da guida. Abbandonato dai piloti, l'aereo precipita sulle montagne tibetane ai confini con l'India."
Indiana Jones and the Temple of Doom,87,movie,ru,RU,Russian,Индиана Джонс и Храм Судьбы,"Вторая часть невероятных похождений прославленного археолога и искателя приключений Индианы Джонса. В этот раз бесстрашный доктор Джонс совершит путешествие в сердце Гималаев вместе с ресторанной певичкой Уилли Скотт и своим верным маленьким помощником Коротышкой.Здесь, среди величественных гор, археологу и его спутникам предстоит столкнуться кровавым культом поклонения древней Богине Смерти — Кали."
Indiana Jones and the Temple of Doom,87,movie,sk,SK,Slovak,Indiana Jones a chrám skazy,"Harrison Ford ako archeológ a dobrodruh Dr. Indiana Jones našiel pre čínskeho zločinca Laoa relikvie – pozostatky mandžuského cisára Nurhačiho. Lao Che však nedá Indianovi sľúbený diamant, ale pokúsi sa ho otráviť. Indiana utečie s Laovou milenkou Willie a pri úteku mu pomáha malý Číňan Shorty. Podarí sa im uniknúť z padajúceho lietadla a dôjdu do indickej dedinky, ktorú postihlo nešťastie – maharadža z Pankotu odniesol posvätný kameň, ktorý dedinu chránil. Indiana Jones s Willie a Shortym ide do paláca a zistí, že sa tu konajú kruté obrady sekty Thugov s ľudskými obeťami. V bani pod palácom fárajú deti, odvlečené z dediny, a hľadajú ďalšie Šankrove kamene, ktoré sú tam údajne ukryté."
Indiana Jones and the Temple of Doom,87,movie,fr,FR,French,Indiana Jones et le Temple maudit,"L'archéologue Indiana Jones est obligé de fuir un cabaret de Shanghai après une négociation houleuse. En compagnie de la chanteuse Willie Scott et du petit Demi-Lune, il se retrouve sur un glacier himalayen, dans un village dont une secte a dérobé le diamant magique et enlevé les enfants afin de les sacrifier."
Indiana Jones and the Temple of Doom,87,movie,cs,CZ,Czech,Indiana Jones a Chrám zkázy,"Volné pokračování Dobyvatelů ztracené archy, které se však odehrává o rok dřív, roku 1935. Indiana se tentokrát v šanghajském klubu zaplete s čínským gangsterským bossem. Ve hře je zprvu ""jen"" stará čínská socha a vzácný diamant, záhy však i samotný Jonesův život."
Indiana Jones and the Temple of Doom,87,movie,pt,PT,Portuguese,Indiana Jones e o Templo Perdido,"Em viagem pelo Oriente, Indiana Jones junta-se à cantora ""Willie"" Scott e a um rapaz de doze anos para, numa aldeia rural da Índia, se unirem na busca de uma pedra sagrada e valiosa que desapareceu. Ali, encoberta pelas superstições dos aldeões, descobrirão uma perigosa seita religiosa de horror e morte e um templo perdido que nunca deveria ter sido reencontrado."
Indiana Jones and the Temple of Doom,87,movie,es,ES,Spanish,Indiana Jones y el templo maldito,"1935. Shanghai. El intrépido arqueólogo Indiana Jones, tras meterse en jaleos en un local nocturno, consigue escapar junto a una bella cantante y su joven acompañante. Tras un accidentado vuelo, los tres acaban en la India, donde intentarán ayudar a los habitantes de un pequeño poblado, cuyos niños han sido raptados."
Indiana Jones and the Temple of Doom,87,movie,tr,TR,Turkish,Indiana Jones: Kamçılı Adam,"Şangay’da bir gece kulübündeki kargaşadan son anda kaçan Indiana Jones, yanında uzakdoğulu küçük yardımcısı ve istemeden kader birliği ettiği genç ve çekici şarkıcı Willie olduğu halde, kendisini Hindistan’da bulur. Maceraperest arkeolog, küçük bir köydeki çocukları kaçırarak madende çalıştıran ve zulüm eden Thuggee tarikatıyla karşı karşıya gelir. Kana susamış bu şeytani tarikatın hedefi, yüz yıl önce İngiliz sömürgeciler tarafından yasaklanan korkunç eylemlerine devam etmek için madenlerde kaybolmuş olan kutsal elmasları bulmaktır."
Indiana Jones and the Temple of Doom,87,movie,nl,NL,Dutch,,"Indiana Jones, Short Round en de betoverende nachtclubzangeres Willie Scott, worden door het noodlot in eenzelfde avontuur samengebracht. Op weg naar India ontsnappen ze op het nippertje aan de dood."
Indiana Jones and the Temple of Doom,87,movie,sv,SE,Swedish,Indiana Jones och de fördömdas tempel,"Indy undkommer med nöd och näppe ett våldsamt slagsmål på en nattklubb i Shanghai, bara för att kraschlanda i Indiens regnskog där ondskans makter härjar. Barnen från en avlägsen by har kidnappats och används som slavar i en ointaglig gruva, och Indy måste rädda dem utan att själv möta samma fruktansvärda öde hos den onda Kali-sekten. Tillsammans med sin följeslagare Short Round och den motsträviga nattklubbssångerskan Willie Scott överlistar Indy de blodtörstiga skurkarna, och det går undan i svängarna när de jagas i en gruvvagn i den halsbrytande berg- och dalbanescenen."
Indiana Jones and the Temple of Doom,87,movie,pl,PL,Polish,Indiana Jones i Świątynia Zagłady,"""Indiana Jones i Świątynia Zagłady"" przyprawi Cię o drżenie serca, bowiem właśnie tu Indy odbywa szaleńczą i niezapomnianą jazdę kopalnianą kolejką, a wszystko, by wraz z piosenkarką Willie i sprytnym chłopcem - Shortem - ocalić dzieci uwięzione w pilnie strzeżonych podziemiach. Odkryj złowieszcze, żądne krwi czarne charaktery, nietypowe posiłki i zapierające dech w piersiach sekwencje, które sprawiły, że saga Indy'ego stała się jednym z najbardziej kultowych wydarzeń filmowych wszech czasów!"
Indiana Jones and the Temple of Doom,87,movie,hu,HU,Hungarian,Indiana Jones és a Végzet temploma,"Balul üt ki Indiana Jones tárgyalása a rettegett kínai bűnszervezet vezetőjével. Hősünk, oldalán Willie-vel, a bárénekesnővel és Picúrral, a kínai kisfiúval menekülni kényszerül Sanghajból. Indiában kötnek ki, ahol az egyik kis falu lakosai Jones segítségét kérik. Nem elég, hogy az oltárukról elrabolták a kincset érő varázserejű követ, de a maharadzsa emberei a gyermekeiket is magukkal hurcolták. Kiderül, hogy a tizenkét éves maharadzsa a gyilkos szekta befolyása alatt áll, melynek tagjai a Végzet Temploma alatti labirintusban dolgoztatják az elrabolt gyerekeket. Jones felveszi a harcot ellenük."
Indiana Jones and the Temple of Doom,87,movie,no,NO,Norwegian,Indiana Jones Og De Fordømtes Tempel,"Handlingen i De Fordømtes Tempel finner sted et år eller to før ""Jakten På Den Forsvunne Skatten"". Indiana Jones befinner seg denne gangen i India, og får i oppdrag å finne en dyrebar edelsten og samtidig redde flere unge gutter som er kidnappet fra en avsidesliggende landsby."
Indiana Jones and the Temple of Doom,87,movie,da,DK,Danish,Indiana Jones og templets forbandelse,"Året er 1935. Indiana Jones ankommer til Indien, der stadig hører under britisk styre. Han er blevet bedt om at finde nogle ædle, antikke juveler. I sin jagt på skatten støder han på en hemmelig sekt, der holder slaver og ofrer mennesker."
Indiana Jones and the Temple of Doom,87,movie,zh,CN,Mandarin,夺宝奇兵2：魔域奇兵,中国，印第安纳琼斯博士（Harrison Ford 饰）与上海黑帮老大交易，对方在换得努尔哈赤的骨灰后便背信弃义，欲灭琼斯之口。关键时刻，机灵小鬼豆丁（Jonathan Ke Quan 饰）救下琼斯博士和无故卷进的一位歌女威莉（Kate Capshaw 饰）。由于三人乘坐的飞机失事，跳机后，乘着橡皮艇，他们竟漂流到了印度的一个村子。这里河水干涸，庄稼尽毁，饥荒横行，民不聊生。当地人将之归咎为彭高皇宫的妖孽作怪，并将“从天而降”的琼斯一行视为神灵的化身，他们请求琼斯帮他们拿回被掳走的圣石和所有的小孩子。魔宫果然充满古怪，统治者是个小屁孩，贵族们吃水蛭、巨蟒、甲虫、猴脑，皇宫内部更是机关重重，误打误撞间，他们目睹到血腥的邪教献祭仪式……这一仗注定艰苦异常！
Indiana Jones and the Temple of Doom,87,movie,sr,RS,Serbian,Индијана Џоунс и уклети храм,"Радња другог филма у филмском серијалу Џорџа Лукаса и Стивена Спилберга одвија се годину дана пре догађаја из филма ""Отимачи изгубљеног ковчега"" (1984). Након кратког сукоба око драгоцене епрувете и дивље вожње низ помахниталу реку на Хималајима, Инди (Харисон Форд) почиње да се бави текућом проблематиком: како пронаћи драгоцени драгуљ и неколико отетих дечака и вратити их у забачено источноиндијско село. Овога пута, његови пратиоци су приглупа и лако страшљива певачица из ноћног клуба (Кејт Кепшо) и враголаст дванаестогодишњи клинац по имену Шорти (Џонатан Ке Кван). У филму је заплет у другом плану у односу на узбудљиву акцију која обухвата језиву вожњу кроз напуштено рударско окно и Индијево спашавање главне јунакиње од ритуелног обреда приношења жртве. Има и неколико шаљивих спомињања филма ""Отимачи изгубљеног ковчега"", пре свега духовите варијације на тему Индијевог пуцања у ратника Шерпаса."
Indiana Jones and the Temple of Doom,87,movie,he,IL,Hebrew,אינדיאנה ג'ונס והמקדש הארור,"אינדיאנה ג'ונס פועל הפעם בשירותם של כפריים הודיים המבקשים להשיב לעצמם אבן קדושה, שמהרג'ה מרושע גנב מן המקדש הארור."
Indiana Jones and the Temple of Doom,87,movie,ja,JP,Japanese,インディ・ジョーンズ／魔宮の伝説,1935年、上海。あるナイトクラブで殺されかけた考古学者にして冒険家のインディはクラブの歌姫ウィリー、現地の少年ショーティを連れて逃げだす。3人が乗った飛行機は墜落し、インドの山奥に不時着。3人は寂れた村にたどり着くが、そこでその長老から神の使いだと誤解される。村は謎の邪教集団に襲撃され、宝の石を奪われ、子どもたちを奪われたという。子どもたちの救出を依頼されたインディは教団の宮殿へと向かう。
Indiana Jones and the Temple of Doom,87,movie,el,GR,Greek,Ο Ιντιάνα Τζόουνς και ο Ναός του Χαμένου Θησαυρού,"Αυτή τη φορά ο αρχαιολόγος Δρ. Τζόουνς φτάνει στην Ινδία και ένα απελπισμένο χωριό του ζητάει να βρει μια μαγική πέτρα. Εκείνος δέχεται και κατά τη διάρκεια της αναζήτησής του θα πέσει πάνω σε μια αίρεση που σχετίζεται με τη δουλεία παιδιών, τη μαύρη μαγεία και την ανθρωποθυσία."
Indiana Jones and the Temple of Doom,87,movie,bg,BG,Bulgarian,Индиана Джоунс и храмът на обречените,"Професорът-археолог и вече легендарен герой се събира с певицата от нощен клуб Вилхелмина Скот - ""Уили"" и 12-годишния Шорт Раунд. Тримата са попаднали в малко индийско село, което е разтревожено от зли духове, отвличащи децата им след като е откраднат скъпоценен камък. Мистериозният страх се концентрира около храм, наречен ""Храм на обречените"" - а легендарните удушвачи-туги искат отново да властват чрез силата на всичките пет камъка ""санкара"". От Индиана Джоунс зависи да сложи край на акцията на тугите, да спаси изгубените деца, да спечели момичето и да покори храма!"
Indiana Jones and the Temple of Doom,87,movie,fi,FI,Finnish,Indiana Jones ja tuomion temppeli,"Elokuvan tapahtumat sijoittuvat vuoteen 1935. Indiana Jonesin pakomatka Shanghaista tyssää lyhyeen, kun hänen lentokoneensa törmää vuoreen ja hän päätyy kumppaneineen pieneen intialaiskylään. Salaperäisen kultin jäsenet ovat ryövänneet kylästä pyhän kiven sekä kaikki kylän lapset. Jones saa vastaansa pahuuden voimat ja pahansuovan kultin ylipapin, joka hänen on nujerrettava pelastaakseen lapset ja palauttaakseen kiven sen oikeille omistajille."
Indiana Jones and the Temple of Doom,87,movie,ca,ES,Catalan,Indiana Jones i el temple maleït,"Ara l'Indiana Jones arriba a l'Indià per trobar-se en un poble que viu sota una maledicció. Naturalment, farà tot el que pugui per ajudar els seus habitants."
Indiana Jones and the Temple of Doom,87,movie,ro,RO,Romanian,Indiana Jones și templul blestemat,"Cel de-al doilea film din seria Indiana Jones, regizat de marele Steven Spielberg, îl găsește pe temerarul arheolog și expert în fenomenele oculte în India. Aici, într-un sat uitat de lume și de civilizație, faimosul aventurier are o misiune extrem de grea. Ajutat de partenerii sai, un pusti de 12 ani cu o minte brici și un curaj nebun și un cântăreț de club de noapte, Indiana Jones trebuie sa găsească o piatra misterioasa despre care localnicii cred ca ar deține puteri supranaturale. După ce piatra a fost furata, copii au început sa dispară și localnicii pun acest val de nenorocirii pe seama dispariției acesteia. Cauza par a fi blestemele aruncate asupra satului de practicanți al unui cult demonic, al căror lăcaș este un templu la care pentru a ajunge, trebuie sa fii puțin nebun. Numai Indiana Jones poate remedia situația, după ce va trece, bineînțeles, printr-o serie de aventuri incredibile."
