titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
The Living Daylights,708,movie,en,US,English,,"After a defecting Russian general reveals a plot to assassinate foreign spies, James Bond is assigned a secret mission to dispatch the new head of the KGB to prevent an escalation of tensions between the Soviet Union and the West."
The Living Daylights,708,movie,de,DE,German,James Bond 007 - Der Hauch des Todes,"James Bond verhilft einem russischen General zur Flucht in den Westen. Von ihm erfährt er, dass der KGB in einer groß angelegten Aktion alle feindlichen Agenten töten will. Wenig später wird der General vor den Augen des Secret Service entführt. 007 schöpft einen Verdacht."
The Living Daylights,708,movie,it,IT,Italian,007 - Zona pericolo,"James Bond è impegnato in un'esercitazione durante la quale però deve eliminare un agente che gli ha sparato sul serio. Dopo questo prologo viene inviato a Bratislava per organizzare la defezione di Georgi Koskov, un generale del Kgb. Qui sventa un attentato organizzato da una graziosa violoncellista-spia. Si reca quindi in Afghanistan dove scopre che dietro a tutto si cela proprio Koskov.  007, dopo le gloriose stagioni Connery e Moore, si è riciclato nei panni di Timothy Dalton: ne risente la mitologia del personaggio, ma non la spettacolarità del suo cinema."
The Living Daylights,708,movie,sv,SE,Swedish,Iskallt uppdrag,"När ryssarna upptäcker att James Bond har organiserat den sovjetiske generalen Koskovs flykt verkställer de en plan, som går ut på att döda alla fiendeagenter.General Koskov fångas in av ryssarna och Bond slår sig ihop med en vacker cellist för att hitta honom. När Bond är med i leken går jakten inte i ett lugnt tempo..."
The Living Daylights,708,movie,ru,RU,Russian,007: Искры из глаз,"Чтобы остановить двойного агента, продажного сотрудника КГБ, бывшего генерала советских войск, снабжающего оружием террориста и наркобарона в Афганистане, агент 007 будет следовать за ним и побывает в скалах Гибралтара, в Чехословацком концертном зале, в Танжере и даже в той части Афганистана, где вовсю идут бои."
The Living Daylights,708,movie,tr,TR,Turkish,Günışığında Suikast,"James Bond, Rusya'dan kaçmaya çalışan bir Rus generale yardım ederken, onu öldürmeye çalışan güzel bir çellocu görür. Generalin kaçışı farkedilip tekrar ele geçirilince, Bond bu kez çellocunun peşine düşer. Viyana'dan Fas'a kadar süren maceraları, Afganistan'da gizemin çözülmesiyle sona erecektir."
The Living Daylights,708,movie,fr,FR,French,Tuer n'est pas jouer,"Après que Bond a aidé un officier soviétique à traverser le rideau de fer pour passer à l'Ouest, il découvre avec stupeur que celui-ci a été retrouvé et kidnappé. La piste le mène sur les traces d'une belle violoncelliste, Kara, qui va l'entraîner dans une suite de situations dangereuses, avec comme paroxysme une base militaire en Afghanistan où il doit stopper un trafic d'armes."
The Living Daylights,708,movie,da,DK,Danish,Spioner dør ved daggry,"James Bond hjælper den russiske general Koskov med at hoppe af til vesten, og da han er i sikkerhed, fortæller han, at russerne har genoplivet det hemmelige program ""Smiert Spionam"", hvis formål er at dræbe udenlandske spioner. Kort efter bliver Koskov bortført fra det landsted, hvor MI6 opbevarer ham, og for at finde Koskov igen, opsøger James Bond Koskov's kæreste, den smukke og hemmelighedsfulde cellist Kara Milovy. Det starter en kæde af begivenheder, der leder James Bond på sporet af en frygtelig våbenkonspiration, som har forbindelser til den øverste ledelse af den sovjetiske hær."
The Living Daylights,708,movie,es,ES,Spanish,Alta tensión,"El agente 007 se enfrenta a una nueva misión en Bratislava: ha sido designado expresamente por el general Koskov para que lo proteja al desertar de la KGB. Tras escapar hacia Austria, Koskov se reúne con la organización de Bond en Londres para ponerlos al corriente de los planes de general Puskin, que tiene la intención de asesinar a una serie de agentes británicos. Bond no cree la historia de Koskov, más aún cuando éste es capturado de nuevo por la KGB. Para dar con el paradero de Koskov, Bond regresa a Bratislav, donde encuentra a la novia del general, que también corre peligro. La ayuda a escapar, y descubre que Koskov se halla en Tanger junto al general Whitaker, traficante de armas."
The Living Daylights,708,movie,hu,HU,Hungarian,Halálos rémületben,"Egy ismeretlen alvilági szervezet sorra gyilkolja a nyugati világ legjobb titkosügynökeit, megbontva ezzel a kelet és a nyugat hidegháborús, langyos egyensúlyát. Bár az akció kétségtelenül a szovjetek malmára hajtja a vizet, kivételesen nem a KGB keze van a dologban, hanem egy köpönyegforgató orosz tábornoké, akinek egykor még maga James Bond segített nyugatra szökni. A 007-es ügynöknek azonban most el kell kapnia a tábornokot, akihez csak egyetlen módon kerülhet közel: ha megtalálja egykori barátnőjét, Karát, a cseh csellistalányt. Bondnak először őt kell kiszöktetnie az országból, majd rá kell jönnie, mire is megy ki a játék. Kalandjai során ópium- és fegyvercsempészekkel hozza össze a sors és belecsöppen az afgán háború közepébe is..."
The Living Daylights,708,movie,nl,NL,Dutch,,Een duister plan van de Russische KGB. Alle spionnen moeten over de kling worden gejaagd om de rust tussen Oost en West te verstoren. Als eerste moet de Dubbel-0 afdeling van de Britse Inlichtingendienst worden vernietigd. Agent 007 alias James Bond weet daar een stokje voor te steken. KGB-overloper Koskov (Jeroen Krabbé) speelt de Intelligence valse informatie toe. James Bond wordt naar het barre Afghanistan gelokt. Daar staat hij oog in oog met de levensgevaarlijke wapenhandelaar Whitaker.
The Living Daylights,708,movie,fi,FI,Finnish,007: Vaaran vyöhykkeellä,"Timothy Dalton on sulava, mutta tappava superagentti tässä turboladatussa toimintaseikkailussa, joka uhkaa jännityksen rajoja. Aseinaan erikoisvarustettu Aston Martin ja lupa tappaa, agentti 007 lähtee taisteluun vaarallista salaliittoa vastaan, jonka jäljet osoittavat suoraan Neuvostoliiton sotilasjohtoon..."
The Living Daylights,708,movie,cs,CZ,Czech,Dech života,"KGB má nový ďábelský plán: Série atentátů se podle něj stává osudnou pro agenty nepřátelských tajných služeb. Jméno Jamese Bonda v tomto seznamu smrti nechybí. Agent 007 však zařídí v Bratislavě útěk generála KGB Koskova, který ve skutečnosti pracuje pro britskou tajnou službu. Koskov obviní z úkladů svého protivníka Puškina, ale vzápětí je unesen sovětskými agenty. Bond se nyní musí Puškina zbavit a Koskova zachránit. Timothy Dalton je James Bond osmdesátých let. Nové příběhy Agenta 007 díky němu získaly tempo akčních filmů. Bratislavu musel za totality natočit John Glen především ve Vídni."
The Living Daylights,708,movie,pt,PT,Portuguese,007 - Risco Imediato,"James Bond é destacado para ajudar um general soviético a desertar para o Ocidente, tendo de ludibriar o KGB para o conseguir. Porém, após o general ser raptado, Bond começa a desconfiar que a deserção pode ser uma manobra de diversão para encobrir planos mais perigosos."
The Living Daylights,708,movie,pl,PL,Polish,W obliczu śmierci,"Timothy Dalton, debiutuje w piętnastym filmie o przygodach brytyjskiego szpiega. Tym razem agent musi sprostać wyjątkowo wymagającemu zadaniu. Ma za zadanie odkryć prawdziwe oblicze i zamiary pojmanego przez wywiad generała Koskowa oraz pięknej wiolonczelistki. Leonid Puszkin staje się jego sprzymierzeńcem, a akcja filmu przenosi Jamesa Bonda do Afganistanu, gdzie wraz z przywódcą ruchu oporu Kamran Shahem zamierzają wyeliminować Koskowa z gry."
The Living Daylights,708,movie,he,IL,Hebrew,באיזור מסוכן,"באמצע אימונים, סוכן ""00"" בריטי נרצח במפתיע. בינתיים, הסוכן ג'יימס בונד מנסה לסייע לסוכן ק.ג.ב רוסי לערוק. כאשר תכנית להרוג את כל אנשי הסוכנויות שפועלות נגד ה-ק.ג.ב מתגלה לבונד, הוא מחליט לבדוק באופן יסודי את כוונותיו של חברו הסובייטי החדש. סרטו של ג'ון גלן (רשיון להרוג - 007) עם טימות'י דלטון בתפקיד הסוכן השרמנטי."
The Living Daylights,708,movie,zh,CN,Mandarin,007：黎明生机,东西双方处于针锋相对的奇妙情势。克格勃内部有些人为了自己的私利，搞出了一系列的阴谋，首先是科斯柯夫假意向西方“投诚”，并道出克格勃准备进行一项名为“特务飞龙”的计划，目的是消灭00组的特工，007怀疑其动机，伪装刺杀，并查出科斯柯夫与军火贩子一起用购买军火的货款走私毒品，007得到反政府武装的支持，终于炸毁了毒品，科斯柯夫的计划彻底破产。
The Living Daylights,708,movie,ja,JP,Japanese,007／リビング・デイライツ,00メンバーらによるジブラルタルでのNATOの演習訓練中、「スパイに死を」との標札とともに、004が殺害された。訓練に参加していた007ことボンドは暗殺者を追跡。死闘の末に暗殺者を倒す。  その後、ボンドはソ連が支配する東側のチェコスロバキアにいた。ソ連の重要人物コスコフ将軍から、ボンドを名指ししての亡命の協力依頼が英国情報部に入りその任務のために現地へ潜入していた。先に潜入していた同僚のソーンダースとともに、クラシック演奏会場から脱出したコスコフを援護する。
The Living Daylights,708,movie,el,GR,Greek,"Τζέιμς Μποντ, Πράκτωρ 007: Με το Δάχτυλο στη Σκανδάλη","Ο Τζέιμς Μποντ βοηθά ένα υψηλόβαθμο στέλεχος της KGB να δραπετεύσει από την Τσεχοσλοβακία. Σε αντάλλαγμα, ο στρατηγός Κοσκόφ εκμυστηρεύεται στις Βρετανικές μυστικές υπηρεσίες ένα σχέδιο σύμφωνα με το οποίο η KGB σκοπεύει να εξοντώσει όλους τους Δυτικούς πράκτορες. Όμως, ο Κοσκόφ απαγάγεται από τους Σοβιετικούς και ο Τζέιμς Μποντ αναλαμβάνει να βρει τα ίχνη του."
The Living Daylights,708,movie,ro,RO,Romanian,Cortina de fier,"Timothy Dalton este suav, viclean și letal în debutul lui în rolul super agentului James Bond, în acest film de acțiune plin de aventuri palpitante. Înarmat cu instincte ascuțite, un Aston Martin plin de gadgeturi și permisul pentru a ucide, agentul 007 trebuie să se lupte cu traficanți de arme diabolici care s-au unit într-o conspirație terifiantă pentru dominație mondială care ar putea avea legături cu comandamentul înalt al armatei sovietice. În alte roluri îi veți regăsi pe Maryam d'Abo, Joe Don Baker, Art Malik și Jeroen Krabbé."
The Living Daylights,708,movie,ko,KR,Korean,007 리빙 데이라이트,지브롤터에서 00섹션 요원들의 모의훈련 도중 004가 의문의 죽음을 당한다. 한편 소련 고관 코스코프가 체코에서 망명을 하려하는데 이에 007이 돕게 된다. 이 과정에서 코스코프를 사살하려는 첼리스트 여자 저격수를 처치하려하나 이상한 예감에 가벼운 상처만 입힌다. 영국 정보부는 코스코프에게서 소련의 푸쉬킨 장군이 영국과 미국의 스파이를 암살하는 스미어트 스피어넘 작전을 진행 중이라는 정보를 얻게 되지만 이 모든 것은 무기 판매상 휘태커와 손잡은 코스코프가 푸쉬킨을 제거하려는 게획이었는데...
The Living Daylights,708,movie,pt,BR,Portuguese,007 Marcado para a Morte,"Georgi Koskov, um general dissidente da União Soviética, escapa da Cortina de Ferro com a ajuda de James Bond, mas logo é recapturado através de uma sensacional missão de resgate, que transforma o Serviço Secreto Inglês em uma grande chacota. A partir de então, 007 assume o caso e vê fatos surpreendentes ao conhecer Kara Milovy, uma violoncelista tcheca com quem se envolve. Bond acaba descobrindo uma grande trama ligada a Brad Whitaker, um grande comerciante de armamento bélico."
The Living Daylights,708,movie,no,NO,Norwegian,,"Timothy Dalton er elegant og dødelig som superagent James Bond i dette turbo-drivende action-evenyret. Armert med en Aston Martin smekkfull av finesser og sin rett til å drepe, må agent 007 stoppe en truende våpen-konspirasjon direkte tilknyttet det sovjetiske militærets øverste kommando."
The Living Daylights,708,movie,uk,UA,Ukrainian,007: Іскри з очей,"Агенту 007 належить відправитися в захоплюючий тур для того, щоб перешкодити генералові КДБ здійснити змову проти Великобританії. За допомогою нового автомобіля і секретних пристосувань, Джеймс Бонд всіляко намагається виконати свою роботу, не дивлячись на безліч загроз і небезпек."
The Living Daylights,708,movie,zh,TW,Mandarin,007：黎明生機,007系列電影，這回飾演龐德的是Timothy Dalton。故事敘述KGB當局在格別島上製造核子，英國派007執行代號為間諜之死的任務，但KGB可不是省油的燈！知道007要來就故意釋放假情報，企圖利用007借刀殺人，幸好在最後關頭被007識破，經過幾番鬥智之後，終於成功殲滅KGB的陰謀。
The Living Daylights,708,movie,bg,BG,Bulgarian,007: Живи светлини,"Джеймс Бонд се изправя сам срещу КГБ и алчните за пари търговци на оръжие, сражава се с частните армии на хероиновите барони и избягва опасните терористи. Шеметната история за контраразузнаване, измами и романтика прескача от върха на канара в Гибралтар до пищна концертна зала в Чехословакия, от касба в Танжер до далечните бойни полета на Афганистан."
The Living Daylights,708,movie,es,MX,Spanish,007: Su nombre es peligro,"James Bond ha sido designado expresamente por el general Koskov, un desertor de la KGB, para que lo proteja durante su estancia en Inglaterra. Reunido con los directivos del MI6, Koskov contará que, su compatriota, el general Pushkin tiene la intención de asesinar a varios agentes británicos... pero Bond tiene sus sospechas y pretendiendo ayudar a Kara Milovy, la linda chelista protegida de Koskov, irá hasta el fondo del asunto."
The Living Daylights,708,movie,lt,LT,Lithuanian,Į dienos šviesą,"Į Vakarus pabėga KGB generolas Kosovas. Netrukus jis praneša, kad jo kolega generolas Puškinas rengia prieš vakarų agentus operaciją „Mirtis šnipams"". Tačiau netikėtai Kosovas dingsta tiesiog iš specialiųjų tarnybų panosės. Ateina laikas įsikišti ir Bondui. Padedamas gražuolės generolo Koskovos meilužės Karos Milovi, jis užtinka dingusio saugumiečio pėdsakus. Kosovas pradėjo gudrų žaidimą su ginklų prekiautoju Bredu Vitakeriu. Jie ketina praturtėti prekyba naujausiais ginklais ir narkotikais. Ar Bondas jiems sutrukdys ir nubaus nusikaltėlius?..."
The Living Daylights,708,movie,th,TH,Thai,เจมส์ บอนด์ 007 ภาค 15: พยัคฆ์สะบัดลาย,บอนด์ (ทิโมธี ดาลตัน) ได้รับคำสั่งให้สังหารสายลับหญิง (มาเรียม ดี'อาโบล) ที่ปลอมตัวเป็นนักเชลโลหมายจะสังหารนายพลคอสค็อฟ (เจอเรน เครบเบ้) นายทหารเสนาธิการของรัสเซียที่แปรพักตร์มาเข้ากับฝ่ายโลกเสรี แต่บอนด์เจตนายิงพลาด เพราะไม่เชื่อว่าเธอต้องการสังหารจริง ๆ ก่อนที่ความจริงจะเผยว่า แท้จริงแล้วคอสค็อฟเพียงแค่เล่นละคร 2 หน้า ก่อนจะนำไปสู่การผจญภัยไปยังออสเตรียและจบลงที่กลางทะเลทราย ในอัฟกานิสถาน
The Living Daylights,708,movie,lv,LV,Latvian,Dzīvās ugunis,
The Living Daylights,708,movie,ca,ES,Catalan,Alta tensió,"James Bond és l'encarregat d'ajudar el general Koskov a passar a l'Occident. Durant l'operació Bond es nega a matar Kara Milovy, agent del KGB, que vigilava el desertor. Koskov confirma als anglesos les intencions bel·ligerants de la URSS i suggereix eliminar el general Pushkin. Un assassí a sou, Necros, segresta Koskov, però Bond descobreix que tot ha estat una farsa conduïda pel traficant d'armes Brad Whitaker. Bond i Kara aniran a parar a l'Afganistan i amb l'ajuda de la resistència afganesa plantaran cara als seus enemics."
The Living Daylights,708,movie,sk,SK,Slovak,James Bond: Dych života,"Mocná sovietska tajná služba KGB velí do útoku. Ohrození sú všetci agenti nepriateľských štátov a James Bond (Timothy Dalton) samozrejme na zozname ohrozených nesmie chýbať. Je tu však ešte nádej na odvrátenie celej hrozby. Kľúčovým mužom v celom Bondovom pláne je generál KGB Koskov (Jeroen Krabbé), ktorý pracuje pre Britániu. Keď sa Bondovi podarí oslobodiť ho v Bratislave, zdá sa, že MI-5 si môže pripísať ďalšie víťazstvo. Lenže čoskoro je Koskov opäť unesený sovietskymi agentmi a Bond vie, že cesta k nemu povedie cez agenta Puškina."
The Living Daylights,708,movie,fr,CA,French,Tuer n'est pas jouer,"Après que Bond a aidé un officier soviétique à traverser le Rideau de Fer pour passer à l'Ouest, il découvre avec stupeur que celui-ci a été retrouvé et kidnappé. La piste le mène sur les traces d'une belle violoncelliste, Kara, qui va l'entraîner dans une suite de situations dangereuses, avec comme paroxysme une base militaire en Afghanistan où il doit stopper un trafic d'armes."
The Living Daylights,708,movie,zh,HK,Mandarin,鐵金剛大戰特務飛龍,007系列電影，這回飾演龐德的是Timothy Dalton。故事敘述KGB當局在格別島上製造核子，英國派007執行代號為間諜之死的任務，但KGB可不是省油的燈！知道007要來就故意釋放假情報，企圖利用007借刀殺人，幸好在最後關頭被007識破，經過幾番鬥智之後，終於成功殲滅KGB的陰謀。
The Living Daylights,708,movie,sl,SI,Slovenian,James Bond: Dih smrti,"James Bond (Timothy Dalton) pomaga ruskemu generalu Georgiju Koskovu (Jeroen Krabbé) pri drznem prebegu na zahod. To se zgodi med koncertom v Bratislavi, kjer Bond opazi, da Koskova varuje čedna ostrostrelka Kara (Maryam d'Abo), ki je hkrati tudi čelistka v simfoničnem orkestru. Koskov v Angliji tajni službi MI6 pove za generala Pushkina (John Rhys-Davies), ki namerava pobiti vse zahodne vohune. Zato se je treba generala znebiti in to nalogo zaupajo agentu 007 Jamesu Bondu. Medtem Koskova ugrabijo iz njegovega skrivališča in kmalu postane Bondu vsa zgodba sumljiva; še toliko bolj, ko odkrije povezavo med Koskovim in fanatičnim preprodajalcem orožja, ameriškim generalom Bradom Whitakerjem (Joe Don Baker)."
The Living Daylights,708,movie,fa,IR,Persian,چراغهای روز زندگی,«ژنرال کوسکوف» (کرابه) از مأموران اطلاعاتی روسیه، با کمک «جیمز باند» (دالتن) به غرب پناهنده می شود تا اطلاعاتی را درباره ی عملکرد «ژنرال پوشکین» (ریس دیویز) از دیگر فرماندهان کا.گ.ب. لو بدهد. «کوسکوف» را گروهی ضربتی می ربایند و «باند» در جست و جوی قضیه به خود او مظنون می شود.
The Living Daylights,708,movie,et,EE,Estonian,Agent 007: Ohutsoonis,"Briti salaluure agent James Bond (Timothy Dalton) aitab vene salaagendil Georgi Koskov'il (Jeroen Krabbé) läände põgeneda, kuid Koskov röövitakse seal enda peamisest peidupaigast. Bond leiab jälje, mis viib ta veetleva Kara (Maryam d'Abo) juurde, kes aga oskab Bondiga sama hästi mängida, kui enda stradivari tsellol. Kui nad segavad loosse ka globaalse relva režiimi, on nad sunnitud osa võtma peadpööritavatest jälitustest, vanglasse sissemurdmisest ja võitlema Afganistaani kõrbes tankide, lennukite ja kohalike vabadusvõitlejatega."
The Living Daylights,708,movie,ka,GE,Georgian,ნაპერწკლები თვალებიდან,
