titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
A Minecraft Movie,950387,movie,en,US,English,,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve."
A Minecraft Movie,950387,movie,ko,KR,Korean,A MINECRAFT MOVIE 마인크래프트 무비,"왕년의 게임 챔피언이었지만 지금은 폐업 직전의 게임샵 주인이 된 '개릿'과 엄마를 잃고 낯선 동네로 이사 온 남매 '헨리'와 '나탈리' 그리고 그들을 돕는 부동산 중개업자 '던'. 이들은 ‘개릿’이 수집한 ‘큐브’가 내뿜는 신비한 빛을 따라가다 어느 폐광 속에 열린 포털을 통해 미지의 공간으로 빨려들어간다. 산과 나무, 구름과 달, 심지어 꿀벌까지 상상하는 모든 것이 네모난 현실이 되는 이곳은 바로 ‘오버월드’. 일찍이 이 세계로 넘어와 완벽하게 적응한 ‘스티브’를 만난 네 사람은 지하세계 ‘네더’를 다스리는 마법사 ‘말고샤’의 침공으로 ‘오버월드’가 위험에 빠졌다는 사실을 알게 된다. 현실 세계로 돌아가기 위해서는 일단 살아남아야 하는 법! 다섯 명의 ‘동글이’들은 ‘오버월드’를 구하기 위해 힘을 합치게 되는데…"
A Minecraft Movie,950387,movie,fr,FR,French,"Minecraft, le film","Quatre mésadaptés traversent soudainement un portail mystérieux menant à la Surface : un étrange univers cubique qui évolue grâce à l’imagination. Pour rentrer chez eux, ils se lancent dans une quête magique avec Steve, un surprenant fabricateur expert. L’aventure les poussera à faire preuve d’audace et à renouer avec les qualités qui donnent à chacun une créativité unique."
A Minecraft Movie,950387,movie,vi,VN,Vietnamese,Một bộ phim Minecraft,"Chào mừng bạn đến với thế giới của Minecraft, nơi sự sáng tạo không chỉ giúp bạn chế tạo mà còn là yếu tố quan trọng để sống sót! Bốn kẻ lạc lõng - Garrett “The Garbage Man” Garrison (Momoa), Henry (Hansen), Natalie (Myers) và Dawn (Brooks) - bất ngờ gặp rắc rối khi họ bị kéo qua cánh cửa bí ẩn dẫn đến Overworld: một thế giới kỳ lạ được tạo bởi những khối lập phương và phát triển nhờ vào trí tưởng tượng. Để trở về nhà, họ cần phải làm chủ được thế giới này (và bảo vệ nó khỏi những thực thể tà ác như Piglins và Thây Ma) trong khi dấn thân vào chuyến phiêu lưu màu nhiệm với một thợ chế tạo chuyên nghiệp và khó lường - Steve (Black). Chuyến hành trình này sẽ thách thức sự can đảm của cả năm người, thúc đẩy họ tìm lại với những phẩm chất làm nên sự đặc biệt của riêng mình,… đồng thời là những kỹ năng cần thiết để trở lại với thế giới thật."
A Minecraft Movie,950387,movie,es,MX,Spanish,Una película de Minecraft,"Henry, Natalie, Dawn y Garrett, cuatro inadaptados, son arrastrados a un misterioso portal hacia el extraño y cúbico mundo principal. Para volver a casa, tendrán que dominar este mundo con la ayuda de un artesano inesperado y experto llamado, Steve, mientras se embarcan en una búsqueda mágica."
A Minecraft Movie,950387,movie,cs,CZ,Czech,Minecraft film,"Vítejte ve světě zvaném Minecraft, kde je vaše schopnost tvořit a vyrábět klíčem k přežití! Nesourodá banda čtyř přátel, mezi které patří Smeťák, Henry, Natalie a Dawn, se potýká s všednodenními problémy, když tu je to zčistajasna protáhne záhadným portálem do Overworldu (Nadsvěta): bizarní, krychloidní a zázračné říše, která žije z ryzí představivosti. Aby se parta dostala domů, bude muset pochopit pravidla nového světa a uchránit ho před rušivými elementy a podniknout magickou pouť ve společnosti nečekaného experta na craftování, Steva."
A Minecraft Movie,950387,movie,sk,SK,Slovak,Minecraft vo Filme,"Vitajte vo svete Minecraftu, kde vám kreativita nielen pomáha tvoriť, ale je nevyhnutná pre prežitie! Garrett „Smetiar“ Garrison, Henry, Natalie a Dawn sú vtiahnutí cez tajomný portál do Sveta: bizarnej a kockatej krajiny zázrakov, ktorá prekvitá fantáziou. Aby sa dostali späť domov, budú musieť ovládnuť tento svet (a ochrániť ho aj pred zlými vecami, ako sú prasiatka a zombíci), a zároveň sa pustiť do magického hľadania s nekonvenčným, ale skúseným remeselníkom Steveom."
A Minecraft Movie,950387,movie,uk,UA,Ukrainian,Minecraft: Фільм,"Ласкаво просимо до світу Minecraft! Творчість тут допомагає не лише майструвати, а й необхідна для існування! Ґаррет «Сміттяр» Ґаррісон, Генрі, Наталі та Дон – це четверо невдах, які вирішують свої буденні проблеми. Та одного дня, пройшовши таємничий портал, вони потрапляють у Верхній світ – химерну кубічну країну чудес, яка процвітає завдяки уяві. Щоб повернутися додому, їм доведеться пізнати цей світ (і захистити його від злих істот, таких як Піґліни та Зомбі). Для цього герої вирушать у магічний квест з новим знайомим, досвідченим майстром Стівом. Спільна пригода випробує усіх п'ятьох на сміливість та подарує можливість віднайти унікальні навички, які роблять кожного з них неповторним творцем... саме ті навички, які їм потрібні для успіху в реальному світі."
A Minecraft Movie,950387,movie,bg,BG,Bulgarian,Minecraft Филмът,"Четирима неудачници – Гарет „Боклукчията“ Гарисън, Хенри, Натали и Доун, се опитват да се справят с обичайните си проблеми, докато един ден не преминават през мистериозен портал към Горния свят: странна кубична вселена отвъд въображението. За да се върнат вкъщи, те ще трябва да усвоят тънкостите на този свят (и да го защитят от зли същества), впускайки се в магическа мисия, заедно с експертния изобретател Стив. Това приключение ще предизвика и петимата да бъдат смели и ще им помогне да преоткрият уникалните си творчески способности, които ги отличават от останалите – най-важното качество, което им е необходимо, за да успеят и в истинския свят."
A Minecraft Movie,950387,movie,pt,BR,Portuguese,Um Filme Minecraft,"Quatro desajustados são subitamente puxados por um portal misterioso ao Mundo Superior: um paraíso bizarro e cúbico que vive na base da imaginação. Para voltar para casa, eles embarcam em uma jornada mágica com um artesão experiente e inusitado, Steve. Juntos, sua aventura desafiará todos os cinco a serem ousados e se reconectarem com as qualidades que tornam cada um deles singularmente criativo."
