titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
The Spy Who Loved Me,691,movie,en,US,English,,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.
The Spy Who Loved Me,691,movie,de,DE,German,"James Bond 007 - Der Spion, der mich liebte",Ein russisches und ein amerikanisches U-Boot mit Atomraketen an Bord verschwinden spurlos von der Bildfläche. Amerikaner und Russen beschuldigen sich gegenseitig. James Bond soll das Rätsel der verschwundenen U-Boote lösen. Aber auch der KGB hat schon einen Agenten losgeschickt.
The Spy Who Loved Me,691,movie,pt,PT,Portuguese,007 - Agente Irresistível,"James Bond  e a bela agente soviética Anya Amasova  juntam-se para investigar o desaparecimento de submarinos nucleares, aliados e russos. As pistas levam-nos ao bilionário Karl Stromberg. Depressa, Bond e Anya tornam-se a última esperança de conseguir acabar com um plano que irá levar o mundo a um holocausto nuclear."
The Spy Who Loved Me,691,movie,it,IT,Italian,La spia che mi amava,"Dopo aver recuperato al Cairo, battendo la spia sovietica Anya Armasova, un microfilm con il segreto per sconvolgere le difese atomiche della Nato, James Bond, viene incaricato di far luce sulla scomparsa di due sommergibili nucleari. Poichè uno di questi è russo (e avendo Gran Bretagna e Unione Sovietica deciso di unire le loro forze per l'occasione), James Bond si trova a collaborare proprio con Anya. Insieme, le due spie scoprono che a far sparire i sommergibili è stato l'armatore nordico Stromberg, il quale, giudicando il mondo prossimo allo sfacelo, intende fondarne uno nuovo nelle profondità marine. A tal fine vuole distruggere, con i missili dei due sommergibili, sia New York che Mosca, i centri vitali delle superpotenze responsabili del destino che attende l'umanità."
The Spy Who Loved Me,691,movie,sv,SE,Swedish,Älskade spion,"Ett galet geni, havsforskaren Stromberg, planerar att ödelägga jorden och bygga upp ett nytt rike på havets botten. Bond sänds omedelbart ut för att reda ut situationen. Hotet rör både öst och väst, vilket gör att den brittiska underrättelsetjänsten och KGB beslutar sig för att samarbeta."
The Spy Who Loved Me,691,movie,ru,RU,Russian,"007: Шпион, который меня любил","Спасая мир от безумного злодея Стромберга, который разрабатывает план по уничтожению жизни на земле с помощью сверхмощного звука, Джеймс Бонд знакомится с очаровательной русской разведчицей. Вместе они вступают в неравную схватку с негодяем и его преданным слугой Джозом. Это по-настоящему гигантского размера детина с железными зубами, которыми он с легкостью перекусывает толстый стальной трос. Для того, чтобы уравнять силы, Бонду предоставляют абсолютно эксклюзивный спортивный автомобиль «Лотос»"
The Spy Who Loved Me,691,movie,fr,FR,French,L'Espion qui m'aimait,"Pour retrouver des sous-marins nucléaires russe et britannique qui ont mystérieusement disparu, James Bond fait équipe avec l'agent soviétique Anya Amasova. Leur mission les conduit à affronter un ennemi redoutable, Requin, un géant de près de deux mètres vingt quasiment indestructible et armé d'une mâchoire en acier aussi coupante qu'un rasoir. 007 devra également affronter Karl Stromberg, l'employeur de Requin. Stromberg veut se servir des sous-marins nucléaires qu'il a volés pour détruire le monde et créer une cité sous-marine."
The Spy Who Loved Me,691,movie,tr,TR,Turkish,Beni Seven Casus,"Ruslar ve İngilizler, birer denizaltıları ortadan kaybolunca savaşın eşiğine gelirler. Ele geçirilen mikrofilm, denizaltıların üçüncü bir tarafın kontrolündeki bir teknolojiyle takip edilerek kaçırıldığını ortaya çıkarır. Bunun üzerine MI6'in gözde ajanı James Bond ve güzel Rus ajanı Anya Amasova, güçlerini birleştirerek olayların şüphelisi milyarder işadamı Carl Stromberg'in peşine düşerler. Stromberg'ın amacı, nükleer denizaltıları kullanarak yer yüzünü yok etmek ve kurtulan insanlara denizlerin altında yeni bir yaşam imkanı sağlamaktır. Anya'yla beraber çalışan Bond, kendisini güzel partnerine karşı da korumak zorundadır çünkü bir önceki görevinde onun sevgilisini öldürmek zorunda kalmıştır."
The Spy Who Loved Me,691,movie,da,DK,Danish,Spionen der elskede mig,"Den hemmelige britiske agent James Bond må i aktion, da den gale rigmand Carl Stromberg vil lægge verden øde og skabe sit eget samfund under havets overflade. Da både en russisk og britisk atomubåd forsvinder, alliere Bond sig med den underskønne russiske KGB-agent Anya Amasova. Samtidig med at de tager kampen op imod Stromberg og hans håndlangere, ikke mindst den tårnhøje og dødsensfarlige Jaws med stålgebisset, forelsker de sig i hinanden. De finder ud af, at Stromberg holder til på en base under havets overflade, hvor han forbereder verdens undergang. Han de nå at sætte ham ud af spillet, inden det er for sent?"
The Spy Who Loved Me,691,movie,es,ES,Spanish,La espía que me amó,"La misteriosa desaparición de dos submarinos nucleares hace que colaboren los mejores operativos de los servicios secretos británico y soviético: James Bond y la mayor Amasova. Detrás de todo se encuentra el magnate Stromberg, cuya finalidad es la destrucción de la ""corrupta"" humanidad para fundar una civilización pura bajo el mar."
