titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Jumanji: The Next Level,512200,movie,en,US,English,,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game."
Jumanji: The Next Level,512200,movie,pt,PT,Portuguese,Jumanji: O Nível Seguinte,"O grupo está de volta, mas o jogo mudou. Quando regressam a Jumanji para resgatar um deles, descobrem que nada é como estavam à espera. Os jogadores terão de enfrentar lugares desconhecidos e inexplorados, desde os áridos desertos às montanhas nevadas, para escapar do jogo mais perigoso do mundo."
Jumanji: The Next Level,512200,movie,es,ES,Spanish,Jumanji: Siguiente nivel,"En esta ocasión, los 'jugadores' vuelven al juego, pero sus personajes se han intercambiado entre sí, lo que ofrece un curioso plantel: los mismos héroes con distinta apariencia. Pero, ¿dónde está el resto de la gente? Los participantes sólo tienen una opción: jugar una vez más a esta peligrosa partida para descubrir qué es realmente lo que está sucediendo."
Jumanji: The Next Level,512200,movie,fr,FR,French,Jumanji : Next Level,"L’équipe est de retour, mais le jeu a changé. Alors qu’ils retournent dans Jumanji pour secourir l’un des leurs, ils découvrent un monde totalement inattendu. Des déserts arides aux montagnes enneigées, les joueurs vont devoir braver des espaces inconnus et inexplorés, afin de sortir du jeu le plus dangereux du monde..."
Jumanji: The Next Level,512200,movie,bg,BG,Bulgarian,Джуманджи: Следващо ниво,"Четиримата младежи, които победиха играта в „Добре дошли в джунглата“ са вече колежани и се завръщат удома в Ню Хампшър за коледната ваканция. Всеки вече поотделно се опитва да пребори нови предизвикателства в живота. Когато Спенсър отново влиза в играта, за да го спасят и върнат в нашия свят, Марта, Фридж и Бетани трябва да се обединят и гмурнат в шеметно и дръзко приключение във вселената на Джуманджи."
Jumanji: The Next Level,512200,movie,uk,UA,Ukrainian,Джуманджі: Наступний рівень,"Фантастична гра Джуманджі переходить на новий рівень і змінює правила. Щоб вижити у жорстких умовах, героям доведеться приміряти нові несподівані ролі, відкрити нові можливості і кинути виклик новим небезпекам."
Jumanji: The Next Level,512200,movie,pt,BR,Portuguese,Jumanji: Próxima Fase,"A turma está de volta, mas o jogo mudou. Quando voltam para Jumanji para resgatar um amigo, descobrem que nada do que esperavam. Com mais ação e surpresas, os jogadores terão que desbravar partes desconhecidas e inexploradas, dos desertos áridos até montanhas de neve, para escapar."
Jumanji: The Next Level,512200,movie,ko,KR,Korean,쥬만지: 넥스트 레벨,"쥬만지 게임으로부터 가까스로 탈출해 평화로운 일상을 보내고 있었던 스펜서와 친구들. 어느 날, 스펜서는 망가져버린 쥬만지 게임 속으로 사라지고 그를 찾기 위해 친구들은 다시 위험천만한 게임 속으로 들어간다. 우연히 함께 빨려 들어간 스펜서의 할아버지 에디&마일로와 랜덤으로 선택된 새로운 아바타가 된 이들은 정글부터 설산, 사막까지 한층 진화된 예측 불가능한 게임 속에서 목숨을 건 미션을 수행하게 되는데..."
Jumanji: The Next Level,512200,movie,it,IT,Italian,Jumanji - The Next Level,"In Jumanji: The Next Level la gang è tornata ma il gioco è cambiato. Rientrati in Jumanji per salvare uno dei loro, i giocatori scoprono che nulla è come avevano previsto. Per sopravvivere al gioco più pericoloso del mondo i protagonisti dovranno affrontare zone sconosciute e inesplorate: dagli aridi deserti fino alle montagne innevate."
Jumanji: The Next Level,512200,movie,ru,RU,Russian,Джуманджи: Новый уровень,"Пытаясь спасти Спенсера, снова попавшего в игру, туда же отправляются и остальные. К их удивлению, правила Джуманджи изменились, и более того - на этот раз в игру затянуло дедулю Спенсера и его престарелого друга Майло. Чтобы выполнить задания и вернуться домой, друзьям предстоит отправиться в путешествие по ранее неизведанным и таинственным уголкам Джуманджи – от засушливой пустыни до заснеженных гор."
Jumanji: The Next Level,512200,movie,de,DE,German,,"Als Spencer verschwindet, ist Martha schnell klar: Der Junge, in den sie sich einst verliebte, der aber nun doch nur noch ein guter Freund ist, ist erneut im Videospiel Jumanji gelandet. Gemeinsam mit dem Footballspieler Anthony „Fridge“ Johnson will sie ihn retten und erneut in das Spiel eintauchen. Doch leider landen dabei auch Spencers Großvater Eddie und dessen Kumpel Milo in der wundersamen Welt von Jumanji. Während Martha nun wieder im Körper von Bad-Ass Kämpferin Ruby Roundhouse steckt, wird das Abenteuer dadurch erschwert und gefährlicher, dass die Senioren als Abenteurer Dr. Smolder Bravestone sowie Zoologe und Waffenspezialist Moose Finbar nicht gerade eine große Hilfe sind. Auch Fridge muss sich erst einmal daran gewöhnen, nun den dicken Bauch von Kartograf Shelly Oberon zu haben…"
Jumanji: The Next Level,512200,movie,el,GR,Greek,Jumanji: Η Επόμενη Πίστα,"Στο Jumanji: Η Επόμενη Πίστα, η παρέα επιστρέφει, αλλά αυτή τη φορά το παιχνίδι έχει αλλάξει. Επιστρέφοντας πίσω στο Jumanji για να σώσουν έναν δικό τους, ανακαλύπτουν πως τίποτα δεν είναι αυτό που περίμεναν. Οι παίκτες θα χρειαστεί να αντιμετωπίσουν άγνωστες και ανεξερεύνητες πίστες από τις άγονες ερήμους μέχρι τα χιονισμένα βουνά, για να μπορέσουν να δραπετεύσουν και να βγουν νικητές σε ένα από τα πιο επικίνδυνα παιχνίδια του κόσμου."
Jumanji: The Next Level,512200,movie,da,DK,Danish,,"Da banden vender tilbage til Jumanji for at redde en af deres egne, er intet som forventet. Spillereglerne har ændret sig, og for at flygte, må de forcere ukendte og uopdagede steder."
Jumanji: The Next Level,512200,movie,hu,HU,Hungarian,Jumanji: A Következő szint,"Miután Spencert beszippantja a program, három régi haverja természetesen kötelességének érzi, hogy megpróbálja kimenteni. Azt hiszik, az ismerős terepen könnyen boldogulnak majd, de nem számolnak vele, hogy néhány új játékos mindent megváltoztathat. Spencer nagyapja és annak nyugdíjas haverja is követi őket. Az avatárok összekeverednek, a tétek nőnek, a dzsungel helyett behavazott hegyeken és forró sivatagban kell megoldaniuk a feladatot, ráadásul már a startvonalnál kiderül: ezúttal egy játékos nem kerülhet ki élve Jumanjiból…"
Jumanji: The Next Level,512200,movie,cs,CZ,Czech,Jumanji: Další level,"Martha, Bethany a Fridge se vracejí zpět do hry, aby našli Spencera, který záhadně zmizel.  Zjistí však, že se hra změnila, a že přežít ve světě Jumanji bude mnohem náročnější. Jumanji už totiž není jen džungle, jsou to i rozpálené pouště či zasněžená pohoří plné nových nebezpečných nástrah."
Jumanji: The Next Level,512200,movie,sk,SK,Slovak,Jumanji: Ďalší level,"Vo vianočnej novinke sa Martha, Bethany a Fridge vracajú do hry nájsť Spencera po tom, čo záhadne zmizol. Zisťujú však, že hra sa zmenila a prežiť vo svete Jumanji bude omnoho náročnejšie ako predtým. Pretože Jumanji viac nie je len džungľa, ale aj horúce púšte či zasnežené pohoria s novými, nebezpečnými nástrahami…"
Jumanji: The Next Level,512200,movie,fi,FI,Finnish,,"Videopelin sisälle päätynyt ja sieltä hengissä selvinnyt neljän hengen teiniporukka on jalkautunut lukion jälkeen eri teille. Yhteydenpito on pysynyt tiiviinä, mutta yksi nuorista, Spencer ei ole kuitenkaan täysin kartalla oman tulevaisuutensa kanssa. Epävarmuus, yksinäisyys ja ulkopuolisuuden tunne saavat hakeutumaan uudestaan videopelin äärelle, jossa Spencer pystyi asettumaan kaikkivoipaisen seikkailusankarin Smolder Bravestonen nahkoihin. Samalla pelin sisään päätyvät myös aiempi kaveriporukka sekä kaksi elämän ehtoovaiheen ikämiestä Eddie ja Milo."
Jumanji: The Next Level,512200,movie,sv,SE,Swedish,,"Gänget är tillbaka i ""Jumanji: The Next Level"", men spelet har ändrats. När de återvänder till spelet för att rädda en från gänget upptäcker de att inget är som de förväntat sig. De kommer att behöva ge sig i kast med nya okända delar som torra öknar och snöiga berg, för att fly världens farligaste spel."
Jumanji: The Next Level,512200,movie,fr,CA,French,Jumanji : Le prochain niveau,"Cherchant à reprendre confiance en lui, Spencer décide de retourner dans Jumanji pour retrouver son avatar, le grand gaillard Bravestone. Quand ses amis découvrent qu'il a disparu, ils se rendent chez lui et constatent qu'il a commencé une nouvelle partie. Martha, Bethany et Fridge se convainquent donc de partir à sa rescousse. Par contre, les choses ne se déroulent pas exactement comme la première fois. Eddie, le grand-père de Spencer, et Milo, son grand ami, sont propulsés dans le jeu eux aussi. Sur place, ils réalisent que l'histoire a changé. Ils devront tout réapprendre afin de sauver leur ami et rentrer chez eux sains et saufs."
Jumanji: The Next Level,512200,movie,zh,CN,Mandarin,勇敢者游戏2：再战巅峰,《勇敢者游戏2：再战巅峰》是2017年全球卖座动作冒险巨制《勇敢者游戏：决战丛林》的续篇。四名勇敢者再次穿越回到险象环生的游戏世界中，开启全新冒险。与上次不同的是，变身勇石博士 (道恩·强森 饰) 的是斯宾塞的爷爷，爷爷的好友则变身为语言学家 (凯文· 哈特 饰)，高大威猛的弗里奇变成了中年发福地质学家 (杰克·布莱克 饰)，只有学霸玛莎依旧化身性感打女 (凯伦·吉兰 饰)，斯宾塞和贝瑟尼却不知所踪。为营救消失的伙伴，四人必须进入全面失控的未知世界，面对难度爆表危险重重的致命关卡，强森领队挑战极限玩命闯关。山崩石裂的险境中命悬一线，与突如其来的凶猛野兽死战到底，他们唯有绷紧神经并肩作战，才能通过生死考验逃出生天。一场惊险刺激又充满惊喜的冒险之旅即将展开！
Jumanji: The Next Level,512200,movie,he,IL,Hebrew,ג'ומנג'י: השלב הבא,"החבורה מתאחדת, אך הפעם המשחק השתנה. כאשר הם חוזרים לג'ומנג'י כדי להציל אחד משלהם, הם מגלים שהמשחק שונה לחלוטין ממה שהכירו. השחקנים יהיו חייבים להגיע אל האזורים הנידחים ביותר במשחק, ממדבריות ועד לפסגות מושלגות, כדי להצליח לברוח מהמשחק המסוכן ביותר בעולם."
Jumanji: The Next Level,512200,movie,es,MX,Spanish,Jumanji: El siguiente nivel,"Las aventuras continúan en el fantástico mundo del video juego Jumanji, donde nada es lo que parece. En esta ocasión, los jugadores vuelven al juego, pero sus personajes se han intercambiado entre sí, lo que ofrece un curioso plantel: los mismos héroes con distinta apariencia y habilidades. Pero, ¿dónde está el resto de la gente?"
Jumanji: The Next Level,512200,movie,ro,RO,Romanian,Jumanji: Nivelul următor,"Jucătorii se întorc în Jumanji ca să-l salveze pe unul dintre ai lor, dar nimic nu este cum se așteaptă. Ei au parte de aventuri neobișnuite în timp ce încearcă să scape din cel mai periculos joc."
Jumanji: The Next Level,512200,movie,lv,LV,Latvian,Džumandži: Nākamais līmenis,"Lai izglābtu draugu, pārējiem jāatgriežas spēlē. Tomēr izrādās, ka spēles noteikumi ir mainījušies un nu tajā viss ir citādi. Lai izdzīvotu, draugiem jādodas ceļojumā pa visnoslēpumainākajām un neizpētītākajām pasaules vietām — no sausiem tuksneša plašumiem līdz sniegotām kalnu virsotnēm."
Jumanji: The Next Level,512200,movie,zh,TW,Mandarin,野蠻遊戲：全面晉級,在全新的《野蠻遊戲：全面晉級》中，前一集角色再度聚首，但遊戲的格局卻早已改變！  當四位主角重返「野蠻遊戲」試圖要拯救自己的小命時，他們意外發現這個遊戲規則不僅改變，這一次，所有的玩家都必須去突破更多未探索過的全新領域；從荒蕪的沙漠，到無人之境的雪山，他們必須拼盡全力，才能逃離這個全世界最危險的遊戲，回到現實！
Jumanji: The Next Level,512200,movie,lt,LT,Lithuanian,Džiumandži: Kitas lygis,"Prisimenate žaidimą „Džiumandži“? Jis tikrai prisimena jus. „Džiumandži: kitas lygis“. Prieš pora metų, atradę seną vaizdo žaidimą ir jį įsijungę, keturi paaugliai buvo įtraukti į paslaptingą, bauginantį ir pavojų kupiną džiunglių pasaulį. Iš ten ištrūkti jiems pavyko tik tuomet, kai, padėdami vienas kitam, įveikė visas užduotis ir sėkmingai užbaigė žaidimą. Sugrįžusi į realų gyvenimą, ketveriukė žaidimą sulaužė, kad į jo spąstus nepakliūtų kiti nieko neįtariantys nelaimėliai."
Jumanji: The Next Level,512200,movie,zh,HK,Mandarin,逃出魔幻紀：霸氣升呢,伯芬妮(麥迪遜伊斯曼 飾)、雪櫃(達利斯布萊恩 飾) 及瑪花(摩根特納 飾) 發現史賓沙(亞歷士禾夫 飾) 再次進入遊戲。為了拯救昔日戰友，三人決定以身犯險重回遊戲，但卻陰錯陽差，連史賓沙的爺爺艾迪 (丹尼狄維圖 飾) 及其好友米路 (丹尼高化 飾)亦一拼被吸進遊戲之中。五人發現冒險關卡竟然全面升級，他們今次需要拼盡全力探索未知領域，由荒蕪的沙漠再走到極地雪山，才可以全身而退，回到現實世界。
Jumanji: The Next Level,512200,movie,ar,SA,Arabic,جومانجي: المستوى التالي,"جومانجي: المستوى التالي 2019 | كوميديا, أكشن في جومانجي: المستوى التالي ، عادت العصابة لكن اللعبة تغيرت. عندما يعودون إلى جومانجي لإنقاذ أحدهم ، يكتشفون أنه لا يوجد شيء كما يتوقعون. سيتعين على اللاعبين شجاعة الأجزاء المجهولة وغير المكتشفة ، من الصحاري القاحلة إلى الجبال الثلجية ، من أجل الهروب من أخطر لعبة في العالم."
Jumanji: The Next Level,512200,movie,tr,TR,Turkish,Jumanji: Yeni Seviye,"Çete geri dönüyor ama bu sefer oyun değişiyor. Jumanji’ye içlerinden birini kurtarmak için döndüklerinde hiçbir şeyin bekledikleri gibi olmadığını keşfederler. Çete, dünyanın en tehlikeli oyunundan kaçabilmek için bilinmeyen ve keşfedilmemiş parçaları bulmak ve kurak çöllerden karlı dağlara uzanan yollardan geçmek zorunda kalır."
Jumanji: The Next Level,512200,movie,pl,PL,Polish,Jumanji: Następny poziom,"„Jumanji: Następny poziom” to powrót słynnych bohaterów, których poznaliśmy w „Jumanji: Przygoda w dżungli”. Tyle że zasady gry zmieniły się diametralnie. Wszyscy zmuszeni są do powrotu do świata Jumanji, by uratować jednego ze swych przyjaciół, któremu nie udało się opuścić gry. Nie spodziewają się jednak, że nic nie pójdzie zgodnie z ich oczekiwaniami. Przyjdzie im stawić czoła niebezpieczeństwom i temu, co nieznane – od jałowych pustyń przez śnieżne szczyty gór. Tylko czy uda im się wyjść z najbardziej wciągającej gry świata?"
Jumanji: The Next Level,512200,movie,nl,NL,Dutch,,"In 'Jumanji: The Next Level' keert de groep terug naar Jumanji om één van hun vrienden te redden, ontdekken ze dat niets is zoals ze het hadden verwacht. Om te ontsnappen uit het meest onheilspellende spel ter wereld moeten de spelers gevaren trotseren in diverse gebieden, van dorre woestijnen tot aan besneeuwde bergen."
Jumanji: The Next Level,512200,movie,sr,RS,Serbian,Џуманџи: Следећи ниво,"У филму Џуманџи: Следећи ниво екипа се вратила, али су се правила игре променила. Кад поновно уђу у Џуманџи како би спасили свог пријатеља, наши јунаци откривају да ништа није онако како су очекивали. Играчи ће морати храбро да прођу кроз непознате и неистражене пределе од сушних пустиња до снежних планина, како би избегли најопаснију игру на свету."
Jumanji: The Next Level,512200,movie,vi,VN,Vietnamese,Jumanji - Trò Chơi Kỳ Ảo: Thăng Cấp,"Nhiệm vụ lần này của các nhân vật khi quay trở lại Jumanji là để giải cứu một người bạn trong nhóm. Tuy nhiên những thử thách trước mắt không hề dễ dàng như họ nghĩ, phải đối mặt với vùng đất khô cằn và những ngọn núi tuyết cùng hàng loạt nguy hiểm chết người. Liệu chuyến hành trình có kết thúc tốt đẹp hay không?"
Jumanji: The Next Level,512200,movie,th,TH,Thai,เกมดูดโลก ตะลุยด่านมหัศจรรย์,เรื่องราวของ สี่สหายจะต้องกลับเข้าไปสู่โลกของจูแมนจี้อีกครั้ง เพื่อช่วยเหลือหนึ่งในสมาชิกแก๊งค์ของพวกเขา แต่แล้วพวกเขาก็ได้ค้นพบว่าทุกอย่างมันไม่ได้เป็นแบบที่เขาคาดคิดเอาไว้ พวกเขาจะต้องรวบรวมความกล้าหาญเพื่อฝ่าฟันนานาอุปสรรคตั้งแต่ทะเลทรายอันแห้งแล้งไปจนถึงภูเขาหิมะ เพื่อที่จะหนีออกมาจากโลกของเกมที่อันตรายที่สุด
Jumanji: The Next Level,512200,movie,ja,JP,Japanese,ジュマンジ／ネクスト・レベル,ゲームクリアから2年、高校生だった4人もそれぞれの道に進み、今は大学生。しかし、あの時の興奮が忘れられず、破壊したはずのジュマンジを修理し始めるスペンサー。その瞬間、またしてもゲームの中に吸い込まれてしまった。仲間を救出する為、マーサたちは再びジュマンジの中へー。しかし、壊れたゲームの世界はバグってキャラ設定はめちゃくちゃの上、新たなステージが追加され難易度もレベルアップ。果たして彼らは全クリアし現実世界に戻ることができるのか?！ 無理ゲーのレベルを超える体感型アクション・アドベンチャー！！
Jumanji: The Next Level,512200,movie,uz,UZ,Uzbek,Jumanji: Keyingi bosqich,
Jumanji: The Next Level,512200,movie,id,ID,Indonesian,,"Dalam Jumanji: The Next Level, keempat sahabat kembali lagi, tetapi permainannya telah berubah. Saat memutuskan masuk lagi ke Jumanji untuk menyelamatkan salah satu dari mereka, mereka menemukan segalanya tak seperti yang diduga. Para pemain harus melaju ke wilayah-wilayah tersembunyi dan belum dijamah, dari gurun nan gersang ke pegunungan bersalju, demi meloloskan diri dari permainan paling berbahaya di dunia."
Jumanji: The Next Level,512200,movie,sl,SI,Slovenian,Jumanji: Naslednja stopnja,"V filmu Jumanji: Naslednja stopnja se ekipa vrača, ampak igra se je spremenila. Kar nekaj časa je minilo, odkar so Spencer, Fridge, Bethany in Martha zaigrali davno pozabljeno igro Jumanji. Ko se eden od njih ponovno znajde v igri, preostali odidejo za njim, da bi ga rešili. Ko se naši junaki spustijo v Jumanji, da bi rešili prijatelja, odkrijejo, da nič ni tako, kot so pričakovali. Igra se je spremenila, kot se je tudi ekipa, ki se je ponovno znašla v njej. Avatarji so drugačni, vpleteni so novi liki, igra sama pa je še težja in nevarnejša kot prej."
Jumanji: The Next Level,512200,movie,ka,GE,Georgian,ჯუმანჯი: შემდეგი საფეხური,
Jumanji: The Next Level,512200,movie,fa,IR,Persian,جومانجی : مرحله بعدی,"جومانجی : مرحله بعدی وقتی اسپنسر ناپدید می‌شود، مارتا به سرعت متوجه می‌شود: پسری که زمانی عاشقش شده بود، اما اکنون فقط یک دوست خوب است، دوباره وارد بازی ویدیویی Jumanji شده است. او به همراه بازیکن فوتبال آنتونی ""فریج"" جانسون، می خواهد او را نجات دهد و دوباره در بازی غوطه ور شود. اما متأسفانه ادی پدربزرگ اسپنسر و دوستش میلو نیز در نهایت به دنیای شگفت انگیز جومانجی می روند. در حالی که مارتا اکنون در بدن مبارز بداخلاق روبی راندهاوس بازگشته است، ماجراجویی با این واقعیت دشوارتر و خطرناک تر می شود که سالمندان نقش ماجراجوی دکتر Dr. Smolder Bravestone و جانورشناس و متخصص اسلحه Moose Finbar دقیقاً کمک چندانی نمی کنند. یخچال همچنین باید به داشتن شکم بزرگ شلی اوبرون، نقشه‌بردار عادت کند.../.  مترجم  : shabnam_05"
