titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Mission: Impossible - The Final Reckoning,575265,movie,en,US,English,,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever."
Mission: Impossible - The Final Reckoning,575265,movie,bg,BG,Bulgarian,Мисията невъзможна: Възмездие,"След съприкосновението му със Същността, Итън Хънт е принуден да мине в отстъпление и да преосмисли действията си. Той вече плати твърде висока цена за своите решения до момента, а бъдещето се очертава дори още по-мрачно и пълната му капитулация звучи като единственото логично нещо. Но колкото и разумно да изглежда на пръв поглед, оттеглянето му ще доведе до много по-тежки последици за света и Итън ще трябва да жертва всичко, дори собствения си живот, за да надделее в тази битка. Всеки негов избор е водил до тук, а финалният сблъсък ще остане в историята!"
Mission: Impossible - The Final Reckoning,575265,movie,de,DE,German,,"Die Jagd ist noch nicht vorbei: Ethan Hunt und sein Team von der legendären Impossible Mission Force (IMF) sehen sich weiterhin einer extrem mächtigen und die Welt bedrohenden künstlichen Intelligenz, die nur die „Entität"" genannt wird, gegenüber. Dafür müssen sie das den Namen „Sewastopol“ tragende russische U-Boot finden, dem eine Schlüsselrolle in diesem brodelnden Konflikt zukommt. Doch mit diesem Ziel sind Hunt und sein Team natürlich nicht alleine: Auch Gabriel, letztlich ein Handlanger der Entität, sucht fieberhaft nach der Sewastopol. Denn für ihn ist sie der Schlüssel, der sozusagen das Tor zur Hölle auf Erden öffnet, mit dem die Welt ins Chaos gestürzt werden kann. Gabriel scheint in diesem erbitterten Kampf eine Geheimwaffe in der Hinterhand zu haben, denn er und Hunt haben offenbar eine gemeinsame Vergangenheit, die den IMF-Agenten nun endgültig einholt..."
Mission: Impossible - The Final Reckoning,575265,movie,fr,FR,French,Mission : Impossible - The Final Reckoning,"Ethan Hunt se rend à Londres avec son équipe dans l'espoir de remonter la piste du mystérieux Gabriel, qu'il a affronté deux mois auparavant à bord de l'Orient-Express et qui détient la clé contrôlant l’intelligence artificielle toute puissante surnommée l'Entité. Adulée par les uns, redoutée par les autres, l’Entité se distingue par sa capacité à prédire toutes les éventualités possibles. Elle connaît parfaitement les forces et faiblesses d’Ethan et de son équipe. Gabriel compte l'utiliser pour mettre en œuvre son plan ultime : annihiler Ethan et son équipe, s’emparer de tous les systèmes de défense planétaires et déclencher la Troisième Guerre mondiale."
Mission: Impossible - The Final Reckoning,575265,movie,ko,KR,Korean,미션 임파서블: 파이널 레코닝,"디지털상의 모든 정보를 통제할 수 있는 사상 초유의 무기로 인해 전 세계 국가와 조직의 기능이 마비되고, 인류 전체가 위협받는 절체절명의 위기가 찾아온다. 이를 막을 수 있는 건 오직 존재 자체가 기밀인 에단 헌트와 그가 소속된 IMF뿐이다. 무기를 무력화하는 데 반드시 필요한 키를 손에 쥔 에단 헌트. 오랜 동료 루터와 벤지, 그리고 새로운 팀원이 된 그레이스, 파리, 드가와 함께 지금껏 경험했던 그 어떤 상대보다도 강력한 적에 맞서 모두의 운명을 건 불가능한 미션에 뛰어든다."
Mission: Impossible - The Final Reckoning,575265,movie,th,TH,Thai,มิชชั่น: อิมพอสซิเบิ้ล ปิดปฏิบัติการล่าพิกัดมรณะ,หลังจากเอาตัวรอดจากเหตุการณ์อุบัติเหตุบนรถไฟครั้งใหญ่ อีธาน ก็ได้รู้ว่า เดอะ เอนทิตี้ ถูกเก็บเอาไว้บนเรือดำนํ้าเก่าของรัสเซีย แต่ศัตรูจากอดีตของเขาที่มีชื่อว่า เกเบรียล ก็ตามรอยมันอยู่ด้วยเช่นกัน
Mission: Impossible - The Final Reckoning,575265,movie,es,MX,Spanish,Misión: Imposible - La sentencia final,"La Entidad, la IA experimental que se ha convertido en el villano de la historia, sigue activa y cuenta con el apoyo del malvado Gabriel en el mundo de los cárnicos. Por suerte, Ethan y su equipo tienen la llave que les podría dar el control de la Entidad, algo que les obligará a arriesgarse para eliminar a esa IA que descansa en el fondo del mar."
Mission: Impossible - The Final Reckoning,575265,movie,es,ES,Spanish,Misión: Imposible - Sentencia final,"El agente Ethan Hunt continúa su misión de impedir que Gabriel controle el tecnológicamente omnipotente programa de IA conocido como ""the Entity""."
Mission: Impossible - The Final Reckoning,575265,movie,pt,BR,Portuguese,Missão: Impossível - O Acerto Final,"Depois de escapar de um acidente de trem calamitoso, Ethan percebe que a Entidade está escondida a bordo de um antigo submarino russo, mas um inimigo do seu passado chamado Gabriel também está no encalço."
Mission: Impossible - The Final Reckoning,575265,movie,zh,CN,Mandarin,碟中谍8：最终清算,超级人工智能“智体”即将引爆全球核弹危机，把世界推向毁灭边缘。而伊森·亨特和他的IMF小队在上次行动中遭遇重创，团队濒临分崩离析。虽然伊森已获得关闭“智体”的钥匙，但要彻底消灭“智体”，完成这一拯救全人类的终极任务，仍需要IMF小队齐心协力突破重重困难。他们不仅要面对全知全能又无影无形的“智体”与其手下盖布瑞尔的百般阻拦，还要解决来自过去的种种恩怨。每个抉择都关乎信念与命运，等待伊森和IMF小队的，究竟是怎样的结局？
