titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
The Man with the Golden Gun,682,movie,en,US,English,,"Cool government operative James Bond searches for a stolen invention that can turn the sun's heat into a destructive weapon. He soon crosses paths with the menacing Francisco Scaramanga, a hitman so skilled he has a seven-figure working fee. Bond then joins forces with the swimsuit-clad Mary Goodnight, and together they track Scaramanga to a Thai tropical isle hideout where the killer-for-hire lures the slick spy into a deadly maze for a final duel."
The Man with the Golden Gun,682,movie,de,DE,German,James Bond 007 - Der Mann mit dem goldenen Colt,"Eine goldene Pistolenkugel, auf der 007 eingraviert ist, trifft im Hauptquartier des Secret Service ein. Absender ist der Profikiller Scaramanga, und Scaramanga hat noch nie ein Ziel verfehlt. James Bond versucht den Killer rechtzeitig zu stoppen."
The Man with the Golden Gun,682,movie,it,IT,Italian,Agente 007 - L'uomo dalla pistola d'oro,"James Bond è ricercato dal killer Francisco Scaramanga, uso a colpire le sue vittime con proiettili d'oro. Questi deve eliminarlo per conto di una misteriosa organizzazione con sede ad Hong Kong, che mira a sfruttare un apparato per la captazione dell'energia solare, inventato da uno scienziato britannico, per la costruzione di un'arma segreta destinata ad assicurare ai suoi possessori il dominio del mondo. Recatosi ad Hong Kong, Bond non tarda a scoprire che il capo della gang è l'industriale cinese Hai Fah, al quale però, dopo averlo ucciso, si sostituisce lo stesso Scaramanga..."
The Man with the Golden Gun,682,movie,sv,SE,Swedish,Mannen med den gyllene pistolen,"Scaramanga är världens bäste och högst betalde lönnmördare. Han tar en miljon dollar per uppdrag. När en kula av rent guld med ""007"" ingraverat upptäcks, blir det en jakt på liv och död när Bond ger sig efter Scaramanga - som samtidigt jagar Bond. En sak kommer att bli avgörande i duellen mellan de båda, den gyllene pistolen."
The Man with the Golden Gun,682,movie,ru,RU,Russian,007: Человек с золотым пистолетом,"Агент 007 получает задание найти и вернуть секретное оборудование, с помощью которого террористы смогут использовать солнечную энергию как мощнейшее оружие. Чтобы помешать Бонду выполнить задание, на него натравливают самого опасного и неуловимого наемного убийцу по имени Скараманга. Этот мерзавец отличается особым шиком, ведь в своей работе он использует оружие, изготовленное из чистого золота. Он неустанно идет по следам Бонда, и во время очередной погони Джеймсу Бонду приходится совершить на своем автомобиле захватывающий дух затяжной прыжок с оборотом на 360 градусов."
The Man with the Golden Gun,682,movie,tr,TR,Turkish,Altın Tabancalı Adam,"James Bond'a, kayıp bir cihazı bulma görevi verilmiştir. Cihaz, güneşin radyasyonunu kullanarak kontrol eden kişiye inanılmaz bir güç vermektedir. Bu arada, Fransisco Scaramanga adlı altın tabancalı bir katil, Bond'u öldürmek amacıyla peşine düşmüştür. Scaramanga, adasına çektiği Bond ile cüce yardımcısı Nick Nack ve çekici sevgilisi Andrea Anders'ın yardımıyla Bond'u öldürmeye çalışır.Bond, bir yandan Scaramanga'yı altedip hayatını kurtarmaya çalışırken, diğer yandan esas görevini yerine getirerek cihazı bulmayı deneyecektir."
The Man with the Golden Gun,682,movie,fr,FR,French,L'Homme au pistolet d'or,"Le fabuleux tueur Scaramanga, l'homme au Pistolet d'Or dont les "" contrats "" lui rapportent chacun un million de dollars, a reçu pour mission d'exécuter James Bond, l'as des services secrets britanniques. Selon son habitude, Scaramanga prévient sa future victime en lui envoyant une balle en or marquée à ses initiales. "" M "", le patron de Bond, le libère d'une importante mission pour lui permettre de relever le défi de son implacable adversaire. Bond qui ne connaît pas les traits de Scaramanga, enquête sur son fournisseur d'armes, puis extorque des renseignements à l'une de ses complices, Andrea. Tandis que le tueur, à Bangkok, assassine le savant Gibson et lui vole son invention, le Sol X, qui permet de transformer l'énergie solaire en électricité. Bond soupçonne Hai Fat, le très riche patron de Gibson, d'être à l'origine du contrat de Scaramanga. Ce dernier supprime Hai Fat, puis Andrea qui lui avait volé le Sol X au profit de James Bond..."
The Man with the Golden Gun,682,movie,da,DK,Danish,Manden med den gyldne pistol,"Scaramanga, verdens farligste lejemorder, sender en forgyldt patron med nummeret 007 indgraveret til den britiske efterretningstjeneste MI6. Det bliver set som et tegn på, at Scaramanga vil myrde Agent 007, dvs. James Bond. MI6 sender derfor James Bond afsted til Asien for at opspore Scaramanga og sætte ham ud af spillet. Det lykkes Bond at finde Scaramanga's skjulested på en lille ø, men her går det op for Bond, at det måske ikke er Scaramanga, der har sendt patronen. Men hvis det ikke er ham, hvem er det så? Og hvorfor?"
The Man with the Golden Gun,682,movie,es,ES,Spanish,El hombre de la pistola de oro,"El superagente británico 007 habrá de vérselas ahora con el más peligroso asesino a sueldo del momento: un hombre llamado Scaramanga, más conocido como el hombre de la pistola de oro, que tratará de deshacerse de Bond con los más sofisticados recursos."
The Man with the Golden Gun,682,movie,hu,HU,Hungarian,Az aranypisztolyos férfi,"A brit titkosszolgálat büszkesége végre stílusban is méltó ellenféllel áll szemben. Scaramanga elegáns, kimért és profi gyilkos. Bond Hongkong, Thaiföld és Kína egzotikus tájain nyomoz egy titokzatos napenergiával működő fegyver után és hamar eljut Scaramanga szigetére is, ahol az aranypisztolyos férfi már régóta készül arra, hogy szembeszálljon a legendás 007-es ügynökkel. A szigeten egy őrült elmével kiagyalt, tükrökkel és csapdákkal teli labirintus vár Bondra - no és Scaramanga, aki úgy gondolja, ezúttal is elég lesz csupán egyetlen arany pisztolygolyó, hogy megszabaduljon a nagy ellenféltől."
