titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Fast & Furious 6,82992,movie,en,US,English,,"Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries; Dominic unexpectedly gets sidetracked with facing his presumed deceased girlfriend, Letty."
Fast & Furious 6,82992,movie,de,DE,German,,"Nach ihrem großen Rio-Coup haben sich Dominic Toretto, Brian O'Conner und ihre Crew über die ganze Welt verstreut. Durch die erbeuteten 100 Millionen Dollar sind sie zwar reich, leben jedoch ständig auf der Flucht. An eine Rückkehr in ihre Heimat ist nicht zu denken. FBI-Agent Luke Hobbs ist derweil auf der Jagd nach einer Organisation von zum Töten ausgebildeten Rennfahrern. Die Söldner agieren in über zwölf Ländern. Ihre Befehle erhalten sie von dem übergeordneten Bandenführer Owen Shaw. Unterstützung erhält der Boss von Letty, der totgeglaubten großen Liebe von Dom. Hobbs weiß, dass er die kriminelle Bande nur stoppen kann, wenn er sie auf der Straße besiegt. Dafür braucht er die Hilfe von Dom und bietet diesem an, sich seinem Elite-Team in London anzuschließen. Als Belohnung würden Dom und seine Partner von ihren Verbrechen freigesprochen werden."
Fast & Furious 6,82992,movie,es,ES,Spanish,,"Desde que Dom y Brian destruyeron el imperio de un mafioso y se hicieron con cien millones de dólares, se encuentran en paradero desconocido; no pueden regresar a casa porque la ley los persigue. Entretanto, Hobbs ha seguido la pista por una docena de países a una banda de letales conductores mercenarios, cuyo cerebro cuenta con la inestimable ayuda de la sexy Letty, un viejo amor de Dom que éste daba por muerta. La única forma de detenerlos es enfrentarse a ellos en las calles, así que Hobbs le pide a Dom que reúna a su equipo en Londres."
Fast & Furious 6,82992,movie,it,IT,Italian,Fast & furious 6,"Da quando Dom e Brianhanno portato a termine la rapina di Rio sgominando l'impero di un boss e lasciando la loro squadra con 100 milioni di dollari, i nostri eroi si sono disseminati in tutto il globo. Ma l'impossibilità di tornare a casa e una vita perennemente in fuga, lasciano incomplete le loro esistenze. Nel frattempo, Hobbs è all’inseguimento di una letale organizzazione di esperti piloti mercenari attraverso 12 paesi, la cui mente è aiutata da uno spietato luogotenente che si rivelerà essere l'amore che Dom credeva morto: Letty. L'unico modo per fermare la squadra di criminali sarà quello di batterli sulla strada, così Hobbs chiederà a Dom di mettere nuovamente insieme la sua squadra d’elite a Londra. La ricompensa? Il perdono completo per tutti loro in modo da poter tornare a casa con le proprie famiglie."
Fast & Furious 6,82992,movie,fr,FR,French,Fast & Furious 6,"Dom, Brian et toute leur équipe, après le casse de Rio, ayant fait tomber un empire en empochant 100 millions de dollars, se sont dispersés aux quatre coins du globe. Mais l’incapacité de rentrer chez eux, et l’obligation de vivre en cavale permanente, laissent à leur vie le goût amer de l’inaccomplissement. Pendant ce temps Hobbs traque aux 4 coins du monde un groupe de chauffeurs mercenaires aux talents redoutables, dont le meneur, Shaw est secondé d’une de main de fer par l’amour que Dom croyait avoir perdu pour toujours : Letty. La seule façon d’arrêter leurs agissements est de les détrôner en surpassant leur réputation. Hobbs demande donc à Dom de rassembler son équipe de choc à Londres. En retour ? Ils seront tous graciés et pourront retourner auprès des leurs, afin de vivre une vie normale."
Fast & Furious 6,82992,movie,hu,HU,Hungarian,Halálos iramban 6,"Amióta Dom és Brian a riói balhéval hazavágtak egy helyi kiskirályt és szétosztották a százmilliós zsákmányt a bandának, hőseink szétszóródtak a világban. Ám az életük nem lehet teljes, mivel nem térhetnek haza, állandó szökésben vannak. Eközben Hobbs 12 országon át üldöz egy bandát, melynek tagjai halálosan felfegyverzett sofőrök, és vezérüket egy kíméletlen cinkos segíti, akiről kiderül, hogy nem más, mint Dom halottnak hitt szerelme, Letty. A bűnözőket csak úgy lehet megállítani, ha az utakon fel tudják venni velük a versenyt, ezért Hobbs megkéri Domot, hogy hozza össze ""elit alakulatát"" Londonban. A fizetség? Teljes kegyelem mindannyiuknak, hogy visszatérhessenek otthonukba, és egyesíthessék családjaikat."
Fast & Furious 6,82992,movie,pt,PT,Portuguese,Velocidade Furiosa 6,"Reunidos para a maior aventura de sempre, os favoritos dos fãs, Jordana Brewster, Michelle Rodriguez, Tyrese Gibson, Sung Kang, Gal Gadot, Chris Ludacris Bridges e Elsa Pataky, juntam-se aos recém-chegados vilões Luke Evans e Carano Gina. Desde que Dom e Brian fizeram o golpe no Rio de Janeiro, que rendeu 100 milhões de dólares à equipa, o grupo espalhou-se pelo globo. Mas a impossibilidade de voltarem a casa e estarem sempre em fuga deixou-lhes uma vida incompleta."
Fast & Furious 6,82992,movie,zh,CN,Mandarin,速度与激情6,俄罗斯莫斯科闹市中央，执行押送任务的军方部队遭到一伙训练有素的匪徒袭击，大战过后的现场惨不忍睹，重要的卫星元件遭到劫持。国际刑警霍布斯（道恩·强森 Dwayne Johnson 饰）查明，包括此案在内的一系列案件均系前特种部队军人欧文·肖（卢克·伊万斯 Luke Evans 饰）所为。为了将这群训练有素、老练凶狠的匪徒绳之于法，他辗转找到隐居世外桃源的多米尼克·托莱多（范·迪塞尔 Vin Diesel 饰）助拳。霍布斯开出的条件令人难以拒绝，他不仅可以将托雷多和布莱恩（保罗·沃克 Paul Walker 饰）一伙从前的犯罪记录一笔勾销，此外欧文一伙中竟然还有本该死去的莱蒂……
Fast & Furious 6,82992,movie,sk,SK,Slovak,Rýchlo a zbesilo 6,"Po krádeži sto miliónov dolárov a úteku z brazílskeho Ria sa tím okolo Dominika roztrúsil po celom svete bez možnosti sa navrátiť domov. Medzitým agent Hobbs sleduje extrémne nebezpečnú organizáciu vodičov za účelom ich dolapenie a odovzdanie spravodlivosti. Ukáže sa, že jediný, kto mu k tomu môže naozaj pomôcť, je Dominikov team, a to výmenou za odpustenie všetkých ich zločinov. Lenže to ešte Dominik netuší, že medzi ľuďmi, po ktorých pôjde, je aj jeho mŕtva partnerka Letty."
Fast & Furious 6,82992,movie,ru,RU,Russian,Форсаж 6,"После того как Доминик и Брайн побывали в Рио, где они ограбили и свергли империю вора в законе, их команда получила 100 миллионов, и наши герои оказались разбросаны по всему миру. Но их привычка вечно жить в бегах не даёт им покоя. Между тем, Хоббс отслеживал организацию смертельно опасных наёмников-водителей по двенадцати странам. Единственный способ остановить эту криминальную группу — это превзойти их на улицах, поэтому Хоббс просит Дома собрать его элитную команду в Лондоне. За это он обещает полное помилование для Доминика и его друзей, чтобы они смогли наконец вернуться домой к своей семье."
Fast & Furious 6,82992,movie,nl,NL,Dutch,Fast & Furious 6,"Dom, Brian, en de rest van het team hebben $100 miljoen overgehouden aan hun succesvolle overval in Rio de Janeiro. Ze zijn nog steeds voortvluchtig en wonen nu verspreid over de hele wereld. Hobbs is een internationale criminele organisatie op het spoor onder leiding van Owen Shaw. Wanneer Hobbs ontdekt dat Dom’s doodgewaande voormalige vriendin Letty de rechterhand is van Shaw, schakelt hij de hulp in van Dom en zijn team. Ze reizen af naar Europa om in de straten van Londen de strijd aan te gaan met deze meedogenloze criminelen."
Fast & Furious 6,82992,movie,da,DK,Danish,The Fast & Furious 6,"Efter kuppet i Rio er Dom, Brian og resten af deres slæng spredt for alle vinde. Selv om de hver især fik en god portion penge ud af missionen, har røveriet tvunget dem på flugt uden mulighed for at vende hjem til Los Angeles. Lige indtil Dom bliver kontaktet af sin gamle nemesis, agent Hobbs, der er på sporet af et netværk af dødbringende racerkørere med et kendt ansigt i spidsen. Dom og hans fartglade kompagnonger beslutter sig derfor for at hjælpe mod et løfte om den ultimative betaling: en total benådning, så de alle kan vende hjem til deres familier igen."
Fast & Furious 6,82992,movie,fi,FI,Finnish,The Fast and the Furious 6,"Fast &amp; Furious -sarjan kuudennessa osassa Vin Dieselin, Paul Walkerin ja Dwayne Johnsonin johtama tähtikaarti on taas koolla!  Domin (Diesel), Brianin (Walker) ja muun tiimin edellisen Rio de Janeiron -keikan jälkeen sankarit ovat hajautuneet ympäri maailmaa. Keikasta tienatut 100 miljoonaa dollaria eivät paljon lohduta, kun he joutuvat elämään maanpaossa. Samaan aikaan Hobbs (Johnson) on jahdannut tappavan taitavista ajajista koostuvaa ryhmää 12 maassa. Hobbs on huolissaan tuhoista, joita ryhmä voi saada aikaan, ja pyytää Domilta apua. Hobbsin etsimän organisaation pääjehu (Evans) on entinen erikoisjoukkojen sotilas, ja tämän oikeana kätenä toimii Domin ex-rakkaus Letty (Rodriguez), jonka on luultu kuolleen. Ainoa tapa pysäyttää rikolliset on voittaa heidät ajamalla, joten Hobbs pyytää Domia kokoamaan huippuajajien eliittitiiminsä tällä kertaa Lontooseen. Palkaksi heille luvataan täysi armahdus, joka mahdollistaisi paluun kotiin."
Fast & Furious 6,82992,movie,th,TH,Thai,เร็ว...แรงทะลุนรก 6,"Fast and Furious 6 เล่าเรื่องราวหลังจากที่ ดอม (วิน ดีเซล) และ ไบรอัน (พอล วอลค์เกอร์) ปล้นเจ้าพ่อในบราซิลและแบ่งเงิน 100 ล้านดอลลาร์กับสมาชิกแก๊งไปแล้ว แต่เหล่าฮีโร่ทั้งหลายก็ต้องกระจัดกระจายกันอยู่ทั่วโลก เพราะถูกคาดโทษไม่สามารถกลับเข้าสหรัฐบ้านเกิดได้ แต่หลังจากที่มีแก๊งทหาร รับจ้างที่อาละวาดอยู่ใน 12 ประเทศ เจ้าหน้าที่พิเศษ ฮอบส์ (ดเวย์น จอห์นสัน) จึงต้องขอความช่วยเหลือจาก ดอม และพรรคพวกโดยที่ไม่รู้ว่า เลตตี้ (มิเชล รอดริเกซ) เป็นมือขวาของหัวหน้าแก๊ง (ลุค เอแวนส์) ซึ่งทุกคนคิดว่าเธอตายไปแล้ว ดอม, ไบรอัน และพรรคพวกจึงกลายเป็นความหวังเดียวที่สามารถหยุดแก๊งอาชญากรระดับโลกนี้ได้ ซึ่งหากพวกเขาทำสำเร็จ พวกเขาก็จะพ้นโทษทั้งหมดและสามารถกลับบ้านได้"
Fast & Furious 6,82992,movie,cs,CZ,Czech,Rychle a zběsile 6,"Zvláštní agent Hobbs (Dwayne Johnson) se zaměřil na novou partičku bezohledných námezdných řidičů, kteří svých schopností za volantem využívají k páchání zločinu. Skupina vedená bezohledným a chladnokrevným géniem zločinu Owenem Shawem (Luke Evans) mu ale neustále uniká, a tak se ji rozhodne zastavit jejich vlastními zbraněmi. S pomocí rychlých řidičů, kteří jako by se za volantem narodili. A těmi nejlepšími jsou přece Dom, Brian a jejich tým. Odměna za takovou práci? Úplné očištění a možnost vrátit se domů. Pro Doma je tu ještě jedna speciální motivace – jeho holka Letty (Michelle Rodriguez), kterou všichni považovali za mrtvou, žije a navíc pracuje pro nepřítele."
Fast & Furious 6,82992,movie,sv,SE,Swedish,The Fast and Furious 6,Dominic Toretto och Brian O'Conner är på jakt efter sanningen om Dominics flickvän Lettys försvinnande. Tillsammans med sitt elitteam och Polisen Hobbs tar de sig an den tuffaste fienden de någonsin mött. En brittisk fd specialagent.
Fast & Furious 6,82992,movie,tr,TR,Turkish,Hızlı ve Öfkeli 6,"Dom ve Brian’ın birlikte hareket ederek çok nüfuzlu bir kişinin imparatorluğunu yıktıklarından bu yana kahramanlarımız tüm dünyaya yayılmıştır. Bu arada Hobbs düzenlenen yepyeni bir organizasyonu takip etmektedir. Suçlu takımını durdurmanın tek yolu sokakta üstün gelmektir. Bu nedenle Hobbs, Dom’dan en seçkin takımını Londra’da toplamasını ister. Böylece evlerine dönebilecekler ve ailelerini yeniden bir araya getirebileceklerdir."
Fast & Furious 6,82992,movie,el,GR,Greek,Μαχητές των Δρόμων 6,"Μετά τη ληστεία των εκατό εκατομμυρίων στο Ρίο, ο Ντομ, ο Μπράιαν και η υπόλοιπη ομάδα τους βρίσκονται διασκορπισμένοι σε διάφορα μέρη του κόσμου (Κανάριοι Νήσοι, Χονγκ Κονγκ, Κόστα Ρίκα), αδυνατώντας να επιστρέψουν σπίτι τους και να ζήσουν μια κανονική ζωή. Εν τω μεταξύ ο Χομπς καταζητεί μια οργάνωση «θανάσιμα» εκπαιδευμένων οδηγών υπό την υπαρχηγία της φερόμενης -μέχρι σήμερα- νεκρής αγαπημένης του Ντομ, Λέτι, γι’ αυτό και ζητά τη βοήθεια του Ντομ και της ομάδας του προκειμένου να μεταβούν στο Λονδίνο και να την εξαρθρώσουν, με αντάλλαγμα την πλήρη «άφεση αμαρτιών» τους, προκειμένου να επιστρέψουν με πλήρη ασυλία στην κανονική τους ζωή."
Fast & Furious 6,82992,movie,pl,PL,Polish,Szybcy i wściekli 6,"Agent Hobbs otrzymuje informacje o przechwyceniu konwoju wojskowego w Berlinie. Wpada tym samym na trop organizacji wyszkolonych kierowców-zabójców, którzy działają na terenie dwunastu krajów. Śledząc ich dowiaduje się, że prowadzeni są przez Owena Shawa, a wspomaga go bezwzględna Letty. Tymczasem Dominic Toretto i jego załoga wiodą luksusowe życie poza granicami Stanów. Przymusowa emigracja nie trwa długo, kiedy u Doma pojawia się Hobbs, a wraz z nim szansa na powrót do domu. Jak wiadomo jednak, nie ma nic za darmo..."
Fast & Furious 6,82992,movie,no,NO,Norwegian,Fast and Furious 6,"En russisk militærkonvoi blir angrepet i Moskva, og agent HOBBS (Dwayne Johnson) oppsøker den eneste mannen som kan hjelpe ham med å finne den skyldige – DOMINIC TORETTO (Vin Diesel). Toretto tar oppdraget når han får vite at LETTY (Michelle Rodriguez) er i live og jobber sammen med Hobbs hovedmistenkte OWEN SHAW (Luke Evans) – en forhenværende elitesoldat med et særdeles profesjonelt team bak seg. Toretto samler igjen sitt original crew, inkludert BRIAN O’CONNER (Paul Walker), på jakt etter Shaw og hans team i en rekke actionspekkede scener over hele Europa. Hver biljakt overgår den andre, bare villere, større og mer overveldende!"
Fast & Furious 6,82992,movie,he,IL,Hebrew,מהיר ועצבני 6,"לאחר שדום ובריאן הפילו סוחר סמים ענק וזכו בסכום עתק של 100 מיליון דולר, הם מסתובבים בעולם, דוהרים ברחובות ונהנים מהחיים. כעת, הובס משקיע את זמנו בתפיסת ארגון נהגים שעובר ממדינה למדינה ורוצח על פי הזמנה. מסתבר שלארגון יש מישהי שמסייעת לו מבחוץ. מישהי שדום אהב עד שהיא מתה. עכשיו, עם המידע החדש, יש לצוותו של דום סיבה טובה לחזור ולעזור להובס להפיל את ארגון הפשע חסר הרחמים."
