titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Casino Royale,36557,movie,en,US,English,,"Le Chiffre, a banker to the world's terrorists, is scheduled to participate in a high-stakes poker game in Montenegro, where he intends to use his winnings to establish his financial grip on the terrorist market. M sends Bond—on his maiden mission as a 00 Agent—to attend this game and prevent Le Chiffre from winning. With the help of Vesper Lynd and Felix Leiter, Bond enters the most important poker game in his already dangerous career."
Casino Royale,36557,movie,de,DE,German,James Bond 007 - Casino Royale,"Sein erster Auftrag, nachdem er die Lizenz zum Töten erhalten hat, führt den MI6-Agenten James Bond nach Madagaskar, wo er auf den Terroristen Mollaka angesetzt wird. Zwar verläuft nicht alles nach Plan, doch als Bond auf eigene Faust weiter ermittelt, kommt er auf die Spur von Le Chiffre, dem Bankier einer weltweit operierenden Terror-Organisation. Dieser plant, das Vermögen seiner Organisation durch ein illegales Pokerspiel im „Casino Royale“ in Montenegro um ein Vielfaches zu erhöhen, wofür natürlich auch ein hoher Einsatz nötig ist. Der MI6 sieht daher die Chance, die Terroristen in den finanziellen Ruin zu treiben und beauftragt James Bond, die Pläne von Le Chiffre zunichte zu machen."
Casino Royale,36557,movie,uk,UA,Ukrainian,007: Казино Рояль,"Нова місія Джеймса Бонда пов'язана з подорожжю на Мадагаскар, де він має вистежити терориста на ім'я Моллака. ЦРУ стає відомо, що банкір Ле Шиффр, який фінансує терористичні організації, планує виграти великі гроші у покер в казино Рояль у Чорногорії. Британська розвідка дає Бонду завдання виграти цю партію і знищити таким чином організацію Ле Шиффра."
Casino Royale,36557,movie,ru,RU,Russian,007: Казино Рояль,"Первая же миссия в качестве агента 007 становится его величайшим испытанием: ему выпадает сразиться с международной террористической организацией, опутавшей своей сетью всю планету. Используя богатый шпионский арсенал - от верного пистолета до навороченного спортивного авто - Джеймс Бонд вступает в поединок с ключевой фигурой сил зла, финансовым гением преступного мира Ле Шиффром."
Casino Royale,36557,movie,fr,FR,French,Casino Royale,"Pour sa première mission, James Bond affronte le tout-puissant banquier privé du terrorisme international, Le Chiffre. Pour achever de le ruiner et démanteler le plus grand réseau criminel qui soit, Bond doit le battre lors d'une partie de poker à haut risque au Casino Royale. La très belle Vesper, attachée au Trésor, l'accompagne afin de veiller à ce que l'agent 007 prenne soin de l'argent du gouvernement britannique qui lui sert de mise, mais rien ne va se passer comme prévu. Alors que Bond et Vesper s'efforcent d'échapper aux tentatives d'assassinat du Chiffre et de ses hommes, d'autres sentiments surgissent entre eux, ce qui ne fera que les rendre plus vulnérables..."
Casino Royale,36557,movie,it,IT,Italian,Casino Royale,"Dopo essersi guadagnato due zeri e la licenza di uccidere James Bond, alle origini della sua carriera, è sulle tracce di Le Chiffre, uno spregiudicato banchiere che finanzia organizzazioni terroristiche. L'intervento di Bond manda all'aria i suoi piani, sventando un attentato ai danni di una compagnia aerea. Le Chiffre si ritrova così in debito e in imbarazzo con un misterioso signore della guerra africano, per saldare il conto organizza un'esclusiva partita a poker al Casino Royale nel Montenegro. Finanziato dal governo e controllato dall'affascinante contabile Vesper Lynd, Bond è tra i dieci ricchi partecipanti che gareggiano per il piatto milionario. Sopravvissuto a una lunga notte di bluff, strategie, inseguimenti, avvelenamenti e torture, sarà l'amore a piegare l'agente britannico e a condizionarne il destino sentimentale."
Casino Royale,36557,movie,sv,SE,Swedish,,"James Bonds första uppdrag som 007 leder honom till Le Chiffre, bankir åt världens terrorister. För att stoppa honom och för att förinta terroristernas nätverk måste Bond besegra Le Chiffre i ett pokerspel med höga insatser på Casino Royale. Till en början är Bond irriterad över att den vackra brittiska Riksbankstjänstemannen, Vesper Lynd får uppdraget att leverera hans insats till spelet och vaka över regeringens pengar. När de tillsammans överlever en serie av dödliga attacker utförda av Le Chiffre och hans män, växer en attraktion fram mellan dem och det utsätter dem båda för ytterligare fara och händelser som förändrar Bonds liv för evigt."
Casino Royale,36557,movie,sk,SK,Slovak,,"James Bond je na svojej prvej veľkej misii ako agent 007. Úloha ho privedie k Le Chiffreovi, bankárovi svetových teroristov. V snahe zastaviť ho a zneškodniť teroristickú sieť, musí Bond poraziť Le Chiffreho vo vysokom pokri v Casino Royale. Bond je spočiatku otrávený, kým mu nepadne do oka prekrásna pracovníčka ministerstva financií, Vesper Lyndová, ktorá má za úlohu odovzdať mu vklad do hry a dozrieť na štátne peniaze. Keď Bond a Vesper prežijú sériu vražedných útokov Le Chiffreho a jeho prisluhovača, iskra, ktorá medzi nimi preskočila, prerastie do vzájomného očarenia, ktoré ich ženie do ďalších nebezpečenstiev, a tými je poznačený už celý ďalší Bondov život..."
Casino Royale,36557,movie,da,DK,Danish,James Bond: Casino Royale,"Den nyuddannede britiske MI6-agent James Bond demonstrerer sin effektivitet og får licens til at dræbe - og snart er han som Agent 007 på sin første mission. Her bliver han sendt af sted for at efterforske den hensynsløse finansmand Le Chiffre, som MI6 frygter står bag flere terrororganisationer. Le Chiffre planlægger at rejse penge til terrorisme via et poker-arrangement med tårnhøje indsatser i Montenegros berømte spillepalads 'Casino Royale', og det får James Bond besked på at deltage i. For at han kan have noget at spille for, sender finansministeriet den kønne Vesper Lynd afsted med en mindre formue til ham. Nu kan et farligt spil begynde!"
Casino Royale,36557,movie,nl,NL,Dutch,Casino Royale,"James Bond's eerste opdracht als 00 Agent leidt hem naar Le Chiffre, een bankier van wereldwijd gevreesde terroristen. Le Chiffre neemt deel aan een pokerspel in Montenegro, waar hij van plan is zijn winst te gebruiken om zijn financiële greep op de terroristenmarkt te verstevigen."
Casino Royale,36557,movie,es,ES,Spanish,Casino Royale,"La primera misión del agente británico James Bond como agente 007 lo lleva hasta Le Chiffre, banquero de los terroristas de todo el mundo. Para detenerlo y desmantelar la red terrorista, Bond debe derrotarlo en una arriesgada partida de póquer en el Casino Royale. Al principio a Bond le disgusta Vesper Lynd, la hermosa oficial del Tesoro que debe vigilar el dinero del gobierno. Pero, a medida que Bond y Vesper se ven obligados a defenderse juntos de los mortales ataques de Le Chiffre y sus secuaces, nace entre ellos una atracción mutua."
