titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
F9,385128,movie,de,DE,German,Fast & Furious 9,"Dominic Toretto hat immer großen Wert auf die „Familie“ um seine Frau Letty, ihren gemeinsamen Sohn Brian, seiner Schwester Mia und seine Mitstreiter Roman und Tej gelegt. Als dann allerdings plötzlich ein weiterer Blutsverwandter von Dom auf der Bildfläche erscheint, sieht das etwas anders aus. Doms und Mias verschollener Bruder Jakob, ein tödlicher Killer und Dieb, will mit Dom eine Rechnung begleichen und tut sich dafür mit der Cyber-Terroristin Cipher zusammen. Dom steht vor seiner wohl größten Herausforderung. Da kommt es ihm gerade recht, dass er unverhoffte Unterstützung von seinem totgeglaubten Freund Han bekommt, der den Anschlag auf sein Leben offenbar doch überlebt hat. Dom muss sich nun den Sünden seiner Vergangenheit stellen und sich mit seiner Crew zusammenschließen, um die Weltverschwörung zu stoppen, die von Jakob und Cipher angeführt wird."
F9,385128,movie,fr,FR,French,Fast & Furious 9,"Dominic Toretto mène une vie tranquille avec Letty et son fils, le petit Brian, mais ils savent que le danger se cache toujours derrière l'horizon paisible. Cette fois, cette menace obligera Dom à affronter les péchés de son passé s’il veut sauver ceux qu’il aime le plus. Son équipe se réunit pour arrêter un complot mené par l'assassin le plus talentueux et le meilleur pilote qu'ils aient jamais rencontré : un homme qui se trouve être également le frère abandonné de Dom, Jakob."
F9,385128,movie,en,US,English,,Dominic Toretto and his crew battle the most skilled assassin and high-performance driver they've ever encountered: his forsaken brother.
F9,385128,movie,nl,NL,Dutch,Fast & Furious 9,"Dominic Toretto leidt een rustig leven buiten de grid met Letty en zijn zoon, kleine Brian, maar ze weten dat gevaar altijd op de loer ligt net boven hun vredige horizon. Deze keer dwingt die dreiging Dom om de zonden uit zijn verleden onder ogen te zien als hij diegenen gaat redden van wie hij het meest houdt. Zijn bemanning komt samen om een ​​wereldschokkend complot te stoppen onder leiding van de meest bekwame huurmoordenaar en krachtige chauffeur die ze ooit zijn tegengekomen: een man die ook de verlaten broer van Dom is, Jakob."
F9,385128,movie,es,ES,Spanish,Fast & Furious 9,"Dom Toretto lleva una vida tranquila con Letty y su hijo, el pequeño Brian, pero saben que el peligro siempre acecha. Esta vez, esa amenaza obligará a Dom a enfrentarse a los pecados de su pasado si quiere salvar a quienes más quiere. El equipo se vuelve a reunir para impedir un complot a escala mundial, liderado por uno de los asesinos más peligrosos y mejor conductor a los que se han enfrentado; un hombre que además es el hermano desaparecido de Dom, Jakob."
F9,385128,movie,pt,BR,Portuguese,Velozes & Furiosos 9,"Dominic Toretto e sua família precisam enfrentar o seu irmão mais novo Jakob, um assassino mortal que está trabalhando com uma antiga inimiga, a cyber-terrorista Cipher."
F9,385128,movie,pt,PT,Portuguese,Velocidade Furiosa 9,"Velocidade Furiosa 9 é o nono capítulo da saga que já leva mais de duas décadas e arrecadou mais de 5 mil milhões de dólares em todo o mundo. Dom Toretto (Vin Diesel) leva uma vida tranquila, longe de tudo, com Letty (Michelle Rodriguez) e o seu filho, o pequeno Brian. Mas todos sabem que para lá do horizonte pacífico, o perigo está sempre à espreita. Desta vez, esta ameaça vai forçar Dom a enfrentar os pecados do seu passado para conseguir salvar aqueles que mais ama. A sua equipa volta a unir-se para travar um plano que vai chocar o mundo, liderado pelo melhor condutor e maior assassino que alguma vez encontraram: Jakob (John Cena), o irmão abandonado de Dom."
F9,385128,movie,ru,RU,Russian,Форсаж 9,"Доминик Торетто ведет спокойную жизнь вместе с Летти и сыном Брайаном, но новая опасность всегда где-то рядом. В этот раз Доминику придется встретиться с призраками прошлого, если он хочет спасти самых близких. Команда снова собирается вместе, чтобы предотвратить дерзкий план по захвату мира, который придумал самый опасный преступник и безбашенный водитель из всех, с кем они сталкивались ранее. Ситуация усложняется тем, что этот человек — брат Доминика Джейкоб, которого много лет назад изгнали из семьи."
F9,385128,movie,zh,CN,Mandarin,速度与激情9,多米尼克·托莱多（范·迪塞尔 饰）与莱蒂（米歇尔·罗德里格兹 饰）和他的儿子小布莱恩，过上了远离纷扰的平静生活。然而他们也知道，安宁之下总潜藏着危机。这一次，为了保护他所爱的人，托莱多不得不直面过去。他和伙伴们面临的是一场足以引起世界动荡的阴谋，以及一个前所未遇的一流杀手和高能车手。而这个名叫雅各布（约翰·塞纳 饰）的人，恰巧是多姆遗落在外的亲弟弟。
F9,385128,movie,th,TH,Thai,เร็ว...แรงทะลุนรก 9,ดอม โทเร็ตโต ซึ่งรับบทโดย วิน ดีเซล ปลีกตัวออกไปใช้ชีวิตอย่างเงียบ ๆ พร้อมกับเล็ตตี้และไบรอันลูกชายตัวน้อย แต่พวกเขารู้ว่าแม้จะอยู่ในดินแดนสงบสุข ก็ยังมีอันตรายอยู่ คราวนี้ ดอมต้องเผชิญหน้ากับตราบาปในอดีตของเขา หากเขาต้องการจะปกป้องชีวิตของคนที่เขารักมากที่สุด ทีมนักซิ่งของเขากลับมารวมตัวกันอีกครั้ง เพื่อหยุดการทำลายล้างโลกโดยนักฆ่าและนักซิ่งฝีมือฉกาจซึ่งเขาคือเจคอบ น้องชายของดอม (จอห์น ซีนา จาก The Suicide Squad)
F9,385128,movie,bg,BG,Bulgarian,Бързи и яростни 9,"Доминик Торето е бивш престъпник и професионален уличен автосъстезател, който се е оттеглил и установил със съпругата си Лети Ортис и техния син. Сестрата на Дом - Миа се е събрала със своя партньор в живота Брайън и двете им деца."
F9,385128,movie,ko,KR,Korean,분노의 질주: 더 얼티메이트,평화로운 은둔생활을 즐기고 있는 도미닉에게 또 다른 적이 나타난다. 미스터 노바디가 실종되면서 남긴 마지막 메시지를 쫓아가던 돔 패밀리 앞에 돔의 친동생 제이콥이 나타나 비밀이 담긴 박스를 탈취해간 것이다. 제이콥이 테러리스트 사이퍼를 이용해 전세계를 위험에 빠트릴 계획을 꾸미고 있음을 알게 된 도미닉은 동생의 폭주를 막고 잘못된 과거를 바로잡기 위해 일어선다. 돌아온 오리지널 멤버 한 등과 함께 다시 부활한 돔 패밀리의 반격의 막이 오른다.
F9,385128,movie,zh,HK,Mandarin,F9 狂野時速,阿當一家過著隱居生活，但好景不長，他「失散」多年的車神殺手親生細佬雅各自動搵上門，隨即引爆連場國際級大災難。為擊破雅各守護所愛，阿當馬上召集原班隊友回陣，走遍英、美、日，殺出阿塞拜疆、格魯吉亞；舊友復現，前債再臨，「一家人」沖擊真正試煉，阿當誓要改寫歷史！手車再快，能否衝破過往枷鎖？
F9,385128,movie,es,MX,Spanish,Rápidos y furiosos 9,"Domic Toretto lleva una vida tranquila, lejos de todo, con Letty y su hijo, el pequeño Brian. el peligro está siempre al acecho. Esta vez, esta amenaza obligará a Domic Toretto a enfrentarse a los pecados de su pasado para salvar a los que más quiere. Su equipo se reúne de nuevo para detener un plan que conmocionó al mundo, liderado por el mejor piloto y el mayor asesino que han encontrado: Jakob, el hermano abandonado de Domic."
F9,385128,movie,uk,UA,Ukrainian,Форсаж 9: Нестримна сага,"Вони завжди готові мчати без гальм, тисячі кілометрів за секунду. Часи змінюються. Домінік Торето залягає на дно – живе спокійним життям з родиною. Та доля має на нього інші плани."
F9,385128,movie,cs,CZ,Czech,Rychle a zběsile 9,"Dominic Toretto má už zase trable s rodinou, tentokrát ale úplně jiné, než byste asi čekali. Kyberteroristka Cipher se navíc oklepala z direktu, který ji rychlá a zběsilá parta uštědřila, a je odhodlána jim to všem vrátit i s úroky."
F9,385128,movie,el,GR,Greek,Μαχητές των Δρόμων 9,"Ο Ντομ Τορέτο, ζει μια ήσυχη ζωή μαζί με την Λέτι και τον γιο τους, τον μικρό Μπράιαν, όμως γνωρίζει καλά ότι ο κίνδυνος πάντα θα καραδοκεί στον ορίζοντα. Αυτήν τη φορά, η απειλή θα αναγκάσει τον Ντομ να αντιμετωπίσει τις αμαρτίες του παρελθόντος του, αν θέλει να σώσει τους αγαπημένους του ανθρώπους. Η ομάδα του συγκεντρώνεται ξανά, αυτήν τη φορά με σκοπό να σταματήσει μια συνωμοσία παγκοσμίων διαστάσεων, στην οποία ηγείται ο πιο ικανός δολοφόνος και ο πιο δεινός οδηγός που έχουν αντιμετωπίσει ποτέ: ένας άντρας που τυχαίνει να είναι ο ξεχασμένος αδερφός του Ντομ, ο Τζέικομπ."
F9,385128,movie,it,IT,Italian,Fast & Furious 9: The Fast Saga,"Dom Toretto conduce una vita tranquilla insieme a Letty e a suo figlio, il piccolo Brian, ma non sa che il pericolo è sempre in agguato. Questa volta, una nuova minaccia costringerà Dom a confrontarsi con il suo passato."
F9,385128,movie,tr,TR,Turkish,Hızlı ve Öfkeli 9,"Dom Toretto, oğlu küçük Brian ile gözlerden uzakta, sessiz bir hayat sürmektedir. Ama huzurlu çevrelerinin hemen ötesinde tehlikenin hep pusuda olduğunu biliyorlardır. Bu kez tehlike Dom’u, en sevdiklerini kurtarmak istiyorsa geçmişinin günahlarıyla yüzleşmeye zorlayacaktır. Dom'un ekibi, bugüne kadar karşılaştıkları en yetenekli suikastçı ve yüksek performans sürücüsü olan, Dom’un terk edilmiş erkek kardeşi Jakob’un liderliğindeki dünyayı yıkacak bir planı durdurmak için bir araya gelir."
F9,385128,movie,hu,HU,Hungarian,Halálos iramban 9,"Dom Toretto visszahúzódva él egy félreeső helyen Lettyvel és fiával, a kis Briannel, de tudják, hogy a veszély állandóan ott les rájuk a békés horizonton. Ezúttal ez a veszély arra kényszeríti Domot, hogy szembenézzen múltbéli bűneivel, ha meg akarja menteni azokat, akiket a legjobban szeret. Összehozza csapatát, hogy megakadályozzanak egy olyan tervet, amely megrengeti a világot. A terv kiötlője a legképzettebb bérgyilkos és legprofibb sofőr, akivel valaha találkoztak – és aki történetesen Dom elveszett öccse, Jakob..."
F9,385128,movie,sk,SK,Slovak,Rýchlo a zbesilo 9,"Dominic Toretto má už zase ťažkosti so svojou rodinou, ale tentoraz úplne iné, než by ste očakávali. Kyberteroristka Cipher sa doteraz nespamätala z úderu, ktorý jej uštedrila rýchla a zbesilá partia v ôsmej časti, a je odhodlaná im to všetko vrátiť aj s úrokmi."
F9,385128,movie,he,IL,Hebrew,מהיר ועצבני 9,"דום טורטו מנהל חיים שקטים ושלווים לכאורה עם לטי ובנו, בריאן הקטן, אך שניהם יודעים שהסכנה תמיד אורבת להם מעבר לפינה. איום חדש ישן יאלץ את דום להתעמת עם חטאי העבר על מנת להציל את אלה שהוא הכי אוהב היום. צוותו הוותיק מצטרף אליו כדי לעצור מזימה עולמית בהובלת המתנקש ונהג המירוצים הכי מיומן שנתקלו בו אי פעם: אדם שהוא במקרה גם אחיו האבוד של דום, ג'ייקוב. בדרך אויבים ותיקים יחזרו, חברים מפתיעים יקומו לתחייה, ההיסטוריה תיכתב מחדש והמשמעות האמיתית של ""משפחה"" תיבחן כמו שלא נבחנה מעולם."
F9,385128,movie,fr,CA,French,Rapides et dangereux 9 la saga,"Dom Toretto coule une vie tranquille en compagnie de Letty et de son fils, le petit Brian, mais ils savent que le danger n’est jamais loin. Cette fois, la menace va forcer Dom à affronter les erreurs de son passé si il veut sauver ceux qu’il aime le plus."
F9,385128,movie,fi,FI,Finnish,Fast & Furious 9,"Dom Toretto on vetäytynyt viettämään rauhallista kotielämää Lettyn ja poikansa Brianin kanssa. He kuitenkin tietävät, että vaikka taivaanranta näyttää seesteiseltä, sen takana heitä uhkaa aina vaara. Tällä kertaa Domin on kohdattava omat menneisyyden syntinsä pelastaakseen rakkaimpansa. Tuttu jengi palaa jälleen yhteen pysäyttääkseen koko maailma kohtaloa uhkaavan juonen, jonka takana on nerokkain salamurhaaja ja taitavin kuski, jonka he ovat koskaan kohdanneet - mies, joka sattuu olemaan myös Domin hylkiö-veli Jakob."
F9,385128,movie,uz,UZ,Uzbek,Forsaj 9,
F9,385128,movie,zh,TW,Mandarin,玩命關頭9,馮迪索飾演的唐老大和莉蒂與他的兒子小布萊恩，正在過著與世隔絕的平靜生活，但是他們都知道這種平靜的生活隨時隨地都會受到致命危機的威脅。這次，這個威脅將逼迫唐老大面對他過去犯下的罪孽，如果他想要拯救他最愛的人們。他的團隊將再度攜手合作，槓上他們遇過最高竿的職業刺客和飆速車手，並且阻止他摧毀全世界的邪惡計畫。這個神秘人物也正好是早就被唐老大切斷兄弟關係的親弟弟雅各（約翰希南 飾）。
