titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
For Your Eyes Only,699,movie,en,US,English,,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.
For Your Eyes Only,699,movie,de,DE,German,James Bond 007 - In tödlicher Mission,"Ein als Fischkutter getarntes Spionageschiff der Engländer sinkt im ionischen Meer. An Bord befindet sich ein strenggeheimes Steuer- und Verschlüsselungsgerät ATAC. In feindlichen Händen könnte es zum Abschuss von Atomraketen auf westliche Städte verwendet werden. James Bond muss das Gerät finden, bevor es dem Feind in die Hände gerät."
For Your Eyes Only,699,movie,it,IT,Italian,Solo per i tuoi occhi,"Un dispositivo ultra segreto del tipo Atac affonda la nave spia inglese St. Georges al largo della Grecia. Un archeologo britannico riesce a localizzarlo, ma viene assassinato. La sua giovane figlia Melina, desiderosa di vendetta, si unisce a James Bond, incaricato dell'operazione di recupero. Un lavoro rischioso, come sempre, all'insegna dell'imprevisto, degli inseguimenti mozzafiato, degli agguati mortali, degli spostamenti intercontinentali: dalle Bahamas a Cortina alle assolate spiagge greche. Al centro dell'intrigo c'è un miliardario greco, certo Kristatos, di cui Bond, con la bella Melina e un contrabbandiere di nome Columbo, deve espugnare la villa bunker. Naturalmente non mancano i russi che, a loro volta, sono sulle tracce del dispositivo e non intendono certo tirarsi indietro."
For Your Eyes Only,699,movie,sv,SE,Swedish,Ur dödlig synvinkel,Ett brittiskt övervakningsfartyg träffas av en mina och sjunker till botten utanför ett fientligt lands kust. Längs inne i lastrummet finns den högteknologiska militärutrustningen ATAC som britterna använder för att sända instruktioner till sina strategiska atomubåtar. James Bond skickas iväg för att se till att inte utrustningen kommer i fel händer. Sovjetunionen har redan fått upp spåret och en ohygglig kapplöpning med tiden börjar.
For Your Eyes Only,699,movie,ru,RU,Russian,007: Только для твоих глаз,"На этот раз агенту 007 предстоит захватывающая дух гонка с русскими коллегами. Дело в том, что Британские военные умудрились утопить в Ионическом море абсолютно секретное оборудование. Если аппаратура попадет в руки советским разведчикам, это может привести к ужасающим для Великобритании и всего мира последствиям. Бонду приходится с безумной скоростью прокатиться по трассе для бобслея, повисеть на одной руке над бездонной пропастью, участвовать в захватывающем дух подводном сражении с применением новейшего шпионского оружия. В этом непростом соревновании Бонду помогает великолепная красавица Милена, которая одинаково хорошо владеет боевым арбалетом и, что еще более опасно, искусством обольщения."
For Your Eyes Only,699,movie,tr,TR,Turkish,Senin Gözlerin İçin,"Arnavutluk açıklarında batan bir gemi, büyük ülkelerin o bölgeye ilgisini çeker. Gemide, Polaris nükleer denizaltıları üzerinde kontrol sağlamaya yarayan ATAC sistemi bulunmaktadır.İngilizler adına aramalara katılan James Bond, güleryüzlü armatör Kristatos'dan şüphelenmektedir. Aramalar uzadıkça taraflar arasında gerginlikler de artmaktadır. Bu sırada Bond, Kristatos'u ailesinin ölümüne sebep olmakla suçlayan güzel Melina Havelock ile tanışır. Onun da yardımıyla cihazı ele geçirmek için Kristatos'la mücadele başlar."
For Your Eyes Only,699,movie,fr,FR,French,Rien que pour vos yeux,"Un bateau espion du Royaume-Uni, sombre dans les eaux albanaises après avoir heurté une mine, engloutissant avec lui l'ATAC, système top secret de lancement de missiles. Les services secrets britanniques déclenchent une opération sous-marine discrète pour récupérer l'appareil. L'opération est conduite par un couple d'archéologues marins, Timothy et Iona Havelock. Mais le tueur cubain Hector Gonzalès interrompt brutalement les recherches en assassinant le couple sous les yeux de sa fille Mélina. James Bond entre alors en scène et s'en va enquêter, secondé de la séduisante et vengeresse Mélina, sur les liens de Gonzalès avec le système ATAC..."
For Your Eyes Only,699,movie,da,DK,Danish,Agent 007: Strengt fortroligt,"Et britisk spionskib forklædt som fisketrawler får ved et uheld en mine i nettet og synker i løbet af få øjeblikke. Ingen ombordværende overlever den voldsomme eksplosion. Og hvad værre er – ombord på skibet befinder sig en avanceret computer kaldet ATAC, der kan styre affyringen af atommissiler. James Bond må derfor straks bjærge maskinen, inden russerne få fingre i den og sætter hele verden i brand. Til at hjælpe sig får han assistance af den smukke Melina og smuglerkongen Milos Columbo."
For Your Eyes Only,699,movie,es,ES,Spanish,Sólo para sus ojos,"El agente 007 debe acudir a recuperar el ATAC, un dispositivo militar secreto de guía por satélite, antes de que sea vendido a los rusos."
For Your Eyes Only,699,movie,hu,HU,Hungarian,Szigorúan bizalmas,"A britek egyik hajója elsüllyed a görög szigetek mellett. A hajóval együtt a tengersírba merül egy szupertitkos eszköz, az ATAC is, amelyet szívesen megkaparintanának az oroszok is, ami nem csoda, hiszen ez a konzol rejti azt a titkos kódot, amely a brit tengeralattjárók rakétáit irányítja. Nem is tétlenkednek sokáig a KGB emberei: mire Bond a helyszínre érkezik, már társai is akadnak, akik szintén az ATAC megszerzésén munkálkodnak. A 007-esnek ezúttal a szokottnál is elszántabb hölgykísérője akad: egy lány, aki bosszút akar állni szülei gyilkosain. Közös kalandos útjuk az Égei-tenger mélyétől a görög hegyvidékek csúcsáig vezet és a rengeteg életveszélyes akció közepette szinte alig akad idejük egymásra. Szinte..."
For Your Eyes Only,699,movie,nl,NL,Dutch,,"Wanneer een Brits schip vlakbij Griekenland tot zinken wordt gebracht, beginnen de wereldmachten een koortsachtige zoektocht naar de super geheime lading van het schip: het controlesysteem van een nucleaire onderzeeër."
For Your Eyes Only,699,movie,fi,FI,Finnish,007: Erittäin salainen,Englantilainen laiva uppoaa kansainvälisille vesille. Maailman supervallat alkavat epätoivoisesti etsiä laivan lastia: ydinsukellusveneiden ohjausjärjestelmää. Agentti 007 (Roger Moore) joutuu yhteen hermoja raastavimmista seikkailuistaan. Hänen täytyy voittaa kilpajuoksu ja estää täydellinen ydinsota.
