titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Harry Potter and the Goblet of Fire,674,movie,en,US,English,,"When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named."
Harry Potter and the Goblet of Fire,674,movie,de,DE,German,Harry Potter und der Feuerkelch,"Das große Abenteuer beginnt, als der Feuerkelch Harry Potters Namen freigibt und Harry damit Teilnehmer eines gefährlichen Wettbewerbs unter drei ruhmreichen Zauberschulen wird – des Trimagischen Turniers. Wer aber könnte Harrys Namen in den Feuerkelch geworfen haben? Jetzt muss er einen gefährlichen Drachen bezwingen, mit gespenstischen Wasserdämonen kämpfen und einem verzauberten Labyrinth entkommen – nur, um am Ende Dem-dessen-Name-nicht-genannt-werden-darf gegenüberzustehen."
Harry Potter and the Goblet of Fire,674,movie,it,IT,Italian,Harry Potter e il calice di fuoco,"La scuola di Hogwarts ospita quest'anno il Torneo Tremaghi, famosa competizione in cui tre studenti, appartenenti a tre scuole di magia diverse, dovranno sfidarsi in pericolose prove. Il Calice di Fuoco ha scelto anche Harry, il quale, suo malgrado, dovrà partecipare al Torneo, nonostante la sua giovane età. Un'altra avventura ha inizio per il maghetto quattordicenne, che dovrà combattere con il famigerato Lord Voldemort..."
Harry Potter and the Goblet of Fire,674,movie,pt,PT,Portuguese,Harry Potter e o Cálice de Fogo,"O nome de Harry Potter é extraído do Cálice de Fogo, tornando-se assim num dos concorrentes de Hogwarts que irão disputar a glória e o prestígio no Torneio dos Três Feiticeiros realizado entre as três grandes escolas de feiticeiros e onde terá de enfrentar os alunos mais experientes numa série de desafios. Mas quem inscreveu o nome de Harry, visto que não foi ele? Entretanto, os aliados de Lord Voldermort espalham o pânico durante o Campeonato do Mundo de Quidditch, sinalizando o retorno do malvado bruxo com a Marca Negra. Agora Harry terá de enfrentar um mortífero dragão, lidar com ferozes demónios aquáticos, conquistar um labirinto encantado, e, ainda convidar uma rapariga para o Baile de Inverno, antes de acabar nas garras de Aquele Cujo Nome Não Deve Ser Pronunciado..."
Harry Potter and the Goblet of Fire,674,movie,nl,NL,Dutch,Harry Potter en de Vuurbeker,"Harry gaat samen met zijn vrienden Ron en Hermione naar het WK Quidditch. Helaas loopt dit evenement mis doordat een groep volgelingen van Voldemort, ook wel Dooddoeners genoemd, door het veld parradeert."
Harry Potter and the Goblet of Fire,674,movie,hu,HU,Hungarian,Harry Potter és a Tűz serlege,"Harry Potter visszatér a Roxfort Boszorkány- és Varázslóképző Szakiskolába, hogy folytassa a tanulmányait. Nem sejti, hogy élete legnehezebb kihívása vár rá. A tizennégy éves Harrynek akaratán kívül és nála idősebb, tapasztaltabb diákokkal együtt kell részt vennie a nemzetközi Trimágus Tusán, amelyre megmagyarázhatatlan módon egy ismeretlen nevezte be. Ám az iskolai verseny veszélyei elhalványulnak az immár bizonyossá váló tény mellett: Voldemort, a Sötét Nagyúr ismét színre lépett és nemcsak hatalmát nyerte vissza, hanem emberi alakját is."
Harry Potter and the Goblet of Fire,674,movie,sk,SK,Slovak,Harry Potter a Ohnivá čaša,"Harryho Pottera už istá čas prenasledujú nočné mory, vďaka ktorým ho jeho jazva bolí viac ako inokedy. Pred znepokojivými snami sa pokúša uniknúť tak, že so svojimi priateľmi Ronom Weasleym a Hermionou Grangerovou navštívi majstrovstvá sveta v metlobale. Oblohu nad skandujúcimi fanúšikmi však rozžiari Temné znamenie - zlovestný úkaz, ktorý je akýmsi podpisom Lorda Voldemorta. Dumbledore oznamuje, že Rokfortská stredná škola čarodejnícka bude práve tento rok organizovať prestížny Trojčarodejnícky turnaj - jednu z najpozoruhodnejších a najriskantnejších súťaží čarodejníckeho sveta! Každá z troch najväčších a najvychýrenejších čarodejníckych škôl si vyberie jedného šampióna, ktorý bude plniť nebezpečné úlohy a bude sa snažiť získať cenný Trojčarodejnícky pohár."
Harry Potter and the Goblet of Fire,674,movie,ru,RU,Russian,Гарри Поттер и Кубок огня,"Гарри Поттер, Рон и Гермиона возвращаются на четвёртый курс школы чародейства и волшебства «Хогвартс». При таинственных обстоятельствах Гарри отобран в число участников опасного соревнования — Турнира Трёх Волшебников, однако проблема в том, что все его соперники — намного старше и сильнее. К тому же, знаки указывают на возвращение Лорда Волдеморта. Вскоре Гарри предстоит побороться не только за победу в соревновании, но и, прежде всего, за свою жизнь..."
Harry Potter and the Goblet of Fire,674,movie,fr,FR,French,Harry Potter et la Coupe de feu,"La quatrième année à l’école de Poudlard est marquée par le « Tournoi des trois sorciers ». Les participants sont choisis par la fameuse « Coupe de feu » qui est à l’origine d’un scandale. Elle sélectionne Harry Potter alors qu’il n’a pas l’âge légal requis ! Accusé de tricherie et mis à mal par une série d’épreuves physiques de plus en plus difficiles, ce dernier sera enfin confronté à Celui dont on ne doit pas prononcer le nom, Lord V."
Harry Potter and the Goblet of Fire,674,movie,sv,SE,Swedish,Harry Potter och den flammande bägaren,"När den flammande bägaren väljer ut Harry Potter som en av deltagarna i Den Magiska Trekampen tvingas han tävla mot två andra magiskolor i en stenhård kamp om evig ära. Men Harry anmälde sig inte ens som kandidat… så vem såg till att han kunde väljas? Harry blir tvungen att slåss mot en livsfarlig, eldsprutande drake, möta onda vattendemoner och ta sig igenom en farlig, förtrollad labyrint – och alltihop bara för att sedan hamna i klorna på Han-Som-Inte-Får-Nämnas-Vid-Namn."
