titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Grown Ups 2,109418,movie,en,US,English,,"Lenny has relocated his family back to the small town where he and his friends grew up. This time around, the grown ups are the ones learning lessons from their kids on a day notoriously full of surprises—the last day of school."
Grown Ups 2,109418,movie,es,ES,Spanish,Niños grandes 2,"Lenny se ha trasladado con su familia a la pequeña ciudad donde tanto él como sus amigos se criaron. En esta ocasión, los adultos serán quienes reciban toda una lección de sus propios hijos."
Grown Ups 2,109418,movie,zh,CN,Mandarin,长大成人2,亚当·桑德勒和妻子（萨尔玛·海耶克 饰）为了让孩子有更好的生活，把家搬回了家乡的小镇，这里有很多他儿时的玩伴。小镇上雷人趣事不断：清晨睁眼醒来你能看到一只麋鹿在床头向你道早安；还会在一帮年轻小伙（泰勒·洛特纳、帕特里克·施瓦辛格等人饰）的挑衅下玩裸泳；这里的警察（沙奎尔·奥尼尔 饰）也很不一般，喜剧细胞与众非凡；凯文·詹姆斯遇到的年轻洗车队真是囧到家……
Grown Ups 2,109418,movie,de,DE,German,Kindsköpfe 2,"Lenny, Kurt und Eric sind wieder da. War es damals der tragische Todesfall des geliebten Trainers Bobby und die anschließende Trauerfeier unter guten Freunden, so ist es nun Lenny, der alle zusammen trommelt. Lenny, Roxanne und die Kinder sind in die Kleinstadt zurückgezogen, in der er und seine Freunde aufgewachsen sind – wieder ein Grund mehr in alten Erinnerungen zu schwelgen. Aber nicht die Kinder bekommen von den Eltern wertvolle Lektionen erteilt. Ganz im Gegenteil: Die Eltern lernen eine Menge von ihrem Nachwuchs und das an einem Tag, der für viele Kinder voller Überraschungen steckt – der letzte Schultag. Da stehen Spaß, Freude und allerlei Dummheiten ganz oben auf der Tagesordnung."
Grown Ups 2,109418,movie,ru,RU,Russian,Одноклассники 2,"После того как Ленни Федер переезжает с семьёй обратно в родной город, он и его друзья извлекут немало уроков, когда их дети окончат школу…"
Grown Ups 2,109418,movie,nl,NL,Dutch,,"Lenny Feder besluit met zijn familie terug te keren naar de geboorteplaats waar hij en zijn vrienden vroeger zijn opgegroeid. Maar dan breekt voor de kinderen hun laatste schooldag aan. En op een dag die gek genoeg vol zit met verrassingen draaien de rollen zich om, en zijn het de kinderen die de volwassenen een lesje leren."
Grown Ups 2,109418,movie,el,GR,Greek,Οι Μεγάλοι 2,"Ο Λένι επιστρέφει με την οικογένειά του στη μικρή πόλη όπου μεγάλωσε ο ίδιος και οι φίλοι του. Αυτήν τη φορά, οι μεγάλοι είναι αυτοί που θα πάρουν μερικά μαθήματα από τα παιδιά τους κατά τη διάρκεια μιας μέρας γεμάτης -όχι απαραίτητα ευχάριστες- εκπλήξεις: την τελευταία μέρα στο σχολείο."
Grown Ups 2,109418,movie,fr,FR,French,Copains pour toujours 2,"Espérant offrir une vie plus équilibrée à sa famille, Lenny quitte l’hystérie de Hollywood et revient s’installer dans la petite ville où il a grandi. Pourtant, entre ses anciens amis, leurs enfants, les grandes brutes et les petits excités, les chauffeurs de bus fous, les flics bourrés à skis et les 400 invités d’une fête costumée complètement déchaînés, il va vite découvrir que même si vous fuyez la folie, parfois, elle vous poursuit où que vous alliez…"
Grown Ups 2,109418,movie,hu,HU,Hungarian,Nagyfiúk 2,"A jó barátok mindig jó barátok maradnak. Az öt általános iskolai haver, aki hosszú szünet után egykori kosárlabda-edzőjük temetésén találkoztak újra, és töltöttek együtt egy emlékezetes hétvégét, újra összejönnek. A családok egyre nagyobbak, az apák azonban nem lettek normálisabbak - ismét egy őrült, vad és teljesen agyatlan hétvége várható!"
Grown Ups 2,109418,movie,it,IT,Italian,Un weekend da bamboccioni 2,"Il gruppo di amici capeggiati da Lenny questa volta si troverà alle prese con un team di bulli d'ultima generazione, pazzi autisti d’autobus, poliziotti sugli sci e molto altro. Lenny ha deciso di trasferirsi con la sua famiglia nella cittadina dove sia lui che i suoi amici sono cresciuti, ma stavolta saranno proprio i bamboccioni a dover incassare la lezione dai propri figli durante l'ultimo giorno di scuola."
Grown Ups 2,109418,movie,sk,SK,Slovak,Dospeláci 2,"Pred troma rokmi zažil Lenny s priateľmi z detstva Marcusom, Ericom a Kurtom úžasné leto, na ktoré nedokáže zabudnúť, ani keby chcel – a on, pochopiteľne, nechce -, takže asi veľmi neprekvapí, že rozhodnutie dopriať svojim deťom, a tak trochu i sebe, vrchovato podobnej zábavy, nevyhnutne vyústi do rozhodnutia presťahovať sa do rodného mesta! Koniec koncov, čo môže byť lepšie, ako vychovávať deti spolu s kamarátmi, nonstop naladenými na rovnakú vlnovú dĺžku, a ich (dúfajme) rovnako skvelým potomstvom? Nanešťastie sa však relatívne rýchlo ukáže, že život a vytúžené sladké ničnerobenie človeku dokážu poriadne osladiť nečakané komplikácie v podobe tyranov, ktorí vám znepríjemňovali spätne inak vcelku idylicky vyzerajúce obdobie školskej dochádzky, ale i tyranov, ktorí sa o to isté snažia u vašich detí. Za zmienku ale rozhodne stoja i psychopatickí účastníci cestnej premávky, strážcovia zákona pod vplyvom a celá plejáda rôznorodo vyšinutých spoluobčanov."
Grown Ups 2,109418,movie,cs,CZ,Czech,Machři 2,"Poté, co se Lenny se svou rodinou přestěhoval zpátky do svého rodného města, aby byl ve společnosti svých kamarádů a jejich dětí, zjišťuje, že pokud se ve vaší blízkosti vyskytují bývalí školní rváči, noví rváči, schizofrenní řidiči autobusů, opilí policajti na lyžích a 400 lidí v kostýmech, schopných vám vtrhnout bez ohlášení na večírek, je úplně jedno, kde bydlíte, šílenství si vás vždycky nějak najde."
Grown Ups 2,109418,movie,tr,TR,Turkish,Büyükler 2,Aynı mahallede büyüyen ve yıllar sonra bir araya gelen bir grup arkadaşın eve geri dönme vaktidir. Geri döndüklerinde onları bekleyen komik maceralarla birlikte bu sefer çocuklarından öğrenecekleri dersler vardır.
Grown Ups 2,109418,movie,pt,PT,Portuguese,Miúdos e Graúdos 2,"Lenny mudou-se com a sua família para a pequena cidade onde ele e os seus amigos cresceram. Desta vez, serão os adultos a aprenderem lições com os seus filhos num dia notoriamente cheio de surpresas: o último dia de aulas."
Grown Ups 2,109418,movie,pl,PL,Polish,Jeszcze większe dzieci,"Lenny przeprowadził się z Los Angeles do rodzinnego miasteczka, tam gdzie się wychował. Tym razem to on i jego przyjaciele dostaną lekcję życia od swoich dzieci. A stanie się to w dniu, w którym wszystko może się zdarzyć: ostatniego dnia szkoły przed wakacjami."
Grown Ups 2,109418,movie,da,DK,Danish,Drengerøve 2,"Lenny Feder og hans familie har forladt Hollywood for at flytte hjem til hans barndomsby. Her kan Lenny hænge ud med sine umodne kammesjukker, Eric, Marcus og Kurt. På børnenes sidste skoledag inden sommerferien går det hele imidlertid agurk omkring Lenny & Co., som blandt andet bliver udsat for fulde politimænd, bindegale buschauffører, gamle og unge plageånder samt en firser-temafest."
Grown Ups 2,109418,movie,sv,SE,Swedish,,Lenny har flyttat med sin familj tillbaka till den småstad som han och hans vänner växte upp i. Den här gången är det dock de vuxna som får lära sig saker av sina barn under en dag känd för sina överraskningar - skolavslutningen.
Grown Ups 2,109418,movie,fi,FI,Finnish,Oikeesti aikuiset 2,"Lenny on muuttanut perheineen takaisin pikkukaupunkiin, jossa hän ja hänen ystävänsä varttuivat. Vanhat lapsuudenystävät kokoontuvat viettämään itsenäisyyspäivää. Jokaisella on salaiset vaivansa, jotka synnyttävät kilpailutilanteen miesten välille. Lenny on vaivaantunut urastaan, Kurt on väsähtänyt aviomies, Marcus on juoppo ja Rob on vegaani-mystikko jolla on pakkomielle vanhempiin naisiin. Tällä kertaa aikuiset saavat mojovan opetuksen lapsiltaan tunnetusti yllätyksiä pursuavana päivänä - nimittäin viimeisenä koulupäivänä."
Grown Ups 2,109418,movie,th,TH,Thai,ขาใหญ่ วัยกลับ 2,"การกลับมาอีกครั้งของหนังฮารั่วของ อดัม แซนเดอร์, เควิน เจมส์, เดวิด สเปด และ คริส ร็อค ที่เล่าเรื่องราวของกลุ่มเพื่อนซี้ เลนนี่, อีริค, เคิร์ต และ มาร์คัส เป็นคอมเมดี้สุดฮา เกี่ยวกับก๊วนหนุ่ม ๆ สุดเฮี้ยว ที่เป็นเพื่อนซี้กันสมัยเด็ก กับการรวมตัวกันครั้งแรกในรอบสามสิบปีหลังจากห่างหายกันไป เพื่อกลับมาใช้เวลาด้วยกัน แต่ครั้งนี้ไม่ได้มีแต่หนุ่มโสดเท่านั้น เพราะมีครอบครัวทั้งลูก ๆ สุดป่วนและภรรยาสุดจี๊ดพ่วงมาด้วย การรวมตัวกันในครั้งนี้ทำให้พวกเขาได้ต่อติดมิตรภาพแบบเพื่อนซี้อีกครั้ง ความสนุกและความน่าประหลาดใจมันอยู่ที่การรียูเนี่ยนครั้งนี้ ทำให้ห้าหนุ่มสุดเหี้ยวรู้สึกว่า การมีอายุมากขึ้นก็ไม่ได้หมายความว่าพวกเขาจะโตขึ้นซักหน่อย"
Grown Ups 2,109418,movie,bg,BG,Bulgarian,Дърти хлапета 2,"С надеждата за по-спокоен живот Лени Фейдър се премества със семейството си в малкото градче в което е израснал заедно с най-добрите си приятели Ерик, Маркъс и Кърт. Ежедневието в провинцията е далеч по-спокойно от това в Лос Анджелес и Лени е уверен, че това ще окаже позитивно влияние на децата му. Но броени дни след настаняването си в новия дом той и тримата му наскоро пристигнали приятели откриват, че нещата са се променили доста през изминалите години."
Grown Ups 2,109418,movie,he,IL,Hebrew,מגודלים 2,"לני העביר את משפחתו בחזרה לעיר הקטנה שבה הוא וחבריו גדלו. בסרט הזה, המבוגרים הם אלה שלומדים לקח מילדיהם ביום המפורסם לשמצה בחופן ההפתעות שהוא מביא אתו מדי שנה: היום האחרון של בית הספר."
Grown Ups 2,109418,movie,ro,RO,Romanian,Oameni mari și fără minte 2,"După ce se mută cu familia înapoi în orașul natal, Lenny Feder și prietenii săi din copilărie, acum adulți, primesc lecții de la copiii lor și de la unii localnici."
Grown Ups 2,109418,movie,pt,BR,Portuguese,Gente Grande 2,"Lenny Feder e sua família se mudam para sua cidade natal para ficar perto dos amigos, mas acabam tendo que enfrentar alguns fantasmas do passado, como a covardia diante de valentões e o famigerado bullying na escola."
Grown Ups 2,109418,movie,fr,CA,French,Grandes personnes 2,"C'est le premier jour des vacances dans la petite ville de Stanton. Ayant quitté la Californie pour élire domicile dans son village natal, Lenny Feder est encouragé par ses amis d'enfance Eric, Kurt et Marcus à organiser une fête dans son immense demeure pour célébrer l'arrivée des chaudes journées d'été. Tandis que leurs progénitures franchissent tour à tour une nouvelle étape de leur évolution, les pères de famille font une fois de plus le point sur leur propre vie d'adulte. Un groupe de collégiens plutôt malcommodes vient toutefois saboter les plans des quatre hommes cherchant tant bien que mal à renouer avec leur jeunesse perdue."
Grown Ups 2,109418,movie,uk,UA,Ukrainian,Однокласники 2,"Після того як Ленні переїжджає з родиною назад в рідне місто, він і його друзі винесуть немало уроків, коли їхні діти закінчать школу..."
Grown Ups 2,109418,movie,es,MX,Spanish,Son Como Niños 2,"Lenny se ha trasladado con su familia a la pequeña ciudad donde tanto él como sus amigos se criaron. En esta ocasión, los adultos serán quienes reciban toda una lección de sus propios hijos. Secuela de ""Son como niños""."
Grown Ups 2,109418,movie,ca,ES,Catalan,Nens grans 2,"En Lenny s'ha traslladat amb la seva família a la petita ciutat on ell i els seus amics es van criar. En aquesta ocasió, els adults seran els qui rebin tota una lliçó dels seus propis fills."
Grown Ups 2,109418,movie,ko,KR,Korean,다 큰 녀석들 2,"어렸을 때부터 친했던 친구들인 레니, 라몬소프, 맥켄지, 히긴스. 여름을 맞아 이들은 옛 추억을 떠올리며 한때 자신들이 겁 없이 무모한 짓을 했던 곳을 찾아간다. 하지만 접근 금지 구역인 그곳에는 과거의 자신들처럼 젊은 대학생들이 한창 파티를 즐기고 있다. 대학생들은 이들을 불청객 취급을 하고 쫓아낸다. 수치스러운 모습으로 쫓겨난 이들은 대학생들에게 복수를 하고 옛 추억을 떠올리며 레니의 집에서 80년대를 주제로 한 파티를 여는데..."
Grown Ups 2,109418,movie,sl,SI,Slovenian,Odrasli 2,"Po nepozabnem srečanju se skupina prijateljev s svojimi družinami preseli nazaj v rojstni kraj, kjer se vsak sooča s svojimi družinskimi težavami. Lennyja teži pomanjkanje zakonske ljubezni, Kurtu dela preglavice neubogljivi dojenček, Erick je ujet med pripadnostjo do mame in ženinimi zahtevami, Higgy pa se skuša spoprijateljiti z odtujenim in ne povsem uravnovešenim najstniškim sinom. Da bi obeležili spomine na dobre stare čase, prijatelji organizirajo zabavo, vendar ob tem naletijo na številne težave z lokalno mladino."
Grown Ups 2,109418,movie,lv,LV,Latvian,Lielie 2,
Grown Ups 2,109418,movie,zh,TW,Mandarin,亞當等大人2,向來不拍續集電影的亞當山德勒，因為《亞當等大人》的全球票房太好，所以這次跨過這條不成文的自我規定，以原班人馬共同合作的新作《亞當等大人２》再次會見觀眾！  故事敘述藍尼（亞當山德勒飾）因為三年前和昔日好友渡過了一個美好快樂的假期，心中十分希望自己的孩子也能跟這群好友及其小孩們一同快樂地長大，便決定舉家搬回故鄉定居。然而，卻遇到了一堆奇人趣事……。  亞當山德勒號稱美國現今最成功的喜劇天王，即使最近幾部作品的評價並不叫好，但票房數字似乎才是他最為關心的重點；他曾對採訪他的英國媒體表示，他拍片的目的是逗樂觀眾以及和朋友們心情愉快地一起合作。而在《亞當等大人２》開拍的時候，劇組可是連劇本都沒有，如此隨興，也可看出片商對亞當山德勒的個人魅力是多麼地有信心。
Grown Ups 2,109418,movie,zh,HK,Mandarin,中坑同學會 2,"聯尼（阿當桑迪拿 飾）舉家由繁囂的洛杉磯返回東岸家鄉居住，與一班死黨老友又再聚頭。唔好睇少呢班中坑凸腩阿叔，年齡偏偏與智商成反比，再加上在老家遇盡奇人怪事，例如舊街坊大整蠱、後生仔囂張挑機、貨車司機神經失常、警員醉酒高歌，成班真心膠愈玩愈癲，今個夏天必定爆笑聯場！"
Grown Ups 2,109418,movie,vi,VN,Vietnamese,Những Đứa Trẻ To Xác 2,"Lenny đã chuyển gia đình trở lại thị trấn nhỏ nơi anh và bạn bè lớn lên. Khoảng thời gian này, những người trưởng thành là những người học các bài học từ những đứa trẻ của họ trong một ngày nổi tiếng là đầy bất ngờ — ngày cuối cùng của năm học."
Grown Ups 2,109418,movie,ar,SA,Arabic,البالغون 2,"فقط لأنهم أكبر سنا قليلا لا يعني أنهم كبروا. نقل ليني عائلته إلى البلدة الصغيرة التي نشأ فيها هو وأصدقاؤه. هذه المرة ، الكبار هم الذين يتعلمون الدروس من أطفالهم في يوم مليء بالمفاجآت - آخر يوم في المدرسة."
Grown Ups 2,109418,movie,ar,AE,Arabic,,"بعد عودته مع عائلته إلى مسقط رأسه، ""ليني فيدر"" وأصدقاء طفولته يتعلمون عدة دروس من أطفالهم وبعض السكان المحليين."
Grown Ups 2,109418,movie,de,AT,German,Kindsköpfe 2,"Als Lenny Feder samt Familie in seine Heimatstadt zurückzieht, lernen er und seine mittlerweile erwachsenen Kindheitsfreunde einige Lektionen von ihren Kindern."
Grown Ups 2,109418,movie,de,CH,German,Kindsköpfe 2,"Als Lenny Feder samt Familie in seine Heimatstadt zurückzieht, lernen er und seine mittlerweile erwachsenen Kindheitsfreunde einige Lektionen von ihren Kindern."
Grown Ups 2,109418,movie,zh,SG,Mandarin,长大后 2,雷尼·费德带着家人一起搬回了老家，雷尼和他儿时的伙伴从他们的孩子以及当地居民身上学到了不少为人处世的道理。
Grown Ups 2,109418,movie,ja,JP,Japanese,アダルトボーイズ遊遊白書,穏やかな生活を求めて家族と共に故郷に帰ってきたレニー。幼なじみの友達とつるんでパーティを楽しむ彼だが、地元の大学生たちと対立し、大乱闘が巻き起こる。
Grown Ups 2,109418,movie,id,ID,Indonesian,,"Setelah memboyong keluarganya ke kampung halaman, Lenny Feder dan teman-teman masa kecilnya mendapatkan pelajaran dari anak-anak mereka dan beberapa penduduk setempat."
Grown Ups 2,109418,movie,hr,HR,Croatian,Starci 2,"Nakon što se s obitelji vratio u svoj rodni grad, Lenny Feder i njegovi prijatelji iz djetinjstva dobiju lekcije od svojih klinaca. I nekolicine lokalaca."
Grown Ups 2,109418,movie,nl,BE,Dutch,,"Nadat Lenny Feder weer naar zijn geboorteplaats is verhuisd, leren hij en zijn vrienden van toen lessen van hun kinderen en enkele lokale bewoners."
Grown Ups 2,109418,movie,nb,NO,Norwegian Bokmål,,Lenny Feder flytter tilbake til hjembyen sammen med familien. Sammen med barndomsvennene lærer han noen lekser av barna sine – og noen av de lokale beboerne.
