titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Furious 7,168259,movie,fr,FR,French,Fast & Furious 7,"Laissé à moitié mort par Dominic Toretto et son clan de voleur de voitures as du volant, le criminel Owen Shaw gît sur un lit d'hôpital à Londres. Déterminé à le venger, son frère Deckard Shaw commet des attaques vicieuses contre les membres de la famille de Toretto, notamment contre sa sœur, son beau-frère et leur petit garçon. Une aide inespérée leur parvient en la personne de Frank Petty, agent des services secrets américains aux ressources impressionnantes. Il promet assistance à Dominic, en échange de quoi ce dernier devra libérer une talentueuse informaticienne, nommée Ramsey, qui a mis au point un logiciel de surveillance ultraperfectionné baptisé « God's Eye ». La jeune femme est en effet retenue prisonnière par Jakande, un dangereux terroriste, au milieu des inaccessibles montagnes de l'Azerbaïdjan. Le clan de Dominic se reforme donc pour cette dangereuse mission."
Furious 7,168259,movie,de,DE,German,Fast & Furious 7,"Nachdem Dominic Toretto und sein Team den Bösewicht Owen Shaw ausgeschaltet haben, sinnt dessen Bruder Deckard nach blutiger Rache. Doch der ist nicht ihr einziges Problem. Die Bleifuß-Freunde sollen nämlich gleichzeitig - im Auftrag eines mysteriösen Agenten namens Mr. Nobody - heimtückischen Terroristen ein ""Das Auge Gottes"" genanntes GPS-Programm abjagen und die Programmiererin Ramsey aus deren Händen befreien. Also klemmt sich die Crew noch einmal hinters Steuer und trotzt dabei mehrfach der Schwerkraft."
Furious 7,168259,movie,it,IT,Italian,Fast & Furious 7,"Un anno dopo essere ritornati negli Stati Uniti, Dom Toretto (Vin Diesel) e la sua banda di amici piloti si ritrovano costretti ad affrontare il piano di vendetta di Deckard Shaw (Jason Statham), determinato a far giustizia a modo proprio per la morte del fratello avvenuto anni prima. Ad aiutare Toretto e i suoi uomini sarà un enigmatico agente governativo (Kurt Russell), che propone loro in cambio di aiuto di testare sulle loro auto un dispositivo federale segreto."
Furious 7,168259,movie,en,US,English,,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
Furious 7,168259,movie,zh,CN,Mandarin,速度与激情7,经历了紧张刺激的伦敦大战，多米尼克·托莱多（范·迪塞尔 Vin Diesel 饰）和他的伙伴们重新回归平静的生活，但是江湖的恩恩怨怨却决不允许他们轻易抽身而去。棘手的死对头欧文·肖瘫在医院，不得动弹，他的哥哥戴克·肖（杰森·斯坦森 Jason Stantham 饰）则发誓要为弟弟复仇。戴克曾是英国特种部队的王牌杀手，不仅身怀绝技，而且心狠手辣。他干掉了远在东京的韩，还几乎把探长卢克·霍布斯（道恩·强森 Dwayne Johnson 饰）送到另一个世界，甚至多米尼克那世外桃源般的家也被对方炸毁。复仇的利刃已经架在脖子上，多米尼克再也没有选择，他找到长久以来最为信赖的团队，与来势汹汹的戴克展开生死对决……
Furious 7,168259,movie,cs,CZ,Czech,Rychle a zběsile 7,"I auta můžou létat. Alespoň pro nesmrtelnou sérii Rychle a zběsile to platí. Její hrdinové už stihli prožít a přežít neuvěřitelné věci, teď však narazí na nepřítele, vedle něhož všichni jejich dosavadní soupeři připomínají bandu dětí z mateřské školky. Statham hraje Deckarda Shawa, živý stroj na zabíjení, který vycvičila elitní vojenská jednotka. Pokud vám příjmení téhle postavy něco připomíná, pak se nepletete. Shawův mladší bratr Owen obtěžoval naše hrdiny v šestém díle tak intenzivně, až ho připravili o život. A rozrušený Shaw starší se rozhodne, že na oplátku připraví o život je a všechny jejich blízké. Bez ohledu na to, jak rychlí či zběsilí budou."
Furious 7,168259,movie,ru,RU,Russian,Форсаж 7,"Они покорили Токио и Рио, Лос-Анджелес и Лондон. Но мир больше не играет по их правилам. Зной арабских пустынь, неприлично высокие небоскребы, миллионы долларов на колесах и очень, очень знаменитый злодей. Скорость не знает границ."
Furious 7,168259,movie,tr,TR,Turkish,Hızlı ve Öfkeli 7,"Hızlı ve Öfkeli ekibi, intikam almak isteyen bir İngiliz gizli operasyonlar suikastçısından gelen tehlikeden habersizdirler. Küçük kardeşi Owen’ı yaralayanları sistematik olarak avlamakta olan Shaw, ekibe verilen Toretto evini havaya uçurur. Bunun üzerine Dom, yardım için üst düzey bir devlet ajanına başvurur. Kahramanlarımız bir kez daha direksiyona geçer. ABD hükümeti için yapılmış bir takip cihazının ele geçirilmesi gereklidir."
Furious 7,168259,movie,da,DK,Danish,Fast & Furious 7,"Dominic Torettos crew er tilbage i USA efter opgøret med Owen Shaw. Men Shaw har en storebror, Deckard, som ønsker hævn. Han starter i Tokyo med at dræbe en af Doms kammesjukker, og så får banden ellers travlt med at tage kampen op. Undervejs får de en uventet håndsrækning af en gådefuld kontakt, der tilbyder Deckard på et fad, hvis Dom vil hjælpe med at befri en kidnappet superhacker i Kaukasus."
Furious 7,168259,movie,nl,NL,Dutch,,"Nu Owen Shaw is uitgeschakeld door Dominic Toretto en zijn crew, is Shaw's broer Deckard Shaw uit op wraak. Na de dood van Han, is ook Dominic uit op wraak. Samen met zijn crew en ""Mr. Nobody"" gaan ze op zoek naar een hackprogramma genaamd 'God's Eye', om zo achter Deckard's locatie te kunnen komen en hem uit te schakelen."
Furious 7,168259,movie,pt,PT,Portuguese,Velocidade Furiosa 7,"Após derrotarem Owen Shaw, Dominic Toretto (Vin Diesel) e os seus comparsas decidem regressar aos EUA, onde lhes foi concedido o perdão pelas suas infracções e a oportunidade de um recomeço, sem qualquer cadastro. É então que Dom percebe que o grupo está na mira de Deckard, o irmão mais velho de Owen, que jura destruir todos os responsáveis pela sua morte."
Furious 7,168259,movie,sk,SK,Slovak,Rýchlo a zbesilo 7,"V predchádzajúcom príbehu zloduch Owen Shaw obťažoval našich hrdinov tak intenzívne, že ho museli zastaviť. Aj keď ho pritom takmer pripravili o život a v kóme poslali do nemocnice. Jeho rozhnevaný starší brat Deckart Shaw sa však rozhodne, že to tak nenechá a na oplátku pripraví o život nielen ich, ale aj ich rodiny a všetkých blízkych. Bez ohľadu na to, ako rýchli či zbesilí budú. A Dominicovi Torettovi, jeho rodine a kamarátom pôjde naozaj o život, pretože Deckart je dokonalý stroj na zabíjanie, ktorý vycvičila špeciálna elitná vojenská jednotka."
Furious 7,168259,movie,es,ES,Spanish,Fast & Furious 7,"Ha pasado un año desde que el equipo de Dominic Torreto y Brian pudiera regresar finalmente a Estados Unidos, tras ser indultados. Desean adaptarse a una vida en la legalidad, pero el entorno ya no es el mismo. Dom intenta acercarse a Letty, y Brian lucha para acostumbrarse a la vida en una urbanización con Mia y su hijo. Ninguno de ellos imagina que un frío asesino británico, entrenado para realizar operaciones secretas, se cruzará en sus vidas para convertirse en su mayor enemigo."
Furious 7,168259,movie,hu,HU,Hungarian,Halálos iramban 7,"Miután végeztek Owen Shaw-val és bandájával, Dominic, Brian és a csapat visszatérhetnek az Egyesült Államokba, hogy ismét normális életet éljenek, ahogyan azt tervezték. De Owen bátyja, Ian Shaw, aki Han halála után lép színre, Dominic nyomában van, és bosszút esküszik öccse halála miatt. A csapat készen áll, hogy megölje azt az embert, aki a legjobb barátjuk haláláért felelős."
Furious 7,168259,movie,he,IL,Hebrew,מהיר ועצבני 7,"לאחר שרצח את האן בטוקיו וניסה להתנקש בהובס באל איי, דקארד שואו יוצא במצוד אחר החבורה במטרה לנקום את מותו של אחיו אואן שואו, אשר נלכד על ידי הצוות במשימתם האחרונה. פיצוץ ביתו של דום על ידי שואו, נותן את יריית הפתיחה למשימה חדשה, בה דום צריך לאחד את הצוות ומהר. חברי הצוות רק מחכים לרגע בו יקבלו את האישור לשבת שוב מאחורי ההגה, להכניס להילוך ולצאת למשימה. הם מאוחדים יותר מאי פעם ויוצאים לדרך חדשה בה המרדף אחרי שואו הוא בין יבשתי, אך הפעם גם בבית, באל איי, לפני שזה יצליח להרוג שוב."
Furious 7,168259,movie,bg,BG,Bulgarian,Бързи и яростни 7,"Доминик Торето, Браян О'Конър и останалите от екипа вече могат да заживеят отново в САЩ, но друга опасност е надвиснала над спокойния им живот. Сюжетът на филма се развива около отмъщението, което Декард Шоу ще търси, заради смъртта на по-малкия му брат. В тази част ще стане ясно за смъртта на един от главните герои – Хан, за която екипът ще се опита да отмъсти на тези, които са я причинили!"
Furious 7,168259,movie,ro,RO,Romanian,Furios și iute 7,"Cu cazierul curățat și liniștiți alături de vechii lor prieteni, cei doi încearcă să își facă o nouă viață, dar totul se năruie în momentul în care Ian Shaw intervine, iar ei sunt nevoiți să încalce din nou legea."
Furious 7,168259,movie,ko,KR,Korean,분노의 질주: 더 세븐,"도미닉과 멤버들은 범죄조직 소탕 후 모든 전과를 사면 받고 평범한 일상으로 돌아간다. 하지만 평화도 잠시, 전작에서 처리한 범죄조직의 리더 오웬 쇼의 형 데카드 쇼가 동생의 복수를 위해 멤버들을 차례로 공격한다. 특수부대 출신 용병 데카드 쇼의 난입으로 한이 갑작스레 사망하게 되고, 도미닉의 집은 순식간에 폭파당한다. 이에 맞서는 정부요원 페티는 도미닉을 돕는 조건으로 납치당한 해커 램지의 구출을 의뢰하고, 도미닉은 멤버들을 다시 모아 숨막히는 반격을 시작한다."
Furious 7,168259,movie,sv,SE,Swedish,Fast & Furious 7,"Dominic Toretto och Brian O'Conner lever ett stilla liv efter att ha pensionerat sig från kriminalitet. Men det visar sig snart att faran inte är över, då Deckard Shaw gör entré för att utkräva hämnd för sin brors död."
