titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
The World Is Not Enough,36643,movie,en,US,English,,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance."
The World Is Not Enough,36643,movie,de,DE,German,James Bond 007 - Die Welt ist nicht genug,"Im Hauptquartier des britischen Geheimdienstes kommt Öl-Multi Sir Robert King bei einem Bombenanschlag ums Leben. Agent 007 soll den Mörder entlarven und gleichzeitig Elektra, die bildhübsche Erbin des Milliarden-Imperiums, vor berüchtigten internationalen Terroristen beschützen."
The World Is Not Enough,36643,movie,it,IT,Italian,Il mondo non basta,"Continua la saga infinita dell’agente segreto più famoso del mondo.James Bond 007 recupera i soldi pagati da un miliardario inglese per il riscatto della figlia Electra. La ragazza, rimasta orfana dopo la morte violenta del padre, sembra ancora minacciata dal suo aguzzino, un terrorista anarchico chiamato Renard (in francese “volpe”). In realtà, proprio lei è al centro di un intrigo internazionale destinato a sovvertire l’ordine economico mondiale. Terza avventura con Pierce Brosnan nei panni di Bond, un po’ pasticciata nella sceneggiatura (la storia e le situazioni sono confuse). I momenti di suspense non mancano e le scene d’azione sono al solito avvincenti. Ma la formula di 007 comincia a ripetersi."
The World Is Not Enough,36643,movie,hu,HU,Hungarian,A világ nem elég,"James Bondnak egy meggyilkolt olajmágnás látszólag védtelen lányát kell megvédenie a rá leselkedő veszélyektől. Egy szó szerint ""agyafúrt"" gonosztevővel kell felvennie a harcot: Renarddal, akiről nem tudni, hogy őrült tervei az agyában megragadt puskagolyónak köszönhetően születtek, vagy éppen őrült tervei miatt kapta a golyót. Ami biztos: a ""baleset"" óta még veszélyesebb, mint valaha, ugyanis azóta nem érez fájdalmat. Bondnak a mundér becsületét is védenie kell: a szolgálat főhadiszállását terrortámadás éri és a 007-es szeretett főnöke, M is a gonosztevők fogságába esik..."
The World Is Not Enough,36643,movie,sv,SE,Swedish,Världen räcker inte till,"Renard är en high-tech terrorist med en mycket speciell och farlig egenskap. Han har en kula som sitter fast i hans hjärna, vilken gör att han inte kan känna smärta. När han sätter sina ondsinta planer på att ha kontroll över världens alla oljetillgångar i verket, är Agent 007 mänsklighetens enda hopp. Bonds uppdrag kantas av fara och skönhet, i form av en het oljearvtagerska och en mycket snygg atomforskare."
The World Is Not Enough,36643,movie,ru,RU,Russian,007: И целого мира мало,"Ренард, техногенный террорист, обладает необыкновенной, смертельно опасной способностью - он не чувствует боли. Способность эта возникла у него в результате пулевого ранения в голову. Когда Ренард изобретает хитроумную схему, позволяющую взять под контроль все нефтяные ресурсы планеты, Агент 007 становится последней надеждой человечества. Миссия сулит ему как опасности, так и удовольствия - в лице знойной «нефтяной принцессы» и неотразимой ученой. Герою предстоит схватка с безжалостным врагом, который не остановится ни перед чем, претворяя в жизнь свой разрушительный план."
The World Is Not Enough,36643,movie,nl,NL,Dutch,,"Sir Robert King is een rijk man, aangezien hij olievelden bezit in Azerbeidzjan, en is bezig met een nieuw project: de aanleg van een nieuwe olieslagader naar het westen. Bij een bezoekje aan M in het hoofdkwartier van MI6 in Londen wordt hij echter vermoord. James Bond probeert Sir King nog te waarschuwen maar hij is te laat. Tijdens deze poging wordt hij beschoten door een, voor hem, onbekende dame. Met behulp van M komt James erachter dat deze mysterieuze dame in dienst is van Renard, een meedogenloze terrorist."
The World Is Not Enough,36643,movie,tr,TR,Turkish,Dünya Yetmez,"Robert King adlı çok zengin bir petrol kralı, uluslararası bir teröristin düzenlediği suikast sonucu öldürülür. Yanına nükleer silahlar uzmanı Christmas Jones'u (Denise Richards) da alan çılgın teröristin amacı dünyayı ele geçirmektir. Öldürülen petrol kralının güzel kızı Elektra'yı (Sophie Marceau) olabilecek tehlikelerden korumakla görevlendirilen James Bond (Pierce Brosnan), Hazar Denizi'ne ve İstanbul'a yolculuklar yaparak çılgınteröristi durdurmaya çalışır. Bu arada can düşmanı Christmas Jones'la da işbirliği yapmaya başlayan Bond'u İstanbul Boğazı sularının derinliklerinde seyreden nükleer bir denizaltıda ölümcül bir mücadele beklemektedir."
The World Is Not Enough,36643,movie,fr,FR,French,Le monde ne suffit pas,"Le magnat du pétrole Sir Robert King est assassiné dans l'enceinte même du bâtiment ultramoderne des services secrets britanniques. James Bond réussit à éliminer l'auteur de l'attentat, une tueuse professionnelle travaillant pour le terroriste international Renard. Craignant que ce dernier ne s'en prenne désormais à la fille de King, Elektra, 007 se charge de la protéger. En Azerbaïdjan, où King avait commencé à exploiter un nouveau gisement pétrolifère, l'agent secret retrouve Valentin Zukovski, un ex-agent du KGB devenu mafioso, qui va l'aider dans son enquête."
The World Is Not Enough,36643,movie,da,DK,Danish,,"En oliemilliardær bliver dræbt i en stor eksplosion midt i den britiske efterretningstjenestes hovedkvarter, og James Bond bliver sat til at beskytte offerets datter, den smukke Elektra King, da hun sandsynligvis er udset til at blive næste offer. MI6 ved, at bagmanden er den onde Renard, og James Bond arbejder på at finde og uskadeliggøre ham, samtidig med at han forsøger at beskytte Elektra King. Situationen bliver yderligere kompliceret, da Bond får varme følelser for Elektra, og da hans chef M viser sig at have personlige aktier i sagen. Samtidig er der en atomladning, som er ved at havne i de helt forkerte hænder!"
