titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Mission: Impossible - Rogue Nation,177677,movie,en,US,English,,"Ethan and team take on their most impossible mission yet—eradicating 'The Syndicate', an International and highly-skilled rogue organization committed to destroying the IMF."
Mission: Impossible - Rogue Nation,177677,movie,fr,FR,French,Mission : Impossible - Rogue Nation,"L'agence Mission Impossible est dissoute et Ethan Hunt se retrouve désormais isolé. Il doit affronter un réseau d’agents spéciaux particulièrement entraînés, le Syndicat. Cette organisation sans scrupules est déterminée à mettre en place un nouvel ordre mondial, à travers des attaques terroristes de plus en plus violentes. Ethan regroupe alors son équipe et fait alliance avec Ilsa Faust, agent britannique révoquée, dont les liens avec le Syndicat restent mystérieux."
Mission: Impossible - Rogue Nation,177677,movie,es,ES,Spanish,Misión imposible: Nación secreta,"Con la FMI disuelta y Ethan Hunt abandonado a su suerte, el equipo tiene que enfrentarse contra el Sindicato, una red de agentes especiales altamente preparados y entrenados. Estos grupos están empeñados en crear un nuevo orden mundial mediante una serie de ataques terroristas cada vez más graves. Ethan reúne a su equipo y une sus fuerzas con la agente británica renegada Ilsa Faust, quien puede que sea o no miembro de esta nación secreta, mientras el grupo se va enfrentando a su misión más imposible hasta la fecha…"
Mission: Impossible - Rogue Nation,177677,movie,zh,CN,Mandarin,碟中谍5：神秘国度,资深特工伊森·亨特也有百密一疏时刻，他在接收最新任务时遭到神秘组织“辛迪加”的暗算落入对方手中。辛迪加是一支由全球各地前特工组成的秘密组织，此前一直被CIA视为空穴来风。在对方成员伊尔莎·福斯特的帮助下，伊森逃出生天，并及时向威廉·布莱德汇报了辛迪加确切存在的消息。然而此时布莱德的日子并不好过，他负责的IMF机构因俄罗斯核弹头等事件遭到CIA指控并责令解散。在得知该组织密谋刺杀奥地利总统时，伊森联系上了老搭档班吉·邓恩展开行动，并于谜样女郎伊莎再度相会。接下来的一连串事件中，辛迪加的真面目逐渐揭开，而他们也终于显露出真实的目的……
Mission: Impossible - Rogue Nation,177677,movie,hu,HU,Hungarian,Mission: Impossible 5. - Titkos nemzet,"Az Impossible Mission Force-t feloszlatták, Ethan így magára hagyott ügynök lett, és a csapat ebben a helyzetben kerül szembe egy magasan képzett különleges ügynökökből álló hálózattal, a Szindikátussal. A rendkívül rátermett alakulat minden áron új világrendet akar létrehozni, és ezt terrortámadások egyre durvuló sorozatával szándékozik véghez vinni. Ethan összegyűjti csapatát, és hozzájuk szegődik a szakadár brit ügynök, Ilsa Faust is, aki talán a tagja ennek az ""titkos nemzetnek"". Így néznek szembe az eddigi leglehetetlenebb küldetésükkel."
Mission: Impossible - Rogue Nation,177677,movie,it,IT,Italian,,"Con la IMF sciolta, Ethan Hunt (Tom Cruise) e il suo team devono affrontare una nuova missione impossibile: eliminare il Sindacato, un'organizzazione criminale di agenti speciali altamente qualificati incaricati di distruggere la IMF e di creare un nuovo ordine mondiale, uno ""stato canaglia"", attraverso una serie crescente di attacchi terroristici. Per riuscirci, Ethan riunisce la sua squadra e si allea a Ilsa Faust (Rebecca Ferguson), un'enigmatica ex agente del governo britannico."
Mission: Impossible - Rogue Nation,177677,movie,de,DE,German,,"Nachdem das Pentagon die Impossible Missions Force aufgelöst hat, ist Ethan Hunt auf sich allein gestellt. Doch gerade jetzt hat der ehemalige IMF-Agent die Spur der geheimnisvollen und hochgefährlichen Organisation „Syndikat“ aufgenommen, die sich schon bald als sein mächtigster Gegner erweist. Aus dem Untergrund heraus operiert das „Syndikat“ mit bestens ausgebildeten Spezialagenten und diese scheinen Hunt immer einen Schritt voraus zu sein – und ihre Mission ist teuflisch: Sie wollen durch gezielte Anschläge eine neue Weltordnung schaffen und alle ehemaligen Mitglieder der IMF auslöschen, um ihre Pläne ungestört verwirklichen zu können. In offizieller Mission der Regierung oder nicht, Ethan Hunt kann nicht zusehen, wie der Terror immer weiter um sich greift, und reaktiviert sein einzigartiges Team. Unerwartete Hilfe bekommt das Quartett von der geheimnisvollen Agentin Ilsa Faust – doch auf welcher Seite steht sie wirklich?"
Mission: Impossible - Rogue Nation,177677,movie,ro,RO,Romanian,Misiune: Imposibilă - Națiunea secretă,"Odată cu dezmembrarea unității IMF și cu Ethan rămas fără sprijin oficial, echipa se confruntă acum cu o rețea de agenți extrem de bine pregătiți numită Sindicatul. Acești agenți operativi sunt deciși să creeze o nouă ordine mondială printr-o serie de atacuri teroriste din ce în ce mai agresive.  Ethan își adună echipa și își unește forțele cu Ilsa Faust, agent britanic renegat, care e posibil să fie membră a Națiunii Secrete, sau poate nu... Așa începe cea mai imposibilă misiune de până acum a lui Ethan Hunt."
Mission: Impossible - Rogue Nation,177677,movie,cs,CZ,Czech,Mission: Impossible - Národ grázlů,"Státním úředníkům se poněkud zajídají neortodoxní pracovní metody tajné vládní služby IMF (Impossible Mission Force), proto ji rozpustí a jejího šéfa Ethana Hunta chtějí hnát k zodpovědnosti. Mezitím se začíná o slovo hlásit mýtická organizace Syndikát, jejímiž členy jsou zběhlí tajní agenti. Jejím cílem je prostřednictvím řízených teroristických útoků zavést trochu jiný světový pořádek. Ačkoliv Hunt nemá pro akci proti Syndikátu oficiální pověření a pohybuje se v ilegalitě, shromáždí své zkušené parťáky a pokusí se tyto profesionální teroristy zastavit. Pomáhá mu i krásná britská agentka Ilsa Faust, která má jedinou vadu na kráse – nedá se jí úplně věřit, protože dost možná pracuje pro druhou stranu."
Mission: Impossible - Rogue Nation,177677,movie,pt,PT,Portuguese,Missão: Impossível - Nação Secreta,"Com a IMF desmantelada e Ethan Hunt excluído, a equipa enfrenta uma rede de agentes especiais extremamente qualificados: o Sindicato. Estes operacionais altamente treinados estão determinados em criar uma nova ordem mundial através de uma série de ataques terroristas. Ethan reúne a sua equipa e junta forças com Faust, uma agente britânica excluída, que pode ou não ser membro desta nação secreta, com o grupo a fazer face à missão mais impossível de sempre."
