titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
2 Fast 2 Furious,584,movie,en,US,English,,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down."
2 Fast 2 Furious,584,movie,de,DE,German,,"Dem Cop Brian O'Conner werden nach einem Einsatz in der illegalen Rennszene wegen nicht ganz legaler Ermittlungsmethoden Führerschein und Dienstmarke entzogen. Nun erhält der auf Eis gelegte Gesetzeshüter eine Chance zur Bewährung: Gemeinsam mit der Undercover-Agentin Monica soll er Licht ins Dunkel diffuser Transaktionen eines verdächtigen Geschäftsmannes in Miami bringen. Wie es sich so fügt, ist jener auch ein begeisterter Anhänger destruktiver Sportwagenevents."
2 Fast 2 Furious,584,movie,it,IT,Italian,2 Fast 2 Furious,"Brian ha la velocità nel sangue. Passione talmente esagerata da avergli fruttato l’esonero dall’FBI e averlo costretto a riciclarsi come criminale al servizio del boss di Miami Carter Verone. Decadenza degli eroi? Solo apparentemente: in realtà Brian, coadiuvato dall’altra infiltrata Monica, agisce sotto copertura per sventare un traffico di denaro sporco, e se per ottenere i propri scopi c’è da impegnarsi in duelli automobilistici mozzafiato, ad altissima velocità e tasso di scorrettezza, poco male."
2 Fast 2 Furious,584,movie,fr,FR,French,2 Fast 2 Furious,"Brian O'Conner a signé sa plus belle action, mais aussi sa faute la plus grave, en laissant filer le chef du gang de voleurs de voitures qu'il avait mission d'infiltrer. Radié de la police de Los Angeles, ce jeune flic rebelle, fan de vitesse et de rodéos, a gardé intact son honneur mais a gâché une belle carrière. Après 2 ans de galère, Brian O'Conner se retrouve à Miami et se voit offrir une ultime chance de se racheter. Le FBI et les douanes locales surveillent depuis plusieurs mois le puissant homme d'affaires Carter Verone, qu'ils soupçonnent de se livrer à des opérations de blanchiment d'argent. Mais leurs efforts sont restés vains, le seul indice dont ils disposent pour appâter et démasquer l'énigmatique criminel étant sa passion pour les rodéos. Le temps presse, Brian semble être le seul espoir…"
2 Fast 2 Furious,584,movie,ru,RU,Russian,Двойной форсаж,"Несмотря на то, что после невероятных приключений в первом фильме герой картины, детектив Брайан О'Коннор (Уокер), был уволен со службы, - его страсть к гонкам и быстрым машинам не исчезла. А тут, как раз кстати, появляется заманчивое предложение снова поработать «под прикрытием» в Майами. Здесь О'Коннору, в обмен на его полицейский значок, предстоит тайно «внедриться» в окружение жестокого наркоторговца, чтобы вывести злодея «на чистую воду» и взять его с поличным!"
2 Fast 2 Furious,584,movie,tr,TR,Turkish,Daha Hızlı Daha Öfkeli,"Emekliye ayrılan Brian O’Connor, kendisini baştan çıkaran sokak yarışları ve yeraltı dünyasının kirli işlerine bulaşmadan duramaz. Eski dostu Roman Pearce ile birlikte takım kuran O’Connor, kirli para naklini gerçekleştirme operasyonu ile Miami’li tüccar Carter Verone’u yakalamanın peşindedir. Bu sırada el altından çalışan casus Monica Fuentes ile işbirliği yapar."
2 Fast 2 Furious,584,movie,es,ES,Spanish,2 Fast 2 Furious: A todo gas 2,"El agente del FBI Brian O'Conner cayó en desgracia al ver su lealtad puesta a prueba en su anterior trabajo en el mundo de las carreras ilegales de Los Angeles. La decisión de O’Conner le permitió conservar su honor, pero le hizo perder su insignia. Ahora ha pasado el tiempo, está en otra ciudad y tiene una última oportunidad. A los federales de Miami les está costando mucho detener a Carter Verone, un empresario que utiliza su negocio como tapadera para un cartel internacional de blanqueo de dinero. Aduanas sabe de su relación con las carreras callejeras ilegales, así que deciden llamar a O’Conner para vuelva a infiltrarse. Pero antes pone algunas condiciones para aceptar la misión. La primera: trabajar con su amigo de infancia y antiguo delincuente Roman Pearce, otro adicto a la velocidad."
2 Fast 2 Furious,584,movie,nl,NL,Dutch,2 Fast 2 Furious,"Brian O'Connor, een agent die in ongenade is gevallen, betaalt een zware prijs voor zijn snelheidsverslaving. Voor zover zijn bazen denken, heeft het heethoofd één van de grootste undercoveroperaties ooit verknald."
2 Fast 2 Furious,584,movie,fi,FI,Finnish,,"Turboahtimet hehkuvat tulipunaisen kuumina, kun Miamin kadut muuttuvat kuolemanvaaralliseksi kisaradaksi. Uskomattomia autoja, joista piiskataan raskaalla kaasujalalla kaikki irti, kauniita tyttöjä ja elämäntyyli, jonka puolesta voisi vaikka kuolla… Brian O'Conner on menettänyt työnsä annettuaan ystävänsä Dom Toretton, kaduilla kisaavan rikollispomon, paeta lain kovaa kouraa. Nyt hän on palannut Miamiin vanhan ystävänsä Roman Pearcen kanssa työskennelläkseen hengenvaarallisessa ""undercover""-operaatiossa. Brian auttaa upeaa Monica Fuentesia paljastamaan miamilaisen liikemiehen hämäräbisnekset. Kisakadun kutsu on kuitenkin voimakas ja tällä kertaa panoksena on elämä…"
2 Fast 2 Furious,584,movie,zh,CN,Mandarin,速度与激情2,迈阿密狡猾的商人卡特（科尔·豪瑟 Cole Hauser 饰）利用自己的贸易公司做幌子，暗中进行着国际洗钱活动。虽然 FBI 对他监视已久，但是卡特平日十分小心谨慎，几乎与世隔绝，所以一直没找到他的犯罪证据。FBI 获悉了卡特十分喜欢地下赛车，是当地飞车党的头目。为了获得他的犯罪证据，只好找上一集中成功破获洛杉矶飞车党劫车案的布莱恩（保罗·沃克 Paul Walker 饰）重新出山。布莱恩凭借出色的车技、和飞车党一起进行犯罪活动很快就赢得了卡特的信任。同时，另一名同为飞车党卧底的女警梦妮卡（伊娃·门德斯 Eva Mendes 饰）闯进了布莱恩的生活，布莱恩不知不觉中爱上了梦妮卡。梦妮卡已经获得了不少卡特的犯罪证据，但是她和卡特之间的暧昧关系却说不清道不明。
