titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
나 혼자 산다,65282,tv,en,US,English,Home Alone,"It can be a badge of honor to be “single.” “I Live Alone” is a documentary-style South Korean reality series that follows the members of a self-formed club called Rainbow, which is comprised of  celebrities who are single and live alone."
나 혼자 산다,65282,tv,ko,KR,Korean,나 혼자 산다,"대한민국 1인 가구 453만 시대! 이제는 1인 가구가 대세! 연예계 역시 1/3은 1인 가구! 기러기 아빠, 주말부부, 상경 후 고군분투중인 청년, 독신남 등 각기 다른 이유로 싱글족이 된 스타들! 당당한 1인 가구의 싱글라이프는 과연 어떤 것일까? 1인 가구가 트렌드가 된 현 시점에서 프로그램을 통해 사회적 공감대를 형성해본다."
나 혼자 산다,65282,tv,he,IL,Hebrew,חי לבד,"התוכנית היא סוג של אלתורים ללא תסריט, ועושה שימוש בטכניקות דוקומנטריות עם אלמנטים מגוונים בפורמט של תכניות מציאות.  התוכנית מציגה את חייהם הקבועים של חברי הקשת, במקומות שונים. כפי שצוין בדף הבית הרשמי של התכנית ישנם כ – 5 מיליון רווקים בדרום קוריאה, וכשליש מבדרני דרום קוריאה נמצאים גם הם בסטטוס 'רווק'.

תכנית זו מציגה את חיי היומיום שלהם, ומנסה ליצור אהדה כלפי רווקים בדרום קוריאה על ידי הצגת חיי ידוענים ללא סינון משמעותי. מאז תחילת שידוריה המתארחים משתייכים למועדון בשם קשת."
나 혼자 산다,65282,tv,zh,TW,Mandarin,我獨自生活,該節目是真實展現多名藝人一個人生活情景的新概念節目，最初原始成員為金泰元、李成宰、金光奎、Defconn、盧弘喆、徐仁國，其後節目的固定成員不定期變動，也有來賓作短暫出演。
나 혼자 산다,65282,tv,uk,UA,Ukrainian,Я живу один,"Південнокорейський реалістичний серіал документального стилю, який слідкує за членами самосформованого клубу під назвою ""Веселка"", до якого входять знаменитості, які одинокі і живуть поодинці."
나 혼자 산다,65282,tv,zh,CN,Mandarin,我独自生活,　　《我独自生活》是由韩国MBC电视台新年播放的特辑《男人的独居时代》改名进行播出的，于2013年3月22日首播。
나 혼자 산다,65282,tv,ru,RU,Russian,Я живу один,"Новая удивительная история расскажет о многочисленных разнообразных аспектах из привычного установленного существования мировых легендарных знаменитостей и звезд. Очаровательная сексуальная девушка Пак На Рэ на протяжении длительного временного отрезка считается известной популярной актрисой, которая неоднократно показала многомиллионной аудитории свои истинные лидерские качества непредвиденный дар. Главная героиня сумела доказать, что комедийные роли даются благородной решительной девицы с удивительной легкостью."
나 혼자 산다,65282,tv,es,ES,Spanish,Solo en casa,"Puede ser una insignia de honor estar ""soltero"". “I Live Alone” es una serie de telerrealidad surcoreana de estilo documental que sigue a los miembros de un club autoformado llamado Rainbow, que está compuesto por celebridades que son solteras y viven solas."
나 혼자 산다,65282,tv,pt,BR,Portuguese,Home Alone,"Pode ser um distintivo de honra ser “único”. “I Live Alone” é um reality show sul-coreano de estilo documentário que segue os membros de um clube autoformado chamado Rainbow, que é composto por celebridades solteiras e que vivem sozinhas."
나 혼자 산다,65282,tv,es,MX,Spanish,Solo en casa,"Puede ser una insignia de honor estar ""soltero"". “I Live Alone” es una serie de telerrealidad surcoreana de estilo documental que sigue a los miembros de un club autoformado llamado Rainbow, que está compuesto por celebridades que son solteras y viven solas."
나 혼자 산다,65282,tv,pt,PT,Portuguese,,
나 혼자 산다,65282,tv,nl,NL,Dutch,,"Het kan een ereteken zijn om ‘single’ te zijn. “I Live Alone” is een Zuid-Koreaanse realityserie in documentairestijl die de leden volgt van een zelf opgerichte club genaamd Rainbow, die bestaat uit beroemdheden die single zijn en alleen wonen."
나 혼자 산다,65282,tv,zh,HK,Mandarin,我獨自生活,該節目是真實展現多名藝人一個人生活情景的新概念節目，最初原始成員為金泰元、李成宰、金光奎、Defconn、盧弘喆、徐仁國，其後節目的固定成員不定期變動，也有來賓作短暫出演。
