titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Fast & Furious,13804,movie,en,US,English,,"When a crime brings them back to L.A., fugitive ex-con Dom Toretto reignites his feud with agent Brian O'Conner. But as they are forced to confront a shared enemy, Dom and Brian must give in to an uncertain new trust if they hope to outmaneuver him. And the two men will find the best way to get revenge: push the limits of what's possible behind the wheel."
Fast & Furious,13804,movie,fr,FR,French,Fast & Furious 4,"Un meurtre oblige Dom Toretto, un ancien taulard en cavale, et l'agent Brian O'Conner à revenir à L.A. où leur querelle se rallume. Mais confrontés à un ennemi commun, ils sont contraints à former une alliance incertaine s'ils espèrent parvenir à déjouer ses plans. De l'attaque de convoi aux glissades de précision qui les mèneront hors de leurs propres frontières, les deux hommes trouveront le meilleur moyen de prendre leur revanche : en poussant les limites de ce qui est faisable au volant d'un bolide."
Fast & Furious,13804,movie,de,DE,German,Fast & Furious - Neues Modell. Originalteile.,Schnelle Autos und schnelles Geld hat Dom Toretto auch nach seiner Flucht nicht hinter sich gelassen. Er klaut in der dominikanischen Republik Tanklastzüge - während der Fahrt. Ein Mord sorgt für das Wiedertreffen von Toretto und Brian O'Conner in L.A. und gemeinsam - wenn auch widerwillig - stellen sie sich einem übermächtigen Drogenkartell. Bei packenden Rennen durchs nächtliche L.A. und auf wilden Verfolgungsjagden durch die mexikanische Wüste gibt es aufheulende Motoren und eine deftige Beschleunigung.
Fast & Furious,13804,movie,it,IT,Italian,Fast & furious - Solo parti originali,"Richiamati a Los Angeles in seguito a un atto criminale, l'ex detenuto in fuga Dom Toretto e l'agente Brian O'Conner riaccendono un'antica faida che li ha visti protagonisti. Costretti ad affrontare lo stesso nemico, Dom e Brian dovranno arrendersi a una nuova, improbabile alleanza per poterlo sconfiggere. E dopo aver assalito convogli e strisciato in lunghi tunnel senza luce, i due uomini troveranno il modo migliore per vendicarsi: spingere l'acceleratore della propria auto al di là di ogni limite."
Fast & Furious,13804,movie,ru,RU,Russian,Форсаж 4,"Когда кривая дорожка заставляет скрывающегося от правосудия Дома Торетто вернуться в Лос-Анджелес, вражда с агентом Брайаном О’Коннером вспыхивает с новой силой. Но у парочки обнаруживается общий противник, и Дому с Брайаном приходится заключить перемирие в надежде одержать над ним победу. Грабя конвои, роя подкопы и пересекая границы, они приходят к идеальной форме отмщения — педали газа, вдавленной до упора."
Fast & Furious,13804,movie,tr,TR,Turkish,Hızlı ve Öfkeli 4,Eski dolandırıcı Domile ile ajan Brian arasındaki eskilerden beri devam eden husumet yeniden alevlenir. Ancak ortak düşmanlarıyla mücadele etmek zorunda kalınca ikisi arasında yeni bir güven ortamı oluşmaya başlar. Birbirlerine şartsız ve kesinlikle güvenmek zorundadırlar. Omuz omuza zorlu mücadeleye girişen iki erkek intikam almanın en iyi çaresini bulmuştur: Araba direksiyonu başındayken mümkün olan en yüksek hız limitlerini zorlamak.
Fast & Furious,13804,movie,es,ES,Spanish,Fast & Furious: Aún más rápido,"El fugitivo Dom Toretto y el detective Brian O’Conner vuelven a encontrarse en Los Ángeles, pero sus relaciones no mejoran. Sin embargo, obligados a enfrentarse a un enemigo común, no les queda más remedio que unir sus fuerzas si quieren vencerlo. Después del atraco a un convoy, los dos protagonistas averiguan que si quieren vengarse, deberán llegar al límite de sus posibilidades al volante."
Fast & Furious,13804,movie,sv,SE,Swedish,,"När ett brott för den förrymda brottslingen Dom Toretto och agent Brian O'Conner tillbaka till Los Angeles, väcks deras gamla fejd till liv på nytt. Men när de ställs inför en gemensam fiende måste Dom och Brian återigen lita på varandra för att tillsammans kunna utmanövrera honom – genom att tänja på gränserna för vad som är fysiskt möjligt bakom ratten."
Fast & Furious,13804,movie,nl,NL,Dutch,,"Brian O'Conner is nu een FBI agent en zit in een speciaal team die Braga, een drugs baron, probeert te pakken. Brian probeert binnen te komen door in het drivers-team van Braga te komen. Dominic Toretto is nog steeds op de vlucht voor de politie, maar wil wraak op Braga en probeert ook in het drivers-team te komen. Dit gebeurt via een straatrace. Brian en Dominic zullen moeten samenwerken om Braga te pakken te krijgen."
Fast & Furious,13804,movie,pt,PT,Portuguese,Velozes e Furiosos,"Um crime faz com que o ex-presidiário e fugitivo Dominic Toretto reencontre o agente Brian O'Conner. Quando são forçados a combater um inimigo em comum, Dom e Brian precisam de unir forças e encarar muitos desafios se quiserem derrubá-lo. Entre a cidade de Los Angeles e o deserto mexicano, os dois improváveis parceiros, infiltrados numa rede de tráfico de droga, ultrapassam todos os limites do possível ao volante!"
Fast & Furious,13804,movie,zh,CN,Mandarin,速度与激情4,为了逃避警察的追捕，多米尼克（范·迪塞尔 Vin Diesel 饰）离开洛杉矶一直流亡于多米尼加共和国。而一车价值 140 万美金的石油装载车让蛰伏多年的多米尼克再次驾车驰骋起来。而这时，却传来莱蒂（米歇尔·罗德里格兹 Michelle Rodriguez 饰）惨死的消息。为了查明真相，满腔怒火的多米尼克再次孤身赶回美国。原来，莱蒂是为了获得赦免多米尼克的机会，而协助警局抓捕大毒枭坎波斯（约翰·奥提兹 John Ortiz 饰）。不过出于习惯，坎波斯将运送毒品后的莱蒂杀人灭口。这样，一边是为莱蒂报仇的多米尼克，一边是历练多年的警探布莱恩（保罗·沃克 Paul Walker 饰），两人再次携手，目标直指大毒枭巴尔加……
