titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Indiana Jones and the Dial of Destiny,335977,movie,en,US,English,,"Finding himself in a new era, and approaching retirement, Indy wrestles with fitting into a world that seems to have outgrown him. But as the tentacles of an all-too-familiar evil return in the form of an old rival, Indy must don his hat and pick up his whip once more to make sure an ancient and powerful artifact doesn't fall into the wrong hands."
Indiana Jones and the Dial of Destiny,335977,movie,fr,FR,French,Indiana Jones et le Cadran de la destinée,"1969. Après avoir passé plus de dix ans à enseigner au Hunter College de New York, l'estimé docteur Jones, professeur d'archéologie, est sur le point de prendre sa retraite et de couler des jours paisibles. Tout bascule après la visite surprise de sa filleule Helena Shaw, qui est à la recherche d'un artefact rare que son père a confié à Indy des années auparavant : le fameux cadran d'Archimède, une relique qui aurait le pouvoir de localiser les fissures temporelles. En arnaqueuse accomplie, Helena vole l’objet et quitte précipitamment le pays afin de le vendre au plus offrant. Indy n'a d'autre choix que de se lancer à sa poursuite. Il ressort son fédora et son blouson de cuir pour une dernière virée..."
Indiana Jones and the Dial of Destiny,335977,movie,es,ES,Spanish,Indiana Jones y el dial del destino,"El arqueólogo Indiana Jones deberá emprender otra aventura contra el tiempo para intentar recuperar un dial legendario que puede cambiar el curso de la historia. Acompañado por su ahijada, Jones pronto se encuentra enfrentándose a Jürgen Voller, un ex nazi que trabaja para la NASA."
Indiana Jones and the Dial of Destiny,335977,movie,bg,BG,Bulgarian,Индиана Джоунс и реликвата на съдбата,"Намирайки се в нова епоха, наближавайки пенсионирането си, Инди се бори да се впише в свят, който сякаш го е надраснал. Но когато пипалата на едно твърде познато зло се завръщат под формата на стар съперник, Инди трябва отново да сложи шапката си и да вдигне камшика, за да се увери, че древен и могъщ артефакт няма да попадне в неподходящи ръце."
Indiana Jones and the Dial of Destiny,335977,movie,ru,RU,Russian,Индиана Джонс и Колесо Судьбы,"Неувядающий авантюрист и пытливый археолог-исследователь по-прежнему в седле. На этот раз ему придётся столкнуться с непростой задачей, которую решить на раз-два вряд ли получится. Но разве тот самый Индиана Джонс даст слабину и отступит при виде даже самой безнадёжной ситуации? Это вряд ли! Поэтому безумные приключения и нескончаемые интриги вновь возрождаются в искрометном продолжении всемирно известной саги о «простом герое» Индиане Джонсе."
Indiana Jones and the Dial of Destiny,335977,movie,nl,NL,Dutch,,"1969. Het hoogtepunt van de ruimterace tussen de Verenigde Staten en de Sovjet-Unie. Indiana Jones is net met pensioen gegaan als hij wordt opgezocht door zijn peetdochter Helena. Zij vervolgt haar vaders zoektocht naar het legendarische mechanisme van Antikythera, een apparaat dat gaten in de tijd kan voorspellen en detecteren. Ook professor Schmidt, die eigenlijk een nazi genaamd Jürgen Voller is, wil dit apparaat koste wat kost bemachtigen om het Derde Rijk in ere te herstellen."
Indiana Jones and the Dial of Destiny,335977,movie,uk,UA,Ukrainian,Індіана Джонс і реліквія долі,"Невгамовний авантюрист Індіана Джонс не збирається звикати до тихого життя. Як і колись, він здатен знайти вихід з будь-якої, навіть самої безнадійної, ситуації. Ніяка халепа не змусить його відмовитися від наміченої цілі, і жодні перешкоди не зупинять його."
Indiana Jones and the Dial of Destiny,335977,movie,ko,KR,Korean,인디아나 존스: 운명의 다이얼,"1969년 뉴욕, 전설적인 모험가이자 고고학자 인디아나 존스 앞에 대녀 헬레나와 오랜 숙적 위르겐 폴러의 세력이 등장한다. 그들의 목표는 단 하나, 운명의 다이얼. 역사의 흐름을 바꿀 수 있는 다이얼을 차지하려는 쫓고 쫓기는 위협 속에 인디아나 존스는 전 세계를 무대로 하는 새로운 모험에 뛰어드는데…"
Indiana Jones and the Dial of Destiny,335977,movie,de,DE,German,Indiana Jones und das Rad des Schicksals,"Indy befindet sich in einer neuen Ära und nähert sich dem Ruhestand. Er ringt damit, sich in eine Welt einzufügen, die über ihn hinausgewachsen zu sein scheint. Doch als die Tentakel eines allzu vertrauten Bösen in Form eines alten Rivalen zurückkehren, muss Indy erneut seinen Hut aufsetzen und seine Peitsche in die Hand nehmen, um sicherzustellen, dass ein uraltes und mächtiges Artefakt nicht in die falschen Hände gerät."
Indiana Jones and the Dial of Destiny,335977,movie,es,MX,Spanish,Indiana Jones y el dial del destino,"El arqueólogo Indiana Jones deberá emprender otra aventura contra el tiempo para intentar recuperar un dial legendario que puede cambiar el curso de la historia. Acompañado por su ahijada, Jones pronto se encuentra enfrentándose a Jürgen Voller, un ex nazi que trabaja para la NASA."
Indiana Jones and the Dial of Destiny,335977,movie,pt,BR,Portuguese,Indiana Jones e A Relíquia do Destino,"Encontrando-se em uma nova era, aproximando-se da aposentadoria, Indy luta para se encaixar em um mundo que parece tê-lo superado. Mas quando os tentáculos de um mal muito familiar retornam na forma de um antigo rival, Indy deve colocar seu chapéu e pegar seu chicote mais uma vez para garantir que um antigo e poderoso artefato não caia nas mãos erradas."
Indiana Jones and the Dial of Destiny,335977,movie,zh,CN,Mandarin,夺宝奇兵5：命运转盘,见证无数奇观的印第安纳·琼斯（哈里森·福特 Harrison Ford 饰），将探寻毕生追求的宝物，与新老搭档一起，直面命运终章。
Indiana Jones and the Dial of Destiny,335977,movie,tr,TR,Turkish,Indiana Jones ve Kader Kadranı,"Film, Soğuk Savaş döneminde uzay yarışı sürerken bir kez daha hortlayan Nazi tehlikesine karşı mücadele veren ünlü arkeoloğun hikâyesini anlatıyor.  Yıl 1969 ve Indiana Jones işi bırakmaya karar vermiştir. New York'taki Hunter College'da on yıldan fazla bir süredir ders veren saygın arkeoloji profesörü, bugünlerde tek başına yaşadığı mütevazı dairesine çekilmeye hazırlanmaktadır. Arasının açık olduğu vaftiz kızı Helena Shaw'ın babasının yıllar önce Indy'ye emanet ettiği nadir bir eseri, zamandaki çatlakları bulma gücüne sahip olduğu iddia edilen meşhur Arşimet Kadranı'nı aramak için yaptığı sürpriz ziyaretle işler değişir."
