titulo_original,tmdb_id,tipo,idioma,pais,nome_idioma,titulo_traduzido,sinopse_traduzida
Harry Potter and the Philosopher's Stone,671,movie,en,US,English,,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame."
Harry Potter and the Philosopher's Stone,671,movie,de,DE,German,Harry Potter und der Stein der Weisen,"Harry Potter erfährt an seinem 11. Geburtstag, dass seine verstorbenen Eltern mächtige Zauberer waren und auch er selbst magische Kräfte besitzt. Als er von Hogwarts, der Schule für Hexerei und Zauberei, aufgenommen wird, erlebt Harry das Abenteuer seines Lebens. Er lernt Quidditch, das hoch in der Luft gespielt wird, und auf dem Weg, sich einem schwarzen Magier zu stellen, der ihn vernichten will, muss Harry eine spannende Schachpartie mit lebenden Figuren überstehen…"
Harry Potter and the Philosopher's Stone,671,movie,it,IT,Italian,Harry Potter e la pietra filosofale,"Harry Potter vive con gli zii e il cuginetto sin dalla più tenera età dopo la morte dei suoi genitori. I parenti non lo amano per nulla. Harry sta ormai per compiere undici anni e viene guardato male anche per alcune sue capacità 'magiche'. Che sono effettive perché Harry è figlio di maghi e comincia a ricevere lettere, regolarmente sequestrate, portate da gufi. Dovrà giungere il gigantesco Hagrid a recapitargliene personalmente una perché possa apprendere di essere stato ammesso a frequentare la Scuola di Magia e Stregoneria di Hogwarts. Gli zii a questo punto non possono far più nulla e Harry raggiunge la Scuola dove apprende che il suo nome è già noto e dove scoprirà di avere naturali doti magiche."
Harry Potter and the Philosopher's Stone,671,movie,fr,FR,French,Harry Potter à l'école des sorciers,"Orphelin, le jeune Harry Potter peut enfin quitter ses tyranniques oncle et tante Dursley lorsqu'un curieux messager lui révèle qu'il est un sorcier. À 11 ans, Harry va enfin pouvoir intégrer la légendaire école de sorcellerie de Poudlard, y trouver une famille digne de ce nom et des amis, développer ses dons, et préparer son glorieux avenir."
Harry Potter and the Philosopher's Stone,671,movie,nl,NL,Dutch,Harry Potter en de Steen der Wijzen,Op zijn elfde verjaardag verneemt Harry Potter dat zijn overleden ouders twee machtige tovenaars waren en dat hij zelf ook over magische krachten beschikt. Hij krijgt zijn opleiding aan Zweinsteins Hogeschool voor Hekserij en Hocus Pocus.
Harry Potter and the Philosopher's Stone,671,movie,hu,HU,Hungarian,Harry Potter és a Bölcsek köve,"Szülei halála után Harry Potter mostohaszülőknél nevelkedik. Sanyarú a sorsa, a lépcső alatti kuckóban lakik és elviselhetetlen az unokatestvére. Ám hamarosan kiderül, hogy Harry nem közönséges kisfiú, hanem egy varázsló házaspár árvája, aki csak átmenetileg keveredett a lényegről mit sem sejtő muglik közé. Most viszont végigsétál az Abszol úton, hogy beiratkozzék a titokzatos Roxfort Boszorkány- és Varázslóképző Szakiskolába. Néhány jó barát, néhány nagy kaland és néhány ősi ellenség vár itt rá, de mi ez egy elsőéves varázslótanoncnak?"
Harry Potter and the Philosopher's Stone,671,movie,sk,SK,Slovak,Harry Potter a Kameň mudrcov,"Harry Potter prežíva ako sirota neradostné detstvo. Blížia sa však jeho jedenáste narodeniny a vtedy mu obor Hagrid vyjaví tajomstvo jeho života: Harry je totiž čarodejník! Vzápätí v čarodejnom svete nastáva veľký rozruch - chlapec, ktorý už ako batoľa porazil mocného pána zla, ktorého meno sa každý bojí vysloviť, sa totiž konečne vydáva na cestu, ktorá mu bola predurčená."
Harry Potter and the Philosopher's Stone,671,movie,pt,PT,Portuguese,Harry Potter e a Pedra Filosofal,"Esta é a primeira adaptação da série de best-sellers de Harry Potter, sobre um órfão que descobre que os seus pais eram feiticeiros e que ele também possui poderes mágicos. Harry Potter passou a maior parte do seu tempo debaixo da escada na casa dos Dursleys, seus tios que não gostam dele. Porém, quando é convidado para estudar na Escola de Feitiços e Magia Hogwart, Harry percebe que existem dois mundos: um é o mundo sem graça dos humanos comuns e o outro é cheio de magia, encanto e fantasia."
Harry Potter and the Philosopher's Stone,671,movie,ru,RU,Russian,Гарри Поттер и философский камень,"Обычный лондонский мальчик Гарри Поттер на 11-м году жизни узнаёт, что он — осиротевший сын двух могущественных волшебников, и сам обладает магической силой. В Хогвартской школе чародейства и волшебства Гарри попадает в водоворот невероятных приключений. Он изучает квиддич — спорт высшего пилотажа, играет в захватывающую игру живыми шахматными фигурами, встречается с Тёмным Волшебником, который хочет его уничтожить."
Harry Potter and the Philosopher's Stone,671,movie,sv,SE,Swedish,Harry Potter och de vises sten,En helt ny värld öppnar sig för Harry när han börjar på Hogwarts skola för Häxkonster och Trolldom. Han lär sig den flygande sporten Quidditch och spelar ett spännande spel med levande schackpjäser på sin färd mot den ondskefulle trollkarlen som är ute efter att förgöra honom.
